taxid	ncbi_name	reporting_id	compound_id	read_count	read_pcnt
10760	Enterobacteria phage T7	26706_10760	26706_10760	798385	36.7
532076	Enterobacteria phage 13a	26368_532076	26368_532076	157380	7.2
1176767	Yersinia phage YpsP-G	42586_1176767	42586_1176767	227120	10.4
1176765	Yersinia phage YpP-R	42584_1176765	42584_1176765	149740	6.9
1195074	Yersinia phage R	42575_1195074	42575_1195074	114970	5.3
1176434	Yersinia phage Y	42580_1176434	42580_1176434	117190	5.4
227720	Yersinia phage phiA1122	42563_227720	42563_227720	117470	5.4
1176766	Yersinia phage YpP-Y	42585_1176766	42585_1176766	105000	4.8
1837842	Escherichia phage 64795_ec1	27076_1837842	27076_1837842	53108	2.4
482822	Enterobacteria phage DE3	26418_482822	26418_482822	187540	8.6
1527506	Escherichia phage CICC 80001	27095_1527506	27095_1527506	36550	1.7
2053563	Escherichia phage EG1	27118_2053563	27118_2053563	18070	0.8
1075775	Enterobacteria phage 3/7	26377_1075775	26377_1075775	40420	1.9
2079317	Escherichia phage HZ2R8	27141_2079317	27141_2079317	18250	0.8
1075774	Enterobacteria phage T7M	26708_1075774	26708_1075774	11680	0.5
10759	Enterobacteria phage T3	26700_10759	26700_10759	11680	0.5
866889	Salmonella phage Vi06	37655_866889	37655_866889	5550	0.3
1871708	Enterobacter phage KPN3	26353_1871708	26353_1871708	4480	0.2
