,Accession,Ctrl Count,Normalized IC,Total Reads,Organism Read Count,Quantification,Median Coverage,Mean Coverage,Coverage Q1,Detection,log Quantification
0,IDBD-D100387,9526,14129.313326644924,6742012,6707.0,74993667.34289123,763.0,702.2637889688249,613.5,TP,18.132914232507595
1,IDBD-D100388,8693,16315.062952720475,5328205,4175.0,53522002.919686764,483.0,444.9928057553957,394.0,TP,17.79560339684496
2,IDBD-D100389,16631,26856.43860144341,6192556,7460.0,42819444.0122303,893.0,805.9608313349321,655.0,TP,17.572502856740492
3,IDBD-D100390,5756,9461.803229670479,6083407,6912.0,67816666.1111714,868.0,698.1646682653877,467.0,TP,18.032318535552733
4,IDBD-D100391,246,431.11485600763814,5706136,126.0,78317181.09927556,13.0,13.0112,11.0,TP,18.17627756344579
5,IDBD-D100392,805,1336.1681121903182,6024691,1770.0,364715306.5442376,192.0,183.9744,170.0,TP,19.714627625131904
6,IDBD-D100393,1153,1838.9832225078787,6269769,457.0,30790240.689152386,56.0,46.792965627498,29.0,TP,17.242708336991026
7,IDBD-D100394,5995,9595.655560942496,6247619,4261.0,34560305.831248865,496.0,429.07114308553156,222.5,TP,17.358216351144797
8,IDBD-D100395,8788,16017.173442768222,5486611,6921.0,56523156.33504479,842.0,700.5147881694644,434.0,TP,17.850160958790436
9,IDBD-D100396,4945,8454.706963618088,5848813,7476.0,98033877.25869231,918.0,759.5515587529976,444.5,TP,18.400823663212286
10,IDBD-D100376,79,135.09116002779118,5847903,32.0,45545755.971561044,3.0,3.34,2.0,TP,17.634228004366935
11,IDBD-D100377,570,875.7635659617436,6508606,1259.0,228594822.77988678,133.0,127.78896882494004,109.0,TP,19.24746166156147
12,IDBD-D100378,916,1518.332287684187,6032935,139.0,17890820.537723515,14.0,14.5944,11.0,TP,16.699798320152695
13,IDBD-D100379,6823,12245.033475082353,5572055,2670.0,32629744.110036403,333.0,285.5067945643485,197.0,TP,17.300734826370086
14,IDBD-D100380,1779,3329.933519253062,5342449,3291.0,54508631.97921009,458.0,358.66906474820144,169.0,TP,17.813869632031537
15,IDBD-D100381,7911,13798.07371146904,5733409,162.0,2611893.7247418114,19.0,17.9392,15.0,TP,14.775586081238997
16,IDBD-D100382,1275,2472.616019991925,5156482,1817.0,125438739.90479447,223.0,196.44444444444446,154.0,TP,18.647328069114085
17,IDBD-D100383,9477,16686.11942697785,5679571,6676.0,45833014.20888423,895.0,705.8409272581935,448.0,TP,17.640515223663296
18,IDBD-D100384,1502,2367.374614651464,6344581,26.0,584428.7882576863,3.0,2.9376,1.0,FN - Below cutoff,13.278390218866617
19,IDBD-D100386,5400,9634.872242486183,5604641,5761.0,100160073.93914701,707.0,597.7202238209433,418.5,TP,18.422280203526125
20,IDBD-D100397,10761,20740.909782150098,5188297,3440.0,29882734.16006196,390.0,338.2973621103117,269.0,TP,17.212791418730074
21,IDBD-D100398,2743,6036.754880021973,4543832,2055.0,80527548.83292036,259.0,226.44221105527637,205.0,TP,18.204109905371322
22,IDBD-D100399,803,1559.685149486013,5148475,741.0,151357147.19931635,74.0,72.4104,67.0,TP,18.835152815305577
23,IDBD-D100400,1943,3272.654754630057,5937076,869.0,57772496.780004695,88.0,82.4064,74.0,TP,17.87202338614159
24,IDBD-D100401,9015,19204.861226503603,4694124,3701.0,36520292.27635376,392.0,361.67705835331736,278.0,TP,17.413378616845044
25,IDBD-D100402,37561,88474.04241647363,4245426,1102.0,4552209.66785433,128.0,120.5576,105.0,TP,15.331123314328234
26,IDBD-D100403,314,578.6154065012785,5426748,61.0,19043996.1013078,6.0,5.748,4.0,TP,16.762262444576287
27,IDBD-D100404,1056,1919.8875993078223,5500322,161.0,13202930.59371657,18.0,16.2424,13.0,TP,16.395949377590487
28,IDBD-D100405,10947,26006.254614702622,4209372,2579.0,39724090.960455656,291.0,282.6888,270.0,TP,17.497468386813853
29,IDBD-D100406,2635,5224.473934137922,5043570,650.0,39357639.893382035,73.0,71.3136,65.0,TP,17.488200666292148
30,IDBD-D100407,865,1845.719999368401,4686518,1087.0,150751655.7160067,129.0,116.22062350119904,105.0,TP,18.83114437670201
31,IDBD-D100408,3762,8240.88623042543,4565043,3190.0,59598048.94497811,386.0,317.7170263788969,215.5,TP,17.903133395677234
32,IDBD-D100409,956,1790.2876520339992,5339924,815.0,84616848.7242665,87.0,78.4564348521183,64.0,TP,18.25364396224447
33,IDBD-D100410,8000,15915.89088303949,5026423,7129.0,95748829.74538971,749.0,702.2669864108713,653.5,TP,18.377238963970076
34,IDBD-D100411,4079,4383.988371844326,9304313,8663.0,192274794.06478596,977.0,840.242206235012,604.5,TP,19.074436125861627
35,IDBD-D100412,121,125.57085444428463,9635994,275.0,327433061.6773533,27.0,26.7408,23.0,TP,19.60679420032385
36,IDBD-D100413,1799,2313.2661247443225,7776883,21.0,702735.481773367,2.0,2.2288,1.0,FN - Below cutoff,13.46273582939261
37,IDBD-D100414,140,162.0329299523542,8640219,,,,,,FN - No detection,
38,IDBD-D100450,2738,5535.735009338773,4946046,37.0,1441220.9318421674,3.0,3.9832,3.0,FN - Below cutoff,14.181001181648861
39,IDBD-D100451,14750,36493.89426221964,4041772,51.0,411492.2384495181,6.0,5.6344,4.0,TP,12.92754543731632
40,IDBD-D100415,402,422.8551304634303,9506802,,,,,,FN - No detection,
41,IDBD-D100452,3815,7287.628662940775,5234899,27.0,746589.6376135583,3.0,2.9848,2.0,TP,13.523270965930937
42,IDBD-D100416,84,109.63217881948069,7661984,,,,,,FN - No detection,
43,IDBD-D100417,69437,92108.62654984037,7538599,255.0,497442.2235499074,27.0,27.5528,22.0,TP,13.117234695268735
44,IDBD-D100418,2007,3777.6306294131177,5312854,40.0,2174894.2742938926,4.0,4.1408,3.0,TP,14.592490611803392
45,IDBD-D100453,3199,7021.30666978042,4556132,354.0,8376123.698259494,42.0,37.84572342126299,25.0,TP,15.94089579960153
46,IDBD-D100419,138,165.19214719625833,8353908,25.0,12979475.103321668,2.0,2.7056,1.0,TP,16.37887982954132
47,IDBD-D100447,9007,20763.603595213233,4337879,42.0,484996.70457323286,4.0,4.255758538522637,2.0,FN - Below cutoff,13.091897375202171
48,IDBD-D100448,21634,27830.048631189722,7773612,503.0,5807101.535602282,47.0,48.37301587301587,42.0,TP,15.57459212923702
49,IDBD-D100454,1481,1270.2888110113884,11658766,37.0,3556400.1216202257,4.0,3.646031746031746,2.0,TP,15.084259389426688
50,IDBD-D100455,3109,4217.146273800629,7372284,2451.0,88766315.57834533,297.5,267.8685092127303,250.0,TP,18.30151780692624
51,IDBD-D100456,7732,8505.839128752135,9090226,5248.0,47867133.34914747,618.0,544.5963229416467,375.5,TP,17.68393967549676
52,IDBD-D100457,26787,28032.13413732512,9555819,10052.0,33865578.32717979,1089.0,980.1446842525979,764.0,TP,17.337909667915703
53,IDBD-D100460,16854,15166.1022946131,11112941,8462.0,56570148.75091871,829.0,775.4460431654676,717.5,TP,17.850991996817715
54,IDBD-D100458,16693,16623.775274999844,10041642,7322.0,51021120.52703117,779.0,732.9944044764188,677.0,TP,17.747750232942277
55,IDBD-D100459,5419,5474.285908244543,9899008,6948.0,111683824.81219298,693.0,616.7769784172662,561.0,TP,18.53118244435207
56,IDBD-D100446,1743,3498.1139686735164,4982685,3164.0,204765537.95693383,353.0,312.76658673061553,273.0,TP,19.137376165275697
57,IDBD-D100438,672,1394.9120582674695,4817508,1205.0,134121812.56253147,120.0,112.7472,83.0,TP,18.714258993954516
58,IDBD-D100439,700,2339.424414701077,2992189,62.0,6068763.041304606,6.0,5.5352,4.0,TP,15.618665359947101
59,IDBD-D100440,1816,3389.01064776385,5358496,6.0,,0.0,0.5411670663469225,0.0,FN - No detection,
60,IDBD-D100441,2162,4945.281670617707,4371844,11.0,,1.0,1.0676751592356688,0.0,FN - No detection,
61,IDBD-D100442,74705,96546.12864304775,7737752,133.0,189743.24293240788,12.0,13.820349761526233,9.0,TP,12.153427084254421
62,IDBD-D100443,5505,11438.06976079786,4812875,406.0,10583894.067627378,39.0,40.834658187599366,35.0,TP,16.17484397599927
63,IDBD-D100444,4323,7870.030711870948,5492990,108.0,2150691.3474389934,8.0,9.777424483306836,6.0,TP,14.58129990536386
64,IDBD-D100445,2281,4698.52988129054,4854710,52.0,3553025.468451077,5.0,5.600953895071542,5.0,TP,15.08331004313145
65,IDBD-D100461,949,2293.6578065573963,4137496,370.0,29761948.59399595,40.0,36.31175059952039,24.0,TP,17.208741242734433
66,IDBD-D100462,3799,8250.988153023143,4604297,3572.0,75221818.73148601,361.0,345.29816147082335,221.5,TP,18.135951889542746
67,IDBD-D100463,6671,15881.21961862695,4200559,2311.0,40679688.64097424,281.0,250.52278177458032,220.0,TP,17.521239475255317
68,IDBD-D100464,7800,18766.94890072597,4156243,2391.0,26614040.414564494,304.0,258.31254996003196,183.0,TP,17.09694946962997
69,IDBD-D100465,1731,4283.8073073684955,4040798,1655.0,122138829.05044234,186.0,175.4828137490008,157.5,TP,18.620668898767526
70,IDBD-D100466,6751,14387.679662180435,4692209,5135.0,44819080.30709028,641.0,529.1910471622701,261.0,TP,17.618144506427512
71,IDBD-D100467,922,2398.570639206068,3843956,587.0,102923462.21251999,65.0,64.744,57.0,TP,18.449496184653828
72,IDBD-D100468,1156,3068.862513897487,3766868,575.0,41070879.71294577,69.0,62.94084732214229,44.5,TP,17.53080990554619
73,IDBD-D100469,4320,9120.133052607756,4736773,4734.0,130646074.21674474,580.0,513.9880095923262,456.5,TP,18.68800250138717
74,IDBD-D100470,710,1537.130912676892,4618995,336.0,65587801.51881338,35.0,35.0904,28.0,TP,17.998900284165902
75,IDBD-D100471,594,1337.8935834038132,4439815,567.0,128762824.2950242,61.0,58.6056,50.0,TP,18.6734826987227
76,IDBD-D100472,1109,1804.3807240073588,6146153,378.0,45515310.02031442,40.0,38.8032,35.0,TP,17.6335593112861
77,IDBD-D100473,1575,2926.5921497463805,5381686,674.0,32021000.039494395,79.0,67.60111910471623,45.0,TP,17.28190249675952
78,IDBD-D100474,3943,6276.515612175963,6282148,4067.0,96671910.0757056,476.0,407.1886490807354,303.5,TP,18.386833432968103
79,IDBD-D100475,2531,4476.689025938973,5653732,3146.0,121469402.15724005,377.0,333.35762144053604,282.0,TP,18.615172954932557
80,IDBD-D100476,1794,3331.697198867223,5384643,2381.0,132950397.22013819,292.0,257.64428457234214,225.0,TP,18.70548666338963
81,IDBD-D100477,7045,15229.590673134937,4625863,343.0,4767125.704215883,40.0,37.095123900879294,30.0,TP,15.377254103509078
82,IDBD-D100478,4247,6468.550613628918,6565613,2887.0,48466162.33500096,348.0,287.8976818545164,190.0,TP,17.696376428598686
83,IDBD-D100479,4836,8265.071578493655,5851129,5750.0,74587931.10575129,749.0,610.1998401278977,311.5,TP,18.127489270661716
84,IDBD-D100480,3731,10227.39296598782,3648046,1829.0,38151781.46741731,227.0,198.2150279776179,139.0,TP,17.457083010998137
85,IDBD-D100481,22422,24636.008522727276,9101312,11309.0,51185503.46039124,1261.0,1145.840127897682,905.0,TP,17.75096691438007
86,IDBD-D100482,4027,7211.908693331806,5583820,2306.0,65922446.438910425,286.0,250.5603517186251,218.0,TP,18.003989555117602
87,IDBD-D100483,191,368.67426856279764,5180725,119.0,63335792.155563176,14.0,12.6376,10.0,TP,17.96396116421193
88,IDBD-D100484,2110,2707.0443066175426,7794479,1754.0,59869488.9265431,206.0,177.17985611510792,125.0,TP,17.907677566478647
89,IDBD-D100485,10351,15838.89770697871,6535177,5156.0,48758951.60059955,631.0,559.6786570743405,433.5,TP,17.70239936112797
90,IDBD-D100491,126,197.3098833146933,6385894,34.0,35349656.64682263,3.0,3.6088,3.0,TP,17.380799237298515
91,IDBD-D100490,5855,11245.71611202846,5206427,4083.0,75486809.82650937,480.0,436.8737010391687,411.0,TP,18.139468494672037
92,IDBD-D100489,950,1519.4060945457638,6252443,556.0,56917433.99041456,64.0,60.5192,57.0,TP,17.857112249186166
93,IDBD-D100488,2434,5118.060234143896,4755708,486.0,16666910.131576119,58.0,52.19344524380496,34.5,TP,16.628935882512184
94,IDBD-D100487,912,787.3461728889605,11583215,69.0,7428246.2962534,7.0,7.0776,5.0,TP,15.820800358720508
95,IDBD-D100486,10806,15866.771975280963,6810459,7331.0,79867867.27757001,888.0,792.0136,794.25,TP,18.195884168115246
