,IDBD-D100380,IDBD-D100376,IDBD-D100381,IDBD-D100377,IDBD-D100382,IDBD-D100383,IDBD-D100384,IDBD-D100386,IDBD-D100387,IDBD-D100388,IDBD-D100389,IDBD-D100390,IDBD-D100391,IDBD-D100392,IDBD-D100393,IDBD-D100394,IDBD-D100395,IDBD-D100396,IDBD-D100412,IDBD-D100411,IDBD-D100413,IDBD-D100414,IDBD-D100415,IDBD-D100416,IDBD-D100417,IDBD-D100418,IDBD-D100419,IDBD-D100420,IDBD-D100438,IDBD-D100439,IDBD-D100440,IDBD-D100441,IDBD-D100442,IDBD-D100443,IDBD-D100446,IDBD-D100447,IDBD-D100448,IDBD-D100454,IDBD-D100455,IDBD-D100456,IDBD-D100458,IDBD-D100459,IDBD-D100457,IDBD-D100460,IDBD-D100397,IDBD-D100398,IDBD-D100399,IDBD-D100400,IDBD-D100401,IDBD-D100402,IDBD-D100403,IDBD-D100404,IDBD-D100405,IDBD-D100406,IDBD-D100407,IDBD-D100409,IDBD-D100408,IDBD-D100410,IDBD-D100444,IDBD-D100445,IDBD-D100450,IDBD-D100451,IDBD-D100452,IDBD-D100453,IDBD-D100472,IDBD-D100473,IDBD-D100474,IDBD-D100475,IDBD-D100476,IDBD-D100477,IDBD-D100478,IDBD-D100479,IDBD-D100480,IDBD-D100481,IDBD-D100482,IDBD-D100483,IDBD-D100484,IDBD-D100485,IDBD-D100486,IDBD-D100487,IDBD-D100488,IDBD-D100489,IDBD-D100490,IDBD-D100491,IDBD-D100461,IDBD-D100462,IDBD-D100463,IDBD-D100464,IDBD-D100465,IDBD-D100466,IDBD-D100467,IDBD-D100468,IDBD-D100469,IDBD-D100470,IDBD-D100471,target_id,sum,std,mean,cv,samples_observed
24147,215.53400000000002,190.048,348.42900000000003,665.403,157.767,3.4045099999999997,405.20099999999996,107.904,135.934,21.4097,70.8936,217.855,490.45,507.959,224.705,248.048,104.37299999999999,97.0759,531.644,301.972,2.17427,826.877,412.471,94.1461,236.033,1.51767,672.328,0.647726,394.19199999999995,22.1093,84.5765,46.0581,13.9686,17.5193,65.9118,2.9590799999999996e-08,667.663,825.674,145.33700000000002,176.38400000000001,257.565,305.433,103.116,459.841,210.48,33.6028,462.47900000000004,614.136,5.54936,37.3324,596.245,550.5840000000001,86.5968,42.3544,263.931,489.995,228.804,21.3465,516.568,77.5434,32.3335,217.18200000000002,514.32,258.676,574.817,534.548,225.84900000000002,269.726,319.64099999999996,13.8108,431.474,49.2058,45.2143,42.1868,48.1625,478.375,434.587,118.399,46.5435,1227.56,17.0227,387.545,3.11442,289.994,387.717,179.705,0.760529,2.32755,244.921,15.8474,250.24,129.32299999999998,10.0584,398.399,341.291,NM_001271581.3,23655.977935029598,236.6834460801016,249.0102940529431,0.950496633001764,96
5864,202.513,477.608,296.832,578.161,390.926,2.22857,555.807,122.432,137.414,10.8195,74.2795,203.57,533.114,426.11199999999997,478.658,226.75799999999998,99.3243,92.2329,910.32,280.295,3.06346,800.956,819.0160000000001,612.128,249.86599999999999,3.0,753.998,0.797139,333.845,26.4833,394.861,54.6441,5.88244,292.563,51.4223,41.8487,626.374,863.778,151.32,192.482,199.87,269.353,93.4528,357.725,206.4,248.072,410.074,531.442,166.438,40.0814,534.53,464.463,73.904,24.2915,374.36,383.41900000000004,192.86,16.3294,430.657,94.2179,35.9359,199.669,443.54699999999997,232.583,558.818,407.344,291.741,228.665,323.907,6.624960000000001,385.094,59.7895,36.6415,46.1193,61.8415,412.474,381.03,79.0901,33.5928,987.547,8.06521,480.204,2.0,636.294,349.256,166.868,7.430389999999999,4.0,200.80900000000003,13.73,240.93200000000002,130.635,9.66584,332.121,329.775,NR_110665.1,25613.513209000004,238.06321550248543,269.61592851578945,0.8829716286163107,96
156644,1340.0,3617.53,2030.72,3873.29,2174.36,11.1111,3767.49,1004.59,857.472,91.1798,455.523,1453.24,4131.0,4116.44,4576.39,1811.09,897.878,774.943,6672.13,2093.25,25.6698,5363.27,6119.86,3834.03,1598.11,25.285,4535.25,0.995934,2429.98,214.953,2817.56,400.14099999999996,119.45100000000001,1840.17,385.13599999999997,252.702,4829.22,5237.98,947.717,1486.57,1397.22,1929.77,577.906,3222.64,1899.34,1704.09,3200.73,3847.0,1369.68,258.834,3952.52,3844.69,533.9590000000001,224.767,1962.35,3167.1,1651.11,150.162,3573.51,500.816,226.838,1200.56,3458.68,1616.64,3657.78,3368.3,1739.24,2434.94,1723.66,0.028485400000000004,2917.66,446.665,326.04200000000003,329.051,389.606,2574.54,3245.45,605.586,284.01599999999996,7586.11,72.727,3047.32,7.94345,4005.54,2185.05,1673.02,38.6277,21.7439,1208.83,82.67299999999999,1350.24,715.7560000000001,16.8954,2631.71,2195.62,NR_145975.1,184566.9605694,1720.4453966085587,1942.8101112568422,0.885544802675321,96
118722,1166.86,2928.49,1777.75,2940.87,1888.73,3.0,2828.5,663.8760000000001,605.055,67.5365,353.158,1448.64,3868.46,3705.94,4202.07,1525.77,858.3910000000001,696.3910000000001,4896.18,1391.88,14.0,4529.69,4798.64,3467.63,1339.88,11.8246,4056.99,1.0,1793.3,131.82,2068.93,264.657,73.389,1387.58,285.789,189.543,3934.57,5019.49,833.985,1160.11,1204.13,1352.08,418.54400000000004,1990.56,1212.77,1432.84,2318.41,2814.95,974.648,271.062,2409.55,2865.19,451.777,250.06,1737.08,2409.9,1186.93,109.149,2738.61,439.10699999999997,223.72,1046.88,2681.04,1355.82,2776.69,1868.63,1321.16,1016.55,1476.42,58.0651,1896.37,359.85,201.081,218.37599999999998,250.976,2260.69,2451.68,628.711,237.201,6056.16,68.7713,2425.97,5.0,3307.51,1743.8,1243.93,25.304000000000002,18.0,1084.63,63.628,1290.13,728.3,60.5159,1668.7,1837.45,NM_024652.6,145725.42140000002,1390.3434741126314,1533.9518042105265,0.9063801550324422,96
39279,1088.89,3034.53,1668.87,3079.5,1698.97,7.8812,2777.67,876.832,696.192,95.3767,327.33099999999996,1051.8,2898.07,2678.09,2987.77,1407.79,557.525,591.545,5709.12,1703.02,14.6529,4587.11,5150.38,3248.51,1167.49,8.07221,3843.45,1.3264799999999999,2126.43,198.821,2476.22,273.944,50.3091,1541.96,338.973,209.011,3771.93,4721.57,805.196,1189.49,1170.56,1976.68,439.668,2958.65,1319.24,1330.98,2501.83,3289.9,1057.08,186.826,3218.57,2889.29,376.653,182.97299999999998,1746.72,2659.13,1303.3,104.945,2896.62,381.75199999999995,177.831,951.913,2844.93,1199.47,2981.26,2435.09,1607.62,1381.87,1463.69,53.5373,2263.28,406.292,253.642,249.278,260.05400000000003,2197.79,2660.56,518.604,215.24400000000003,5891.33,59.5771,2435.34,6.41403,3438.15,2050.01,1087.05,35.7627,15.3242,996.425,89.3168,1040.47,619.5419999999999,57.9046,2229.74,1805.93,NR_047679.1,148633.22731999998,1404.33689313543,1564.560287578947,0.8975920610311208,96
149546,492.787,1511.2,785.689,1372.01,1023.1,3.61976,1546.48,288.578,297.506,47.9219,109.40799999999999,519.477,1078.3,796.698,1869.79,591.1990000000001,214.178,244.861,2585.41,697.816,10.8484,1748.03,1719.34,2266.95,844.9760000000001,5.8248,1081.1,2.0,603.164,75.4038,849.543,218.52900000000002,33.9434,1054.15,150.937,74.7975,2603.44,2014.96,287.147,489.657,352.898,657.243,223.14700000000002,1263.99,564.164,592.276,1086.55,1193.88,332.664,90.1572,1616.38,1106.1,203.75,126.48200000000001,994.6110000000001,1237.46,611.219,36.7685,1713.39,241.551,78.6413,421.54400000000004,1328.48,469.309,1097.39,806.905,650.175,780.498,645.335,19.5577,777.8439999999999,143.355,98.9951,116.369,84.3764,910.855,1161.18,234.796,104.30799999999999,2814.98,29.9083,909.09,1.0,1515.61,579.48,421.944,13.0,12.9076,230.602,20.3286,391.07300000000004,234.57,21.139,762.3480000000001,722.255,XR_430344.3,65065.599259999995,655.8455979538679,684.9010448421052,0.9575771608073169,96
38534,1219.16,3441.99,1699.27,3595.76,1907.33,14.5263,3019.87,1120.94,781.3860000000001,77.2131,382.44,1301.09,3784.05,3393.45,4236.63,1753.54,782.086,643.303,7406.47,2133.07,10.3837,5760.12,6619.07,3604.97,1294.61,26.0209,4434.41,1.95118,2756.51,177.101,3077.79,381.67,92.1907,1747.69,404.75300000000004,233.923,4635.64,5280.75,848.462,1413.77,1445.05,2509.86,517.67,3790.57,1632.8,1595.14,3115.01,4126.39,1279.54,187.137,3922.8,3716.85,398.064,251.95,1913.83,3249.67,1532.67,129.403,3537.34,404.014,200.335,990.2189999999999,3626.5,1269.64,3536.37,3017.21,1854.38,1765.87,1640.13,52.4868,2737.6,470.42199999999997,278.161,261.953,330.88300000000004,2409.51,3440.63,612.8340000000001,268.94,6802.39,66.0385,2623.56,5.65324,4221.56,2298.46,1366.14,25.1176,18.7009,1113.21,92.0884,1192.95,693.62,65.0218,3146.39,2114.84,NR_126435.1,179360.93212,1731.8060105023321,1888.0098117894745,0.9172653657244022,96
156643,96.3502,346.94800000000004,211.53099999999998,370.534,228.218,3.13949e-05,163.295,7.90436e-07,41.071999999999996,44.7355,1.48976e-06,102.694,222.62,189.62099999999998,378.603,144.799,37.4201,44.7232,506.833,147.501,1.59409e-05,714.3389999999999,307.801,539.446,82.9948,1.6061099999999998e-05,572.9119999999999,4.44121e-05,190.825,2.7927699999999998e-06,262.492,5.93037e-07,4.4923e-06,211.14700000000002,34.4701,40.6,486.041,775.27,85.772,28.436,256.091,168.207,40.1467,158.751,137.52100000000002,256.665,274.685,231.16299999999998,66.9756,44.7252,587.906,193.576,29.369,44.7257,334.88300000000004,239.498,115.26899999999999,3.7589099999999996e-06,244.77200000000002,1.39809e-06,40.7988,67.145,294.836,169.97799999999998,413.773,169.093,287.215,97.0654,518.924,65.4996,175.533,134.173,1.96358e-06,1.9817e-06,1.7096400000000004e-06,361.415,143.686,89.4474,44.7249,577.842,6.7579999999999995e-06,319.445,4.13314e-05,489.509,346.38800000000003,18.6303,1.1373499999999999e-05,1.81176e-05,305.97900000000004,6.12739e-06,281.77,166.204,44.8365,281.14799999999997,249.925,NR_145974.1,17189.957212487116,180.49387914437136,180.9469180261802,0.9974962884875259,96
88153,1484.15,3852.13,2303.83,4117.02,2508.47,6.80227,3988.46,923.388,882.015,119.41799999999999,513.4780000000001,1478.77,3903.54,3727.02,4220.76,1836.06,773.377,723.3,6910.1,2054.41,29.2133,6033.78,6161.61,4592.0,1698.76,21.7166,5222.7,2.0925,2591.5,214.733,3077.74,303.107,105.304,2044.78,400.064,251.882,4691.8,6161.17,1117.98,1493.09,1593.28,2044.78,536.842,3309.23,1847.68,1828.03,3311.33,3951.52,1364.66,280.552,4020.52,3690.57,575.0,259.95599999999996,2461.62,3232.94,1606.89,131.251,3524.1,531.158,227.96099999999998,1308.49,3489.94,1748.34,4034.14,3246.29,1920.41,1974.12,2254.21,83.5681,2999.85,531.739,305.702,345.921,373.744,3190.67,3297.02,749.212,339.787,7795.0,83.59299999999999,3390.37,5.9400699999999995,4490.96,2552.44,1452.37,30.9296,24.9105,1473.21,88.9347,1651.4,879.742,77.0576,2690.28,2400.15,NR_002728.3,194151.83124,1800.8531806324302,2043.7034867368425,0.8811714577577159,96
59994,773.6469999999999,2115.04,1194.28,2246.17,1329.6,3.41742,2259.88,464.631,503.342,68.3528,249.27599999999998,817.8760000000001,2187.29,1929.57,2256.18,1020.81,494.781,359.994,3747.78,1098.62,17.5424,3347.81,3267.05,2492.02,892.279,14.5321,2738.84,2.33363,1361.66,112.86399999999999,1606.0,197.296,55.3796,1002.94,183.271,150.885,2463.37,3283.96,585.505,812.3510000000001,800.1080000000001,1075.89,269.32099999999997,1639.97,972.456,921.7810000000001,1764.4,2163.2,791.597,154.475,2245.91,2073.84,301.08799999999997,133.006,1307.97,1718.11,905.423,68.7648,2029.81,321.973,123.67299999999999,745.6139999999999,1907.35,917.012,2128.05,1745.62,1028.63,1130.05,1123.26,31.8992,1574.87,253.0,145.105,180.56,209.5,1716.5,1718.36,385.714,174.12400000000002,4128.25,43.5748,1713.99,7.0317,2527.4,1395.23,763.8839999999999,21.3505,17.0747,842.846,35.7158,866.268,479.412,39.7021,1372.6,1266.37,NR_034022.1,104127.10955,970.5381622433878,1096.0748373684212,0.8854670585938859,96
