,IDBD-D100380,IDBD-D100376,IDBD-D100381,IDBD-D100377,IDBD-D100382,IDBD-D100383,IDBD-D100384,IDBD-D100386,IDBD-D100387,IDBD-D100388,IDBD-D100389,IDBD-D100390,IDBD-D100391,IDBD-D100392,IDBD-D100393,IDBD-D100394,IDBD-D100395,IDBD-D100396,IDBD-D100412,IDBD-D100411,IDBD-D100413,IDBD-D100414,IDBD-D100415,IDBD-D100416,IDBD-D100417,IDBD-D100418,IDBD-D100419,IDBD-D100420,IDBD-D100438,IDBD-D100439,IDBD-D100440,IDBD-D100441,IDBD-D100442,IDBD-D100443,IDBD-D100446,IDBD-D100447,IDBD-D100448,IDBD-D100454,IDBD-D100455,IDBD-D100456,IDBD-D100458,IDBD-D100459,IDBD-D100457,IDBD-D100460,IDBD-D100397,IDBD-D100398,IDBD-D100399,IDBD-D100400,IDBD-D100401,IDBD-D100402,IDBD-D100403,IDBD-D100404,IDBD-D100405,IDBD-D100406,IDBD-D100407,IDBD-D100409,IDBD-D100408,IDBD-D100410,IDBD-D100444,IDBD-D100445,IDBD-D100450,IDBD-D100451,IDBD-D100452,IDBD-D100453,IDBD-D100472,IDBD-D100473,IDBD-D100474,IDBD-D100475,IDBD-D100476,IDBD-D100477,IDBD-D100478,IDBD-D100479,IDBD-D100480,IDBD-D100481,IDBD-D100482,IDBD-D100483,IDBD-D100484,IDBD-D100485,IDBD-D100486,IDBD-D100487,IDBD-D100488,IDBD-D100489,IDBD-D100490,IDBD-D100491,IDBD-D100461,IDBD-D100462,IDBD-D100463,IDBD-D100464,IDBD-D100465,IDBD-D100466,IDBD-D100467,IDBD-D100468,IDBD-D100469,IDBD-D100470,IDBD-D100471,target_id,sum,std,mean,cv,samples_observed
24147,112.287,40.7598,122.977,145.162,52.2355,208.97,83.8174,104.48299999999999,131.215,134.174,122.139,118.96700000000001,98.6045,108.73,41.24100000000001,110.47399999999999,97.4657,103.682,70.7522,137.108,64.9384,122.492,60.1778,16.8654,114.376,61.2029,109.81299999999999,290.856,141.532,92.1114,25.3104,103.506,31.8906,7.42685,142.675,8.13653e-08,116.941,109.729,99.6557,99.9578,139.846,128.024,159.626,134.828,113.225,15.4477,124.686,141.776,3.60174,85.115,141.863,128.384,117.2,117.335,91.7228,129.501,119.876,139.584,125.115,108.33,100.07,136.632,125.443,118.41799999999999,128.584,154.563,103.275,126.178,124.223,126.564,140.951,76.5339,117.23200000000001,110.634,104.917,130.444,116.397,135.511,115.581,137.69,151.207,98.6459,192.34799999999998,58.4756,141.018,110.28200000000001,13.0368,66.9845,144.285,152.469,122.37299999999999,113.402,112.521,145.13299999999998,126.09899999999999,NM_001271581.3,10399.908290081365,43.98395916123018,109.47271884296175,0.4017800930323565,96
5864,1154.44,1120.84,1146.38,1380.14,1416.28,1496.8,1258.04,1297.2,1451.42,741.944,1400.3,1216.4,1172.81,998.0419999999999,961.2769999999999,1105.08,1014.91,1077.92,1325.62,1392.57,1001.17,1298.32,1307.5,1199.89,1324.88,1323.8,1347.57,3916.76,1311.6,1207.3,1293.0,1343.73,146.952,1357.11,1217.99,1259.13,1200.46,1256.1,1135.34,1193.59,1187.46,1235.4,1582.99,1147.7,1214.93,1247.88,1209.75,1342.46,1182.03,999.931,1391.63,1185.07,1094.46,736.362,1423.58,1108.82,1105.65,1168.39,1141.35,1440.27,1216.99,1374.5,1183.75,1165.05,1367.83,1288.8,1459.75,1170.49,1377.42,664.329,1376.53,1017.58,1039.57,1323.43,1474.09,1230.72,1116.69,990.5060000000001,912.81,1212.06,783.908,1337.49,1351.6,1403.95,1389.99,1120.53,1393.71,1259.62,1294.45,1445.43,1289.23,1253.47,1183.18,1323.89,1333.25,NR_110665.1,118043.31099999997,342.9069783674251,1242.5611684210526,0.2759678855916316,96
156644,2296.73,2552.54,2358.06,2779.98,2368.5,2243.78,2563.95,3200.29,2723.13,1879.97,2581.97,2610.9,2732.44,2898.9,2763.33,2653.73,2758.52,2723.05,2921.31,3126.88,2522.34,2613.9,2937.5,2259.66,2547.78,3354.68,2437.07,1471.33,2870.42,2946.29,2774.06,2958.47,897.206,2566.5,2742.8,2286.04,2782.78,2290.19,2137.95,2771.64,2495.88,2661.2,2943.28,3108.69,3361.47,2577.36,2839.03,2921.83,2924.7,1941.49,3093.94,2949.47,2377.54,2048.6,2243.66,2753.84,2846.03,3230.47,2847.54,2301.84,2309.73,2484.88,2775.35,2434.83,2691.95,3204.23,2616.54,3747.49,2203.87,0.858834,3135.74,2285.67,2781.25,2839.02,2792.26,2309.67,2859.8,2280.33,2320.41,2799.45,2125.35,2551.93,1614.04,2657.3,2614.66,3377.83,2178.45,2058.75,2342.91,2616.85,2172.37,2064.92,621.821,3154.12,2668.94,NR_145975.1,243067.99583400003,539.3167432925019,2558.6104824631584,0.21078501279855033,96
118722,779.175,805.039,804.2389999999999,822.3380000000001,801.535,236.025,749.938,823.948,748.6089999999999,542.503,779.868,1013.97,996.888,1016.77,988.52,870.9989999999999,1027.44,953.346,835.184,810.034,535.947,860.08,897.3589999999999,796.217,832.211,611.202,849.3430000000001,575.562,825.289,703.923,793.597,762.341,214.75599999999997,753.966,792.935,668.029,883.306,855.025,732.9739999999999,842.681,838.0,726.4169999999999,830.4739999999999,748.087,836.2139999999999,844.29,801.163,832.941,810.817,792.125,734.827,856.341,783.71,887.933,773.768,816.3689999999999,797.079,914.817,850.192,786.2819999999999,887.4830000000001,844.17,838.1519999999999,795.549,796.138,692.5419999999999,774.3439999999999,609.531,735.455,682.047,794.0360000000001,717.405,668.2639999999999,734.043,700.768,790.1360000000001,841.658,922.326,755.003,870.688,782.988,791.4939999999999,395.809,854.855,812.948,978.462,555.969,663.9760000000001,818.9939999999999,784.648,808.665,818.58,867.7189999999999,779.1669999999999,870.18,NM_024652.6,74489.149,132.61386568202144,784.0963052631578,0.16912956328433876,96
39279,4190.15,4807.21,4350.78,4962.31,4154.97,3573.2,4244.04,6271.32,4963.85,4415.05,4165.5,4242.55,4303.74,4234.27,4050.41,4631.25,3845.6,4666.75,5612.07,5711.49,3232.56,5019.25,5550.3,4298.46,4178.77,2404.49,4636.92,4399.68,5639.42,6118.35,5473.6,4547.33,848.3810000000001,4828.33,5419.83,4245.07,4879.85,4634.84,4078.13,4979.13,4694.52,6119.95,5027.35,6407.65,5241.92,4519.55,4982.17,5609.91,5067.71,3146.25,5656.43,4976.38,3765.32,3744.13,4483.77,5191.06,5043.7,5068.81,5182.12,3939.29,4065.31,4423.44,5125.31,4055.88,4925.94,5200.77,5429.91,4774.87,4201.69,3623.97,5461.17,4667.78,4857.67,4828.7,4184.42,4426.66,5263.5,4384.29,3948.14,4880.99,3908.92,4578.8,2926.01,5120.88,5507.45,4927.52,4528.15,3257.52,4335.86,6347.31,3758.31,4012.83,4784.67,5999.8,4928.59,NR_047679.1,440330.22099999996,848.6056846469792,4635.054957894737,0.183084276746617,96
149546,1435.27,1811.97,1550.32,1673.36,1893.78,1242.14,1788.42,1562.19,1605.51,1679.01,1053.79,1585.93,1212.0,953.3969999999999,1918.54,1472.04,1118.15,1462.09,1923.58,1771.32,1811.4,1447.69,1402.38,2270.37,2289.11,1313.22,987.186,5020.86,1210.72,1756.27,1421.33,2745.57,433.23900000000003,2498.35,1826.6,1149.82,2549.28,1497.07,1100.75,1551.35,1071.21,1540.16,1931.22,2071.94,1696.68,1522.21,1637.71,1540.86,1207.08,1149.16,2150.06,1441.93,1541.65,1958.94,1932.42,1828.41,1790.31,1344.15,2320.06,1886.57,1360.7,1482.63,1811.47,1201.1,1372.39,1304.37,1662.14,2041.23,1402.13,1002.01,1420.58,1246.55,1434.98,1706.13,1027.59,1388.57,1738.71,1502.38,1448.12,1765.21,1485.24,1293.68,345.28,1708.57,1178.31,1447.64,1245.83,2076.73,759.488,1093.43,1069.17,1149.95,1322.06,1552.61,1491.9,XR_430344.3,149096.98,542.6151082903873,1569.4418947368424,0.34573762183235895,96
38534,2862.29,3326.73,2702.8,3535.09,2845.87,4018.14,2815.1,4891.39,3399.08,2180.67,2969.27,3201.89,3428.47,3273.41,3504.12,3519.51,3291.25,3096.34,4441.93,4364.57,1397.6,3845.37,4351.92,2910.29,2827.11,4728.87,3264.01,3948.43,4460.15,3325.07,4150.78,3865.36,948.503,3338.82,3948.36,2898.65,3658.98,3162.64,2621.79,3610.58,3535.8,4740.97,3611.38,5008.6,3958.29,3304.67,3784.66,4292.89,3742.52,1922.74,4206.12,3905.75,2427.83,3145.47,2997.3,3870.46,3618.75,3813.27,3861.0,2543.55,2794.14,2807.38,3986.04,2619.29,3564.95,3931.56,3821.32,3722.71,2872.5,2167.63,4030.18,3297.36,3250.19,3095.82,3248.27,2960.92,4152.85,3160.91,3009.71,3438.45,2643.51,3009.47,1573.43,3836.19,3767.37,3778.17,1940.32,2425.37,2955.37,3992.71,2629.01,2740.99,3277.96,5165.36,3521.33,NR_126435.1,320411.96300000005,759.768034859477,3372.7575052631573,0.22526613125131761,96
156643,161.45,239.334,240.135,259.998,243.03599999999997,0.00619815,108.645,2.4617700000000003e-06,127.51899999999999,901.743,8.25535e-06,180.375,143.959,130.55,223.498,207.425,112.39399999999999,153.638,216.949,215.40900000000002,0.00153135,340.36300000000006,144.439,310.823,129.356,0.00208325,300.97700000000003,0.0641447,220.372,3.74236e-05,252.66,4.2866199999999995e-06,3.29876e-05,287.902,239.995,359.07199999999995,273.813,331.39,189.166,51.832,447.23,226.775,199.895,149.713,237.94400000000002,379.514,238.195,171.644,139.817,327.97900000000004,449.91,145.18200000000002,127.846,398.529,374.32800000000003,203.59,194.24599999999998,7.9058e-05,190.685,6.282200000000001e-06,406.135,135.86700000000002,231.295,250.27900000000002,297.70799999999997,157.259,422.42900000000003,146.048,648.659,1930.65,184.435,671.238,1.63754e-05,1.67156e-05,1.1978800000000001e-05,316.982,123.781,329.282,357.23199999999997,208.46900000000002,0.00019307799999999998,261.533,0.00821037,317.482,405.226,36.7736,0.000627081,0.00167706,579.776,0.000189614,443.19699999999995,468.77099999999996,1613.27,329.42400000000004,297.009,NR_145974.1,23471.53367047794,281.67013227698635,247.06877547871522,1.1400474695000542,96
88153,166.762,178.187,175.375,193.713,179.12900000000002,90.0516,177.94099999999997,192.84099999999998,183.628,161.411,190.799,174.167,169.265,172.063,167.076,176.368,155.763,166.61599999999999,198.34,201.183,188.18099999999998,192.78,193.885,177.42,177.542,188.88299999999998,183.982,202.65599999999998,200.68099999999998,192.949,198.65,146.914,51.8515,186.958,186.77700000000002,149.378,177.237,176.597,165.335,182.495,186.579,184.855,179.24,209.269,214.372,181.25099999999998,192.547,196.748,191.03,137.95600000000002,206.31599999999997,185.605,167.842,155.32399999999998,184.50799999999998,184.28400000000002,181.577,185.107,184.093,160.042,152.166,177.544,183.58599999999998,172.62099999999998,194.632,202.44799999999998,189.398,199.178,188.94799999999998,165.174,211.358,178.37900000000002,170.953,195.657,175.597,187.649,190.457,184.94400000000002,181.987,188.575,160.14700000000002,186.128,79.1242,195.31400000000002,200.22799999999998,192.233,114.35,154.619,187.18400000000003,184.544,174.176,166.38299999999998,185.92,211.37400000000002,191.264,NR_002728.3,16934.614299999994,25.195167707096513,178.25909789473678,0.14134015040272688,96
59994,383.37800000000004,431.478,400.949,466.105,418.73800000000006,199.52700000000002,444.653,427.94599999999997,462.158,407.462,408.50699999999995,424.833,418.29400000000004,392.87199999999996,393.88,432.457,439.49199999999996,365.73,474.42400000000004,474.477,498.36800000000005,471.735,453.389,424.63699999999994,411.278,557.435,425.514,996.763,465.04,447.267,457.16,421.746,120.26299999999999,404.42400000000004,377.35699999999997,394.64099999999996,410.403,415.13,381.881,437.899,413.224,428.961,396.57199999999995,457.38300000000004,497.595,403.077,452.476,475.01599999999996,488.705,335.004,508.287,459.977,387.60699999999997,350.48800000000006,432.371,431.923,451.225,427.711,467.639,427.85400000000004,364.08,446.186,442.504,399.30800000000005,452.805,480.11,447.41,502.84,415.236,278.064,489.36199999999997,374.31,357.87199999999996,450.407,434.103,445.219,437.778,419.92,411.301,440.452,368.17199999999997,414.98900000000003,413.089,484.76599999999996,482.704,445.907,348.126,467.413,472.29900000000004,326.855,402.952,399.87800000000004,422.464,475.626,445.064,NR_034022.1,40792.35599999999,82.94265429996172,429.3932210526315,0.19316246795101427,96
