,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D100376,92.14990399122557,0.8811192661711386,0.0005643048456857099,0.9598483422177146,0.008037069014311626,6.000527026525576
IDBD-D100377,82.9946074474319,10.116498064255234,0.0022585481437960757,0.5485199134807054,0.0034415971714987816,6.334674429516858
IDBD-D100378,91.64655346029751,2.64360547561013,0.011022827197707252,0.7749959182388009,0.005602579838834663,4.91821973881701
IDBD-D100379,59.63946874178377,34.36525662435134,0.012831890568201498,0.4768617682345203,0.0022253908118279524,5.503355584250335
IDBD-D100380,41.57087882355077,53.93213861283468,0.03277523098489101,0.2868908996604366,0.001890518748985718,4.175425914220239
IDBD-D100381,56.84379049183479,36.310997523462916,0.10198121222469912,0.4245990474428041,0.005058072780085984,6.313573652254706
IDBD-D100382,69.38061647456541,25.57270635289719,0.003781648030575885,0.5059457203574065,0.0028701738898729793,4.534079630259545
IDBD-D100383,0.29592023763766667,94.71923143490943,0.0062680790503367246,0.004102422524518137,0.0002641044543681204,4.974213721423678
IDBD-D100384,92.00356966047089,2.8026594664013276,0.01792080517216188,0.6659699040803483,0.00450778388675312,4.505372379988529
IDBD-D100386,20.23449851649731,75.04355765159625,0.002943988740759667,0.14336333049699349,0.000856433088220994,4.574780079580476
IDBD-D100387,18.219531498905667,76.2702142921134,0.010204668873327428,0.13369896108164744,0.001023433360842431,5.365327145665122
IDBD-D100388,3.197887468669092,91.94741944050575,0.05037343720821552,0.02884648770082983,0.0008820981925432674,4.774591067723558
IDBD-D100389,10.562795072018726,82.9069934934783,0.005619650431905663,0.1112303223418569,0.0008558663014109198,6.412505595427801
IDBD-D100390,32.5019516202023,61.96805507177146,0.028043496021226265,0.2165727198591184,0.0010520420547236113,5.284325050091174
IDBD-D100391,95.24366401361623,0.8740065080818263,0.0026462741161444453,0.6379798869147177,0.003452423846890435,3.2382508934242016
IDBD-D100392,82.5891153587794,12.789801169885726,0.0010622951450954081,0.5819717558958626,0.00308729526543353,4.034962125028487
IDBD-D100393,90.23464819836265,4.969321836259039,0.010765946879382638,0.5647895480678794,0.0039235895293750055,4.216550880901673
IDBD-D100394,38.64320151404879,56.718663542062984,0.053780488214790305,0.2388269835276447,0.00198475611268869,4.3435427160331
IDBD-D100395,20.623969878673737,73.82701270419936,0.0071082130663172585,0.1258882760232136,0.0010024403042242288,5.415018487733138
IDBD-D100396,17.006271186991274,77.93119732157619,0.012498262467957174,0.09229223091933354,0.000752289396156109,4.956988708649089
IDBD-D100397,42.51556917423964,50.22958400415396,0.003026041107515626,0.41674561036116475,0.0028525737828809725,6.832222596354835
IDBD-D100398,54.832947168821384,39.82653848117624,0.10596782627526721,0.365330408342562,0.0042915319052288904,4.864924583479318
IDBD-D100399,82.534905967301,10.859351555557714,0.0025055963173561103,0.7384516774384647,0.004040031271395899,5.860745172114073
IDBD-D100400,85.59208270199001,8.758671777150907,0.00021896300468446082,0.6028725251285313,0.006349927135849364,5.039804105590024
IDBD-D100401,38.18271524143802,54.700898399786624,0.007520039947815609,0.2651825984997414,0.001853380950311496,6.841830339377486
IDBD-D100402,9.807590569238517,84.113419948905,0.6434689946309275,0.10898788484359402,0.007608188200665846,5.318924414181286
IDBD-D100403,92.45373103744637,1.2154240440130994,0.002598241156582174,0.8040911426143245,0.006209980636653849,5.5179455541329725
