gene	mean	mean_nonzero	median	median_nonzero
WARS2-IT1	18.16725978647687	23.7995337995338	16.0	18.0
UGDH-AS1	349.29288843950116	506.77359413202936	446.0	511.0
LOC101926898	285.53555555555556	489.8005082592122	166.0	506.0
LOC100129434	290.23681453021305	485.65049678550554	292.0	516.0
IGFL4	254.2941176470588	384.64940239043824	86.0	498.0
FAM241A	183.65547263681592	418.6208762886598	0.0	478.0
LINC01873	105.62596783799881	132.05212211466866	116.0	137.0
KANTR	121.69661313404357	210.37658053875757	47.0	222.0
LINC00506	193.20209302325583	225.32384052074858	193.0	259.0
LINC00504	390.27761130136986	514.4968961625282	394.0	458.0
geo_mean	172.84892030785923	261.36920214320486	0.0	270.04675605763515
