accession	mean_geomean	mean_nonzero_geomean	median_geomean	median_nonzero_geomean
IDBD-D100464	7.137422844648689	12.840228088299906	0.0	12.977531357059041
IDBD-D100376	1149.27113147792	1610.9196699908928	445.4210511600465	1690.888964094369
IDBD-D100380	464.5431201265381	679.5417048590119	0.0	726.8378513064348
IDBD-D100381	669.7371017964107	979.4657191699248	0.0	1033.3784468183746
IDBD-D100382	750.3837699934785	1093.5963593570677	0.0	1164.9502508535866
IDBD-D100383	0.0	nan	0.0	nan
IDBD-D100384	1212.6231494845345	1712.5860151028044	473.60162933303207	1838.1913802431163
IDBD-D100386	214.3050454219341	331.84078506406587	0.0	341.9099255460874
IDBD-D100387	245.0506658107032	375.02850416278375	0.0	395.13697413034686
IDBD-D100388	33.35053787908198	52.90983542578743	0.0	53.478094355513534
IDBD-D100389	135.7945221850769	211.00861939737084	0.0	219.64903211985515
IDBD-D100390	412.8374248973872	618.0300016676243	0.0	635.009472887987
IDBD-D100391	1150.7690176779474	1653.3462918454716	433.4666508222149	1678.010407776021
IDBD-D100392	1035.8481740702666	1506.9647864406984	0.0	1512.1134305933722
IDBD-D100393	1136.9347737061428	1597.0428179195019	0.0	1621.6170820339519
IDBD-D100394	474.9419919695861	696.4869030255533	0.0	735.8127805512933
IDBD-D100395	223.96525003158885	341.55508856877645	0.0	352.31779336979804
IDBD-D100396	205.78422195294095	308.2418762904663	0.0	327.4940018991553
IDBD-D100411	495.2531853275362	739.3721610634778	0.0	775.7565632447928
IDBD-D100412	1774.3968386297888	2408.4767068036404	658.4360771928065	2492.557375153219
IDBD-D100413	6.236646188547053	10.853692317372179	0.0	10.710731249516703
IDBD-D100414	1624.5629365471154	2310.699615552885	602.9343454045502	2362.423379390275
IDBD-D100415	1577.519149371861	2180.763121347546	602.1483152464103	2281.2506508119495
IDBD-D100416	1338.3602985899597	1853.519861308306	500.5145736781613	1818.5458382478566
IDBD-D100417	509.22516718457933	739.2782464681718	0.0	771.781892286806
IDBD-D100418	5.945590557981931	10.12659332800409	0.0	9.666893042440126
IDBD-D100419	1474.8127954638999	2102.836763838339	555.8659524389234	2127.4041060046516
IDBD-D100420	0.0	nan	0.0	nan
IDBD-D100438	627.9553212358969	909.0449927212189	0.0	961.7827767421492
IDBD-D100439	48.20953666182148	75.84737865584586	0.0	78.6969539882553
IDBD-D100440	772.0445757800064	1094.0091453548764	0.0	1174.2589401396624
IDBD-D100441	75.73884333097706	117.90043637656437	0.0	122.11172873863529
IDBD-D100442	31.07725020209403	50.02567767874166	0.0	51.76913460515686
IDBD-D100443	543.0656369394028	826.1582277228139	0.0	889.4148626048315
IDBD-D100446	97.80061634898709	148.27857084766111	0.0	149.80874345372732
IDBD-D100447	76.31881880167595	117.21912204376035	0.0	115.83217080874815
IDBD-D100448	1235.719988606629	1713.823663651523	484.31513208728006	1804.5141109287065
IDBD-D100454	1769.6654870354287	2444.2370718115867	0.0	2556.511571050964
IDBD-D100455	330.42478281512973	504.56560047058315	0.0	515.3842746805427
IDBD-D100456	397.84325945551115	592.1956214854574	0.0	622.7078145194338
IDBD-D100457	141.75743370564103	219.70550226051833	0.0	227.14010496208275
IDBD-D100458	420.1480810870393	624.1736280305514	0.0	660.7610773472924
IDBD-D100459	464.2522579649389	695.6738608375497	0.0	723.5056940776711
IDBD-D100460	715.2434498280519	1024.1471349161586	0.0	1072.4420182021538
IDBD-D100397	465.09160416566357	678.6566691936356	0.0	725.3149958508483
IDBD-D100398	516.7159235846448	752.9322976744803	0.0	796.1296711675666
IDBD-D100399	867.1149324031527	1265.2449027172236	0.0	1322.790943234683
IDBD-D100400	1043.6148683893891	1483.3996738690178	0.0	1519.616880506961
IDBD-D100401	361.8391784325346	542.1870596012911	0.0	572.6077130721767
IDBD-D100402	85.49303220500654	134.39693491894639	0.0	139.5895914092357
IDBD-D100403	1034.2490032863122	1476.2650183494702	402.416163804369	1528.865062399166
IDBD-D100404	984.080964026471	1349.9305895760117	0.0	1441.6190199684138
IDBD-D100405	172.84892030785923	261.36920214320486	0.0	270.04675605763515
IDBD-D100406	75.79806288091305	118.8682112550181	0.0	125.94497626642676
IDBD-D100407	704.2822715493242	994.5317776896654	283.4742071579803	1024.1030573733697
IDBD-D100408	431.6976087507926	648.0535876153641	0.0	685.7537004231076
IDBD-D100409	867.0920278915079	1229.2352792450538	0.0	1271.7170192092178
IDBD-D100410	33.16441733852602	52.8090797963082	0.0	56.08352266487207
IDBD-D100444	936.5977022592298	1352.769332186507	374.0336726011383	1432.276729030716
IDBD-D100445	164.97062276424117	254.17144830919102	0.0	265.802634222645
IDBD-D100450	66.74994147571817	105.61695517156876	0.0	107.82279857410983
IDBD-D100451	400.81991381055735	589.5980187676355	0.0	617.4005907314246
IDBD-D100452	920.5766092547148	1337.1170277706228	0.0	1405.2008383622267
IDBD-D100453	533.0774220303367	777.5786421633509	0.0	826.6759410981141
IDBD-D100472	1110.7561626458214	1605.6291724953974	424.5810971346551	1600.2750749966867
IDBD-D100473	852.1823522376731	1217.9363837227097	338.1057622734114	1306.0399643071707
IDBD-D100474	511.3412686313121	773.8781879878371	0.0	814.1969967331582
IDBD-D100475	522.0320861968165	766.9239680455527	0.0	813.4639415850402
IDBD-D100476	643.9085400340065	946.6615817337123	0.0	990.6792209949219
IDBD-D100477	22.58440710370645	36.605097452121115	0.0	37.273877061590035
IDBD-D100478	757.4165149623152	1099.707655363355	302.1810897234455	1163.8498912790703
IDBD-D100479	147.014649150757	228.77776410561026	0.0	240.7322531721216
IDBD-D100480	86.20084582690683	134.4531927863816	0.0	139.47251683179164
IDBD-D100481	84.7333215632075	131.8989838507303	0.0	137.6518882134184
IDBD-D100482	107.78991224312567	167.92314263761463	0.0	174.33729764931286
IDBD-D100483	923.7944784892833	1343.64303958212	0.0	1408.9432182178057
IDBD-D100484	846.5043539940478	1209.396500412861	356.2655060604455	1323.2224484505657
IDBD-D100485	218.18523193604017	337.26271983546815	0.0	341.30639363194183
IDBD-D100486	96.18165891885856	151.47904176614907	0.0	152.61392711032417
IDBD-D100487	2170.6700422154804	2891.3551753312263	846.1487732639026	2308.634361919983
IDBD-D100488	23.386705062952764	38.171860702786105	0.0	39.20911903054257
IDBD-D100489	1001.6851487847929	1441.4691275133616	0.0	1530.3151168460327
IDBD-D100490	3.0312992733148514	5.74339965477157	0.0	5.327914491665778
IDBD-D100491	1220.8643224284824	1744.4104253912824	0.0	1859.7209302122033
IDBD-D100461	677.7916340224817	978.4661046966137	0.0	1011.9310820830659
IDBD-D100462	374.1778710459863	560.3827522716012	0.0	589.8462309091749
IDBD-D100463	11.218917141220302	18.67219244856612	0.0	17.045186103709177
IDBD-D100465	436.4789193287294	655.7822169091007	0.0	684.2642161030456
IDBD-D100466	21.00500635611787	34.29545074836406	0.0	36.23976035025446
IDBD-D100467	489.65985380146475	727.9882764935296	0.0	757.7618187841074
IDBD-D100468	267.9285331702455	413.9446251703121	0.0	430.53008319568914
IDBD-D100469	19.08208646145885	31.458551494669578	0.0	32.17608732223745
IDBD-D100470	626.1350431657567	923.3981736450892	0.0	945.3247716586723
IDBD-D100471	668.5114172808541	973.3629080618266	0.0	1042.9712346644253
