taxid,organism,percentage,stock copies,10x dil,100x dil,1000x dil,10000x dil,100000x dil
287,Pseudomonas aeruginosa,6.1,6.10E+08,6.10E+07,6.10E+06,6.10E+05,6.10E+04,6.10E+03
562,Escherichia coli,8.5,8.50E+08,8.50E+07,8.50E+06,8.50E+05,8.50E+04,8.50E+03
28901,Salmonella enterica,8.7,8.70E+08,8.70E+07,8.70E+06,8.70E+05,8.70E+04,8.70E+03
1613,Lactobacillus fermentum,21.6,2.16E+09,2.16E+08,2.16E+07,2.16E+06,2.16E+05,2.16E+04
1351,Enterococcus faecalis,14.6,1.46E+09,1.46E+08,1.46E+07,1.46E+06,1.46E+05,1.46E+04
1280,Staphylococcus aureus,15.2,1.52E+09,1.52E+08,1.52E+07,1.52E+06,1.52E+05,1.52E+04
1639,Listeria Monocytogenes,13.9,1.39E+09,1.39E+08,1.39E+07,1.39E+06,1.39E+05,1.39E+04
1423,Bacillus subtilis,10.3,1.03E+09,1.03E+08,1.03E+07,1.03E+06,1.03E+05,1.03E+04
4932,Saccharomyces cerevisiae,0.57,5.70E+07,5.70E+06,5.70E+05,5.70E+04,5.70E+03,5.70E+02
5207,Cryptococcus neoformans,0.57,5.70E+07,5.70E+06,5.70E+05,5.70E+04,5.70E+03,5.70E+02
