Species,Species taxid,16S gene count
Acaryochloris marina,155978,2.0
Acetoanaerobium sticklandii,1511,6.0
Acetobacter aceti,435,3.0
Acetobacter ascendens,481146,5.0
Acetobacter oryzifermentans,1633874,5.0
Acetobacter pasteurianus,438,5.0
Acetobacter persici,1076596,4.0
Acetobacter pomorum,65959,5.0
Acetobacter senegalensis,446692,5.0
Acetobacter sp. JWB,2259883,5.0
Acetobacter tropicalis,104102,5.0
Acetobacterium woodii,33952,5.0
Acetohalobium arabaticum,28187,5.0
Acetomicrobium mobile,97477,2.0
Acholeplasma axanthum,29552,2.0
Acholeplasma brassicae,61635,4.0
Acholeplasma granularum,264635,2.0
Acholeplasma laidlawii,2148,2.0
Acholeplasma oculi,35623,2.0
Acholeplasma palmae,38986,2.0
Achromobacter denitrificans,32002,3.5
Achromobacter insolitus,217204,4.0
Achromobacter sp. AONIH1,1758194,3.0
Achromobacter spanius,217203,3.5
Achromobacter xylosoxidans,85698,3.0
Acidaminococcus fermentans,905,6.0
Acidaminococcus intestini,187327,3.0
Acidianus brierleyi,41673,1.0
Acidianus hospitalis,563177,1.0
Acidianus manzaensis,282676,1.0
Acidianus sulfidivorans,312539,1.0
Acidiferrobacter sp. SPIII_3,1281578,1.0
Acidihalobacter prosperus,160660,1.0
Acidilobus saccharovorans,242703,1.0
Acidilobus sp. 7A,1577685,1.0
Acidimicrobium ferrooxidans,53635,2.0
Acidiphilium cryptum,524,2.0
Acidiphilium multivorum,62140,2.0
Acidipropionibacterium acidipropionici,1748,4.0
Acidipropionibacterium virtanenii,2057246,3.0
Acidisphaera sp. G45-3,1969806,1.0
Acidithiobacillus caldus,33059,2.0
Acidithiobacillus ferrivorans,160808,2.0
Acidithiobacillus ferrooxidans,920,2.0
Acidobacteria bacterium KBS 83,639033,1.0
Acidobacteria bacterium KBS 96,639034,2.0
Acidobacteriaceae bacterium SBC82,2211140,1.0
Acidobacterium capsulatum,33075,1.0
Acidothermus cellulolyticus,28049,1.0
Acidovorax avenae,80867,3.0
Acidovorax carolinensis,553814,4.0
Acidovorax citrulli,80869,3.0
Acidovorax ebreus,721785,3.0
Acidovorax sp. JS42,232721,3.0
Acidovorax sp. KKS102,358220,3.0
Acidovorax sp. RAC01,1842533,3.0
Acidovorax sp. T1,1858609,4.0
Aciduliprofundum boonei,379547,1.0
Aciduliprofundum sp. MAR08-339,673860,1.0
Acinetobacter baumannii,470,6.0
Acinetobacter baylyi,202950,7.0
Acinetobacter bereziniae,106648,7.0
Acinetobacter calcoaceticus,471,6.0
Acinetobacter defluvii,1871111,7.0
Acinetobacter equi,1324350,7.0
Acinetobacter haemolyticus,29430,6.0
Acinetobacter indicus,756892,7.0
Acinetobacter johnsonii,40214,7.0
Acinetobacter junii,40215,6.0
Acinetobacter lactucae,1785128,6.0
Acinetobacter larvae,1789224,7.0
Acinetobacter lwoffii,28090,6.0
Acinetobacter nosocomialis,106654,6.0
Acinetobacter oleivorans,1148157,6.0
Acinetobacter pittii,48296,6.0
Acinetobacter radioresistens,40216,7.0
Acinetobacter schindleri,108981,7.0
Acinetobacter soli,487316,7.0
Acinetobacter sp.,472,
Acinetobacter sp. ACNIH1,1636603,7.0
Acinetobacter sp. ACNIH2,1758189,7.0
Acinetobacter sp. ADP1,62977,7.0
Acinetobacter sp. LoGeW2-3,1808001,7.0
Acinetobacter sp. NCu2D-2,1608473,7.0
Acinetobacter sp. SWBY1,2079596,7.0
Acinetobacter sp. TGL-Y2,1407071,7.0
Acinetobacter sp. TTH0-4,1646498,7.0
Acinetobacter sp. WCHA45,2004644,6.0
Acinetobacter tandoii,202954,6.0
Acinetobacter tjernbergiae,202955,6.0
Acinetobacter towneri,202956,6.5
