id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
11279	species	Bacteroidetes bacterium Omega	1	3	3	3	3	3.00	0.00	[3]
11280	species	beta proteobacterium CB	1	1	1	1	1	1.00	0.00	[1]
11281	species	Pantoea sp. PSNIH1	1	7	7	7	7	7.00	0.00	[7]
11282	species	Spirochaeta aurantia	2	2	3		2.5	2.50	0.50	[3, 2]
11283	species	Lactobacillus paraplantarum	1	1	1	1	1	1.00	0.00	[1]
11284	species	Lactobacillus koreensis	1	6	6	6	6	6.00	0.00	[6]
11285	species	Helicobacter sp. MIT 01-6242	1	2	2	2	2	2.00	0.00	[2]
11286	species	Campylobacter iguaniorum	3	3	3	3	3	3.00	0.00	[3, 3, 3]
11287	species	Actinobacteria bacterium IMCC19121	1	1	1	1	1	1.00	0.00	[1]
11288	species	Clavibacter insidiosus	3	2	2	2	2	2.00	0.00	[2, 2, 2]
11289	species	Methanosarcina mazei	6	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3]
11290	species	Bacillus flexus	1	12	12	12	12	12.00	0.00	[12]
11291	species	Dietzia psychralcaliphila	1	3	3	3	3	3.00	0.00	[3]
11292	species	Vibrio parahaemolyticus	23	8	14	12	12	11.30	1.37	[11, 11, 12, 11, 8, 10, 10, 12, 12, 14, 11, 13, 9, 12, 12, 12, 12, 13, 9, 12, 12, 11, 11]
11293	species	Celeribacter manganoxidans	1	2	2	2	2	2.00	0.00	[2]
11294	species	Proteiniphilum saccharofermentans	1	2	2	2	2	2.00	0.00	[2]
11295	species	Cardinium endosymbiont of Encarsia pergandiella	1	1	1	1	1	1.00	0.00	[1]
11296	species	Sphingopyxis granuli	1	1	1	1	1	1.00	0.00	[1]
11297	species	Anoxybacillus gonensis	1	8	8	8	8	8.00	0.00	[8]
11298	species	Nocardioides dokdonensis	1	3	3	3	3	3.00	0.00	[3]
11299	species	Mycolicibacterium litorale	1	2	2	2	2	2.00	0.00	[2]
11300	species	Aeribacillus pallidus	1	7	7	7	7	7.00	0.00	[7]
11301	species	Campylobacter avium	1	2	2	2	2	2.00	0.00	[2]
11302	species	Synechococcus elongatus	2	2	2	2	2.0	2.00	0.00	[2, 2]
11303	species	Clostridioides difficile	48	10	12	12	12.0	11.92	0.34	[11, 10, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]
11304	species	Ralstonia solanacearum	43	2	4	4	4	3.53	0.54	[4, 3, 3, 3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4]
11305	species	Mesorhizobium opportunistum	1	2	2	2	2	2.00	0.00	[2]
