Genus,Genus taxid,16S gene count
Acaryochloris,155977,2.0
Acetoanaerobium,186831,6.0
Acetobacter,434,5.0
Acetobacterium,33951,5.0
Acetohalobium,28186,5.0
Acetomicrobium,49894,2.0
Acholeplasma,2147,2.0
Achromobacter,222,3.0
Acidaminococcus,904,4.5
Acidianus,12914,1.0
Acidiferrobacter,986106,1.0
Acidihalobacter,1765964,1.0
Acidilobus,105850,1.0
Acidimicrobium,53634,2.0
Acidiphilium,522,2.0
Acidipropionibacterium,1912215,4.0
Acidisphaera,50714,1.0
Acidithiobacillus,119977,2.0
Acidobacterium,33973,1.0
Acidothermus,28048,1.0
Acidovorax,12916,3.0
Aciduliprofundum,379546,1.0
Acinetobacter,469,6.0
Actinoalloteichus,65496,3.0
Actinobacillus,713,6.0
Actinomyces,1654,3.0
Actinoplanes,1865,6.0
Actinopolyspora,1849,5.0
Actinosynnema,40566,5.0
Actinotignum,1653174,2.5
Adlercreutzia,447020,2.0
Advenella,290425,2.0
Aequorivita,153265,2.0
Aeribacillus,1055323,7.0
Aerococcus,1375,4.0
Aeromicrobium,2040,2.0
Aeromonas,642,10.0
Agarilytica,2036021,3.0
Agarivorans,261825,7.0
Aggregatibacter,416916,6.0
Agrobacterium,357,4.0
Agromyces,33877,2.5
Ahniella,2233801,2.0
Akkermansia,239934,3.0
Alcaligenes,507,3.0
Alcanivorax,59753,2.0
Algibacter,261827,2.0
Algoriphagus,246875,3.0
Alicycliphilus,201096,3.0
Alicyclobacillus,29330,6.0
Aliiarcobacter,2321111,5.0
Aliivibrio,511678,12.0
Alistipes,239759,2.0
Alkalilimnicola,133193,2.0
Alkaliphilus,114627,9.0
Alkalitalea,1193324,4.0
Alloactinosynnema,674734,3.0
Allochromatium,85072,3.0
Allofrancisella,1869285,3.0
Altererythrobacter,361177,1.0
Alteromonas,226,5.0
Aminobacter,31988,2.0
Aminobacterium,81466,3.0
Ammonifex,42837,2.0
Amphibacillus,29331,6.0
Amycolatopsis,1813,4.0
Anabaena,1163,5.0
Anabaenopsis,110103,4.0
Anaerococcus,165779,3.5
Anaerolinea,233189,2.0
Anaeromyxobacter,161492,2.0
Anaerostipes,207244,9.0
Anaerotignum,2039240,7.0
Anaplasma,768,1.0
Anderseniella,444432,1.0
Aneurinibacillus,55079,14.0
Anoxybacillus,150247,9.0
Antarctobacter,74032,2.0
Aphanizomenon,1175,5.0
Aquabacterium,92793,4.0
Aquaspirillum,187,5.0
Aquifex,2713,4.0
Aquimarina,290174,3.0
Arachidicoccus,1769012,1.0
Arcanobacterium,28263,4.0
Archaeoglobus,2233,1.0
Archangium,47,3.0
Arcobacter,28196,4.0
Arcticibacterium,2173039,2.0
Arenibacter,178469,3.0
Aromatoleum,551759,4.0
Arsenicicoccus,267408,2.0
Arsenophonus,637,1.0
Arthrobacter,1663,6.0
Arthrospira,35823,2.0
Asaia,91914,5.0
Asticcacaulis,76890,3.0
Atopobium,1380,1.0
Aurantimicrobium,1705353,1.0
Aureimonas,414371,1.0
Aureitalea,1176327,2.0
Auricoccus,2005363,4.0
Auritidibacter,1160973,2.0
Austwickia,1184606,2.0
Azoarcus,12960,4.0
Azorhizobium,6,3.0
Azospira,146937,2.0
Azospirillum,191,9.0
Azotobacter,352,6.0
Bacillus,1386,10.0
Bacterioplanes,1537406,4.0
Bacteriovorax,146784,2.0
Bacteroides,816,5.5
Barnesiella,397864,5.0
Bartonella,773,2.0
Basfia,697331,6.0
Basilea,1472344,3.0
Bdellovibrio,958,1.5
Beggiatoa,1021,2.0
Beijerinckia,532,3.0
Belliella,232244,4.0
Bernardetia,1937972,3.0
Beutenbergia,84756,2.0
Bibersteinia,476528,6.0
Bifidobacterium,1678,3.0
Blastochloris,59282,3.0
Blastococcus,38501,3.0
Blastomonas,150203,2.0
Blastopirellula,265487,2.0
Blattabacterium,34098,1.0
Blautia,572511,5.0
Bordetella,517,3.0
Borrelia,138,1.0
Borreliella,64895,1.0
Bosea,85413,2.0
Brachybacterium,43668,3.0
Brachyspira,29521,1.0
Bradymonas,1779136,5.0
Bradyrhizobium,374,1.0
Brenneria,71655,7.0
Breoghania,1406135,2.0
Brevefilum,2019482,1.0
Brevibacillus,55080,14.0
Brevibacterium,1696,4.0
Brevundimonas,41275,2.0
Brochothrix,2755,9.0
Brucella,234,3.0
Buchnera,32199,1.0
Burkholderia,32008,4.0
Butyrivibrio,830,5.0
Caldanaerobacter,249529,4.0
Caldicellulosiruptor,44000,3.0
Caldilinea,233191,2.0
Caldimicrobium,444090,1.0
Caldisericum,693074,1.0
Caldisphaera,200414,1.0
Calditerrivibrio,545865,2.0
Caldithrix,187144,1.0
Caldivirga,76886,1.0
Calothrix,1186,4.0
Campylobacter,194,3.0
Candidatus Accumulibacter,327159,2.0
Candidatus Amoebophilus,281119,1.0
Candidatus Arthromitus,49082,5.0
Candidatus Atelocyanobacterium,1453359,2.0
Candidatus Azobacteroides,511434,2.0
Candidatus Babela,1551504,1.0
Candidatus Bipolaricaulis,2250122,1.0
Candidatus Blochmannia,203804,1.0
Candidatus Cardinium,273135,1.0
Candidatus Carsonella,114185,1.0
Candidatus Cloacimonas,456826,2.0
Candidatus Desulforudis,471826,2.0
Candidatus Doolittlea,1906657,1.0
Candidatus Endolissoclinum,1263978,1.0
Candidatus Evansia,1495768,1.0
Candidatus Fokinia,1802983,1.0
Candidatus Fonsibacter,2045213,1.0
Candidatus Gullanella,1906661,1.0
Candidatus Hamiltonella,568987,3.0
Candidatus Hoaglandella,1906659,1.0
Candidatus Ishikawaella,409304,3.0
Candidatus Izimaplasma,1912503,1.0
Candidatus Kinetoplastibacterium,33055,3.0
Candidatus Korarchaeum,498845,1.0
Candidatus Koribacter,658061,1.0
Candidatus Kuenenia,380738,1.0
Candidatus Methanomethylophilus,1291539,1.0
Candidatus Methanoplasma,1607807,1.0
Candidatus Methylopumilus,1679002,1.5
Candidatus Midichloria,411566,1.0
Candidatus Mikella,1906660,1.0
Candidatus Moranella,1048757,1.0
Candidatus Nanopelagicus,2039639,1.0
Candidatus Nasuia,1301080,1.0
Candidatus Nitrosocaldus,498374,1.0
Candidatus Nitrosocosmicus,1826864,2.0
Candidatus Nitrosoglobus,1980513,2.0
Candidatus Nitrosomarinus,1993653,1.0
Candidatus Nitrosopelagicus,1593364,1.0
Candidatus Nitrosotalea,1078904,1.0
Candidatus Nitrosotenuis,1825023,1.0
Candidatus Nucleicultrix,1509243,2.0
Candidatus Paracaedibacter,1521255,2.0
Candidatus Pelagibacter,198251,1.0
Candidatus Phycorickettsia,2115980,1.0
Candidatus Phytoplasma,33926,2.0
Candidatus Planktophila,622681,1.0
Candidatus Portiera,235572,1.0
Candidatus Profftella,1381133,1.0
Candidatus Promineofilum,1988031,1.0
Candidatus Protochlamydia,282132,4.0
Candidatus Puniceispirillum,767891,1.0
Candidatus Purcelliella,472825,1.0
Candidatus Riesia,401618,2.0
Candidatus Ruthia,1541743,1.0
Candidatus Solibacter,332162,2.0
Candidatus Sulcia,336809,1.0
Candidatus Symbiobacter,1436289,2.0
Candidatus Tachikawaea,1682492,3.0
Candidatus Thioglobus,655184,1.0
Candidatus Tremblaya,189384,2.0
Candidatus Vidania,1191175,1.0
Candidatus Walczuchella,1940138,1.0
Candidatus Xiphinematobacter,134550,1.0
Capnocytophaga,1016,4.0
Carboxydocella,178898,5.0
Carboxydothermus,129957,4.0
Carnobacterium,2747,8.0
Castellaniella,359336,2.0
Catenovulum,1172191,7.0
Catenulispora,414878,3.0
Caulobacter,75,2.0
Cedecea,158483,7.0
Celeribacter,875170,2.0
Cellulomonas,1707,2.0
Cellulophaga,104264,4.0
Cellulosilyticum,698776,11.0
Cellulosimicrobium,157920,3.0
Cellvibrio,10,3.0
Chania,1745211,7.0
Chelativorans,449972,2.0
Chelatococcus,28209,2.0
Chitinophaga,79328,5.0
Chlamydia,810,2.0
Chloracidobacterium,458032,1.0
Chlorobaculum,256319,2.0
Chlorobium,1091,2.0
Chloroflexus,1107,3.0
Chloroherpeton,100715,1.0
Chondrocystis,268175,3.0
Chondromyces,50,3.0
Christensenella,990721,3.0
Chromobacterium,535,8.0
Chromohalobacter,42054,5.0
Chroococcidiopsis,54298,3.0
Chryseobacterium,59732,6.0
Chthoniobacter,295577,1.0
Citrobacter,544,8.0
Citromicrobium,72173,1.0
Clavibacter,1573,2.0
Cloacibacillus,508459,5.0
Clostridioides,1870884,12.0
Clostridium,1485,9.0
Cnuibacter,1759331,2.0
Cobetia,204286,7.0
Collimonas,202907,3.0
Collinsella,102106,5.0
Colwellia,28228,6.0
Comamonas,283,4.0
Conexibacter,191494,1.0
Confluentimicrobium,1609958,2.0
Coprothermobacter,68335,2.0
Coraliomargarita,442430,2.0
