code	name	preferred name	taxid
1	Escherichia coli	 	562
1	Chlamydia trachomatis	 	813
1	Pseudomonas aeruginosa	 	287
1	Staphylococcus aureus	 	1280
1	Klebsiella pneumoniae	 	573
1	Proteus mirabilis	 	584
1	Neisseria gonorrhoeae	 	485
1	Enterococcus faecalis	 	1351
1	Ureaplasma urealyticum	 	2130
1	Mycoplasma genitalium	 	2097
1	Haemophilus influenzae	 	727
1	Mycoplasma hominis	 	2098
1	Staphylococcus saprophyticus	 	29385
1	Staphylococcus epidermidis	 	1282
1	Serratia marcescens	 	615
1	Acinetobacter baumannii	 	470
1	Enterobacter cloacae	 	550
1	Streptococcus agalactiae	 	1311
1	Mycobacterium tuberculosis	 	1773
1	Enterococcus faecium	 	1352
1	Gardnerella vaginalis	 	2702
1	Citrobacter freundii	 	546
1	Proteus vulgaris	 	585
1	Bacteroides fragilis	 	817
1	Klebsiella oxytoca	 	571
1	Ureaplasma parvum	 	134821
1	Morganella morganii	 	582
1	Corynebacterium urealyticum	 	43771
1	Haemophilus parainfluenzae	 	729
1	Providencia stuartii	 	588
1	Aerococcus urinae	 	1376
1	Moraxella catarrhalis	 	480
1	Salmonella enterica	 	28901
1	Listeria monocytogenes	 	1639
1	Stenotrophomonas maltophilia	 	40324
1	Treponema pallidum	 	160
1	Corynebacterium renale	 	1724
1	Staphylococcus haemolyticus	 	1283
1	Burkholderia cepacia	 	292
1	Pasteurella multocida	 	747
1	Acinetobacter calcoaceticus	 	471
1	Providencia rettgeri	 	587
1	Yersinia enterocolitica	 	630
1	Campylobacter jejuni	 	197
1	Haemophilus ducreyi	[Haemophilus] ducreyi	730
1	Streptococcus anginosus	 	1328
1	Citrobacter koseri	 	545
1	Enterobacter aerogenes	Klebsiella aerogenes	548
1	Vibrio cholerae	 	666
1	Aerococcus sanguinicola	 	119206
1	Proteus penneri	 	102862
1	Shigella flexneri	 	623
1	Kluyvera ascorbata	 	51288
1	Shigella sonnei	 	624
1	Actinobaculum schaalii	Actinotignum schaalii	59505
1	Aerococcus viridans	 	1377
1	Chromobacterium violaceum	 	536
1	Fusobacterium nucleatum	 	851
1	Hafnia alvei	 	569
1	Mycobacterium avium	 	1764
1	Aeromonas hydrophila	 	644
1	Enterococcus gallinarum	 	1353
1	Pseudomonas putida	 	303
1	Staphylococcus intermedius	 	1285
1	Chryseobacterium indologenes	 	253
1	Corynebacterium riegelii	 	156976
1	Corynebacterium glucuronolyticum	 	39791
1	Fusobacterium necrophorum	 	859
1	Staphylococcus lugdunensis	 	28035
1	Streptococcus intermedius	 	1338
1	Yersinia pseudotuberculosis	 	633
1	Corynebacterium jeikeium	 	38289
1	Streptococcus constellatus	 	76860
1	Corynebacterium genitalium	 	38288
1	Mycobacterium kansasii	 	1768
1	Oligella urethralis	 	90245
1	Staphylococcus warneri	 	1292
1	Staphylococcus hominis	 	1290
1	Staphylococcus simulans	 	1286
1	Mycobacterium gordonae	 	1778
1	Mycobacterium xenopi	 	1789
1	Streptococcus pneumoniae	 	1313
1	Mycobacterium marinum	 	1781
1	Mycobacterium simiae	 	1784
1	Mycobacterium szulgai	 	1787
1	Mycobacterium chelonae	Mycobacteroides chelonae	1774
1	Mycobacterium intracellulare	 	1767
1	Mycobacterium scrofulaceum	 	1783
