,Accession,IDBD #,Detected Organism,log(Genomic Equivalents)/ml,log(cfu/ml),Plate count log(cfu)/ml
0,IDBD-D100387,IDbyDNA-5381,Escherichia coli,8.237857220886882,5.0,6.041392685158225
1,IDBD-D100388,IDbyDNA-5382,Escherichia coli,8.064066086668845,5.0,5.698970004336019
2,IDBD-D100389,IDbyDNA-5383,Escherichia coli,7.94911900578648,5.0,6.146128035678238
3,IDBD-D100390,IDbyDNA-5384,Escherichia coli,8.186027755530702,5.0,6.342422680822207
4,IDBD-D100391,IDbyDNA-5385,Escherichia coli,8.260199113498828,5.0,5.6020599913279625
5,IDBD-D100392,IDbyDNA-5386,Escherichia coli,9.052796248777957,5.0,6.079181246047625
6,IDBD-D100393,IDbyDNA-5387,Escherichia coli,7.7792004689758905,5.0,5.6020599913279625
7,IDBD-D100394,IDbyDNA-5388,Escherichia coli,7.838713139986359,5.0,6.079181246047625
8,IDBD-D100395,IDbyDNA-5389,Escherichia coli,8.092175532225342,5.0,6.176091259055681
9,IDBD-D100396,IDbyDNA-5390,Escherichia coli,8.375890983539094,5.0,6.176091259055681
10,IDBD-D100376,IDbyDNA-5391,Escherichia coli,7.98092137405224,5.0,5.511883360978874
11,IDBD-D100377,IDbyDNA-5392,Escherichia coli,8.812100445106326,5.0,5.954242509439325
12,IDBD-D100378,IDbyDNA-5393,Escherichia coli,7.499479399774799,5.0,5.628388930050312
13,IDBD-D100379,IDbyDNA-5394,Escherichia coli,7.809097194303635,5.0,5.698970004336019
14,IDBD-D100380,IDbyDNA-5395,Escherichia coli,8.073477316298433,5.0,5.954242509439325
15,IDBD-D100381,IDbyDNA-5396,Escherichia coli,6.508076242446343,5.0,5.021189299069938
16,IDBD-D100382,IDbyDNA-5397,Escherichia coli,8.502896332202912,5.0,6.041392685158225
17,IDBD-D100383,IDbyDNA-5398,Escherichia coli,7.984160709576242,5.0,5.845098040014257
18,IDBD-D100384,IDbyDNA-5399,Escherichia coli,5.736682798897181,5.0,5.0
19,IDBD-D100386,IDbyDNA-5400,Escherichia coli,8.386945939630888,5.0,6.041392685158225
20,IDBD-D100397,IDbyDNA-5401,Escherichia coli,7.7637865106704425,5.0,6.230448921378274
21,IDBD-D100398,IDbyDNA-5402,Escherichia coli,8.274539044979772,5.0,5.845098040014257
22,IDBD-D100399,IDbyDNA-5403,Escherichia coli,8.599668425547348,5.0,5.698970004336019
23,IDBD-D100400,IDbyDNA-5404,Escherichia coli,8.103439611657155,5.0,6.342422680822207
24,IDBD-D100401,IDbyDNA-5405,Escherichia coli,7.8671341443197935,5.0,5.698970004336019
25,IDBD-D100402,IDbyDNA-5406,Escherichia coli,6.794303175089237,5.0,5.477121254719663
26,IDBD-D100403,IDbyDNA-5407,Escherichia coli,7.5316625077090205,5.0,5.6020599913279625
27,IDBD-D100404,IDbyDNA-5408,Escherichia coli,7.342928685193984,5.0,5.698970004336019
28,IDBD-D100405,IDbyDNA-5409,Escherichia coli,7.910459335668314,5.0,5.380211241711606
29,IDBD-D100406,IDbyDNA-5410,Escherichia coli,7.905684369996313,5.0,5.3979400086720375
30,IDBD-D100407,IDbyDNA-5411,Escherichia coli,8.597603175879371,5.0,5.6020599913279625
31,IDBD-D100408,IDbyDNA-5412,Escherichia coli,8.119468280976696,5.0,5.477121254719663
32,IDBD-D100409,IDbyDNA-5413,Escherichia coli,8.300060252768706,5.0,
33,IDBD-D100410,IDbyDNA-5414,Escherichia coli,8.363739545760811,5.0,6.3222192947339195
34,IDBD-D100411,IDbyDNA-5415,Escherichia coli,8.72295328195965,5.0,5.845098040014257
35,IDBD-D100412,IDbyDNA-5416,Escherichia coli,8.997237721678784,5.0,6.079181246047625
36,IDBD-D100413,IDbyDNA-5417,Escherichia coli,5.831662352929273,4.301029995663981,4.301029995663981
37,IDBD-D100414,IDbyDNA-5418,Escherichia coli,,4.301029995663981,4.176091259055681
38,IDBD-D100450,IDbyDNA-5419,Escherichia coli,6.201730957434402,4.301029995663981,4.3979400086720375
39,IDBD-D100451,IDbyDNA-5420,Escherichia coli,5.55591863103307,4.301029995663981,4.301029995663981
40,IDBD-D100415,IDbyDNA-5421,Escherichia coli,,4.477121254719663,4.653212513775344
41,IDBD-D100452,IDbyDNA-5422,Escherichia coli,5.862851597171524,4.477121254719663,4.903089986991944
42,IDBD-D100416,IDbyDNA-5423,Escherichia coli,,4.6020599913279625,4.812913356642856
43,IDBD-D100417,IDbyDNA-5424,Escherichia coli,5.653651368327935,4.698970004336019,5.45484486000851
44,IDBD-D100418,IDbyDNA-5425,Escherichia coli,6.4137407929465144,4.698970004336019,5.176091259055681
45,IDBD-D100453,IDbyDNA-5426,Escherichia coli,7.1084734910899545,4.698970004336019,5.342422680822207
46,IDBD-D100419,IDbyDNA-5427,Escherichia coli,7.334134019258553,4.903089986991944,5.6020599913279625
47,IDBD-D100447,IDbyDNA-5435,Aerococcus urinae,5.640596935659731,4.698970004336019,4.740362689494244
48,IDBD-D100448,IDbyDNA-5436,Enterococcus species,6.919744509953553,4.698970004336019,
49,IDBD-D100454,IDbyDNA-5437,Enterococcus faecalis,6.667112593079398,4.301029995663981,
50,IDBD-D100455,IDbyDNA-5438,Escherichia coli,8.324726076949176,5.0,6.146128035678238
51,IDBD-D100456,IDbyDNA-5439,Escherichia coli,8.00653409323025,5.0,6.0
52,IDBD-D100457,IDbyDNA-5440,Escherichia coli,7.828250619552772,5.0,6.113943352306837
53,IDBD-D100460,IDbyDNA-5441,Escherichia coli,8.092603704184466,5.0,6.2552725051033065
54,IDBD-D100458,IDbyDNA-5442,Escherichia coli,8.039410917752523,5.0,6.041392685158225
55,IDBD-D100459,IDbyDNA-5443,Escherichia coli,8.443055147966419,5.0,6.146128035678238
56,IDBD-D100446,IDbyDNA-5444,Escherichia coli,8.755381593419052,5.0,5.301029995663981
57,IDBD-D100438,IDbyDNA-5445,Klebsiella pneumoniae,8.537380849486295,4.698970004336019,5.060697840353612
58,IDBD-D100439,IDbyDNA-5446,Klebsiella pneumoniae,6.942452161009918,4.698970004336019,5.311753861055754
59,IDBD-D100440,IDbyDNA-5447,Coagulase negative,,4.0,4.778151250383644
60,IDBD-D100441,IDbyDNA-5448,Beta Hemolytic,,4.301029995663981,
61,IDBD-D100442,IDbyDNA-5449,Streptococcus dysgalactiae,5.157073137874407,4.477121254719663,
62,IDBD-D100443,IDbyDNA-5450,Beta Hemolytic,7.229009550492055,4.698970004336019,4.8750612633917
63,IDBD-D100444,IDbyDNA-5451,Beta Hemolytic,6.407975055949045,4.698970004336019,4.903089986991944
64,IDBD-D100445,IDbyDNA-5452,Beta Hemolytic,6.666623465687179,4.698970004336019,4.903089986991944
65,IDBD-D100461,IDbyDNA-5453,Escherichia coli,7.761699756834971,5.0,6.079181246047625
66,IDBD-D100462,IDbyDNA-5454,Escherichia coli,8.239422299163916,5.0,6.113943352306837
67,IDBD-D100463,IDbyDNA-5455,Escherichia coli,7.922706805909594,5.0,5.6020599913279625
68,IDBD-D100464,IDbyDNA-5456,Escherichia coli,7.704101787869925,5.0,6.041392685158225
69,IDBD-D100465,IDbyDNA-5457,Escherichia coli,8.489160848601447,5.0,6.041392685158225
70,IDBD-D100466,IDbyDNA-5458,Escherichia coli,7.972634746249151,5.0,6.278753600952829
71,IDBD-D100467,IDbyDNA-5459,Escherichia coli,8.400968306329393,5.0,6.146128035678238
72,IDBD-D100468,IDbyDNA-5460,Escherichia coli,7.927637735365025,5.0,5.6020599913279625
73,IDBD-D100469,IDbyDNA-5461,Escherichia coli,8.523852835733337,5.0,6.204119982655925
74,IDBD-D100470,IDbyDNA-5462,Escherichia coli,8.16880982121593,5.0,6.2552725051033065
75,IDBD-D100471,IDbyDNA-5463,Escherichia coli,8.516371863564972,5.0,6.3222192947339195
76,IDBD-D100472,IDbyDNA-5464,Escherichia coli,7.980576846344633,5.0,5.778151250383644
77,IDBD-D100473,IDbyDNA-5465,Escherichia coli,7.799394298407751,5.0,6.301029995663981
78,IDBD-D100474,IDbyDNA-5466,Escherichia coli,8.368682860570463,5.0,6.3222192947339195
79,IDBD-D100475,IDbyDNA-5467,Escherichia coli,8.486329198349829,5.0,6.342422680822207
80,IDBD-D100476,IDbyDNA-5468,Escherichia coli,8.532861121338188,5.0,5.954242509439325
81,IDBD-D100477,IDbyDNA-5469,Escherichia coli,6.818070932678059,5.0,5.477121254719663
82,IDBD-D100478,IDbyDNA-5470,Escherichia coli,8.012941825206386,5.0,6.041392685158225
83,IDBD-D100479,IDbyDNA-5471,Escherichia coli,8.235062142364033,5.0,6.079181246047625
84,IDBD-D100480,IDbyDNA-5472,Escherichia coli,7.889651761387318,5.0,5.6020599913279625
85,IDBD-D100481,IDbyDNA-5473,Escherichia coli,8.04106823396175,5.0,6.079181246047625
86,IDBD-D100482,IDbyDNA-5474,Escherichia coli,8.171431943239675,5.0,5.6020599913279625
87,IDBD-D100483,IDbyDNA-5475,Escherichia coli,8.150808296677141,5.0,5.698970004336019
88,IDBD-D100484,IDbyDNA-5476,Escherichia coli,8.121809553518702,5.0,5.903089986991944
89,IDBD-D100485,IDbyDNA-5477,Escherichia coli,8.01604499345631,5.0,5.954242509439325
90,IDBD-D100491,IDbyDNA-5479,Escherichia coli,7.850348418144147,5.0,6.176091259055681
91,IDBD-D100490,IDbyDNA-5480,Escherichia coli,8.241234143698398,5.0,5.6020599913279625
92,IDBD-D100489,IDbyDNA-5481,Escherichia coli,8.09575701409437,5.0,5.698970004336019
93,IDBD-D100488,IDbyDNA-5482,Escherichia coli,7.462969266956781,5.0,5.778151250383644
94,IDBD-D100487,IDbyDNA-5483,Escherichia coli,7.046597260982713,5.0,5.469822015978163
95,IDBD-D100486,IDbyDNA-5484,Escherichia coli,8.270300935626704,5.0,5.778151250383644
