,Accession,IDBD #,Detected Organism,log(Genomic Equivalents)/ml,log(cfu/ml),Plate count log(cfu)/ml
0,IDBD-D100387,IDbyDNA-5381,Escherichia coli,9.025554822072143,5.0,6.041392685158225
1,IDBD-D100388,IDbyDNA-5382,Escherichia coli,8.230548001858736,5.0,5.698970004336019
2,IDBD-D100389,IDbyDNA-5383,Escherichia coli,9.333081886425344,5.0,6.146128035678238
3,IDBD-D100390,IDbyDNA-5384,Escherichia coli,9.054023411743156,5.0,6.342422680822207
4,IDBD-D100391,IDbyDNA-5385,Escherichia coli,8.135537815229414,5.0,5.6020599913279625
5,IDBD-D100392,IDbyDNA-5386,Escherichia coli,9.971747244314576,5.0,6.079181246047625
6,IDBD-D100393,IDbyDNA-5387,Escherichia coli,7.90956225037727,5.0,5.6020599913279625
7,IDBD-D100394,IDbyDNA-5388,Escherichia coli,7.7828094194147575,5.0,6.079181246047625
8,IDBD-D100395,IDbyDNA-5389,Escherichia coli,9.125365321879059,5.0,6.176091259055681
9,IDBD-D100396,IDbyDNA-5390,Escherichia coli,8.823385960306528,5.0,6.176091259055681
10,IDBD-D100376,IDbyDNA-5391,Escherichia coli,8.153560766962496,5.0,5.511883360978874
11,IDBD-D100377,IDbyDNA-5392,Escherichia coli,9.256716276594387,5.0,5.954242509439325
12,IDBD-D100378,IDbyDNA-5393,Escherichia coli,7.396635990687166,5.0,5.628388930050312
13,IDBD-D100379,IDbyDNA-5394,Escherichia coli,8.49668734478632,5.0,5.698970004336019
14,IDBD-D100380,IDbyDNA-5395,Escherichia coli,8.61248623201435,5.0,5.954242509439325
15,IDBD-D100381,IDbyDNA-5396,Escherichia coli,6.541101664668696,5.0,5.021189299069938
16,IDBD-D100382,IDbyDNA-5397,Escherichia coli,9.431302493896634,5.0,6.041392685158225
17,IDBD-D100383,IDbyDNA-5398,Escherichia coli,9.09412461907205,5.0,5.845098040014257
18,IDBD-D100384,IDbyDNA-5399,Escherichia coli,5.882993817636171,5.0,5.0
19,IDBD-D100386,IDbyDNA-5400,Escherichia coli,10.069135674389715,5.0,6.041392685158225
20,IDBD-D100397,IDbyDNA-5401,Escherichia coli,9.86852343461751,5.0,6.230448921378274
21,IDBD-D100398,IDbyDNA-5402,Escherichia coli,8.716199683950203,5.0,5.845098040014257
22,IDBD-D100399,IDbyDNA-5403,Escherichia coli,9.086336315691991,5.0,5.698970004336019
23,IDBD-D100400,IDbyDNA-5404,Escherichia coli,10.64564424183913,5.0,6.342422680822207
24,IDBD-D100401,IDbyDNA-5405,Escherichia coli,8.998541470790277,5.0,5.698970004336019
25,IDBD-D100402,IDbyDNA-5406,Escherichia coli,6.782634180120685,5.0,5.477121254719663
26,IDBD-D100403,IDbyDNA-5407,Escherichia coli,7.636444336219665,5.0,5.6020599913279625
27,IDBD-D100404,IDbyDNA-5408,Escherichia coli,7.35576210313072,5.0,5.698970004336019
28,IDBD-D100405,IDbyDNA-5409,Escherichia coli,7.769074417369525,5.0,5.380211241711606
29,IDBD-D100406,IDbyDNA-5410,Escherichia coli,7.864840361644511,5.0,5.3979400086720375
30,IDBD-D100407,IDbyDNA-5411,Escherichia coli,9.10107349207388,5.0,5.6020599913279625
31,IDBD-D100408,IDbyDNA-5412,Escherichia coli,8.311055959523594,5.0,5.477121254719663
32,IDBD-D100409,IDbyDNA-5413,Escherichia coli,9.484703578194154,5.0,
33,IDBD-D100410,IDbyDNA-5414,Escherichia coli,9.956200805370527,5.0,6.3222192947339195
34,IDBD-D100411,IDbyDNA-5415,Escherichia coli,9.110454381830827,5.0,5.845098040014257
35,IDBD-D100412,IDbyDNA-5416,Escherichia coli,9.934659375113363,5.0,6.079181246047625
36,IDBD-D100413,IDbyDNA-5417,Escherichia coli,5.968481824811633,4.301029995663981,4.301029995663981
37,IDBD-D100414,IDbyDNA-5418,Escherichia coli,,4.301029995663981,4.176091259055681
38,IDBD-D100450,IDbyDNA-5419,Escherichia coli,6.293561019961957,4.301029995663981,4.3979400086720375
39,IDBD-D100451,IDbyDNA-5420,Escherichia coli,5.738895764978096,4.301029995663981,4.301029995663981
40,IDBD-D100415,IDbyDNA-5421,Escherichia coli,,4.477121254719663,4.653212513775344
41,IDBD-D100452,IDbyDNA-5422,Escherichia coli,6.036425454344632,4.477121254719663,4.903089986991944
42,IDBD-D100416,IDbyDNA-5423,Escherichia coli,,4.6020599913279625,4.812913356642856
43,IDBD-D100417,IDbyDNA-5424,Escherichia coli,5.821444692909191,4.698970004336019,5.45484486000851
44,IDBD-D100418,IDbyDNA-5425,Escherichia coli,6.47013855072265,4.698970004336019,5.176091259055681
45,IDBD-D100453,IDbyDNA-5426,Escherichia coli,7.121509611423049,4.698970004336019,5.342422680822207
46,IDBD-D100419,IDbyDNA-5427,Escherichia coli,7.59311355135971,4.903089986991944,5.6020599913279625
47,IDBD-D100447,IDbyDNA-5435,Aerococcus urinae,5.818359989751832,4.698970004336019,4.740362689494244
48,IDBD-D100448,IDbyDNA-5436,Enterococcus species,6.91634172953251,4.698970004336019,
49,IDBD-D100454,IDbyDNA-5437,Enterococcus faecalis,6.679876944211966,4.301029995663981,
50,IDBD-D100455,IDbyDNA-5438,Escherichia coli,8.58234358873146,5.0,6.146128035678238
51,IDBD-D100456,IDbyDNA-5439,Escherichia coli,8.652789620813518,5.0,6.0
52,IDBD-D100457,IDbyDNA-5440,Escherichia coli,8.732680617367095,5.0,6.113943352306837
53,IDBD-D100460,IDbyDNA-5441,Escherichia coli,9.385914375464578,5.0,6.2552725051033065
