Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,2.00
16,6.00
17,6.00
18,6.00
19,7.00
20,8.00
21,8.00
22,8.00
23,8.00
24,8.00
25,8.00
26,8.00
27,8.00
28,8.00
29,8.00
30,8.00
31,8.00
32,8.00
33,8.00
34,8.00
35,8.00
36,8.00
37,9.00
38,9.00
39,9.00
40,9.00
41,10.00
42,10.00
43,10.00
44,10.00
45,10.00
46,11.00
47,11.00
48,12.00
49,12.00
50,12.00
51,12.00
52,13.00
53,13.00
54,13.00
55,13.00
56,13.00
57,13.00
58,13.00
59,13.00
60,13.00
61,13.00
62,13.00
63,13.00
64,13.00
65,13.00
66,13.00
67,13.00
68,13.00
69,13.00
70,13.00
71,13.00
72,13.00
73,17.00
74,17.00
75,17.00
76,17.00
77,18.00
78,19.00
79,19.00
80,25.00
81,25.00
82,26.00
83,26.00
84,26.00
85,27.00
86,27.00
87,27.00
88,27.00
89,27.00
90,27.00
91,27.00
92,28.00
93,28.00
94,29.00
95,31.00
96,31.00
97,31.00
98,31.00
99,31.00
100,31.00
101,31.00
102,31.00
103,31.00
104,31.00
105,31.00
106,32.00
107,32.00
108,32.00
109,32.00
110,32.00
111,32.00
112,32.00
113,32.00
114,32.00
115,32.00
116,32.00
117,32.00
118,32.00
119,32.00
120,32.00
121,32.00
122,32.00
123,33.00
124,33.00
125,35.00
126,35.00
127,36.00
128,36.00
129,36.00
130,37.00
131,37.00
132,38.00
133,38.00
134,38.00
135,38.00
136,39.00
137,40.00
138,42.00
139,42.00
140,43.00
141,47.00
142,47.00
143,48.00
144,49.00
145,49.00
146,49.00
147,50.00
148,50.00
149,50.00
150,50.00
151,50.00
152,50.00
153,50.00
154,50.00
155,50.00
156,50.00
157,50.00
158,50.00
159,50.00
160,50.00
161,50.00
162,49.00
163,46.00
164,46.00
165,48.00
166,48.00
167,49.00
168,50.00
169,50.00
170,50.00
171,50.00
172,51.00
173,51.00
174,51.00
175,52.00
176,53.00
177,53.00
178,56.00
179,56.00
180,58.00
181,58.00
182,58.00
183,59.00
184,56.00
185,56.00
186,57.00
187,58.00
188,58.00
189,57.00
190,58.00
191,58.00
192,58.00
193,58.00
194,58.00
195,57.00
196,57.00
197,58.00
198,58.00
199,58.00
200,58.00
201,58.00
202,58.00
203,58.00
204,59.00
205,59.00
206,60.00
207,61.00
208,62.00
209,62.00
210,62.00
211,62.00
212,62.00
213,71.00
214,72.00
215,72.00
216,72.00
217,76.00
218,77.00
219,77.00
220,77.00
221,76.00
222,70.00
223,70.00
224,70.00
225,71.00
226,70.00
227,69.00
228,69.00
229,65.00
230,65.00
231,65.00
232,64.00
233,64.00
234,64.00
235,64.00
236,64.00
237,64.00
238,64.00
239,63.00
240,63.00
241,63.00
242,65.00
243,65.00
244,64.00
245,64.00
246,64.00
247,66.00
248,68.00
249,68.00
250,68.00
251,68.00
252,69.00
253,69.00
254,69.00
255,68.00
256,68.00
257,68.00
258,68.00
259,68.00
260,68.00
261,68.00
262,68.00
263,69.00
264,69.00
265,71.00
266,71.00
267,71.00
268,72.00
269,72.00
270,73.00
271,73.00
272,72.00
273,72.00
274,71.00
275,75.00
276,75.00
277,72.00
278,72.00
279,73.00
280,73.00
281,73.00
282,74.00
283,74.00
284,74.00
285,76.00
286,76.00
287,75.00
288,77.00
289,75.00
290,70.00
291,71.00
292,71.00
293,70.00
294,69.00
295,69.00
296,69.00
297,69.00
298,69.00
299,69.00
300,69.00
301,69.00
302,69.00
303,69.00
304,70.00
305,70.00
306,70.00
307,70.00
308,70.00
309,69.00
310,69.00
311,69.00
312,69.00
313,65.00
314,64.00
315,63.00
316,63.00
317,70.00
318,70.00
319,69.00
320,68.00
321,65.00
322,65.00
323,62.00
324,63.00
325,64.00
326,64.00
327,63.00
328,63.00
329,63.00
330,62.00
331,62.00
332,61.00
333,61.00
334,60.00
335,60.00
336,60.00
337,60.00
338,60.00
339,60.00
340,59.00
341,59.00
342,59.00
343,59.00
344,58.00
345,58.00
346,59.00
347,60.00
348,60.00
349,61.00
350,65.00
351,64.00
352,64.00
353,63.00
354,62.00
355,62.00
356,62.00
357,62.00
358,62.00
359,60.00
360,53.00
361,52.00
362,52.00
363,53.00
364,48.00
365,48.00
366,49.00
367,49.00
368,49.00
369,49.00
370,49.00
371,49.00
372,48.00
373,48.00
374,48.00
375,49.00
376,50.00
377,50.00
378,50.00
379,50.00
380,51.00
381,51.00
382,53.00
383,53.00
384,53.00
385,53.00
386,53.00
387,53.00
388,53.00
389,51.00
390,53.00
391,53.00
392,53.00
393,53.00
394,51.00
395,49.00
396,49.00
397,49.00
398,49.00
399,48.00
400,49.00
401,50.00
402,51.00
403,51.00
404,51.00
405,51.00
406,51.00
407,53.00
408,53.00
409,53.00
410,53.00
411,53.00
412,51.00
413,51.00
414,52.00
415,54.00
416,54.00
417,54.00
418,53.00
419,53.00
420,54.00
421,54.00
422,51.00
423,50.00
424,49.00
425,51.00
426,50.00
427,50.00
428,49.00
429,46.00
430,48.00
431,48.00
432,45.00
433,46.00
434,45.00
435,45.00
436,45.00
437,45.00
438,45.00
439,45.00
440,44.00
441,44.00
442,44.00
443,44.00
444,44.00
445,45.00
446,45.00
447,45.00
448,44.00
449,44.00
450,44.00
451,45.00
452,47.00
453,48.00
454,48.00
455,47.00
456,49.00
457,49.00
458,49.00
459,49.00
460,48.00
461,49.00
462,50.00
463,53.00
464,53.00
465,49.00
466,49.00
467,49.00
468,49.00
469,50.00
470,51.00
471,49.00
472,49.00
473,49.00
474,49.00
475,49.00
476,50.00
477,50.00
478,51.00
479,50.00
480,54.00
481,54.00
482,54.00
483,55.00
484,55.00
485,55.00
486,55.00
487,55.00
488,54.00
489,54.00
490,53.00
491,55.00
492,55.00
493,55.00
494,53.00
495,53.00
496,53.00
497,53.00
498,51.00
499,51.00
500,51.00
501,51.00
502,52.00
503,52.00
504,52.00
505,51.00
506,51.00
507,51.00
508,51.00
509,52.00
510,51.00
511,51.00
512,51.00
513,50.00
514,50.00
515,50.00
516,51.00
517,51.00
518,50.00
519,50.00
520,49.00
521,49.00
522,49.00
523,47.00
524,46.00
525,46.00
526,46.00
527,46.00
528,46.00
529,47.00
530,45.00
531,45.00
532,45.00
533,45.00
534,45.00
535,45.00
536,45.00
537,45.00
538,44.00
539,44.00
540,45.00
541,45.00
542,45.00
543,45.00
544,44.00
545,44.00
546,44.00
547,44.00
548,41.00
549,40.00
550,40.00
551,40.00
552,40.00
553,40.00
554,38.00
555,38.00
556,38.00
557,38.00
558,38.00
559,39.00
560,38.00
561,38.00
562,38.00
563,35.00
564,35.00
565,34.00
566,34.00
567,33.00
568,32.00
569,32.00
570,32.00
571,32.00
572,31.00
573,31.00
574,31.00
575,31.00
576,31.00
577,31.00
578,30.00
579,30.00
580,30.00
581,30.00
582,30.00
583,30.00
584,29.00
585,29.00
586,28.00
587,29.00
588,29.00
589,29.00
590,29.00
591,29.00
592,29.00
593,30.00
594,29.00
595,28.00
596,29.00
597,29.00
598,29.00
599,29.00
600,28.00
601,28.00
602,28.00
603,27.00
604,27.00
605,27.00
606,27.00
607,27.00
608,26.00
609,25.00
610,24.00
611,24.00
612,25.00
613,25.00
614,24.00
615,24.00
616,24.00
617,24.00
618,23.00
619,22.00
620,22.00
621,22.00
622,22.00
623,22.00
624,21.00
625,21.00
626,18.00
627,16.00
628,16.00
629,16.00
630,16.00
631,16.00
632,16.00
633,15.00
634,15.00
635,15.00
636,15.00
637,13.00
638,13.00
639,13.00
640,13.00
641,14.00
642,14.00
643,14.00
644,14.00
645,14.00
646,13.00
647,13.00
648,13.00
649,13.00
650,14.00
651,14.00
652,14.00
653,14.00
654,15.00
655,15.00
656,15.00
657,17.00
658,19.00
659,19.00
660,19.00
661,19.00
662,19.00
663,20.00
664,20.00
665,20.00
666,22.00
667,22.00
668,23.00
669,23.00
670,24.00
671,25.00
672,26.00
673,27.00
674,27.00
675,29.00
676,31.00
677,31.00
678,31.00
679,31.00
680,31.00
681,31.00
682,32.00
683,33.00
684,34.00
685,34.00
686,34.00
687,35.00
688,35.00
689,36.00
690,36.00
691,36.00
692,36.00
693,36.00
694,36.00
695,36.00
696,36.00
697,38.00
698,38.00
699,38.00
700,38.00
701,38.00
702,38.00
703,38.00
704,38.00
705,38.00
706,37.00
707,40.00
708,40.00
709,40.00
710,40.00
711,40.00
712,40.00
713,40.00
714,40.00
715,40.00
716,41.00
717,42.00
718,42.00
719,42.00
720,42.00
721,42.00
722,43.00
723,44.00
724,41.00
725,41.00
726,42.00
727,42.00
728,43.00
729,45.00
730,45.00
731,45.00
732,45.00
733,46.00
734,46.00
735,46.00
736,46.00
737,46.00
738,46.00
739,46.00
740,45.00
741,45.00
742,45.00
743,44.00
744,46.00
745,46.00
746,46.00
747,48.00
748,48.00
749,49.00
750,50.00
751,50.00
752,50.00
753,49.00
754,49.00
755,49.00
756,49.00
757,49.00
758,48.00
759,47.00
760,46.00
761,46.00
762,46.00
763,47.00
764,48.00
765,48.00
766,49.00
767,49.00
768,49.00
769,49.00
770,50.00
771,51.00
772,51.00
773,51.00
774,51.00
775,50.00
776,50.00
777,50.00
778,50.00
779,50.00
780,50.00
781,50.00
782,50.00
783,51.00
784,51.00
785,51.00
786,51.00
787,51.00
788,51.00
789,50.00
790,50.00
791,49.00
792,49.00
793,49.00
794,49.00
795,49.00
796,49.00
797,49.00
798,49.00
799,49.00
800,54.00
801,52.00
802,51.00
803,51.00
804,50.00
805,50.00
806,50.00
807,49.00
808,49.00
809,46.00
810,46.00
811,46.00
812,46.00
813,46.00
814,46.00
815,46.00
816,48.00
817,48.00
818,50.00
819,50.00
820,50.00
821,50.00
822,49.00
823,45.00
824,47.00
825,46.00
826,46.00
827,48.00
828,49.00
829,49.00
830,48.00
831,48.00
832,49.00
833,49.00
834,49.00
835,48.00
836,46.00
837,46.00
838,46.00
839,46.00
840,46.00
841,46.00
842,48.00
843,48.00
844,47.00
845,47.00
846,47.00
847,47.00
848,47.00
849,48.00
850,48.00
851,49.00
852,48.00
853,48.00
854,48.00
855,46.00
856,46.00
857,46.00
858,46.00
859,46.00
860,46.00
861,48.00
862,48.00
863,48.00
864,46.00
865,46.00
866,46.00
867,46.00
868,46.00
869,45.00
870,44.00
871,44.00
872,46.00
873,46.00
874,46.00
875,46.00
876,45.00
877,45.00
878,45.00
879,44.00
880,44.00
881,46.00
882,46.00
883,46.00
884,46.00
885,46.00
886,46.00
887,45.00
888,45.00
889,46.00
890,45.00
891,44.00
892,44.00
893,43.00
894,43.00
895,43.00
896,42.00
897,42.00
898,42.00
899,42.00
900,42.00
901,42.00
902,42.00
903,42.00
904,41.00
905,41.00
906,41.00
907,41.00
908,41.00
909,41.00
910,41.00
911,44.00
912,44.00
913,43.00
914,44.00
915,44.00
916,45.00
917,43.00
918,43.00
919,43.00
920,43.00
921,43.00
922,43.00
923,42.00
924,42.00
925,42.00
926,42.00
927,42.00
928,42.00
929,42.00
930,41.00
931,42.00
932,42.00
933,42.00
934,43.00
935,43.00
936,43.00
937,43.00
938,41.00
939,41.00
940,48.00
941,48.00
942,47.00
943,46.00
944,46.00
945,46.00
946,46.00
947,42.00
948,44.00
949,43.00
950,47.00
951,47.00
952,47.00
953,47.00
954,48.00
955,48.00
956,49.00
957,48.00
958,48.00
959,46.00
960,46.00
961,44.00
962,45.00
963,47.00
964,47.00
965,46.00
966,45.00
967,46.00
968,50.00
969,50.00
970,50.00
971,50.00
972,50.00
973,50.00
974,47.00
975,46.00
976,46.00
977,47.00
978,47.00
979,47.00
980,47.00
981,48.00
982,48.00
983,48.00
984,48.00
985,48.00
986,48.00
987,48.00
988,47.00
989,48.00
990,48.00
991,48.00
992,49.00
993,49.00
994,49.00
995,49.00
996,48.00
997,49.00
998,48.00
999,48.00
1000,48.00
1001,48.00
1002,48.00
1003,48.00
1004,48.00
1005,48.00
1006,48.00
1007,48.00
1008,48.00
1009,48.00
1010,46.00
1011,46.00
1012,48.00
1013,48.00
1014,48.00
1015,48.00
1016,49.00
1017,49.00
1018,51.00
1019,51.00
1020,52.00
1021,49.00
1022,49.00
1023,49.00
1024,49.00
1025,49.00
1026,49.00
1027,50.00
1028,50.00
1029,48.00
1030,48.00
1031,48.00
1032,48.00
1033,48.00
1034,49.00
1035,49.00
1036,49.00
1037,49.00
1038,48.00
1039,48.00
1040,49.00
1041,49.00
1042,49.00
1043,49.00
1044,49.00
1045,49.00
1046,50.00
1047,50.00
1048,50.00
1049,50.00
1050,50.00
1051,50.00
1052,51.00
1053,51.00
1054,50.00
1055,52.00
1056,52.00
1057,52.00
1058,52.00
1059,49.00
1060,49.00
1061,50.00
1062,50.00
1063,51.00
1064,50.00
1065,50.00
1066,51.00
1067,51.00
1068,51.00
1069,52.00
1070,52.00
1071,52.00
1072,52.00
1073,52.00
1074,52.00
1075,52.00
1076,55.00
1077,55.00
1078,54.00
1079,52.00
1080,53.00
1081,53.00
1082,53.00
1083,53.00
1084,53.00
1085,53.00
1086,54.00
1087,54.00
1088,49.00
1089,48.00
1090,48.00
1091,48.00
1092,48.00
1093,50.00
1094,50.00
1095,50.00
1096,49.00
1097,50.00
1098,49.00
1099,46.00
1100,45.00
1101,46.00
1102,48.00
1103,48.00
1104,48.00
1105,48.00
1106,48.00
1107,49.00
1108,49.00
1109,50.00
1110,50.00
1111,49.00
1112,49.00
1113,50.00
1114,52.00
1115,52.00
1116,47.00
1117,48.00
1118,48.00
1119,48.00
1120,48.00
1121,48.00
1122,49.00
1123,49.00
1124,49.00
1125,49.00
1126,49.00
1127,50.00
1128,50.00
1129,50.00
1130,51.00
1131,51.00
1132,51.00
1133,51.00
