Position,Coverage
1,1.00
2,1.00
3,1.00
4,2.00
5,2.00
6,2.00
7,2.00
8,2.00
9,2.00
10,2.00
11,2.00
12,2.00
13,2.00
14,2.00
15,2.00
16,4.00
17,4.00
18,4.00
19,4.00
20,4.00
21,4.00
22,4.00
23,4.00
24,4.00
25,4.00
26,4.00
27,4.00
28,4.00
29,4.00
30,4.00
31,4.00
32,4.00
33,4.00
34,5.00
35,5.00
36,5.00
37,5.00
38,5.00
39,5.00
40,5.00
41,5.00
42,5.00
43,5.00
44,5.00
45,10.00
46,10.00
47,10.00
48,10.00
49,10.00
50,10.00
51,10.00
52,10.00
53,10.00
54,10.00
55,10.00
56,10.00
57,10.00
58,10.00
59,10.00
60,10.00
61,11.00
62,11.00
63,11.00
64,12.00
65,13.00
66,13.00
67,13.00
68,13.00
69,13.00
70,13.00
71,13.00
72,13.00
73,13.00
74,13.00
75,13.00
76,13.00
77,13.00
78,13.00
79,13.00
80,13.00
81,13.00
82,13.00
83,13.00
84,13.00
85,13.00
86,13.00
87,13.00
88,13.00
89,13.00
90,13.00
91,14.00
92,14.00
93,14.00
94,17.00
95,18.00
96,19.00
97,19.00
98,19.00
99,19.00
100,23.00
101,23.00
102,24.00
103,24.00
104,25.00
105,28.00
106,29.00
107,37.00
108,37.00
109,38.00
110,40.00
111,40.00
112,41.00
113,41.00
114,42.00
115,43.00
116,44.00
117,44.00
118,44.00
119,44.00
120,44.00
121,46.00
122,51.00
123,52.00
124,52.00
125,52.00
126,52.00
127,53.00
128,57.00
129,57.00
130,57.00
131,57.00
132,58.00
133,58.00
134,58.00
135,58.00
136,58.00
137,58.00
138,58.00
139,58.00
140,58.00
141,58.00
142,59.00
143,60.00
144,61.00
145,61.00
146,61.00
147,61.00
148,60.00
149,60.00
150,60.00
151,59.00
152,60.00
153,62.00
154,65.00
155,65.00
156,66.00
157,67.00
158,67.00
159,66.00
160,67.00
161,69.00
162,69.00
163,69.00
164,69.00
165,70.00
166,70.00
167,71.00
168,71.00
169,72.00
170,73.00
171,74.00
172,75.00
173,76.00
174,76.00
175,76.00
176,76.00
177,76.00
178,76.00
179,76.00
180,76.00
181,76.00
182,76.00
183,76.00
184,76.00
185,75.00
186,75.00
187,75.00
188,75.00
189,75.00
190,76.00
191,76.00
192,73.00
193,74.00
194,75.00
195,76.00
196,77.00
197,77.00
198,77.00
199,77.00
200,77.00
201,77.00
202,77.00
203,78.00
204,77.00
205,81.00
206,82.00
207,83.00
208,83.00
209,83.00
210,83.00
211,82.00
212,81.00
213,82.00
214,82.00
215,82.00
216,83.00
217,83.00
218,85.00
219,85.00
220,85.00
221,85.00
222,85.00
223,85.00
224,85.00
225,85.00
226,85.00
227,85.00
228,85.00
229,85.00
230,85.00
231,85.00
232,87.00
233,86.00
234,86.00
235,87.00
236,89.00
237,90.00
238,90.00
239,90.00
240,100.00
241,100.00
242,97.00
243,94.00
244,93.00
245,91.00
246,92.00
247,91.00
248,90.00
249,81.00
250,79.00
251,79.00
252,79.00
253,79.00
254,78.00
255,77.00
256,74.00
257,75.00
258,75.00
259,73.00
260,73.00
261,73.00
262,73.00
263,74.00
264,71.00
265,70.00
266,70.00
267,70.00
268,72.00
269,70.00
270,69.00
271,68.00
272,67.00
273,67.00
274,66.00
275,66.00
276,65.00
277,65.00
278,68.00
279,69.00
280,68.00
281,69.00
282,68.00
283,70.00
284,71.00
285,71.00
286,71.00
287,71.00
288,71.00
289,71.00
290,71.00
291,69.00
292,72.00
293,72.00
294,72.00
295,73.00
296,74.00
297,74.00
298,74.00
299,73.00
300,73.00
301,75.00
302,75.00
303,75.00
304,72.00
305,70.00
306,68.00
307,69.00
308,69.00
309,68.00
310,67.00
311,62.00
312,62.00
313,62.00
314,62.00
315,63.00
316,63.00
317,62.00
318,62.00
319,63.00
320,63.00
321,63.00
322,63.00
323,63.00
324,64.00
325,65.00
326,65.00
327,65.00
328,66.00
329,66.00
330,68.00
331,68.00
332,68.00
333,73.00
334,74.00
335,76.00
336,76.00
337,76.00
338,78.00
339,77.00
340,77.00
341,77.00
342,75.00
343,74.00
344,73.00
345,73.00
346,75.00
347,74.00
348,72.00
349,72.00
350,71.00
351,71.00
352,71.00
353,72.00
354,72.00
355,69.00
356,68.00
357,68.00
358,68.00
359,68.00
360,68.00
361,69.00
362,69.00
363,69.00
364,69.00
365,69.00
366,68.00
367,67.00
368,67.00
369,67.00
370,67.00
371,67.00
372,67.00
373,65.00
374,65.00
375,64.00
376,64.00
377,64.00
378,64.00
379,67.00
380,66.00
381,62.00
382,62.00
383,61.00
384,61.00
385,61.00
386,61.00
387,62.00
388,61.00
389,55.00
390,56.00
391,54.00
392,54.00
393,54.00
394,55.00
395,55.00
396,56.00
397,56.00
398,56.00
399,55.00
400,55.00
401,54.00
402,54.00
403,54.00
404,54.00
405,54.00
406,53.00
407,54.00
408,55.00
409,57.00
410,57.00
411,57.00
412,56.00
413,55.00
414,56.00
415,57.00
416,57.00
417,60.00
418,61.00
419,65.00
420,65.00
421,65.00
422,66.00
423,66.00
424,64.00
425,64.00
426,64.00
427,62.00
428,60.00
429,62.00
430,64.00
431,66.00
432,66.00
433,66.00
434,66.00
435,66.00
436,66.00
437,64.00
438,65.00
439,65.00
440,65.00
441,64.00
442,64.00
443,65.00
444,65.00
445,64.00
446,66.00
447,66.00
448,64.00
449,69.00
450,68.00
451,68.00
452,68.00
453,68.00
454,69.00
455,69.00
456,68.00
457,68.00
458,65.00
459,68.00
460,68.00
461,68.00
462,68.00
463,66.00
464,65.00
465,65.00
466,65.00
467,68.00
468,64.00
469,65.00
470,65.00
471,66.00
472,69.00
473,70.00
474,69.00
475,69.00
476,67.00
477,67.00
478,66.00
479,68.00
480,66.00
481,67.00
482,67.00
483,67.00
484,72.00
485,72.00
486,72.00
487,72.00
488,72.00
489,73.00
490,73.00
491,77.00
492,78.00
493,76.00
494,76.00
495,75.00
496,74.00
497,75.00
498,77.00
499,74.00
500,74.00
501,76.00
502,76.00
503,76.00
504,76.00
505,76.00
506,75.00
507,75.00
508,79.00
509,80.00
510,80.00
511,80.00
512,81.00
513,82.00
514,82.00
515,82.00
516,82.00
517,83.00
518,83.00
519,83.00
520,83.00
521,83.00
522,82.00
523,82.00
524,83.00
525,83.00
526,82.00
527,82.00
528,81.00
529,80.00
530,79.00
531,79.00
532,79.00
533,73.00
534,73.00
535,73.00
536,72.00
537,73.00
538,73.00
539,73.00
540,73.00
541,73.00
542,73.00
543,75.00
544,75.00
545,75.00
546,75.00
547,75.00
548,75.00
549,75.00
550,74.00
551,73.00
552,72.00
553,71.00
554,71.00
555,74.00
556,74.00
557,74.00
558,74.00
559,74.00
560,75.00
561,73.00
562,72.00
563,72.00
564,67.00
565,67.00
566,65.00
567,65.00
568,66.00
569,67.00
570,67.00
571,68.00
572,67.00
573,67.00
574,67.00
575,67.00
576,64.00
577,62.00
578,62.00
579,62.00
580,62.00
581,61.00
582,61.00
583,61.00
584,60.00
585,59.00
586,59.00
587,61.00
588,61.00
589,60.00
590,60.00
591,60.00
592,60.00
593,58.00
594,57.00
595,55.00
596,55.00
597,55.00
598,55.00
599,55.00
600,55.00
601,54.00
602,54.00
603,54.00
604,53.00
605,51.00
606,49.00
607,49.00
608,46.00
609,45.00
610,45.00
611,45.00
612,44.00
613,44.00
614,41.00
615,41.00
616,41.00
617,41.00
618,41.00
619,41.00
620,41.00
621,39.00
622,38.00
623,38.00
624,41.00
625,41.00
626,41.00
627,41.00
628,46.00
629,47.00
630,47.00
631,43.00
632,43.00
633,44.00
634,46.00
635,46.00
636,45.00
637,45.00
638,41.00
639,40.00
640,40.00
641,42.00
642,40.00
643,40.00
644,40.00
645,40.00
646,40.00
647,39.00
648,39.00
649,38.00
650,38.00
651,37.00
652,37.00
653,37.00
654,36.00
655,35.00
656,35.00
657,35.00
658,35.00
659,35.00
660,34.00
661,34.00
662,34.00
663,34.00
664,34.00
665,34.00
666,33.00
667,33.00
668,33.00
669,33.00
670,33.00
671,33.00
672,33.00
673,33.00
674,33.00
675,33.00
676,33.00
677,33.00
678,35.00
679,35.00
680,35.00
681,35.00
682,35.00
683,35.00
684,35.00
685,36.00
686,38.00
687,38.00
688,37.00
689,37.00
690,37.00
691,40.00
692,41.00
693,42.00
694,44.00
695,46.00
696,48.00
697,49.00
698,49.00
699,49.00
700,48.00
701,48.00
702,47.00
703,46.00
704,47.00
705,47.00
706,47.00
707,47.00
708,47.00
709,48.00
710,48.00
711,49.00
712,49.00
713,49.00
714,49.00
715,49.00
716,48.00
717,50.00
718,49.00
719,49.00
720,49.00
721,51.00
722,51.00
723,51.00
724,51.00
725,51.00
726,51.00
727,51.00
728,51.00
729,52.00
730,52.00
731,52.00
732,52.00
733,52.00
734,50.00
735,52.00
736,52.00
737,52.00
738,52.00
739,52.00
740,55.00
741,55.00
742,57.00
743,57.00
744,56.00
745,56.00
746,56.00
747,57.00
748,58.00
749,58.00
750,58.00
751,57.00
752,57.00
753,56.00
754,56.00
755,56.00
756,56.00
757,56.00
758,56.00
759,56.00
760,56.00
761,58.00
762,58.00
763,58.00
764,58.00
765,58.00
766,60.00
767,62.00
768,62.00
769,62.00
770,62.00
771,59.00
772,66.00
773,66.00
774,68.00
775,69.00
776,66.00
777,66.00
778,66.00
779,67.00
780,69.00
781,71.00
782,69.00
783,69.00
784,69.00
785,69.00
786,70.00
787,70.00
788,70.00
789,67.00
790,67.00
791,67.00
792,66.00
793,67.00
794,69.00
795,69.00
796,69.00
797,69.00
798,69.00
799,71.00
800,71.00
801,70.00
802,70.00
803,69.00
804,70.00
805,70.00
806,70.00
807,70.00
808,71.00
809,71.00
810,71.00
811,75.00
812,75.00
813,76.00
814,75.00
815,75.00
816,75.00
817,75.00
818,76.00
819,76.00
820,76.00
821,78.00
822,78.00
823,79.00
824,79.00
825,78.00
826,79.00
827,80.00
828,82.00
829,80.00
830,79.00
831,79.00
832,79.00
833,79.00
834,79.00
835,79.00
836,78.00
837,70.00
838,70.00
839,70.00
840,70.00
841,70.00
842,73.00
843,73.00
844,73.00
845,73.00
846,70.00
847,70.00
848,71.00
849,71.00
850,72.00
851,73.00
852,75.00
853,75.00
854,77.00
855,80.00
856,79.00
857,82.00
858,82.00
859,82.00
860,83.00
861,85.00
862,85.00
863,85.00
864,82.00
865,82.00
866,82.00
867,82.00
868,83.00
869,83.00
870,83.00
871,83.00
872,84.00
873,84.00
874,84.00
875,84.00
876,84.00
877,85.00
878,89.00
879,89.00
880,87.00
881,87.00
882,87.00
883,86.00
884,86.00
885,86.00
886,86.00
887,85.00
888,85.00
889,84.00
890,84.00
891,84.00
892,83.00
893,83.00
894,83.00
895,83.00
896,85.00
897,85.00
898,84.00
899,84.00
900,86.00
901,87.00
902,87.00
903,87.00
904,89.00
905,89.00
906,89.00
907,88.00
908,88.00
909,89.00
910,88.00
911,88.00
912,88.00
913,87.00
914,87.00
915,86.00
916,86.00
917,85.00
918,86.00
919,80.00
920,81.00
921,79.00
922,78.00
923,79.00
924,79.00
925,79.00
926,77.00
927,76.00
928,75.00
929,76.00
930,76.00
931,76.00
932,75.00
933,75.00
934,76.00
935,76.00
936,75.00
937,75.00
938,76.00
939,76.00
940,76.00
941,74.00
942,74.00
943,75.00
944,75.00
945,73.00
946,73.00
947,72.00
948,71.00
949,72.00
950,72.00
951,72.00
952,74.00
953,74.00
954,74.00
955,73.00
956,73.00
957,74.00
958,70.00
959,70.00
960,70.00
961,70.00
962,70.00
963,71.00
964,71.00
965,70.00
966,66.00
967,66.00
968,66.00
969,65.00
970,65.00
971,65.00
972,65.00
973,66.00
974,65.00
975,63.00
976,63.00
977,61.00
978,61.00
979,61.00
980,61.00
981,62.00
982,62.00
983,60.00
984,63.00
985,63.00
986,61.00
987,61.00
988,60.00
989,59.00
990,60.00
991,63.00
992,63.00
993,61.00
994,62.00
995,67.00
996,67.00
997,67.00
998,64.00
999,63.00
1000,63.00
1001,64.00
1002,60.00
1003,59.00
1004,56.00
1005,56.00
1006,56.00
1007,56.00
1008,56.00
1009,56.00
1010,58.00
1011,58.00
1012,59.00
1013,59.00
1014,59.00
1015,58.00
1016,58.00
1017,58.00
1018,57.00
1019,56.00
1020,55.00
1021,55.00
1022,56.00
1023,56.00
1024,56.00
1025,57.00
1026,57.00
1027,58.00
1028,58.00
1029,58.00
1030,58.00
1031,57.00
1032,57.00
1033,57.00
1034,57.00
1035,58.00
1036,57.00
1037,57.00
1038,57.00
1039,56.00
1040,56.00
1041,60.00
1042,60.00
1043,61.00
1044,60.00
1045,58.00
1046,59.00
1047,59.00
1048,60.00
1049,61.00
1050,60.00
1051,60.00
1052,60.00
1053,60.00
1054,59.00
1055,59.00
1056,59.00
1057,59.00
1058,62.00
1059,62.00
1060,62.00
1061,62.00
1062,62.00
1063,64.00
1064,64.00
1065,64.00
1066,66.00
1067,64.00
1068,64.00
1069,64.00
1070,64.00
1071,64.00
1072,64.00
1073,64.00
1074,64.00
1075,62.00
1076,62.00
1077,62.00
1078,62.00
1079,62.00
1080,63.00
1081,63.00
1082,63.00
1083,61.00
1084,65.00
1085,65.00
1086,67.00
1087,67.00
1088,67.00
1089,69.00
1090,69.00
1091,70.00
1092,72.00
1093,69.00
1094,69.00
1095,69.00
1096,69.00
1097,69.00
1098,71.00
1099,71.00
1100,71.00
1101,69.00
1102,68.00
1103,68.00
1104,68.00
1105,71.00
1106,70.00
1107,70.00
1108,70.00
1109,70.00
1110,71.00
1111,70.00
1112,70.00
1113,72.00
1114,72.00
1115,74.00
1116,74.00
1117,74.00
1118,74.00
1119,73.00
1120,73.00
1121,73.00
1122,72.00
1123,73.00
1124,72.00
1125,72.00
1126,71.00
1127,70.00
1128,70.00
1129,69.00
1130,70.00
1131,73.00
1132,73.00
1133,72.00
