Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,2.00
13,2.00
14,4.00
15,6.00
16,6.00
17,6.00
18,6.00
19,7.00
20,8.00
21,8.00
22,11.00
23,12.00
24,12.00
25,12.00
26,12.00
27,12.00
28,12.00
29,12.00
30,12.00
31,13.00
32,13.00
33,13.00
34,13.00
35,13.00
36,13.00
37,14.00
38,14.00
39,20.00
40,20.00
41,21.00
42,25.00
43,26.00
44,26.00
45,26.00
46,28.00
47,28.00
48,28.00
49,28.00
50,28.00
51,28.00
52,29.00
53,29.00
54,29.00
55,29.00
56,29.00
57,29.00
58,31.00
59,32.00
60,32.00
61,32.00
62,32.00
63,34.00
64,34.00
65,34.00
66,34.00
67,35.00
68,35.00
69,35.00
70,35.00
71,36.00
72,37.00
73,37.00
74,37.00
75,38.00
76,38.00
77,39.00
78,39.00
79,39.00
80,39.00
81,39.00
82,39.00
83,39.00
84,39.00
85,40.00
86,40.00
87,43.00
88,44.00
89,45.00
90,45.00
91,45.00
92,46.00
93,49.00
94,54.00
95,54.00
96,56.00
97,56.00
98,59.00
99,65.00
100,66.00
101,89.00
102,90.00
103,91.00
104,93.00
105,94.00
106,95.00
107,96.00
108,96.00
109,96.00
110,96.00
111,96.00
112,96.00
113,97.00
114,97.00
115,100.00
116,106.00
117,109.00
118,109.00
119,109.00
120,109.00
121,110.00
122,115.00
123,120.00
124,124.00
125,125.00
126,129.00
127,132.00
128,134.00
129,135.00
130,137.00
131,137.00
132,137.00
133,137.00
134,140.00
135,140.00
136,141.00
137,142.00
138,143.00
139,144.00
140,148.00
141,151.00
142,150.00
143,150.00
144,150.00
145,150.00
146,155.00
147,156.00
148,173.00
149,174.00
150,177.00
151,180.00
152,180.00
153,181.00
154,185.00
155,188.00
156,188.00
157,192.00
158,195.00
159,197.00
160,201.00
161,201.00
162,210.00
163,211.00
164,212.00
165,213.00
166,216.00
167,216.00
168,216.00
169,215.00
170,216.00
171,217.00
172,217.00
173,218.00
174,217.00
175,217.00
176,218.00
177,219.00
178,221.00
179,221.00
180,224.00
181,222.00
182,221.00
183,220.00
184,221.00
185,221.00
186,223.00
187,225.00
188,227.00
189,233.00
190,233.00
191,233.00
192,233.00
193,234.00
194,235.00
195,235.00
196,241.00
197,246.00
198,246.00
199,250.00
200,253.00
201,254.00
202,255.00
203,254.00
204,256.00
205,252.00
206,251.00
207,253.00
208,258.00
209,258.00
210,266.00
211,266.00
212,270.00
213,271.00
214,271.00
215,271.00
216,271.00
217,271.00
218,271.00
219,271.00
220,270.00
221,270.00
222,271.00
223,270.00
224,270.00
225,270.00
226,270.00
227,269.00
228,271.00
229,275.00
230,275.00
231,275.00
232,276.00
233,276.00
234,311.00
235,312.00
236,310.00
237,309.00
238,308.00
239,309.00
240,311.00
241,310.00
242,307.00
243,271.00
244,275.00
245,277.00
246,277.00
247,277.00
248,272.00
249,273.00
250,266.00
251,266.00
252,266.00
253,259.00
254,258.00
255,259.00
256,260.00
257,259.00
258,258.00
259,257.00
260,257.00
261,258.00
262,262.00
263,263.00
264,260.00
265,259.00
266,258.00
267,259.00
268,258.00
269,261.00
270,256.00
271,254.00
272,258.00
273,260.00
274,259.00
275,260.00
276,261.00
277,262.00
278,262.00
279,264.00
280,264.00
281,266.00
282,266.00
283,268.00
284,270.00
285,268.00
286,277.00
287,278.00
288,274.00
289,281.00
290,283.00
291,285.00
292,285.00
293,282.00
294,288.00
295,279.00
296,286.00
297,287.00
298,274.00
299,270.00
300,266.00
301,273.00
302,272.00
303,270.00
304,269.00
305,264.00
306,270.00
307,270.00
308,270.00
309,272.00
310,265.00
311,263.00
312,265.00
313,266.00
314,266.00
315,265.00
316,264.00
317,264.00
318,265.00
319,265.00
320,265.00
321,265.00
322,268.00
323,269.00
324,266.00
325,277.00
326,278.00
327,277.00
328,277.00
329,277.00
330,277.00
331,279.00
332,271.00
333,272.00
334,257.00
335,253.00
336,252.00
337,253.00
338,268.00
339,269.00
340,265.00
341,265.00
342,262.00
343,265.00
344,268.00
345,270.00
346,273.00
347,265.00
348,266.00
349,266.00
350,263.00
351,263.00
352,265.00
353,266.00
354,263.00
355,255.00
356,260.00
357,259.00
358,259.00
359,260.00
360,260.00
361,260.00
362,268.00
363,267.00
364,267.00
365,264.00
366,267.00
367,269.00
368,269.00
369,269.00
370,269.00
371,292.00
372,292.00
373,295.00
374,296.00
375,295.00
376,293.00
377,291.00
378,292.00
379,299.00
380,287.00
381,275.00
382,282.00
383,283.00
384,284.00
385,280.00
386,279.00
387,277.00
388,275.00
389,275.00
390,276.00
391,268.00
392,268.00
393,269.00
394,269.00
395,271.00
396,271.00
397,272.00
398,273.00
399,273.00
400,271.00
401,277.00
402,275.00
403,275.00
404,272.00
405,268.00
406,274.00
407,284.00
408,284.00
409,288.00
410,285.00
411,291.00
412,294.00
413,294.00
414,293.00
415,293.00
416,287.00
417,290.00
418,290.00
419,288.00
420,286.00
421,298.00
422,298.00
423,298.00
424,297.00
425,298.00
426,290.00
427,290.00
428,289.00
429,287.00
430,280.00
431,280.00
432,277.00
433,272.00
434,271.00
435,270.00
436,267.00
437,262.00
438,268.00
439,269.00
440,268.00
441,277.00
442,274.00
443,272.00
444,270.00
445,260.00
446,262.00
447,264.00
448,266.00
449,264.00
450,251.00
451,262.00
452,264.00
453,266.00
454,265.00
455,262.00
456,256.00
457,256.00
458,258.00
459,260.00
460,253.00
461,253.00
462,253.00
463,252.00
464,253.00
465,253.00
466,255.00
467,255.00
468,260.00
469,261.00
470,261.00
471,264.00
472,263.00
473,261.00
474,262.00
475,261.00
476,276.00
477,276.00
478,274.00
479,274.00
480,270.00
481,277.00
482,281.00
483,283.00
484,280.00
485,262.00
486,263.00
487,264.00
488,269.00
489,272.00
490,270.00
491,264.00
492,259.00
493,259.00
494,258.00
495,259.00
496,259.00
497,259.00
498,260.00
499,257.00
500,266.00
501,267.00
502,266.00
503,279.00
504,279.00
505,277.00
506,278.00
507,277.00
508,276.00
509,267.00
510,265.00
511,268.00
512,263.00
513,263.00
514,261.00
515,258.00
516,261.00
517,264.00
518,257.00
519,254.00
520,243.00
521,243.00
522,242.00
523,242.00
524,242.00
525,238.00
526,228.00
527,227.00
528,227.00
529,226.00
530,225.00
531,225.00
532,225.00
533,225.00
534,224.00
535,229.00
536,229.00
537,228.00
538,229.00
539,230.00
540,228.00
541,228.00
542,228.00
543,228.00
544,220.00
545,220.00
546,220.00
547,221.00
548,222.00
549,225.00
550,221.00
551,221.00
552,222.00
553,220.00
554,217.00
555,217.00
556,206.00
557,205.00
558,199.00
559,202.00
560,204.00
561,204.00
562,204.00
563,201.00
564,198.00
565,198.00
566,197.00
567,198.00
568,188.00
569,184.00
570,185.00
571,185.00
572,185.00
573,185.00
574,185.00
575,184.00
576,184.00
577,184.00
578,184.00
579,182.00
580,182.00
581,182.00
582,182.00
583,178.00
584,178.00
585,167.00
586,165.00
587,161.00
588,161.00
589,162.00
590,161.00
591,159.00
592,159.00
593,147.00
594,143.00
595,143.00
596,142.00
597,143.00
598,137.00
599,136.00
600,134.00
601,134.00
602,134.00
603,134.00
604,132.00
605,132.00
606,125.00
607,125.00
608,126.00
609,125.00
610,121.00
611,119.00
612,118.00
613,116.00
614,116.00
615,98.00
616,98.00
617,97.00
618,97.00
619,97.00
620,98.00
621,97.00
622,96.00
623,91.00
624,88.00
625,88.00
626,87.00
627,88.00
628,84.00
629,81.00
630,77.00
631,78.00
632,81.00
633,82.00
634,81.00
635,81.00
636,76.00
637,79.00
638,78.00
639,73.00
640,72.00
641,71.00
642,71.00
643,69.00
644,68.00
645,67.00
646,63.00
647,57.00
648,57.00
649,57.00
650,59.00
651,60.00
652,61.00
653,59.00
654,59.00
655,59.00
656,60.00
657,60.00
658,60.00
659,60.00
660,60.00
661,60.00
662,60.00
663,59.00
664,59.00
665,60.00
666,60.00
667,60.00
668,61.00
669,60.00
670,61.00
671,61.00
672,63.00
673,64.00
674,64.00
675,66.00
676,67.00
677,69.00
678,69.00
679,70.00
680,70.00
681,69.00
682,69.00
683,76.00
684,75.00
685,77.00
686,81.00
687,85.00
688,85.00
689,86.00
690,86.00
691,86.00
692,88.00
693,84.00
694,83.00
695,81.00
696,82.00
697,83.00
698,84.00
699,86.00
700,85.00
701,90.00
702,92.00
703,91.00
704,92.00
705,92.00
706,90.00
707,92.00
708,94.00
709,96.00
710,95.00
711,95.00
712,95.00
713,99.00
714,99.00
715,99.00
716,99.00
717,104.00
718,105.00
719,105.00
720,106.00
721,106.00
722,107.00
723,106.00
724,106.00
725,107.00
726,110.00
727,127.00
728,127.00
729,127.00
730,127.00
731,127.00
732,135.00
733,135.00
734,138.00
735,138.00
736,135.00
737,136.00
738,137.00
739,137.00
740,137.00
741,135.00
742,136.00
743,138.00
744,137.00
745,140.00
746,143.00
747,143.00
748,142.00
749,145.00
750,148.00
751,151.00
752,151.00
753,153.00
754,157.00
755,155.00
756,155.00
757,155.00
758,156.00
759,161.00
760,162.00
761,162.00
762,162.00
763,162.00
764,186.00
765,186.00
766,187.00
767,189.00
768,186.00
769,193.00
770,194.00
771,195.00
772,202.00
773,196.00
774,196.00
775,199.00
776,196.00
777,197.00
778,197.00
779,197.00
780,196.00
781,196.00
782,196.00
783,196.00
784,197.00
785,198.00
786,201.00
787,201.00
788,201.00
789,202.00
790,202.00
791,206.00
792,207.00
793,207.00
794,207.00
795,203.00
796,203.00
797,205.00
798,204.00
799,206.00
800,208.00
801,208.00
802,212.00
803,221.00
804,220.00
805,222.00
806,222.00
807,226.00
808,229.00
809,230.00
810,231.00
811,230.00
812,229.00
813,228.00
814,228.00
815,229.00
816,226.00
817,226.00
818,227.00
819,226.00
820,244.00
821,245.00
822,245.00
823,248.00
824,249.00
825,251.00
826,253.00
827,253.00
828,254.00
829,237.00
830,237.00
831,239.00
832,240.00
833,241.00
834,244.00
835,244.00
836,244.00
837,243.00
838,242.00
839,253.00
840,257.00
841,260.00
842,262.00
843,262.00
844,270.00
845,271.00
846,272.00
847,291.00
848,285.00
849,291.00
850,292.00
851,291.00
852,289.00
853,292.00
854,293.00
855,294.00
856,280.00
857,280.00
858,278.00
859,279.00
860,279.00
861,280.00
862,282.00
863,284.00
864,287.00
865,287.00
866,284.00
867,284.00
868,284.00
869,283.00
870,287.00
871,290.00
872,285.00
873,282.00
874,282.00
875,280.00
876,281.00
877,281.00
878,281.00
879,278.00
880,278.00
881,285.00
882,286.00
883,286.00
884,286.00
885,285.00
886,292.00
887,294.00
888,306.00
889,305.00
890,295.00
891,299.00
892,303.00
893,305.00
894,305.00
895,302.00
896,302.00
897,292.00
898,292.00
899,291.00
900,289.00
901,297.00
902,296.00
903,296.00
904,302.00
905,300.00
906,299.00
907,293.00
908,293.00
909,296.00
910,300.00
911,289.00
912,289.00
913,282.00
914,281.00
915,283.00
916,284.00
917,284.00
918,285.00
919,284.00
920,283.00
921,283.00
922,284.00
923,284.00
924,284.00
925,285.00
926,286.00
927,286.00
928,288.00
929,288.00
930,292.00
931,292.00
932,293.00
933,289.00
934,294.00
935,295.00
936,295.00
937,293.00
938,292.00
939,292.00
940,292.00
941,297.00
942,297.00
943,292.00
944,292.00
945,291.00
946,292.00
947,291.00
948,287.00
949,286.00
950,275.00
951,274.00
952,272.00
953,272.00
954,272.00
955,270.00
956,272.00
957,271.00
958,272.00
959,272.00
960,275.00
961,274.00
962,274.00
963,262.00
964,263.00
965,262.00
966,262.00
967,252.00
968,260.00
969,253.00
970,257.00
971,257.00
972,257.00
973,257.00
974,256.00
975,256.00
976,263.00
977,263.00
978,260.00
979,246.00
980,245.00
981,241.00
982,250.00
983,254.00
984,250.00
985,241.00
986,237.00
987,241.00
988,249.00
989,253.00
990,250.00
991,238.00
992,237.00
993,234.00
994,228.00
995,226.00
996,221.00
997,221.00
998,221.00
999,222.00
1000,222.00
1001,217.00
1002,217.00
1003,222.00
1004,222.00
1005,222.00
1006,221.00
1007,220.00
1008,221.00
1009,226.00
1010,222.00
1011,214.00
1012,215.00
1013,212.00
1014,216.00
1015,217.00
1016,217.00
1017,218.00
1018,213.00
1019,213.00
1020,215.00
1021,214.00
1022,215.00
1023,220.00
1024,218.00
1025,217.00
1026,217.00
1027,220.00
1028,221.00
1029,220.00
1030,211.00
1031,211.00
1032,227.00
1033,227.00
1034,227.00
1035,223.00
1036,220.00
1037,218.00
1038,220.00
1039,220.00
1040,230.00
1041,217.00
1042,217.00
1043,215.00
1044,215.00
1045,215.00
1046,215.00
1047,214.00
1048,213.00
1049,209.00
1050,208.00
1051,209.00
1052,210.00
1053,211.00
1054,211.00
1055,210.00
1056,210.00
1057,219.00
1058,221.00
1059,219.00
1060,217.00
1061,218.00
1062,219.00
1063,218.00
1064,219.00
1065,231.00
1066,225.00
1067,224.00
1068,223.00
1069,224.00
1070,225.00
1071,226.00
1072,228.00
1073,227.00
1074,218.00
1075,234.00
1076,236.00
1077,239.00
1078,239.00
1079,238.00
1080,238.00
1081,239.00
1082,238.00
1083,239.00
1084,230.00
1085,230.00
1086,228.00
1087,228.00
1088,229.00
1089,233.00
1090,238.00
1091,240.00
1092,239.00
1093,240.00
1094,247.00
1095,249.00
1096,260.00
1097,258.00
1098,257.00
1099,256.00
1100,254.00
1101,255.00
1102,253.00
1103,254.00
1104,256.00
1105,252.00
1106,254.00
1107,253.00
1108,252.00
1109,252.00
1110,253.00
1111,253.00
1112,255.00
1113,261.00
1114,261.00
1115,262.00
1116,269.00
1117,267.00
1118,262.00
1119,259.00
1120,253.00
1121,262.00
1122,265.00
1123,266.00
1124,266.00
1125,262.00
1126,261.00
1127,279.00
1128,283.00
1129,282.00
1130,281.00
1131,274.00
1132,273.00
1133,275.00
