Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,1.00
17,1.00
18,1.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,2.00
28,2.00
29,2.00
30,2.00
31,2.00
32,2.00
33,2.00
34,2.00
35,2.00
36,2.00
37,3.00
38,3.00
39,3.00
40,4.00
41,4.00
42,4.00
43,4.00
44,4.00
45,4.00
46,4.00
47,4.00
48,4.00
49,4.00
50,5.00
51,5.00
52,6.00
53,6.00
54,6.00
55,6.00
56,6.00
57,6.00
58,6.00
59,6.00
60,6.00
61,6.00
62,7.00
63,7.00
64,7.00
65,7.00
66,7.00
67,7.00
68,7.00
69,7.00
70,7.00
71,7.00
72,7.00
73,7.00
74,7.00
75,7.00
76,7.00
77,7.00
78,7.00
79,7.00
80,7.00
81,7.00
82,7.00
83,7.00
84,7.00
85,7.00
86,7.00
87,7.00
88,8.00
89,8.00
90,8.00
91,8.00
92,8.00
93,8.00
94,8.00
95,8.00
96,8.00
97,8.00
98,8.00
99,9.00
100,9.00
101,9.00
102,12.00
103,13.00
104,16.00
105,16.00
106,16.00
107,16.00
108,16.00
109,16.00
110,17.00
111,18.00
112,18.00
113,18.00
114,19.00
115,19.00
116,19.00
117,19.00
118,19.00
119,22.00
120,22.00
121,22.00
122,22.00
123,22.00
124,23.00
125,24.00
126,24.00
127,24.00
128,24.00
129,24.00
130,24.00
131,24.00
132,24.00
133,24.00
134,24.00
135,24.00
136,25.00
137,25.00
138,25.00
139,25.00
140,25.00
141,25.00
142,25.00
143,25.00
144,25.00
145,25.00
146,26.00
147,26.00
148,25.00
149,25.00
150,25.00
151,26.00
152,26.00
153,26.00
154,28.00
155,28.00
156,28.00
157,28.00
158,28.00
159,28.00
160,30.00
161,31.00
162,31.00
163,31.00
164,32.00
165,34.00
166,34.00
167,34.00
168,34.00
169,35.00
170,35.00
171,34.00
172,34.00
173,34.00
174,33.00
175,33.00
176,33.00
177,33.00
178,33.00
179,33.00
180,33.00
181,33.00
182,33.00
183,34.00
184,34.00
185,34.00
186,34.00
187,34.00
188,34.00
189,37.00
190,37.00
191,39.00
192,39.00
193,38.00
194,37.00
195,37.00
196,37.00
197,37.00
198,37.00
199,39.00
200,39.00
201,40.00
202,40.00
203,40.00
204,40.00
205,41.00
206,41.00
207,41.00
208,41.00
209,41.00
210,42.00
211,41.00
212,41.00
213,41.00
214,41.00
215,41.00
216,41.00
217,41.00
218,41.00
219,41.00
220,41.00
221,42.00
222,42.00
223,42.00
224,42.00
225,42.00
226,42.00
227,42.00
228,42.00
229,42.00
230,42.00
231,42.00
232,42.00
233,42.00
234,42.00
235,41.00
236,41.00
237,48.00
238,48.00
239,47.00
240,47.00
241,47.00
242,47.00
243,46.00
244,46.00
245,45.00
246,41.00
247,44.00
248,45.00
249,45.00
250,45.00
251,45.00
252,46.00
253,45.00
254,45.00
255,45.00
256,43.00
257,43.00
258,43.00
259,43.00
260,45.00
261,46.00
262,45.00
263,44.00
264,44.00
265,45.00
266,44.00
267,43.00
268,42.00
269,42.00
270,42.00
271,42.00
272,43.00
273,43.00
274,43.00
275,43.00
276,45.00
277,45.00
278,45.00
279,45.00
280,46.00
281,46.00
282,46.00
283,46.00
284,45.00
285,45.00
286,45.00
287,45.00
288,46.00
289,48.00
290,48.00
291,48.00
292,48.00
293,47.00
294,47.00
295,48.00
296,48.00
297,48.00
298,46.00
299,46.00
300,46.00
301,46.00
302,46.00
303,44.00
304,46.00
305,48.00
306,49.00
307,49.00
308,48.00
309,48.00
310,48.00
311,48.00
312,47.00
313,46.00
314,46.00
315,46.00
316,46.00
317,46.00
318,46.00
319,46.00
320,46.00
321,46.00
322,46.00
323,46.00
324,46.00
325,47.00
326,47.00
327,47.00
328,53.00
329,53.00
330,54.00
331,53.00
332,52.00
333,52.00
334,52.00
335,52.00
336,52.00
337,50.00
338,50.00
339,51.00
340,51.00
341,53.00
342,53.00
343,52.00
344,52.00
345,50.00
346,52.00
347,52.00
348,52.00
349,52.00
350,52.00
351,52.00
352,51.00
353,50.00
354,50.00
355,50.00
356,50.00
357,50.00
358,50.00
359,52.00
360,52.00
361,52.00
362,52.00
363,52.00
364,52.00
365,52.00
366,52.00
367,53.00
368,52.00
369,54.00
370,54.00
371,54.00
372,53.00
373,53.00
374,54.00
375,55.00
376,55.00
377,55.00
378,55.00
379,56.00
380,55.00
381,55.00
382,56.00
383,54.00
384,48.00
385,49.00
386,49.00
387,50.00
388,49.00
389,49.00
390,48.00
391,47.00
392,48.00
393,48.00
394,46.00
395,46.00
396,46.00
397,46.00
398,46.00
399,46.00
400,46.00
401,46.00
402,46.00
403,46.00
404,46.00
405,46.00
406,46.00
407,44.00
408,44.00
409,44.00
410,45.00
411,45.00
412,46.00
413,47.00
414,49.00
415,49.00
416,49.00
417,49.00
418,49.00
419,48.00
420,48.00
421,48.00
422,48.00
423,46.00
424,46.00
425,46.00
426,46.00
427,45.00
428,44.00
429,43.00
430,43.00
431,43.00
432,43.00
433,42.00
434,42.00
435,42.00
436,41.00
437,41.00
438,41.00
439,42.00
440,42.00
441,41.00
442,41.00
443,41.00
444,41.00
445,41.00
446,40.00
447,39.00
448,38.00
449,39.00
450,40.00
451,39.00
452,38.00
453,38.00
454,39.00
455,39.00
456,40.00
457,40.00
458,40.00
459,40.00
460,40.00
461,40.00
462,40.00
463,40.00
464,40.00
465,39.00
466,39.00
467,39.00
468,41.00
469,40.00
470,40.00
471,40.00
472,40.00
473,40.00
474,40.00
475,40.00
476,35.00
477,35.00
478,35.00
479,36.00
480,38.00
481,39.00
482,38.00
483,37.00
484,36.00
485,37.00
486,38.00
487,38.00
488,36.00
489,36.00
490,36.00
491,36.00
492,36.00
493,38.00
494,38.00
495,38.00
496,40.00
497,40.00
498,40.00
499,40.00
500,40.00
501,40.00
502,40.00
503,40.00
504,42.00
505,42.00
506,42.00
507,41.00
508,41.00
509,41.00
510,41.00
511,41.00
512,41.00
513,40.00
514,39.00
515,39.00
516,38.00
517,38.00
518,38.00
519,38.00
520,38.00
521,38.00
522,38.00
523,35.00
524,35.00
525,36.00
526,36.00
527,36.00
528,36.00
529,36.00
530,36.00
531,36.00
532,36.00
533,36.00
534,36.00
535,36.00
536,36.00
537,36.00
538,36.00
539,37.00
540,37.00
541,37.00
542,37.00
543,38.00
544,38.00
545,38.00
546,37.00
547,37.00
548,37.00
549,36.00
550,37.00
551,40.00
552,40.00
553,42.00
554,41.00
555,41.00
556,41.00
557,41.00
558,40.00
559,40.00
560,39.00
561,39.00
562,36.00
563,36.00
564,36.00
565,34.00
566,34.00
567,34.00
568,34.00
569,34.00
570,34.00
571,34.00
572,34.00
573,34.00
574,34.00
575,34.00
576,34.00
577,34.00
578,34.00
579,33.00
580,33.00
581,33.00
582,33.00
583,33.00
584,33.00
585,33.00
586,33.00
587,32.00
588,31.00
589,30.00
590,30.00
591,28.00
592,28.00
593,28.00
594,28.00
595,28.00
596,28.00
597,26.00
598,26.00
599,26.00
600,26.00
601,26.00
602,25.00
603,25.00
604,25.00
605,24.00
606,24.00
607,24.00
608,24.00
609,24.00
610,24.00
611,23.00
612,23.00
613,23.00
614,23.00
615,22.00
616,21.00
617,21.00
618,21.00
619,20.00
620,20.00
621,20.00
622,19.00
623,19.00
624,19.00
625,19.00
626,19.00
627,19.00
628,19.00
629,19.00
630,20.00
631,20.00
632,20.00
633,19.00
634,19.00
635,19.00
636,19.00
637,19.00
638,18.00
639,17.00
640,17.00
641,18.00
642,18.00
643,16.00
644,16.00
645,16.00
646,16.00
647,16.00
648,16.00
649,16.00
650,16.00
651,15.00
652,15.00
653,15.00
654,15.00
655,15.00
656,15.00
657,15.00
658,15.00
659,14.00
660,13.00
661,13.00
662,13.00
663,13.00
664,13.00
665,13.00
666,13.00
667,13.00
668,13.00
669,13.00
670,13.00
671,14.00
672,14.00
673,14.00
674,14.00
675,15.00
676,16.00
677,16.00
678,17.00
679,18.00
680,19.00
681,20.00
682,20.00
683,20.00
684,20.00
685,17.00
686,17.00
687,18.00
688,18.00
689,21.00
690,21.00
691,21.00
692,22.00
693,22.00
694,22.00
695,23.00
696,22.00
697,21.00
698,18.00
699,18.00
700,18.00
701,18.00
702,18.00
703,18.00
704,18.00
705,19.00
706,21.00
707,21.00
708,21.00
709,22.00
710,22.00
711,22.00
712,22.00
713,22.00
714,22.00
715,22.00
716,22.00
717,23.00
718,23.00
719,23.00
720,23.00
721,23.00
722,23.00
723,23.00
724,23.00
725,23.00
726,23.00
727,23.00
728,23.00
729,23.00
730,26.00
731,28.00
732,28.00
733,28.00
734,28.00
735,28.00
736,29.00
737,29.00
738,30.00
739,30.00
740,30.00
741,30.00
742,31.00
743,31.00
744,32.00
745,32.00
746,32.00
747,32.00
748,32.00
749,32.00
750,32.00
751,32.00
752,32.00
753,32.00
754,33.00
755,33.00
756,33.00
757,33.00
758,33.00
759,33.00
760,33.00
761,33.00
762,33.00
763,32.00
764,32.00
765,32.00
766,32.00
767,32.00
768,36.00
769,36.00
770,36.00
771,36.00
772,36.00
773,36.00
774,36.00
775,36.00
776,36.00
777,33.00
778,32.00
779,32.00
780,32.00
781,32.00
782,32.00
783,32.00
784,33.00
785,33.00
786,33.00
787,33.00
788,33.00
789,33.00
790,38.00
791,38.00
792,38.00
793,38.00
794,38.00
795,38.00
796,38.00
797,38.00
798,38.00
799,38.00
800,38.00
801,38.00
802,38.00
803,38.00
804,38.00
805,38.00
806,38.00
807,39.00
808,39.00
809,39.00
810,39.00
811,39.00
812,39.00
813,38.00
814,37.00
815,37.00
816,37.00
817,37.00
818,36.00
819,36.00
820,37.00
821,36.00
822,37.00
823,36.00
824,38.00
825,37.00
826,37.00
827,38.00
828,38.00
829,38.00
830,38.00
831,38.00
832,37.00
833,36.00
834,36.00
835,37.00
836,35.00
837,35.00
838,35.00
839,35.00
840,35.00
841,35.00
842,35.00
843,35.00
844,35.00
845,34.00
846,34.00
847,35.00
848,38.00
849,38.00
850,39.00
851,39.00
852,39.00
853,39.00
854,40.00
855,40.00
856,40.00
857,40.00
858,40.00
859,40.00
860,39.00
861,39.00
862,39.00
863,39.00
864,39.00
865,39.00
866,39.00
867,40.00
868,40.00
869,40.00
870,40.00
871,40.00
872,40.00
873,40.00
874,41.00
875,42.00
876,41.00
877,38.00
878,38.00
879,37.00
880,37.00
881,37.00
882,36.00
883,34.00
884,34.00
885,34.00
886,34.00
887,34.00
888,34.00
889,34.00
890,35.00
891,35.00
892,37.00
893,37.00
894,37.00
895,37.00
896,39.00
897,40.00
898,40.00
899,39.00
900,39.00
901,39.00
902,39.00
903,39.00
904,39.00
905,41.00
906,41.00
907,42.00
908,42.00
909,42.00
910,42.00
911,40.00
912,40.00
913,40.00
914,41.00
915,39.00
916,39.00
917,39.00
918,39.00
919,39.00
920,39.00
921,39.00
922,40.00
923,40.00
924,40.00
925,40.00
926,40.00
927,40.00
928,40.00
929,40.00
930,40.00
931,39.00
932,39.00
933,38.00
934,38.00
935,38.00
936,38.00
937,35.00
938,36.00
939,37.00
940,39.00
941,39.00
942,39.00
943,39.00
944,40.00
945,41.00
946,41.00
947,41.00
948,40.00
949,40.00
950,40.00
951,40.00
952,40.00
953,40.00
954,39.00
955,39.00
956,39.00
957,40.00
958,40.00
959,40.00
960,40.00
961,40.00
962,40.00
963,40.00
964,40.00
965,41.00
966,41.00
967,39.00
968,39.00
969,38.00
970,38.00
971,34.00
972,33.00
973,33.00
974,37.00
975,37.00
976,37.00
977,37.00
978,37.00
979,39.00
980,39.00
981,38.00
982,38.00
983,37.00
984,36.00
985,36.00
986,38.00
987,39.00
988,38.00
989,38.00
990,38.00
991,39.00
992,39.00
993,39.00
994,38.00
995,34.00
996,34.00
997,34.00
998,34.00
999,34.00
1000,34.00
1001,34.00
1002,34.00
1003,34.00
1004,34.00
1005,34.00
1006,34.00
1007,34.00
1008,34.00
1009,34.00
1010,34.00
1011,34.00
1012,34.00
1013,34.00
1014,33.00
1015,33.00
1016,33.00
1017,33.00
1018,33.00
1019,33.00
1020,33.00
1021,32.00
1022,31.00
1023,31.00
1024,31.00
1025,31.00
1026,31.00
1027,31.00
1028,31.00
1029,31.00
1030,32.00
1031,32.00
1032,32.00
1033,33.00
1034,33.00
1035,34.00
1036,33.00
1037,33.00
1038,32.00
1039,32.00
1040,32.00
1041,32.00
1042,32.00
1043,32.00
1044,30.00
1045,30.00
1046,30.00
1047,30.00
1048,30.00
1049,30.00
1050,30.00
1051,30.00
1052,30.00
1053,30.00
1054,30.00
1055,29.00
1056,29.00
1057,28.00
1058,28.00
1059,28.00
1060,28.00
1061,29.00
1062,30.00
1063,30.00
1064,30.00
1065,30.00
1066,30.00
1067,30.00
1068,30.00
1069,29.00
1070,29.00
1071,29.00
1072,29.00
1073,29.00
1074,29.00
1075,29.00
1076,29.00
1077,29.00
1078,35.00
1079,35.00
1080,35.00
1081,35.00
1082,35.00
1083,34.00
1084,34.00
1085,35.00
1086,33.00
1087,29.00
1088,29.00
1089,29.00
1090,29.00
1091,29.00
1092,30.00
1093,30.00
1094,30.00
1095,30.00
1096,30.00
1097,32.00
1098,32.00
1099,34.00
1100,34.00
1101,35.00
1102,35.00
1103,35.00
1104,36.00
1105,36.00
1106,36.00
1107,36.00
1108,36.00
1109,36.00
1110,36.00
1111,37.00
1112,36.00
1113,36.00
1114,36.00
1115,36.00
1116,37.00
1117,38.00
1118,38.00
1119,39.00
1120,38.00
1121,36.00
1122,34.00
1123,33.00
1124,35.00
1125,36.00
1126,36.00
1127,36.00
1128,36.00
1129,35.00
1130,37.00
1131,38.00
1132,39.00
1133,39.00
