Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,1.00
17,1.00
18,1.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,1.00
28,1.00
29,1.00
30,1.00
31,1.00
32,1.00
33,1.00
34,1.00
35,1.00
36,1.00
37,1.00
38,2.00
39,2.00
40,3.00
41,3.00
42,3.00
43,3.00
44,3.00
45,3.00
46,3.00
47,3.00
48,3.00
49,3.00
50,3.00
51,3.00
52,3.00
53,3.00
54,3.00
55,3.00
56,3.00
57,4.00
58,4.00
59,4.00
60,4.00
61,4.00
62,4.00
63,4.00
64,4.00
65,4.00
66,4.00
67,5.00
68,5.00
69,5.00
70,5.00
71,5.00
72,5.00
73,5.00
74,5.00
75,5.00
76,5.00
77,5.00
78,5.00
79,5.00
80,5.00
81,5.00
82,6.00
83,6.00
84,6.00
85,6.00
86,7.00
87,7.00
88,7.00
89,10.00
90,10.00
91,11.00
92,11.00
93,11.00
94,12.00
95,12.00
96,16.00
97,17.00
98,17.00
99,19.00
100,19.00
101,19.00
102,19.00
103,19.00
104,20.00
105,20.00
106,20.00
107,20.00
108,20.00
109,20.00
110,20.00
111,22.00
112,22.00
113,22.00
114,22.00
115,22.00
116,23.00
117,24.00
118,24.00
119,25.00
120,25.00
121,26.00
122,26.00
123,26.00
124,27.00
125,27.00
126,27.00
127,27.00
128,27.00
129,27.00
130,27.00
131,27.00
132,27.00
133,27.00
134,27.00
135,27.00
136,27.00
137,27.00
138,27.00
139,27.00
140,27.00
141,27.00
142,27.00
143,28.00
144,28.00
145,29.00
146,28.00
147,28.00
148,28.00
149,28.00
150,28.00
151,29.00
152,29.00
153,30.00
154,30.00
155,30.00
156,30.00
157,30.00
158,30.00
159,30.00
160,30.00
161,31.00
162,31.00
163,31.00
164,31.00
165,31.00
166,31.00
167,31.00
168,31.00
169,31.00
170,31.00
171,31.00
172,31.00
173,31.00
174,31.00
175,31.00
176,32.00
177,32.00
178,32.00
179,33.00
180,33.00
181,33.00
182,33.00
183,34.00
184,35.00
185,35.00
186,34.00
187,34.00
188,34.00
189,34.00
190,34.00
191,35.00
192,36.00
193,36.00
194,38.00
195,40.00
196,42.00
197,42.00
198,42.00
199,43.00
200,42.00
201,42.00
202,43.00
203,43.00
204,43.00
205,43.00
206,43.00
207,43.00
208,44.00
209,44.00
210,44.00
211,45.00
212,45.00
213,45.00
214,44.00
215,44.00
216,44.00
217,44.00
218,44.00
219,44.00
220,44.00
221,44.00
222,44.00
223,44.00
224,44.00
225,44.00
226,44.00
227,44.00
228,44.00
229,45.00
230,45.00
231,44.00
232,44.00
233,44.00
234,44.00
235,44.00
236,43.00
237,43.00
238,38.00
239,38.00
240,37.00
241,37.00
242,37.00
243,36.00
244,36.00
245,33.00
246,33.00
247,33.00
248,31.00
249,31.00
250,31.00
251,31.00
252,31.00
253,30.00
254,30.00
255,30.00
256,30.00
257,30.00
258,30.00
259,29.00
260,28.00
261,28.00
262,30.00
263,32.00
264,32.00
265,32.00
266,31.00
267,31.00
268,31.00
269,31.00
270,31.00
271,30.00
272,30.00
273,30.00
274,30.00
275,30.00
276,31.00
277,31.00
278,32.00
279,32.00
280,32.00
281,33.00
282,33.00
283,33.00
284,34.00
285,34.00
286,34.00
287,34.00
288,34.00
289,34.00
290,34.00
291,34.00
292,33.00
293,31.00
294,31.00
295,31.00
296,31.00
297,31.00
298,34.00
299,35.00
300,34.00
301,34.00
302,34.00
303,34.00
304,35.00
305,35.00
306,35.00
307,35.00
308,36.00
309,36.00
310,35.00
311,36.00
312,36.00
313,36.00
314,36.00
315,36.00
316,36.00
317,36.00
318,37.00
319,37.00
320,40.00
321,40.00
322,41.00
323,40.00
324,40.00
325,40.00
326,40.00
327,39.00
328,40.00
329,38.00
330,38.00
331,38.00
332,38.00
333,40.00
334,40.00
335,39.00
336,40.00
337,38.00
338,38.00
339,37.00
340,39.00
341,39.00
342,36.00
343,36.00
344,36.00
345,36.00
346,36.00
347,37.00
348,37.00
349,37.00
350,36.00
351,36.00
352,36.00
353,36.00
354,35.00
355,34.00
356,34.00
357,34.00
358,34.00
359,34.00
360,34.00
361,34.00
362,35.00
363,35.00
364,35.00
365,35.00
366,37.00
367,37.00
368,38.00
369,38.00
370,38.00
371,38.00
372,38.00
373,38.00
374,38.00
375,38.00
376,38.00
377,39.00
378,39.00
379,39.00
380,39.00
381,39.00
382,39.00
383,39.00
384,39.00
385,39.00
386,39.00
387,39.00
388,39.00
389,39.00
390,39.00
391,39.00
392,39.00
393,39.00
394,39.00
395,39.00
396,40.00
397,40.00
398,41.00
399,41.00
400,41.00
401,45.00
402,45.00
403,44.00
404,44.00
405,44.00
406,45.00
407,45.00
408,45.00
409,45.00
410,42.00
411,40.00
412,42.00
413,42.00
414,42.00
415,42.00
416,44.00
417,46.00
418,47.00
419,47.00
420,47.00
421,48.00
422,48.00
423,47.00
424,47.00
425,46.00
426,46.00
427,46.00
428,45.00
429,45.00
430,45.00
431,45.00
432,46.00
433,49.00
434,49.00
435,48.00
436,49.00
437,49.00
438,50.00
439,50.00
440,49.00
441,50.00
442,50.00
443,50.00
444,49.00
445,46.00
446,45.00
447,45.00
448,45.00
449,45.00
450,44.00
451,44.00
452,44.00
453,44.00
454,43.00
455,43.00
456,43.00
457,42.00
458,42.00
459,43.00
460,43.00
461,43.00
462,43.00
463,45.00
464,45.00
465,44.00
466,44.00
467,42.00
468,43.00
469,43.00
470,42.00
471,45.00
472,45.00
473,44.00
474,44.00
475,44.00
476,49.00
477,49.00
478,51.00
479,50.00
480,48.00
481,48.00
482,48.00
483,47.00
484,48.00
485,48.00
486,45.00
487,45.00
488,45.00
489,45.00
490,45.00
491,45.00
492,46.00
493,46.00
494,45.00
495,46.00
496,47.00
497,47.00
498,47.00
499,47.00
500,47.00
501,47.00
502,47.00
503,47.00
504,47.00
505,47.00
506,48.00
507,50.00
508,50.00
509,48.00
510,48.00
511,49.00
512,49.00
513,49.00
514,49.00
515,49.00
516,49.00
517,49.00
518,49.00
519,49.00
520,49.00
521,48.00
522,48.00
523,48.00
524,47.00
525,47.00
526,47.00
527,47.00
528,47.00
529,47.00
530,47.00
531,48.00
532,48.00
533,48.00
534,48.00
535,48.00
536,47.00
537,47.00
538,47.00
539,47.00
540,47.00
541,47.00
542,48.00
543,48.00
544,47.00
545,45.00
546,45.00
547,45.00
548,43.00
549,43.00
550,43.00
551,43.00
552,43.00
553,42.00
554,42.00
555,42.00
556,42.00
557,42.00
558,42.00
559,40.00
560,40.00
561,40.00
562,40.00
563,35.00
564,34.00
565,34.00
566,34.00
567,34.00
568,34.00
569,34.00
570,34.00
571,34.00
572,34.00
573,34.00
574,34.00
575,34.00
576,34.00
577,34.00
578,34.00
579,33.00
580,30.00
581,29.00
582,28.00
583,28.00
584,27.00
585,27.00
586,27.00
587,27.00
588,26.00
589,26.00
590,26.00
591,26.00
592,26.00
593,27.00
594,27.00
595,27.00
596,27.00
597,27.00
598,27.00
599,27.00
600,27.00
601,25.00
602,25.00
603,25.00
604,25.00
605,25.00
606,25.00
607,25.00
608,25.00
609,25.00
610,22.00
611,22.00
612,22.00
613,21.00
614,21.00
615,21.00
616,22.00
617,21.00
618,19.00
619,19.00
620,19.00
621,19.00
622,19.00
623,16.00
624,16.00
625,15.00
626,15.00
627,14.00
628,15.00
629,16.00
630,16.00
631,15.00
632,15.00
633,15.00
634,15.00
635,15.00
636,15.00
637,14.00
638,14.00
639,15.00
640,15.00
641,15.00
642,13.00
643,13.00
644,13.00
645,13.00
646,13.00
647,13.00
648,13.00
649,13.00
650,13.00
651,13.00
652,13.00
653,11.00
654,11.00
655,11.00
656,11.00
657,10.00
658,10.00
659,10.00
660,10.00
661,10.00
662,10.00
663,10.00
664,10.00
665,11.00
666,11.00
667,11.00
668,11.00
669,11.00
670,11.00
671,11.00
672,11.00
673,11.00
674,12.00
675,12.00
676,11.00
677,12.00
678,12.00
679,13.00
680,13.00
681,13.00
682,14.00
683,15.00
684,15.00
685,15.00
686,15.00
687,14.00
688,13.00
689,13.00
690,13.00
691,13.00
692,13.00
693,13.00
694,13.00
695,13.00
696,13.00
697,13.00
698,15.00
699,16.00
700,16.00
701,16.00
702,17.00
703,17.00
704,17.00
705,17.00
706,17.00
707,17.00
708,17.00
709,17.00
710,17.00
711,17.00
712,17.00
713,17.00
714,17.00
715,17.00
716,17.00
717,17.00
718,17.00
719,17.00
720,17.00
721,17.00
722,17.00
723,20.00
724,20.00
725,20.00
726,20.00
727,20.00
728,20.00
729,20.00
730,20.00
731,20.00
732,19.00
733,19.00
734,19.00
735,19.00
736,19.00
737,19.00
738,19.00
739,20.00
740,20.00
741,20.00
742,20.00
743,20.00
744,21.00
745,20.00
746,21.00
747,21.00
748,21.00
749,21.00
750,22.00
751,22.00
752,22.00
753,22.00
754,22.00
755,23.00
756,23.00
757,23.00
758,23.00
759,21.00
760,23.00
761,23.00
762,24.00
763,24.00
764,24.00
765,24.00
766,24.00
767,24.00
768,24.00
769,24.00
770,24.00
771,24.00
772,23.00
773,23.00
774,23.00
775,23.00
776,23.00
777,23.00
778,23.00
779,23.00
780,23.00
781,22.00
782,22.00
783,22.00
784,22.00
785,22.00
786,22.00
787,23.00
788,23.00
789,23.00
790,23.00
791,23.00
792,23.00
793,23.00
794,23.00
795,24.00
796,24.00
797,24.00
798,24.00
799,25.00
800,25.00
801,25.00
802,25.00
803,25.00
804,25.00
805,25.00
806,24.00
807,24.00
808,24.00
809,24.00
810,23.00
811,23.00
812,24.00
813,24.00
814,25.00
815,25.00
816,28.00
817,29.00
818,28.00
819,28.00
820,29.00
821,30.00
822,30.00
823,31.00
824,31.00
825,27.00
826,27.00
827,27.00
828,28.00
829,28.00
830,28.00
831,28.00
832,28.00
833,28.00
834,28.00
835,28.00
836,28.00
837,28.00
838,28.00
839,28.00
840,30.00
841,30.00
842,30.00
843,36.00
844,37.00
845,38.00
846,38.00
847,38.00
848,39.00
849,38.00
850,39.00
851,39.00
852,39.00
853,39.00
854,38.00
855,38.00
856,39.00
857,39.00
858,41.00
859,41.00
860,41.00
861,41.00
862,41.00
863,42.00
864,41.00
865,42.00
866,42.00
867,42.00
868,40.00
869,40.00
870,40.00
871,40.00
872,40.00
873,40.00
874,40.00
875,40.00
876,40.00
877,40.00
878,40.00
879,40.00
880,41.00
881,41.00
882,42.00
883,42.00
884,43.00
885,43.00
886,43.00
887,43.00
888,43.00
889,43.00
890,43.00
891,41.00
892,41.00
893,41.00
894,41.00
895,42.00
896,42.00
897,42.00
898,42.00
899,42.00
900,42.00
901,41.00
902,42.00
903,42.00
904,42.00
905,42.00
906,42.00
907,42.00
908,42.00
909,41.00
910,41.00
911,41.00
912,41.00
913,41.00
914,42.00
915,42.00
916,42.00
917,42.00
918,42.00
919,42.00
920,42.00
921,42.00
922,43.00
923,43.00
924,43.00
925,43.00
926,43.00
927,43.00
928,44.00
929,44.00
930,45.00
931,45.00
932,45.00
933,44.00
934,44.00
935,44.00
936,44.00
937,46.00
938,45.00
939,44.00
940,44.00
941,44.00
942,44.00
943,45.00
944,45.00
945,46.00
946,45.00
947,46.00
948,46.00
949,46.00
950,46.00
951,45.00
952,45.00
953,45.00
954,46.00
955,47.00
956,47.00
957,47.00
958,47.00
959,47.00
960,47.00
961,46.00
962,46.00
963,41.00
964,41.00
965,41.00
966,41.00
967,42.00
968,42.00
969,42.00
970,42.00
971,41.00
972,41.00
973,41.00
974,41.00
975,41.00
976,41.00
977,41.00
978,42.00
979,45.00
980,44.00
981,44.00
982,44.00
983,43.00
984,47.00
985,48.00
986,45.00
987,42.00
988,40.00
989,40.00
990,37.00
991,36.00
992,36.00
993,36.00
994,36.00
995,36.00
996,36.00
997,36.00
998,37.00
999,38.00
1000,39.00
1001,39.00
1002,38.00
1003,37.00
1004,37.00
1005,36.00
1006,36.00
1007,36.00
1008,35.00
1009,36.00
1010,36.00
1011,36.00
1012,36.00
1013,36.00
1014,36.00
1015,36.00
1016,35.00
1017,35.00
1018,35.00
1019,35.00
1020,35.00
1021,35.00
1022,36.00
1023,36.00
1024,35.00
1025,35.00
1026,35.00
1027,36.00
1028,35.00
1029,35.00
1030,35.00
1031,34.00
1032,34.00
1033,35.00
1034,35.00
1035,37.00
1036,38.00
1037,38.00
1038,38.00
1039,38.00
1040,38.00
1041,39.00
1042,38.00
1043,38.00
1044,38.00
1045,38.00
1046,38.00
1047,40.00
1048,40.00
1049,39.00
1050,39.00
1051,39.00
1052,38.00
1053,38.00
1054,37.00
1055,37.00
1056,37.00
1057,37.00
1058,37.00
1059,38.00
1060,39.00
1061,38.00
1062,38.00
1063,39.00
1064,39.00
1065,39.00
1066,39.00
1067,39.00
1068,40.00
1069,39.00
1070,41.00
1071,41.00
1072,41.00
1073,40.00
1074,40.00
1075,39.00
1076,38.00
1077,37.00
1078,36.00
1079,36.00
1080,36.00
1081,37.00
1082,37.00
1083,37.00
1084,36.00
1085,37.00
1086,37.00
1087,36.00
1088,36.00
1089,36.00
1090,35.00
1091,36.00
1092,35.00
1093,38.00
1094,38.00
1095,38.00
1096,38.00
1097,38.00
1098,37.00
1099,37.00
1100,37.00
1101,37.00
1102,37.00
1103,36.00
1104,36.00
1105,36.00
1106,36.00
1107,36.00
1108,38.00
1109,38.00
1110,38.00
1111,41.00
1112,41.00
1113,42.00
1114,40.00
1115,41.00
1116,42.00
1117,44.00
1118,45.00
1119,45.00
1120,46.00
1121,46.00
1122,47.00
1123,47.00
1124,48.00
1125,48.00
1126,45.00
1127,45.00
1128,45.00
1129,48.00
1130,48.00
1131,44.00
1132,43.00
1133,43.00
