Position,Coverage
1,1.00
2,3.00
3,3.00
4,3.00
5,3.00
6,3.00
7,3.00
8,3.00
9,3.00
10,3.00
11,4.00
12,4.00
13,4.00
14,4.00
15,4.00
16,5.00
17,5.00
18,5.00
19,5.00
20,5.00
21,5.00
22,5.00
23,6.00
24,7.00
25,8.00
26,8.00
27,8.00
28,8.00
29,8.00
30,8.00
31,8.00
32,9.00
33,9.00
34,9.00
35,9.00
36,9.00
37,9.00
38,13.00
39,13.00
40,16.00
41,16.00
42,17.00
43,18.00
44,18.00
45,19.00
46,19.00
47,19.00
48,20.00
49,21.00
50,21.00
51,22.00
52,22.00
53,22.00
54,22.00
55,22.00
56,23.00
57,23.00
58,23.00
59,23.00
60,23.00
61,23.00
62,23.00
63,23.00
64,24.00
65,24.00
66,24.00
67,24.00
68,24.00
69,24.00
70,25.00
71,25.00
72,25.00
73,25.00
74,25.00
75,25.00
76,25.00
77,25.00
78,25.00
79,25.00
80,25.00
81,25.00
82,25.00
83,25.00
84,25.00
85,25.00
86,28.00
87,29.00
88,33.00
89,35.00
90,37.00
91,37.00
92,41.00
93,42.00
94,43.00
95,50.00
96,51.00
97,52.00
98,52.00
99,59.00
100,83.00
101,86.00
102,119.00
103,119.00
104,121.00
105,126.00
106,130.00
107,133.00
108,134.00
109,136.00
110,140.00
111,141.00
112,141.00
113,141.00
114,141.00
115,142.00
116,144.00
117,154.00
118,154.00
119,155.00
120,157.00
121,157.00
122,158.00
123,166.00
124,170.00
125,173.00
126,174.00
127,177.00
128,180.00
129,180.00
130,181.00
131,183.00
132,184.00
133,185.00
134,185.00
135,186.00
136,186.00
137,188.00
138,189.00
139,189.00
140,189.00
141,192.00
142,193.00
143,192.00
144,193.00
145,194.00
146,194.00
147,203.00
148,204.00
149,222.00
150,222.00
151,222.00
152,223.00
153,224.00
154,226.00
155,228.00
156,231.00
157,232.00
158,240.00
159,244.00
160,251.00
161,258.00
162,263.00
163,276.00
164,278.00
165,278.00
166,279.00
167,278.00
168,277.00
169,277.00
170,278.00
171,279.00
172,277.00
173,278.00
174,281.00
175,281.00
176,284.00
177,287.00
178,288.00
179,288.00
180,289.00
181,290.00
182,290.00
183,292.00
184,292.00
185,289.00
186,290.00
187,295.00
188,298.00
189,300.00
190,297.00
191,298.00
192,299.00
193,299.00
194,301.00
195,302.00
196,302.00
197,304.00
198,314.00
199,314.00
200,322.00
201,327.00
202,328.00
203,328.00
204,328.00
205,329.00
206,326.00
207,326.00
208,329.00
209,331.00
210,331.00
211,339.00
212,339.00
213,341.00
214,341.00
215,343.00
216,343.00
217,345.00
218,345.00
219,345.00
220,343.00
221,344.00
222,343.00
223,346.00
224,346.00
225,346.00
226,347.00
227,347.00
228,349.00
229,353.00
230,355.00
231,358.00
232,356.00
233,354.00
234,352.00
235,385.00
236,386.00
237,376.00
238,370.00
239,363.00
240,368.00
241,373.00
242,374.00
243,374.00
244,374.00
245,335.00
246,335.00
247,337.00
248,338.00
249,337.00
250,312.00
251,311.00
252,298.00
253,298.00
254,297.00
255,292.00
256,291.00
257,291.00
258,294.00
259,293.00
260,292.00
261,291.00
262,290.00
263,290.00
264,298.00
265,299.00
266,295.00
267,293.00
268,291.00
269,292.00
270,296.00
271,299.00
272,293.00
273,286.00
274,288.00
275,287.00
276,285.00
277,285.00
278,287.00
279,286.00
280,281.00
281,282.00
282,282.00
283,283.00
284,283.00
285,284.00
286,286.00
287,284.00
288,302.00
289,303.00
290,302.00
291,315.00
292,319.00
293,322.00
294,322.00
295,315.00
296,320.00
297,300.00
298,305.00
299,304.00
300,287.00
301,290.00
302,287.00
303,292.00
304,293.00
305,291.00
306,292.00
307,286.00
308,288.00
309,293.00
310,291.00
311,294.00
312,289.00
313,286.00
314,287.00
315,288.00
316,289.00
317,285.00
318,286.00
319,286.00
320,286.00
321,286.00
322,289.00
323,289.00
324,289.00
325,291.00
326,285.00
327,302.00
328,300.00
329,299.00
330,300.00
331,297.00
332,298.00
333,299.00
334,293.00
335,293.00
336,268.00
337,267.00
338,267.00
339,267.00
340,288.00
341,288.00
342,282.00
343,284.00
344,283.00
345,283.00
346,281.00
347,286.00
348,293.00
349,280.00
350,278.00
351,279.00
352,279.00
353,278.00
354,281.00
355,279.00
356,276.00
357,269.00
358,272.00
359,272.00
360,272.00
361,272.00
362,272.00
363,271.00
364,279.00
365,280.00
366,280.00
367,281.00
368,280.00
369,283.00
370,286.00
371,287.00
372,289.00
373,296.00
374,295.00
375,300.00
376,302.00
377,300.00
378,297.00
379,296.00
380,296.00
381,303.00
382,300.00
383,287.00
384,295.00
385,296.00
386,295.00
387,291.00
388,290.00
389,290.00
390,287.00
391,286.00
392,286.00
393,273.00
394,273.00
395,272.00
396,272.00
397,273.00
398,275.00
399,277.00
400,277.00
401,276.00
402,275.00
403,292.00
404,292.00
405,292.00
406,292.00
407,292.00
408,297.00
409,305.00
410,305.00
411,306.00
412,296.00
413,297.00
414,299.00
415,300.00
416,301.00
417,296.00
418,289.00
419,290.00
420,289.00
421,289.00
422,286.00
423,295.00
424,300.00
425,302.00
426,300.00
427,301.00
428,296.00
429,295.00
430,293.00
431,291.00
432,288.00
433,288.00
434,287.00
435,282.00
436,281.00
437,282.00
438,285.00
439,282.00
440,287.00
441,286.00
442,284.00
443,296.00
444,296.00
445,295.00
446,293.00
447,287.00
448,300.00
449,303.00
450,303.00
451,303.00
452,286.00
453,289.00
454,290.00
455,291.00
456,289.00
457,281.00
458,278.00
459,278.00
460,279.00
461,280.00
462,276.00
463,277.00
464,277.00
465,279.00
466,280.00
467,280.00
468,281.00
469,280.00
470,282.00
471,282.00
472,284.00
473,288.00
474,283.00
475,283.00
476,285.00
477,281.00
478,293.00
479,293.00
480,292.00
481,293.00
482,284.00
483,293.00
484,293.00
485,297.00
486,296.00
487,273.00
488,272.00
489,271.00
490,272.00
491,279.00
492,285.00
493,274.00
494,267.00
495,267.00
496,267.00
497,268.00
498,269.00
499,268.00
500,270.00
501,270.00
502,278.00
503,278.00
504,277.00
505,282.00
506,282.00
507,281.00
508,280.00
509,280.00
510,280.00
511,276.00
512,275.00
513,279.00
514,271.00
515,271.00
516,268.00
517,268.00
518,274.00
519,277.00
520,269.00
521,268.00
522,258.00
523,258.00
524,259.00
525,257.00
526,255.00
527,242.00
528,233.00
529,233.00
530,234.00
531,233.00
532,234.00
533,233.00
534,233.00
535,232.00
536,232.00
537,236.00
538,236.00
539,236.00
540,237.00
541,236.00
542,236.00
543,236.00
544,236.00
545,236.00
546,231.00
547,229.00
548,229.00
549,226.00
550,225.00
551,225.00
552,220.00
553,220.00
554,220.00
555,218.00
556,210.00
557,210.00
558,198.00
559,198.00
560,194.00
561,193.00
562,196.00
563,195.00
564,194.00
565,192.00
566,188.00
567,187.00
568,187.00
569,187.00
570,182.00
571,175.00
572,175.00
573,174.00
574,174.00
575,174.00
576,173.00
577,173.00
578,172.00
579,171.00
580,170.00
581,169.00
582,169.00
583,168.00
584,168.00
585,163.00
586,164.00
587,153.00
588,151.00
589,145.00
590,144.00
591,144.00
592,144.00
593,144.00
594,144.00
595,133.00
596,133.00
597,132.00
598,131.00
599,128.00
600,123.00
601,122.00
602,114.00
603,114.00
604,114.00
605,114.00
606,110.00
607,109.00
608,102.00
609,101.00
610,102.00
611,101.00
612,96.00
613,94.00
614,94.00
615,91.00
616,90.00
617,76.00
618,76.00
619,76.00
620,74.00
621,71.00
622,70.00
623,71.00
624,70.00
625,62.00
626,61.00
627,59.00
628,60.00
629,61.00
630,57.00
631,58.00
632,53.00
633,54.00
634,54.00
635,54.00
636,49.00
637,49.00
638,47.00
639,48.00
640,48.00
641,48.00
642,47.00
643,44.00
644,44.00
645,42.00
646,41.00
647,40.00
648,40.00
649,36.00
650,36.00
651,35.00
652,35.00
653,35.00
654,34.00
655,34.00
656,34.00
657,34.00
658,34.00
659,34.00
660,34.00
661,34.00
662,34.00
663,34.00
664,32.00
665,32.00
666,32.00
667,31.00
668,31.00
669,32.00
670,32.00
671,32.00
672,34.00
673,34.00
674,38.00
675,38.00
676,39.00
677,41.00
678,42.00
679,46.00
680,49.00
681,50.00
682,53.00
683,51.00
684,51.00
685,57.00
686,57.00
687,59.00
688,59.00
689,60.00
690,60.00
691,59.00
692,59.00
693,62.00
694,63.00
695,62.00
696,61.00
697,65.00
698,70.00
699,71.00
700,71.00
701,71.00
702,76.00
703,81.00
704,84.00
705,87.00
706,89.00
707,90.00
708,94.00
709,95.00
710,96.00
711,103.00
712,103.00
713,106.00
714,106.00
715,109.00
716,109.00
717,109.00
718,109.00
719,118.00
720,120.00
721,120.00
722,121.00
723,121.00
724,121.00
725,121.00
726,121.00
727,122.00
728,122.00
729,146.00
730,146.00
731,146.00
732,147.00
733,146.00
734,150.00
735,150.00
736,154.00
737,154.00
738,154.00
739,154.00
740,153.00
741,154.00
742,154.00
743,154.00
744,154.00
745,154.00
746,159.00
747,160.00
748,162.00
749,163.00
750,164.00
751,166.00
752,167.00
753,171.00
754,174.00
755,177.00
756,181.00
757,182.00
758,180.00
759,180.00
760,178.00
761,179.00
762,186.00
763,187.00
764,187.00
765,188.00
766,187.00
767,211.00
768,212.00
769,213.00
770,219.00
771,219.00
772,226.00
773,226.00
774,226.00
775,235.00
776,233.00
777,230.00
778,231.00
779,232.00
780,234.00
781,235.00
782,238.00
783,241.00
784,239.00
785,238.00
786,238.00
787,238.00
788,238.00
789,251.00
790,251.00
791,251.00
792,250.00
793,251.00
794,256.00
795,256.00
796,256.00
797,255.00
798,253.00
799,253.00
800,256.00
801,257.00
802,257.00
803,256.00
804,256.00
805,258.00
806,261.00
807,261.00
808,258.00
809,258.00
810,259.00
811,259.00
812,257.00
813,257.00
814,255.00
815,253.00
816,258.00
817,258.00
818,258.00
819,256.00
820,254.00
821,255.00
822,256.00
823,269.00
824,265.00
825,265.00
826,267.00
827,269.00
828,275.00
829,277.00
830,276.00
831,277.00
832,265.00
833,265.00
834,267.00
835,264.00
836,264.00
837,271.00
838,269.00
839,269.00
840,270.00
841,267.00
842,276.00
843,278.00
844,278.00
845,280.00
846,266.00
847,277.00
848,278.00
849,278.00
850,308.00
851,308.00
852,307.00
853,308.00
854,308.00
855,308.00
856,302.00
857,301.00
858,301.00
859,283.00
860,282.00
861,278.00
862,278.00
863,277.00
864,277.00
865,280.00
866,283.00
867,283.00
868,279.00
869,278.00
870,279.00
871,279.00
872,280.00
873,282.00
874,284.00
875,279.00
876,277.00
877,277.00
878,276.00
879,277.00
880,277.00
881,276.00
882,275.00
883,273.00
884,283.00
885,283.00
886,284.00
887,285.00
888,285.00
889,291.00
890,295.00
891,304.00
892,305.00
893,295.00
894,300.00
895,300.00
896,309.00
897,309.00
898,300.00
899,303.00
900,296.00
901,299.00
902,296.00
903,296.00
904,299.00
905,300.00
906,301.00
907,315.00
908,313.00
909,311.00
910,308.00
911,310.00
912,312.00
913,317.00
914,309.00
915,309.00
916,303.00
917,304.00
918,309.00
919,307.00
920,307.00
921,308.00
922,304.00
923,304.00
924,304.00
925,306.00
926,307.00
927,307.00
928,302.00
929,305.00
930,302.00
931,302.00
932,300.00
933,301.00
934,301.00
935,301.00
936,297.00
937,302.00
938,304.00
939,308.00
940,305.00
941,305.00
942,306.00
943,307.00
944,309.00
945,309.00
946,305.00
947,305.00
948,306.00
949,306.00
950,307.00
951,306.00
952,305.00
953,298.00
954,298.00
955,297.00
956,297.00
957,297.00
958,297.00
959,298.00
960,300.00
961,298.00
962,298.00
963,300.00
964,302.00
965,301.00
966,296.00
967,297.00
968,295.00
969,294.00
970,287.00
971,296.00
972,277.00
973,281.00
974,281.00
975,280.00
976,280.00
977,281.00
978,281.00
979,289.00
980,282.00
981,281.00
982,277.00
983,276.00
984,270.00
985,280.00
986,283.00
987,280.00
988,269.00
989,271.00
990,277.00
991,279.00
992,274.00
993,271.00
994,251.00
995,248.00
996,249.00
997,234.00
998,234.00
999,230.00
1000,233.00
1001,236.00
1002,233.00
1003,233.00
1004,233.00
1005,234.00
1006,235.00
1007,234.00
1008,235.00
1009,235.00
1010,237.00
1011,236.00
1012,232.00
1013,235.00
1014,236.00
1015,234.00
1016,234.00
1017,232.00
1018,232.00
1019,234.00
1020,234.00
1021,233.00
1022,231.00
1023,231.00
1024,229.00
1025,228.00
1026,225.00
1027,216.00
1028,216.00
1029,214.00
1030,214.00
1031,216.00
1032,216.00
1033,217.00
1034,215.00
1035,215.00
1036,230.00
1037,232.00
1038,232.00
1039,230.00
1040,234.00
1041,234.00
1042,245.00
1043,246.00
1044,258.00
1045,246.00
1046,245.00
1047,244.00
1048,243.00
1049,244.00
1050,243.00
1051,243.00
1052,242.00
1053,240.00
1054,240.00
1055,246.00
1056,243.00
1057,243.00
1058,248.00
1059,248.00
1060,248.00
1061,253.00
1062,254.00
1063,255.00
1064,254.00
1065,254.00
1066,255.00
1067,257.00
1068,257.00
1069,263.00
1070,258.00
1071,258.00
1072,258.00
1073,258.00
1074,260.00
1075,261.00
1076,265.00
1077,264.00
1078,254.00
1079,276.00
1080,274.00
1081,276.00
1082,274.00
1083,273.00
1084,268.00
1085,266.00
1086,268.00
1087,267.00
1088,262.00
1089,262.00
1090,262.00
1091,263.00
1092,264.00
1093,267.00
1094,269.00
1095,268.00
1096,266.00
1097,266.00
1098,265.00
1099,266.00
1100,281.00
1101,281.00
1102,279.00
1103,279.00
1104,281.00
1105,282.00
1106,282.00
1107,282.00
1108,283.00
1109,280.00
1110,280.00
1111,278.00
1112,276.00
1113,276.00
1114,276.00
1115,276.00
1116,274.00
1117,275.00
1118,278.00
1119,275.00
1120,275.00
1121,270.00
1122,267.00
1123,265.00
1124,262.00
1125,264.00
1126,263.00
1127,260.00
1128,259.00
1129,256.00
1130,253.00
1131,267.00
1132,273.00
1133,272.00
1134,270.00
1135,258.00
1136,259.00
1137,262.00
1138,264.00
1139,265.00
1140,249.00
1141,247.00
1142,246.00
1143,247.00
1144,247.00
1145,249.00
1146,254.00
1147,254.00
1148,252.00
1149,255.00
1150,255.00
1151,255.00
1152,257.00
1153,257.00
1154,255.00
1155,252.00
1156,253.00
1157,253.00
1158,251.00
1159,252.00
1160,260.00
1161,266.00
1162,265.00
1163,264.00
1164,272.00
1165,273.00
1166,275.00
1167,275.00
1168,274.00
1169,276.00
1170,282.00
1171,284.00
1172,281.00
1173,282.00
1174,291.00
1175,289.00
1176,289.00
1177,287.00
1178,284.00
1179,302.00
1180,308.00
1181,308.00
1182,301.00
1183,296.00
1184,297.00
1185,299.00
1186,301.00
1187,303.00
1188,293.00
1189,318.00
1190,319.00
1191,317.00
1192,318.00
1193,318.00
1194,319.00
1195,325.00
1196,327.00
1197,329.00
1198,312.00
1199,309.00
1200,313.00
1201,313.00
1202,315.00
1203,310.00
1204,312.00
1205,318.00
1206,318.00
1207,318.00
1208,313.00
1209,311.00
1210,314.00
1211,316.00
1212,317.00
1213,315.00
1214,313.00
1215,311.00
1216,315.00
1217,315.00
1218,315.00
1219,311.00
