Position,Coverage
1,1.00
2,1.00
3,2.00
4,2.00
5,2.00
6,2.00
7,2.00
8,2.00
9,2.00
10,2.00
11,2.00
12,2.00
13,4.00
14,4.00
15,6.00
16,7.00
17,7.00
18,7.00
19,7.00
20,8.00
21,8.00
22,8.00
23,8.00
24,8.00
25,8.00
26,8.00
27,11.00
28,12.00
29,13.00
30,13.00
31,13.00
32,13.00
33,13.00
34,13.00
35,13.00
36,16.00
37,16.00
38,16.00
39,16.00
40,16.00
41,16.00
42,16.00
43,16.00
44,19.00
45,19.00
46,21.00
47,21.00
48,21.00
49,22.00
50,22.00
51,22.00
52,22.00
53,22.00
54,22.00
55,23.00
56,23.00
57,24.00
58,24.00
59,24.00
60,24.00
61,24.00
62,24.00
63,25.00
64,26.00
65,26.00
66,26.00
67,26.00
68,26.00
69,26.00
70,26.00
71,26.00
72,26.00
73,26.00
74,27.00
75,27.00
76,27.00
77,27.00
78,29.00
79,29.00
80,29.00
81,29.00
82,29.00
83,29.00
84,29.00
85,29.00
86,29.00
87,30.00
88,30.00
89,31.00
90,32.00
91,32.00
92,33.00
93,33.00
94,33.00
95,33.00
96,34.00
97,35.00
98,35.00
99,35.00
100,35.00
101,39.00
102,39.00
103,39.00
104,39.00
105,39.00
106,40.00
107,40.00
108,40.00
109,40.00
110,42.00
111,43.00
112,44.00
113,44.00
114,44.00
115,44.00
116,44.00
117,44.00
118,45.00
119,46.00
120,46.00
121,49.00
122,49.00
123,50.00
124,50.00
125,50.00
126,50.00
127,50.00
128,51.00
129,52.00
130,52.00
131,52.00
132,53.00
133,53.00
134,53.00
135,53.00
136,53.00
137,53.00
138,53.00
139,54.00
140,54.00
141,54.00
142,54.00
143,54.00
144,54.00
145,55.00
146,55.00
147,55.00
148,54.00
149,54.00
150,52.00
151,53.00
152,53.00
153,56.00
154,56.00
155,54.00
156,55.00
157,55.00
158,55.00
159,55.00
160,55.00
161,55.00
162,55.00
163,56.00
164,56.00
165,56.00
166,56.00
167,59.00
168,59.00
169,59.00
170,58.00
171,59.00
172,59.00
173,58.00
174,56.00
175,56.00
176,55.00
177,56.00
178,56.00
179,57.00
180,57.00
181,57.00
182,57.00
183,54.00
184,54.00
185,54.00
186,55.00
187,55.00
188,55.00
189,55.00
190,55.00
191,53.00
192,53.00
193,53.00
194,55.00
195,55.00
196,54.00
197,54.00
198,54.00
199,55.00
200,55.00
201,56.00
202,56.00
203,55.00
204,56.00
205,57.00
206,58.00
207,58.00
208,58.00
209,58.00
210,56.00
211,55.00
212,55.00
213,55.00
214,55.00
215,56.00
216,56.00
217,56.00
218,56.00
219,55.00
220,55.00
221,55.00
222,55.00
223,56.00
224,56.00
225,56.00
226,57.00
227,57.00
228,58.00
229,59.00
230,60.00
231,60.00
232,61.00
233,59.00
234,61.00
235,61.00
236,61.00
237,61.00
238,63.00
239,79.00
240,79.00
241,78.00
242,78.00
243,77.00
244,77.00
245,78.00
246,78.00
247,78.00
248,78.00
249,72.00
250,72.00
251,72.00
252,72.00
253,72.00
254,70.00
255,71.00
256,69.00
257,70.00
258,70.00
259,70.00
260,70.00
261,71.00
262,72.00
263,72.00
264,72.00
265,72.00
266,72.00
267,71.00
268,73.00
269,75.00
270,75.00
271,73.00
272,73.00
273,74.00
274,76.00
275,77.00
276,76.00
277,75.00
278,75.00
279,76.00
280,76.00
281,76.00
282,77.00
283,78.00
284,78.00
285,79.00
286,79.00
287,78.00
288,78.00
289,79.00
290,79.00
291,79.00
292,84.00
293,85.00
294,85.00
295,86.00
296,87.00
297,88.00
298,88.00
299,88.00
300,88.00
301,86.00
302,87.00
303,87.00
304,87.00
305,89.00
306,89.00
307,94.00
308,94.00
309,96.00
310,96.00
311,93.00
312,94.00
313,94.00
314,96.00
315,95.00
316,94.00
317,94.00
318,95.00
319,98.00
320,98.00
321,99.00
322,99.00
323,100.00
324,102.00
325,103.00
326,103.00
327,103.00
328,103.00
329,104.00
330,103.00
331,105.00
332,106.00
333,107.00
334,107.00
335,106.00
336,106.00
337,108.00
338,108.00
339,110.00
340,108.00
341,109.00
342,108.00
343,108.00
344,114.00
345,114.00
346,114.00
347,112.00
348,111.00
349,111.00
350,113.00
351,114.00
352,113.00
353,114.00
354,114.00
355,115.00
356,115.00
357,115.00
358,117.00
359,119.00
360,119.00
361,118.00
362,118.00
363,117.00
364,117.00
365,117.00
366,116.00
367,117.00
368,121.00
369,121.00
370,121.00
371,120.00
372,123.00
373,123.00
374,124.00
375,123.00
376,123.00
377,127.00
378,126.00
379,129.00
380,129.00
381,126.00
382,125.00
383,125.00
384,125.00
385,128.00
386,121.00
387,112.00
388,114.00
389,114.00
390,114.00
391,114.00
392,114.00
393,114.00
394,114.00
395,115.00
396,115.00
397,113.00
398,113.00
399,113.00
400,113.00
401,115.00
402,116.00
403,117.00
404,118.00
405,119.00
406,120.00
407,124.00
408,122.00
409,122.00
410,122.00
411,121.00
412,121.00
413,121.00
414,119.00
415,121.00
416,118.00
417,119.00
418,118.00
419,117.00
420,117.00
421,115.00
422,115.00
423,118.00
424,118.00
425,118.00
426,117.00
427,122.00
428,124.00
429,125.00
430,123.00
431,123.00
432,122.00
433,122.00
434,122.00
435,123.00
436,120.00
437,121.00
438,120.00
439,118.00
440,118.00
441,118.00
442,122.00
443,123.00
444,123.00
445,122.00
446,122.00
447,126.00
448,126.00
449,126.00
450,124.00
451,120.00
452,121.00
453,120.00
454,118.00
455,118.00
456,111.00
457,116.00
458,116.00
459,117.00
460,118.00
461,116.00
462,117.00
463,117.00
464,119.00
465,120.00
466,124.00
467,117.00
468,118.00
469,118.00
470,119.00
471,119.00
472,119.00
473,119.00
474,118.00
475,120.00
476,120.00
477,120.00
478,121.00
479,120.00
480,120.00
481,121.00
482,119.00
483,121.00
484,122.00
485,120.00
486,120.00
487,120.00
488,123.00
489,125.00
490,125.00
491,125.00
492,119.00
493,119.00
494,118.00
495,119.00
496,119.00
497,117.00
498,115.00
499,115.00
500,116.00
501,118.00
502,118.00
503,118.00
504,118.00
505,116.00
506,115.00
507,117.00
508,117.00
509,115.00
510,117.00
511,117.00
512,119.00
513,120.00
514,120.00
515,119.00
516,117.00
517,116.00
518,117.00
519,115.00
520,114.00
521,113.00
522,113.00
523,114.00
524,116.00
525,114.00
526,114.00
527,110.00
528,110.00
529,111.00
530,110.00
531,110.00
532,111.00
533,109.00
534,107.00
535,107.00
536,106.00
537,105.00
538,105.00
539,106.00
540,106.00
541,106.00
542,109.00
543,110.00
544,111.00
545,111.00
546,111.00
547,110.00
548,110.00
549,109.00
550,107.00
551,106.00
552,107.00
553,107.00
554,110.00
555,109.00
556,110.00
557,108.00
558,108.00
559,112.00
560,112.00
561,112.00
562,112.00
563,110.00
564,110.00
565,110.00
566,111.00
567,111.00
568,111.00
569,110.00
570,111.00
571,109.00
572,109.00
573,109.00
574,108.00
575,103.00
576,99.00
577,99.00
578,99.00
579,100.00
580,100.00
581,100.00
582,100.00
583,99.00
584,99.00
585,98.00
586,98.00
587,98.00
588,98.00
589,97.00
590,93.00
591,93.00
592,89.00
593,89.00
594,86.00
595,86.00
596,87.00
597,87.00
598,85.00
599,85.00
600,82.00
601,80.00
602,81.00
603,81.00
604,79.00
605,79.00
606,78.00
607,78.00
608,74.00
609,73.00
610,73.00
611,73.00
612,73.00
613,69.00
614,67.00
615,67.00
616,67.00
617,66.00
618,66.00
619,66.00
620,66.00
621,66.00
622,66.00
623,63.00
624,63.00
625,63.00
626,63.00
627,62.00
628,62.00
629,62.00
630,60.00
631,59.00
632,59.00
633,61.00
634,61.00
635,61.00
636,57.00
637,56.00
638,59.00
639,59.00
640,59.00
641,59.00
642,58.00
643,59.00
644,59.00
645,59.00
646,60.00
647,61.00
648,60.00
649,59.00
650,56.00
651,56.00
652,57.00
653,56.00
654,56.00
655,52.00
656,55.00
657,57.00
658,56.00
659,55.00
660,55.00
661,55.00
662,56.00
663,56.00
664,55.00
665,55.00
666,54.00
667,53.00
668,53.00
669,53.00
670,52.00
671,52.00
672,52.00
673,50.00
674,50.00
675,50.00
676,50.00
677,50.00
678,50.00
679,50.00
680,50.00
681,51.00
682,52.00
683,52.00
684,52.00
685,51.00
686,51.00
687,52.00
688,54.00
689,53.00
690,53.00
691,53.00
692,54.00
693,54.00
694,54.00
695,55.00
696,55.00
697,55.00
698,55.00
699,54.00
700,57.00
701,57.00
702,56.00
703,55.00
704,53.00
705,52.00
706,52.00
707,51.00
708,51.00
709,51.00
710,54.00
711,55.00
712,56.00
713,56.00
714,56.00
715,56.00
716,56.00
717,61.00
718,62.00
719,60.00
720,61.00
721,60.00
722,60.00
723,60.00
724,61.00
725,61.00
726,61.00
727,62.00
728,62.00
729,62.00
730,62.00
731,62.00
732,62.00
733,62.00
734,62.00
735,63.00
736,68.00
737,68.00
738,68.00
739,68.00
740,69.00
741,70.00
742,71.00
743,71.00
744,70.00
745,70.00
746,70.00
747,71.00
748,71.00
749,70.00
750,70.00
751,70.00
752,70.00
753,70.00
754,70.00
755,69.00
756,69.00
757,69.00
758,69.00
759,69.00
760,69.00
761,71.00
762,73.00
763,73.00
764,73.00
765,77.00
766,79.00
767,79.00
768,79.00
769,79.00
770,78.00
771,78.00
772,78.00
773,78.00
774,78.00
775,78.00
776,90.00
777,91.00
778,92.00
779,93.00
780,88.00
781,89.00
782,90.00
783,90.00
784,90.00
785,83.00
786,83.00
787,83.00
788,83.00
789,86.00
790,84.00
791,84.00
792,85.00
793,85.00
794,85.00
795,85.00
796,85.00
797,84.00
798,87.00
799,86.00
800,86.00
801,86.00
802,87.00
803,91.00
804,91.00
805,91.00
806,91.00
807,88.00
808,86.00
809,87.00
810,87.00
811,87.00
812,87.00
813,85.00
814,85.00
815,88.00
816,88.00
817,89.00
818,90.00
819,90.00
820,90.00
821,90.00
822,91.00
823,92.00
824,92.00
825,93.00
826,93.00
827,93.00
828,94.00
829,94.00
830,95.00
831,94.00
832,97.00
833,95.00
834,98.00
835,99.00
836,99.00
837,99.00
838,98.00
839,97.00
840,96.00
841,92.00
842,92.00
843,93.00
844,95.00
845,99.00
846,103.00
847,103.00
848,104.00
849,104.00
850,103.00
851,104.00
852,105.00
853,107.00
854,108.00
855,107.00
856,111.00
857,112.00
858,113.00
859,116.00
860,116.00
861,119.00
862,119.00
863,121.00
864,121.00
865,120.00
866,120.00
867,120.00
868,116.00
869,116.00
870,113.00
871,113.00
872,113.00
873,113.00
874,114.00
875,116.00
876,116.00
877,117.00
878,117.00
879,117.00
880,117.00
881,118.00
882,118.00
883,120.00
884,120.00
885,119.00
886,119.00
887,116.00
888,118.00
889,119.00
890,119.00
891,116.00
892,116.00
893,122.00
894,122.00
895,122.00
896,122.00
897,121.00
898,123.00
899,124.00
900,125.00
901,125.00
902,125.00
903,126.00
904,128.00
905,129.00
906,129.00
907,129.00
908,126.00
909,125.00
910,125.00
911,122.00
912,122.00
913,124.00
914,124.00
915,125.00
916,126.00
917,128.00
918,128.00
919,128.00
920,129.00
921,130.00
922,129.00
923,117.00
924,117.00
925,115.00
926,115.00
927,116.00
928,115.00
929,115.00
930,116.00
931,116.00
932,116.00
933,116.00
934,116.00
935,116.00
936,112.00
937,113.00
938,117.00
939,116.00
940,118.00
941,117.00
942,117.00
943,117.00
944,118.00
945,115.00
946,117.00
947,120.00
948,123.00
949,118.00
950,118.00
951,119.00
952,120.00
953,122.00
954,122.00
955,122.00
956,122.00
957,122.00
958,122.00
959,122.00
960,121.00
961,122.00
962,119.00
963,119.00
964,119.00
965,119.00
966,119.00
967,118.00
968,118.00
969,118.00
970,117.00
971,116.00
972,120.00
973,120.00
974,120.00
975,119.00
976,118.00
977,116.00
978,116.00
979,112.00
980,112.00
981,110.00
982,114.00
983,114.00
984,114.00
985,114.00
986,115.00
987,117.00
988,120.00
989,119.00
990,115.00
991,109.00
992,108.00
993,105.00
994,109.00
995,113.00
996,114.00
997,111.00
998,111.00
999,115.00
1000,118.00
1001,118.00
1002,118.00
1003,117.00
1004,114.00
1005,114.00
1006,109.00
1007,108.00
1008,109.00
1009,110.00
1010,110.00
1011,111.00
1012,111.00
1013,111.00
1014,111.00
1015,112.00
1016,112.00
1017,112.00
1018,111.00
1019,111.00
1020,111.00
1021,113.00
1022,111.00
1023,111.00
1024,111.00
1025,112.00
1026,114.00
1027,115.00
1028,115.00
1029,116.00
1030,113.00
1031,113.00
1032,117.00
1033,116.00
1034,116.00
1035,115.00
1036,111.00
1037,112.00
1038,112.00
1039,113.00
1040,113.00
1041,113.00
1042,112.00
1043,112.00
1044,119.00
1045,119.00
1046,119.00
1047,119.00
1048,119.00
1049,118.00
1050,125.00
1051,124.00
1052,127.00
1053,122.00
1054,122.00
1055,123.00
1056,125.00
1057,126.00
1058,127.00
1059,127.00
1060,127.00
1061,127.00
1062,127.00
1063,126.00
1064,125.00
1065,125.00
1066,125.00
1067,125.00
1068,125.00
1069,126.00
1070,127.00
1071,127.00
1072,127.00
1073,127.00
1074,128.00
1075,127.00
1076,128.00
1077,136.00
1078,136.00
1079,135.00
1080,137.00
1081,137.00
1082,136.00
1083,137.00
1084,138.00
1085,138.00
1086,134.00
1087,140.00
1088,140.00
1089,141.00
1090,141.00
1091,141.00
1092,140.00
1093,139.00
1094,138.00
1095,137.00
1096,131.00
1097,131.00
1098,131.00
1099,131.00
1100,131.00
1101,132.00
1102,131.00
1103,132.00
1104,132.00
1105,132.00
1106,133.00
1107,134.00
1108,146.00
1109,145.00
1110,143.00
1111,141.00
1112,139.00
1113,140.00
1114,140.00
1115,140.00
1116,142.00
1117,140.00
1118,143.00
1119,143.00
1120,142.00
1121,141.00
1122,141.00
1123,142.00
1124,142.00
1125,141.00
1126,141.00
1127,141.00
1128,143.00
1129,141.00
1130,140.00
1131,141.00
1132,140.00
1133,141.00
