Position,Coverage
1,1.00
2,1.00
3,1.00
4,3.00
5,3.00
6,3.00
7,3.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,4.00
14,4.00
15,4.00
16,4.00
17,4.00
18,5.00
19,5.00
20,5.00
21,5.00
22,5.00
23,6.00
24,6.00
25,7.00
26,7.00
27,7.00
28,7.00
29,7.00
30,7.00
31,7.00
32,7.00
33,7.00
34,8.00
35,8.00
36,8.00
37,8.00
38,8.00
39,8.00
40,8.00
41,8.00
42,8.00
43,9.00
44,9.00
45,9.00
46,9.00
47,9.00
48,9.00
49,9.00
50,9.00
51,9.00
52,9.00
53,9.00
54,9.00
55,9.00
56,9.00
57,9.00
58,9.00
59,10.00
60,11.00
61,12.00
62,12.00
63,12.00
64,12.00
65,13.00
66,13.00
67,13.00
68,13.00
69,13.00
70,13.00
71,13.00
72,13.00
73,13.00
74,13.00
75,13.00
76,13.00
77,13.00
78,13.00
79,13.00
80,13.00
81,13.00
82,13.00
83,14.00
84,14.00
85,14.00
86,14.00
87,14.00
88,14.00
89,15.00
90,15.00
91,15.00
92,15.00
93,15.00
94,15.00
95,15.00
96,15.00
97,16.00
98,17.00
99,21.00
100,22.00
101,25.00
102,25.00
103,26.00
104,30.00
105,30.00
106,30.00
107,31.00
108,31.00
109,31.00
110,31.00
111,31.00
112,31.00
113,31.00
114,31.00
115,31.00
116,31.00
117,31.00
118,31.00
119,31.00
120,31.00
121,31.00
122,32.00
123,32.00
124,32.00
125,33.00
126,33.00
127,34.00
128,34.00
129,34.00
130,34.00
131,34.00
132,35.00
133,35.00
134,35.00
135,36.00
136,36.00
137,36.00
138,36.00
139,36.00
140,36.00
141,36.00
142,36.00
143,36.00
144,36.00
145,37.00
146,36.00
147,36.00
148,35.00
149,36.00
150,36.00
151,35.00
152,35.00
153,36.00
154,36.00
155,36.00
156,36.00
157,36.00
158,36.00
159,36.00
160,34.00
161,34.00
162,34.00
163,35.00
164,35.00
165,38.00
166,39.00
167,39.00
168,39.00
169,39.00
170,38.00
171,38.00
172,39.00
173,39.00
174,39.00
175,41.00
176,41.00
177,41.00
178,42.00
179,42.00
180,42.00
181,41.00
182,41.00
183,41.00
184,42.00
185,42.00
186,42.00
187,42.00
188,42.00
189,43.00
190,42.00
191,43.00
192,44.00
193,44.00
194,44.00
195,44.00
196,44.00
197,44.00
198,44.00
199,44.00
200,44.00
201,44.00
202,46.00
203,47.00
204,47.00
205,46.00
206,45.00
207,45.00
208,43.00
209,43.00
210,43.00
211,43.00
212,44.00
213,44.00
214,44.00
215,44.00
216,45.00
217,45.00
218,45.00
219,45.00
220,45.00
221,45.00
222,45.00
223,45.00
224,45.00
225,45.00
226,45.00
227,45.00
228,47.00
229,47.00
230,47.00
231,47.00
232,47.00
233,47.00
234,47.00
235,47.00
236,47.00
237,53.00
238,54.00
239,54.00
240,54.00
241,53.00
242,53.00
243,53.00
244,54.00
245,53.00
246,45.00
247,46.00
248,46.00
249,45.00
250,45.00
251,45.00
252,44.00
253,41.00
254,41.00
255,41.00
256,41.00
257,41.00
258,41.00
259,41.00
260,41.00
261,41.00
262,41.00
263,41.00
264,42.00
265,42.00
266,42.00
267,42.00
268,42.00
269,40.00
270,40.00
271,39.00
272,41.00
273,40.00
274,40.00
275,40.00
276,42.00
277,42.00
278,42.00
279,41.00
280,41.00
281,41.00
282,42.00
283,42.00
284,42.00
285,42.00
286,42.00
287,42.00
288,42.00
289,44.00
290,45.00
291,44.00
292,44.00
293,44.00
294,45.00
295,45.00
296,45.00
297,46.00
298,46.00
299,46.00
300,45.00
301,46.00
302,45.00
303,47.00
304,47.00
305,46.00
306,49.00
307,49.00
308,49.00
309,49.00
310,48.00
311,48.00
312,48.00
313,50.00
314,49.00
315,49.00
316,49.00
317,49.00
318,51.00
319,51.00
320,49.00
321,47.00
322,47.00
323,47.00
324,47.00
325,48.00
326,48.00
327,47.00
328,47.00
329,47.00
330,51.00
331,51.00
332,51.00
333,50.00
334,50.00
335,50.00
336,50.00
337,50.00
338,51.00
339,50.00
340,49.00
341,48.00
342,48.00
343,51.00
344,51.00
345,52.00
346,53.00
347,52.00
348,52.00
349,54.00
350,54.00
351,54.00
352,55.00
353,55.00
354,55.00
355,55.00
356,55.00
357,55.00
358,57.00
359,56.00
360,56.00
361,58.00
362,58.00
363,58.00
364,58.00
365,57.00
366,57.00
367,57.00
368,58.00
369,59.00
370,60.00
371,61.00
372,64.00
373,64.00
374,64.00
375,64.00
376,65.00
377,65.00
378,65.00
379,64.00
380,64.00
381,64.00
382,64.00
383,64.00
384,64.00
385,60.00
386,55.00
387,55.00
388,55.00
389,58.00
390,57.00
391,57.00
392,57.00
393,57.00
394,58.00
395,58.00
396,57.00
397,57.00
398,57.00
399,57.00
400,58.00
401,58.00
402,58.00
403,58.00
404,58.00
405,58.00
406,59.00
407,59.00
408,60.00
409,60.00
410,59.00
411,58.00
412,58.00
413,58.00
414,60.00
415,60.00
416,62.00
417,62.00
418,62.00
419,62.00
420,63.00
421,61.00
422,63.00
423,63.00
424,63.00
425,62.00
426,64.00
427,64.00
428,64.00
429,64.00
430,65.00
431,64.00
432,64.00
433,62.00
434,62.00
435,62.00
436,62.00
437,62.00
438,61.00
439,61.00
440,62.00
441,64.00
442,64.00
443,64.00
444,64.00
445,64.00
446,67.00
447,67.00
448,66.00
449,66.00
450,64.00
451,64.00
452,64.00
453,61.00
454,61.00
455,59.00
456,65.00
457,65.00
458,67.00
459,67.00
460,65.00
461,64.00
462,64.00
463,64.00
464,64.00
465,65.00
466,63.00
467,63.00
468,63.00
469,63.00
470,65.00
471,65.00
472,65.00
473,64.00
474,66.00
475,66.00
476,66.00
477,66.00
478,64.00
479,65.00
480,65.00
481,65.00
482,66.00
483,66.00
484,67.00
485,66.00
486,65.00
487,68.00
488,69.00
489,69.00
490,69.00
491,66.00
492,66.00
493,67.00
494,66.00
495,66.00
496,66.00
497,66.00
498,65.00
499,64.00
500,64.00
501,64.00
502,64.00
503,64.00
504,63.00
505,63.00
506,62.00
507,62.00
508,62.00
509,62.00
510,62.00
511,63.00
512,63.00
513,61.00
514,61.00
515,61.00
516,59.00
517,59.00
518,59.00
519,59.00
520,56.00
521,56.00
522,56.00
523,56.00
524,56.00
525,55.00
526,55.00
527,55.00
528,55.00
529,55.00
530,55.00
531,55.00
532,55.00
533,53.00
534,53.00
535,54.00
536,54.00
537,53.00
538,54.00
539,54.00
540,54.00
541,55.00
542,55.00
543,55.00
544,55.00
545,55.00
546,55.00
547,57.00
548,56.00
549,56.00
550,56.00
551,56.00
552,56.00
553,55.00
554,56.00
555,56.00
556,55.00
557,55.00
558,55.00
559,55.00
560,55.00
561,54.00
562,52.00
563,52.00
564,50.00
565,50.00
566,49.00
567,48.00
568,46.00
569,47.00
570,46.00
571,46.00
572,46.00
573,46.00
574,44.00
575,44.00
576,44.00
577,44.00
578,43.00
579,43.00
580,43.00
581,43.00
582,43.00
583,43.00
584,43.00
585,44.00
586,44.00
587,45.00
588,45.00
589,43.00
590,43.00
591,43.00
592,43.00
593,40.00
594,40.00
595,41.00
596,41.00
597,41.00
598,40.00
599,39.00
600,39.00
601,39.00
602,39.00
603,38.00
604,35.00
605,35.00
606,34.00
607,34.00
608,35.00
609,35.00
610,35.00
611,35.00
612,34.00
613,34.00
614,36.00
615,36.00
616,36.00
617,34.00
618,34.00
619,34.00
620,34.00
621,31.00
622,33.00
623,33.00
624,32.00
625,32.00
626,32.00
627,32.00
628,33.00
629,32.00
630,30.00
631,28.00
632,29.00
633,29.00
634,29.00
635,29.00
636,31.00
637,31.00
638,32.00
639,33.00
640,31.00
641,32.00
642,32.00
643,34.00
644,34.00
645,33.00
646,33.00
647,34.00
648,34.00
649,34.00
650,34.00
651,33.00
652,34.00
653,35.00
654,35.00
655,32.00
656,32.00
657,32.00
658,32.00
659,32.00
660,32.00
661,32.00
662,32.00
663,32.00
664,32.00
665,32.00
666,32.00
667,32.00
668,31.00
669,31.00
670,31.00
671,32.00
672,31.00
673,32.00
674,33.00
675,33.00
676,33.00
677,33.00
678,33.00
679,33.00
680,33.00
681,33.00
682,33.00
683,34.00
684,34.00
685,34.00
686,34.00
687,33.00
688,33.00
689,34.00
690,34.00
691,34.00
692,36.00
693,36.00
694,35.00
695,35.00
696,35.00
697,35.00
698,35.00
699,35.00
700,35.00
701,34.00
702,36.00
703,36.00
704,36.00
705,36.00
706,36.00
707,39.00
708,40.00
709,40.00
710,40.00
711,40.00
712,40.00
713,41.00
714,42.00
715,42.00
716,41.00
717,41.00
718,41.00
719,41.00
720,41.00
721,41.00
722,41.00
723,41.00
724,41.00
725,40.00
726,40.00
727,40.00
728,40.00
729,39.00
730,39.00
731,39.00
732,38.00
733,40.00
734,40.00
735,40.00
736,40.00
737,41.00
738,42.00
739,42.00
740,43.00
741,43.00
742,42.00
743,42.00
744,42.00
745,42.00
746,42.00
747,42.00
748,43.00
749,43.00
750,43.00
751,43.00
752,44.00
753,45.00
754,46.00
755,47.00
756,46.00
757,46.00
758,46.00
759,46.00
760,46.00
761,43.00
762,43.00
763,43.00
764,43.00
765,47.00
766,49.00
767,49.00
768,49.00
769,48.00
770,48.00
771,48.00
772,50.00
773,50.00
774,50.00
775,50.00
776,49.00
777,48.00
778,50.00
779,49.00
780,49.00
781,49.00
782,48.00
783,48.00
784,47.00
785,47.00
786,45.00
787,44.00
788,44.00
789,43.00
790,43.00
791,41.00
792,41.00
793,42.00
794,42.00
795,42.00
796,42.00
797,42.00
798,41.00
799,41.00
800,41.00
801,41.00
802,40.00
803,40.00
804,41.00
805,41.00
806,42.00
807,42.00
808,42.00
809,43.00
810,44.00
811,44.00
812,44.00
813,44.00
814,44.00
815,44.00
816,43.00
817,43.00
818,43.00
819,44.00
820,44.00
821,44.00
822,44.00
823,43.00
824,43.00
825,43.00
826,44.00
827,45.00
828,46.00
829,45.00
830,46.00
831,47.00
832,47.00
833,47.00
834,47.00
835,47.00
836,45.00
837,44.00
838,44.00
839,44.00
840,44.00
841,43.00
842,43.00
843,43.00
844,43.00
845,44.00
846,46.00
847,48.00
848,50.00
849,51.00
850,51.00
851,54.00
852,54.00
853,54.00
854,56.00
855,55.00
856,55.00
857,55.00
858,54.00
859,54.00
860,54.00
861,54.00
862,53.00
863,52.00
864,52.00
865,52.00
866,52.00
867,52.00
868,52.00
869,54.00
870,54.00
871,54.00
872,56.00
873,55.00
874,56.00
875,56.00
876,56.00
877,56.00
878,58.00
879,57.00
880,57.00
881,57.00
882,57.00
883,57.00
884,58.00
885,58.00
886,57.00
887,56.00
888,56.00
889,56.00
890,56.00
891,54.00
892,55.00
893,56.00
894,55.00
895,56.00
896,55.00
897,55.00
898,55.00
899,56.00
900,60.00
901,59.00
902,58.00
903,57.00
904,58.00
905,59.00
906,59.00
907,60.00
908,62.00
909,61.00
910,61.00
911,62.00
912,60.00
913,60.00
914,59.00
915,58.00
916,58.00
917,60.00
918,59.00
919,59.00
920,57.00
921,57.00
922,57.00
923,57.00
924,59.00
925,58.00
926,57.00
927,57.00
928,58.00
929,58.00
930,59.00
931,59.00
932,59.00
933,61.00
934,61.00
935,61.00
936,60.00
937,60.00
938,60.00
939,60.00
940,60.00
941,61.00
942,62.00
943,63.00
944,64.00
945,64.00
946,64.00
947,64.00
948,65.00
949,65.00
950,63.00
951,64.00
952,64.00
953,64.00
954,64.00
955,64.00
956,63.00
957,62.00
958,62.00
959,62.00
960,62.00
961,63.00
962,64.00
963,64.00
964,64.00
965,64.00
966,64.00
967,63.00
968,63.00
969,63.00
970,63.00
971,65.00
972,65.00
973,65.00
974,63.00
975,64.00
976,63.00
977,65.00
978,65.00
979,64.00
980,64.00
981,65.00
982,65.00
983,66.00
984,66.00
985,67.00
986,67.00
987,66.00
988,66.00
989,66.00
990,67.00
991,66.00
992,65.00
993,65.00
994,67.00
995,67.00
996,67.00
997,65.00
998,64.00
999,66.00
1000,66.00
1001,64.00
1002,64.00
1003,62.00
1004,62.00
1005,62.00
1006,62.00
1007,63.00
1008,63.00
1009,64.00
1010,64.00
1011,64.00
1012,64.00
1013,61.00
1014,61.00
1015,61.00
1016,61.00
1017,61.00
1018,61.00
1019,59.00
1020,59.00
1021,60.00
1022,60.00
1023,60.00
1024,61.00
1025,59.00
1026,60.00
1027,60.00
1028,60.00
1029,59.00
1030,59.00
1031,59.00
1032,59.00
1033,59.00
1034,58.00
1035,58.00
1036,55.00
1037,55.00
1038,61.00
1039,62.00
1040,62.00
1041,62.00
1042,62.00
1043,62.00
1044,67.00
1045,67.00
1046,67.00
1047,63.00
1048,63.00
1049,64.00
1050,65.00
1051,64.00
1052,64.00
1053,63.00
1054,63.00
1055,60.00
1056,60.00
1057,61.00
1058,61.00
1059,60.00
1060,61.00
1061,61.00
1062,61.00
1063,62.00
1064,60.00
1065,59.00
1066,59.00
1067,59.00
1068,59.00
1069,59.00
1070,59.00
1071,64.00
1072,60.00
1073,60.00
1074,60.00
1075,60.00
1076,60.00
1077,60.00
1078,59.00
1079,59.00
1080,56.00
1081,58.00
1082,59.00
1083,60.00
1084,60.00
1085,60.00
1086,60.00
1087,59.00
1088,59.00
1089,59.00
1090,56.00
1091,56.00
1092,55.00
1093,56.00
1094,56.00
1095,57.00
1096,58.00
1097,58.00
1098,57.00
1099,57.00
1100,58.00
1101,58.00
1102,60.00
1103,60.00
1104,60.00
1105,59.00
1106,59.00
1107,60.00
1108,60.00
1109,59.00
1110,60.00
1111,60.00
1112,60.00
1113,60.00
1114,59.00
1115,59.00
1116,59.00
1117,59.00
1118,58.00
1119,58.00
1120,58.00
1121,57.00
1122,57.00
1123,57.00
1124,56.00
1125,56.00
1126,56.00
1127,59.00
1128,61.00
1129,61.00
1130,63.00
1131,61.00
1132,60.00
1133,59.00
