Position,Coverage
1,1.00
2,1.00
3,2.00
4,3.00
5,3.00
6,3.00
7,3.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,3.00
14,3.00
15,3.00
16,3.00
17,3.00
18,3.00
19,3.00
20,3.00
21,3.00
22,3.00
23,3.00
24,3.00
25,3.00
26,3.00
27,3.00
28,3.00
29,3.00
30,3.00
31,3.00
32,3.00
33,3.00
34,3.00
35,3.00
36,3.00
37,4.00
38,4.00
39,4.00
40,4.00
41,4.00
42,4.00
43,4.00
44,4.00
45,4.00
46,5.00
47,5.00
48,5.00
49,5.00
50,5.00
51,6.00
52,6.00
53,6.00
54,6.00
55,6.00
56,6.00
57,6.00
58,6.00
59,6.00
60,6.00
61,6.00
62,6.00
63,9.00
64,9.00
65,9.00
66,9.00
67,9.00
68,9.00
69,9.00
70,9.00
71,9.00
72,10.00
73,10.00
74,10.00
75,10.00
76,11.00
77,11.00
78,11.00
79,11.00
80,11.00
81,11.00
82,11.00
83,11.00
84,12.00
85,13.00
86,13.00
87,13.00
88,13.00
89,13.00
90,13.00
91,13.00
92,13.00
93,13.00
94,13.00
95,13.00
96,13.00
97,13.00
98,13.00
99,13.00
100,13.00
101,13.00
102,14.00
103,14.00
104,14.00
105,14.00
106,14.00
107,14.00
108,15.00
109,15.00
110,16.00
111,16.00
112,16.00
113,16.00
114,16.00
115,16.00
116,17.00
117,18.00
118,18.00
119,18.00
120,18.00
121,18.00
122,19.00
123,19.00
124,19.00
125,21.00
126,21.00
127,21.00
128,21.00
129,21.00
130,22.00
131,23.00
132,23.00
133,23.00
134,23.00
135,24.00
136,24.00
137,25.00
138,25.00
139,25.00
140,25.00
141,25.00
142,25.00
143,25.00
144,25.00
145,25.00
146,25.00
147,25.00
148,25.00
149,25.00
150,24.00
151,23.00
152,23.00
153,23.00
154,23.00
155,23.00
156,23.00
157,23.00
158,24.00
159,24.00
160,24.00
161,26.00
162,26.00
163,26.00
164,26.00
165,26.00
166,26.00
167,27.00
168,27.00
169,27.00
170,28.00
171,28.00
172,28.00
173,28.00
174,28.00
175,28.00
176,28.00
177,28.00
178,28.00
179,28.00
180,29.00
181,29.00
182,29.00
183,28.00
184,28.00
185,28.00
186,28.00
187,29.00
188,29.00
189,29.00
190,30.00
191,31.00
192,30.00
193,30.00
194,30.00
195,30.00
196,31.00
197,31.00
198,31.00
199,31.00
200,31.00
201,31.00
202,31.00
203,31.00
204,31.00
205,30.00
206,30.00
207,30.00
208,30.00
209,30.00
210,28.00
211,28.00
212,27.00
213,27.00
214,27.00
215,27.00
216,26.00
217,26.00
218,26.00
219,26.00
220,26.00
221,26.00
222,26.00
223,26.00
224,27.00
225,27.00
226,27.00
227,27.00
228,27.00
229,27.00
230,26.00
231,27.00
232,27.00
233,27.00
234,27.00
235,27.00
236,27.00
237,27.00
238,27.00
239,27.00
240,27.00
241,27.00
242,27.00
243,29.00
244,29.00
245,29.00
246,29.00
247,29.00
248,29.00
249,29.00
250,29.00
251,30.00
252,30.00
253,30.00
254,30.00
255,30.00
256,30.00
257,28.00
258,27.00
259,27.00
260,28.00
261,27.00
262,28.00
263,28.00
264,28.00
265,30.00
266,30.00
267,30.00
268,31.00
269,31.00
270,30.00
271,30.00
272,30.00
273,28.00
274,29.00
275,29.00
276,29.00
277,29.00
278,30.00
279,30.00
280,30.00
281,31.00
282,30.00
283,30.00
284,30.00
285,30.00
286,29.00
287,35.00
288,36.00
289,37.00
290,38.00
291,39.00
292,39.00
293,40.00
294,39.00
295,39.00
296,38.00
297,38.00
298,38.00
299,38.00
300,42.00
301,42.00
302,42.00
303,42.00
304,41.00
305,41.00
306,42.00
307,44.00
308,43.00
309,43.00
310,43.00
311,43.00
312,43.00
313,43.00
314,42.00
315,43.00
316,43.00
317,42.00
318,42.00
319,42.00
320,41.00
321,41.00
322,41.00
323,41.00
324,41.00
325,41.00
326,41.00
327,41.00
328,41.00
329,42.00
330,42.00
331,42.00
332,42.00
333,42.00
334,41.00
335,41.00
336,41.00
337,40.00
338,40.00
339,40.00
340,40.00
341,40.00
342,40.00
343,39.00
344,40.00
345,40.00
346,40.00
347,39.00
348,39.00
349,39.00
350,39.00
351,39.00
352,39.00
353,39.00
354,39.00
355,39.00
356,39.00
357,39.00
358,39.00
359,39.00
360,39.00
361,39.00
362,39.00
363,41.00
364,41.00
365,41.00
366,41.00
367,42.00
368,42.00
369,42.00
370,41.00
371,45.00
372,45.00
373,47.00
374,48.00
375,49.00
376,49.00
377,51.00
378,49.00
379,49.00
380,49.00
381,51.00
382,51.00
383,51.00
384,51.00
385,51.00
386,51.00
387,51.00
388,50.00
389,50.00
390,48.00
391,50.00
392,50.00
393,50.00
394,50.00
395,50.00
396,50.00
397,50.00
398,49.00
399,49.00
400,50.00
401,50.00
402,50.00
403,50.00
404,50.00
405,50.00
406,50.00
407,49.00
408,49.00
409,49.00
410,49.00
411,48.00
412,46.00
413,47.00
414,47.00
415,47.00
416,47.00
417,48.00
418,48.00
419,48.00
420,48.00
421,47.00
422,47.00
423,47.00
424,47.00
425,45.00
426,45.00
427,45.00
428,44.00
429,44.00
430,45.00
431,44.00
432,44.00
433,44.00
434,38.00
435,37.00
436,37.00
437,36.00
438,37.00
439,37.00
440,36.00
441,36.00
442,36.00
443,37.00
444,37.00
445,37.00
446,37.00
447,34.00
448,34.00
449,35.00
450,35.00
451,35.00
452,35.00
453,33.00
454,33.00
455,33.00
456,33.00
457,34.00
458,34.00
459,34.00
460,34.00
461,34.00
462,35.00
463,35.00
464,35.00
465,35.00
466,35.00
467,35.00
468,36.00
469,36.00
470,36.00
471,36.00
472,35.00
473,35.00
474,36.00
475,36.00
476,33.00
477,33.00
478,33.00
479,33.00
480,33.00
481,33.00
482,33.00
483,34.00
484,34.00
485,34.00
486,34.00
487,35.00
488,35.00
489,35.00
490,35.00
491,34.00
492,34.00
493,34.00
494,34.00
495,34.00
496,34.00
497,34.00
498,34.00
499,34.00
500,34.00
501,34.00
502,33.00
503,33.00
504,33.00
505,33.00
506,33.00
507,33.00
508,33.00
509,32.00
510,32.00
511,32.00
512,31.00
513,31.00
514,30.00
515,30.00
516,30.00
517,30.00
518,26.00
519,26.00
520,24.00
521,25.00
522,25.00
523,25.00
524,25.00
525,25.00
526,25.00
527,25.00
528,23.00
529,23.00
530,23.00
531,23.00
532,23.00
533,23.00
534,23.00
535,23.00
536,23.00
537,23.00
538,21.00
539,21.00
540,21.00
541,21.00
542,21.00
543,21.00
544,21.00
545,21.00
546,22.00
547,20.00
548,20.00
549,20.00
550,20.00
551,21.00
552,21.00
553,21.00
554,21.00
555,20.00
556,19.00
557,20.00
558,20.00
559,19.00
560,18.00
561,18.00
562,18.00
563,18.00
564,18.00
565,18.00
566,18.00
567,18.00
568,18.00
569,18.00
570,18.00
571,18.00
572,18.00
573,18.00
574,18.00
575,18.00
576,18.00
577,16.00
578,17.00
579,18.00
580,17.00
581,17.00
582,17.00
583,17.00
584,18.00
585,17.00
586,17.00
587,16.00
588,16.00
589,16.00
590,15.00
591,15.00
592,14.00
593,14.00
594,15.00
595,16.00
596,15.00
597,15.00
598,15.00
599,15.00
600,15.00
601,15.00
602,15.00
603,16.00
604,15.00
605,15.00
606,14.00
607,14.00
608,14.00
609,13.00
610,14.00
611,14.00
612,14.00
613,14.00
614,15.00
615,14.00
616,14.00
617,14.00
618,14.00
619,13.00
620,13.00
621,13.00
622,13.00
623,14.00
624,14.00
625,16.00
626,16.00
627,17.00
628,17.00
629,17.00
630,18.00
631,18.00
632,18.00
633,18.00
634,19.00
635,19.00
636,19.00
637,20.00
638,20.00
639,22.00
640,22.00
641,22.00
642,23.00
643,23.00
644,23.00
645,23.00
646,23.00
647,23.00
648,23.00
649,23.00
650,23.00
651,23.00
652,23.00
653,23.00
654,23.00
655,22.00
656,22.00
657,23.00
658,23.00
659,23.00
660,23.00
661,23.00
662,23.00
663,23.00
664,24.00
665,25.00
666,25.00
667,25.00
668,24.00
669,25.00
670,25.00
671,25.00
672,25.00
673,25.00
674,25.00
675,26.00
676,26.00
677,26.00
678,26.00
679,27.00
680,27.00
681,27.00
682,27.00
683,27.00
684,27.00
685,27.00
686,27.00
687,27.00
688,28.00
689,31.00
690,31.00
691,31.00
692,31.00
693,32.00
694,32.00
695,32.00
696,32.00
697,32.00
698,31.00
699,31.00
700,31.00
701,32.00
702,32.00
703,32.00
704,32.00
705,32.00
706,32.00
707,32.00
708,32.00
709,32.00
710,32.00
711,34.00
712,35.00
713,35.00
714,35.00
715,35.00
716,36.00
717,35.00
718,35.00
719,35.00
720,35.00
721,35.00
722,35.00
723,35.00
724,35.00
725,35.00
726,34.00
727,33.00
728,35.00
729,35.00
730,37.00
731,38.00
732,38.00
733,38.00
734,42.00
735,41.00
736,41.00
737,40.00
738,40.00
739,40.00
740,40.00
741,40.00
742,41.00
743,40.00
744,40.00
745,40.00
746,40.00
747,40.00
748,40.00
749,40.00
750,39.00
751,39.00
752,40.00
753,41.00
754,41.00
755,41.00
756,41.00
757,41.00
758,41.00
759,41.00
760,40.00
761,40.00
762,39.00
763,39.00
764,40.00
765,42.00
766,42.00
767,42.00
768,42.00
769,42.00
770,42.00
771,42.00
772,42.00
773,39.00
774,39.00
775,38.00
776,38.00
777,38.00
778,38.00
779,38.00
780,39.00
781,39.00
782,40.00
783,40.00
784,42.00
785,40.00
786,40.00
787,40.00
788,40.00
789,40.00
790,40.00
791,40.00
792,40.00
793,42.00
794,42.00
795,42.00
796,43.00
797,43.00
798,43.00
799,42.00
800,42.00
801,42.00
802,42.00
803,42.00
804,42.00
805,42.00
806,43.00
807,45.00
808,45.00
809,47.00
810,47.00
811,48.00
812,47.00
813,47.00
814,47.00
815,47.00
816,48.00
817,47.00
818,44.00
819,44.00
820,44.00
821,43.00
822,43.00
823,44.00
824,45.00
825,45.00
826,47.00
827,46.00
828,46.00
829,46.00
830,46.00
831,46.00
832,46.00
833,47.00
834,46.00
835,45.00
836,45.00
837,45.00
838,45.00
839,46.00
840,46.00
841,46.00
842,46.00
843,46.00
844,46.00
845,44.00
846,44.00
847,44.00
848,44.00
849,44.00
850,45.00
851,44.00
852,43.00
853,43.00
854,43.00
855,44.00
856,44.00
857,44.00
858,44.00
859,43.00
860,45.00
861,45.00
862,45.00
863,46.00
864,46.00
865,46.00
866,46.00
867,47.00
868,47.00
869,47.00
870,47.00
871,46.00
872,46.00
873,45.00
874,45.00
875,43.00
876,43.00
877,43.00
878,42.00
879,42.00
880,42.00
881,42.00
882,42.00
883,42.00
884,42.00
885,42.00
886,42.00
887,42.00
888,43.00
889,42.00
890,42.00
891,43.00
892,43.00
893,43.00
894,43.00
895,43.00
896,43.00
897,43.00
898,43.00
899,41.00
900,41.00
901,41.00
902,41.00
903,42.00
904,42.00
905,42.00
906,42.00
907,42.00
908,42.00
909,43.00
910,43.00
911,42.00
912,40.00
913,40.00
914,40.00
915,39.00
916,39.00
917,38.00
918,39.00
919,39.00
920,40.00
921,40.00
922,41.00
923,41.00
924,41.00
925,41.00
926,41.00
927,40.00
928,40.00
929,37.00
930,38.00
931,34.00
932,34.00
933,34.00
934,34.00
935,34.00
936,35.00
937,35.00
938,37.00
939,34.00
940,34.00
941,34.00
942,33.00
943,33.00
944,33.00
945,36.00
946,35.00
947,35.00
948,36.00
949,37.00
950,38.00
951,38.00
952,38.00
953,37.00
954,37.00
955,37.00
956,36.00
957,35.00
958,35.00
959,35.00
960,35.00
961,34.00
962,34.00
963,33.00
964,34.00
965,34.00
966,35.00
967,35.00
968,35.00
969,34.00
970,34.00
971,36.00
972,34.00
973,35.00
974,35.00
975,36.00
976,37.00
977,37.00
978,37.00
979,37.00
980,36.00
981,37.00
982,41.00
983,41.00
984,41.00
985,39.00
986,39.00
987,39.00
988,39.00
989,41.00
990,42.00
991,42.00
992,42.00
993,46.00
994,46.00
995,46.00
996,46.00
997,46.00
998,46.00
999,51.00
1000,51.00
1001,52.00
1002,51.00
1003,51.00
1004,51.00
1005,51.00
1006,50.00
1007,50.00
1008,49.00
1009,49.00
1010,50.00
1011,50.00
1012,52.00
1013,53.00
1014,53.00
1015,52.00
1016,52.00
1017,52.00
1018,52.00
1019,52.00
1020,52.00
1021,52.00
1022,53.00
1023,55.00
1024,55.00
1025,57.00
1026,58.00
1027,58.00
1028,55.00
1029,55.00
1030,55.00
1031,55.00
1032,55.00
1033,55.00
1034,55.00
1035,54.00
1036,59.00
1037,59.00
1038,60.00
1039,59.00
1040,61.00
1041,61.00
1042,61.00
1043,62.00
1044,63.00
1045,63.00
1046,63.00
1047,63.00
1048,63.00
1049,63.00
1050,65.00
1051,65.00
1052,65.00
1053,65.00
1054,65.00
1055,65.00
1056,65.00
1057,65.00
1058,66.00
1059,66.00
1060,66.00
1061,66.00
1062,66.00
1063,67.00
1064,67.00
1065,66.00
1066,66.00
1067,65.00
1068,66.00
1069,65.00
1070,65.00
1071,65.00
1072,66.00
1073,66.00
1074,69.00
1075,69.00
1076,69.00
1077,70.00
1078,70.00
1079,71.00
1080,71.00
1081,70.00
1082,70.00
1083,69.00
1084,69.00
1085,68.00
1086,67.00
1087,67.00
1088,70.00
1089,70.00
1090,70.00
1091,70.00
1092,69.00
1093,66.00
1094,66.00
1095,67.00
1096,67.00
1097,63.00
1098,63.00
1099,63.00
1100,64.00
1101,64.00
1102,64.00
1103,64.00
1104,64.00
1105,64.00
1106,64.00
1107,64.00
1108,65.00
1109,65.00
1110,65.00
1111,64.00
1112,63.00
1113,62.00
1114,62.00
1115,62.00
1116,62.00
1117,64.00
1118,65.00
1119,64.00
1120,64.00
1121,64.00
1122,63.00
1123,64.00
1124,63.00
1125,62.00
1126,63.00
1127,65.00
1128,65.00
1129,64.00
1130,64.00
1131,66.00
1132,66.00
1133,66.00
