Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,2.00
6,2.00
7,2.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,3.00
14,3.00
15,4.00
16,4.00
17,5.00
18,5.00
19,5.00
20,5.00
21,5.00
22,5.00
23,7.00
24,7.00
25,11.00
26,11.00
27,12.00
28,12.00
29,12.00
30,12.00
31,12.00
32,12.00
33,12.00
34,12.00
35,12.00
36,12.00
37,12.00
38,12.00
39,12.00
40,12.00
41,12.00
42,12.00
43,12.00
44,12.00
45,12.00
46,12.00
47,12.00
48,12.00
49,12.00
50,12.00
51,12.00
52,12.00
53,12.00
54,12.00
55,12.00
56,12.00
57,12.00
58,12.00
59,12.00
60,12.00
61,13.00
62,13.00
63,13.00
64,13.00
65,13.00
66,13.00
67,14.00
68,14.00
69,15.00
70,15.00
71,15.00
72,15.00
73,16.00
74,16.00
75,16.00
76,16.00
77,16.00
78,16.00
79,16.00
80,16.00
81,17.00
82,17.00
83,17.00
84,19.00
85,20.00
86,20.00
87,26.00
88,26.00
89,26.00
90,26.00
91,26.00
92,26.00
93,27.00
94,27.00
95,29.00
96,29.00
97,29.00
98,29.00
99,29.00
100,29.00
101,29.00
102,30.00
103,31.00
104,32.00
105,32.00
106,32.00
107,32.00
108,33.00
109,34.00
110,35.00
111,35.00
112,36.00
113,36.00
114,36.00
115,36.00
116,36.00
117,36.00
118,36.00
119,36.00
120,36.00
121,36.00
122,36.00
123,36.00
124,36.00
125,37.00
126,37.00
127,38.00
128,38.00
129,38.00
130,38.00
131,38.00
132,41.00
133,42.00
134,45.00
135,45.00
136,45.00
137,45.00
138,46.00
139,46.00
140,47.00
141,46.00
142,46.00
143,46.00
144,47.00
145,46.00
146,47.00
147,48.00
148,48.00
149,50.00
150,50.00
151,52.00
152,51.00
153,51.00
154,51.00
155,51.00
156,51.00
157,51.00
158,51.00
159,51.00
160,51.00
161,51.00
162,51.00
163,51.00
164,50.00
165,51.00
166,50.00
167,50.00
168,50.00
169,50.00
170,48.00
171,48.00
172,47.00
173,48.00
174,51.00
175,51.00
176,51.00
177,51.00
178,51.00
179,51.00
180,51.00
181,52.00
182,52.00
183,52.00
184,52.00
185,53.00
186,53.00
187,54.00
188,54.00
189,54.00
190,54.00
191,54.00
192,54.00
193,55.00
194,55.00
195,55.00
196,56.00
197,56.00
198,57.00
199,57.00
200,57.00
201,57.00
202,57.00
203,57.00
204,57.00
205,58.00
206,58.00
207,57.00
208,57.00
209,57.00
210,57.00
211,57.00
212,56.00
213,56.00
214,56.00
215,58.00
216,57.00
217,57.00
218,57.00
219,58.00
220,59.00
221,62.00
222,62.00
223,62.00
224,61.00
225,61.00
226,63.00
227,62.00
228,63.00
229,63.00
230,59.00
231,58.00
232,59.00
233,59.00
234,59.00
235,59.00
236,59.00
237,55.00
238,55.00
239,55.00
240,54.00
241,54.00
242,54.00
243,54.00
244,54.00
245,53.00
246,53.00
247,53.00
248,52.00
249,53.00
250,53.00
251,53.00
252,51.00
253,49.00
254,49.00
255,49.00
256,52.00
257,51.00
258,50.00
259,50.00
260,50.00
261,50.00
262,50.00
263,51.00
264,51.00
265,51.00
266,51.00
267,51.00
268,51.00
269,51.00
270,53.00
271,53.00
272,54.00
273,55.00
274,55.00
275,54.00
276,54.00
277,53.00
278,54.00
279,54.00
280,54.00
281,53.00
282,48.00
283,49.00
284,51.00
285,49.00
286,49.00
287,49.00
288,50.00
289,51.00
290,52.00
291,52.00
292,51.00
293,51.00
294,51.00
295,51.00
296,51.00
297,49.00
298,48.00
299,48.00
300,48.00
301,48.00
302,48.00
303,48.00
304,48.00
305,49.00
306,49.00
307,49.00
308,49.00
309,49.00
310,51.00
311,51.00
312,51.00
313,51.00
314,51.00
315,51.00
316,51.00
317,51.00
318,52.00
319,52.00
320,51.00
321,46.00
322,44.00
323,44.00
324,44.00
325,46.00
326,46.00
327,46.00
328,47.00
329,47.00
330,47.00
331,47.00
332,47.00
333,47.00
334,46.00
335,45.00
336,45.00
337,45.00
338,45.00
339,45.00
340,48.00
341,47.00
342,47.00
343,47.00
344,48.00
345,48.00
346,46.00
347,45.00
348,45.00
349,46.00
350,46.00
351,46.00
352,46.00
353,46.00
354,46.00
355,46.00
356,46.00
357,46.00
358,47.00
359,47.00
360,48.00
361,48.00
362,46.00
363,46.00
364,46.00
365,46.00
366,48.00
367,45.00
368,42.00
369,45.00
370,45.00
371,45.00
372,45.00
373,45.00
374,45.00
375,45.00
376,45.00
377,45.00
378,45.00
379,45.00
380,45.00
381,45.00
382,45.00
383,45.00
384,46.00
385,46.00
386,46.00
387,46.00
388,47.00
389,47.00
390,47.00
391,47.00
392,47.00
393,47.00
394,48.00
395,47.00
396,48.00
397,48.00
398,48.00
399,48.00
400,48.00
401,49.00
402,48.00
403,45.00
404,46.00
405,46.00
406,46.00
407,46.00
408,49.00
409,50.00
410,50.00
411,49.00
412,49.00
413,49.00
414,49.00
415,49.00
416,50.00
417,49.00
418,49.00
419,48.00
420,46.00
421,46.00
422,46.00
423,46.00
424,45.00
425,44.00
426,44.00
427,44.00
428,47.00
429,47.00
430,48.00
431,46.00
432,45.00
433,46.00
434,47.00
435,47.00
436,47.00
437,44.00
438,44.00
439,44.00
440,44.00
441,44.00
442,44.00
443,44.00
444,44.00
445,44.00
446,44.00
447,45.00
448,46.00
449,47.00
450,47.00
451,47.00
452,47.00
453,48.00
454,48.00
455,48.00
456,48.00
457,48.00
458,46.00
459,47.00
460,47.00
461,47.00
462,48.00
463,48.00
464,51.00
465,51.00
466,50.00
467,49.00
468,49.00
469,49.00
470,49.00
471,49.00
472,51.00
473,49.00
474,49.00
475,49.00
476,48.00
477,49.00
478,49.00
479,49.00
480,49.00
481,49.00
482,50.00
483,50.00
484,50.00
485,50.00
486,49.00
487,49.00
488,49.00
489,49.00
490,49.00
491,49.00
492,50.00
493,51.00
494,51.00
495,51.00
496,51.00
497,51.00
498,52.00
499,53.00
500,53.00
501,52.00
502,51.00
503,51.00
504,52.00
505,52.00
506,52.00
507,52.00
508,51.00
509,52.00
510,52.00
511,52.00
512,52.00
513,48.00
514,46.00
515,46.00
516,46.00
517,46.00
518,45.00
519,45.00
520,45.00
521,45.00
522,45.00
523,45.00
524,45.00
525,45.00
526,46.00
527,46.00
528,45.00
529,45.00
530,45.00
531,45.00
532,45.00
533,45.00
534,45.00
535,47.00
536,47.00
537,46.00
538,46.00
539,46.00
540,46.00
541,46.00
542,46.00
543,46.00
544,45.00
545,44.00
546,44.00
547,44.00
548,44.00
549,43.00
550,43.00
551,43.00
552,43.00
553,43.00
554,43.00
555,43.00
556,38.00
557,36.00
558,36.00
559,36.00
560,36.00
561,36.00
562,36.00
563,36.00
564,36.00
565,36.00
566,36.00
567,35.00
568,35.00
569,35.00
570,35.00
571,35.00
572,34.00
573,33.00
574,33.00
575,30.00
576,30.00
577,30.00
578,30.00
579,30.00
580,30.00
581,29.00
582,29.00
583,29.00
584,29.00
585,29.00
586,28.00
587,28.00
588,28.00
589,28.00
590,27.00
591,28.00
592,27.00
593,27.00
594,25.00
595,25.00
596,25.00
597,26.00
598,26.00
599,26.00
600,26.00
601,28.00
602,28.00
603,27.00
604,26.00
605,25.00
606,25.00
607,25.00
608,26.00
609,25.00
610,23.00
611,23.00
612,23.00
613,23.00
614,23.00
615,23.00
616,23.00
617,23.00
618,22.00
619,21.00
620,22.00
621,22.00
622,22.00
623,19.00
624,18.00
625,19.00
626,19.00
627,19.00
628,19.00
629,19.00
630,18.00
631,18.00
632,18.00
633,18.00
634,18.00
635,19.00
636,17.00
637,17.00
638,17.00
639,17.00
640,17.00
641,16.00
642,16.00
643,16.00
644,14.00
645,14.00
646,14.00
647,14.00
648,14.00
649,14.00
650,14.00
651,14.00
652,14.00
653,14.00
654,15.00
655,15.00
656,15.00
657,15.00
658,15.00
659,16.00
660,16.00
661,16.00
662,16.00
663,17.00
664,18.00
665,18.00
666,18.00
667,18.00
668,18.00
669,18.00
670,18.00
671,18.00
672,19.00
673,19.00
674,18.00
675,18.00
676,18.00
677,18.00
678,18.00
679,18.00
680,17.00
681,17.00
682,16.00
683,16.00
684,18.00
685,19.00
686,19.00
687,19.00
688,19.00
689,19.00
690,20.00
691,21.00
692,22.00
693,23.00
694,23.00
695,23.00
696,24.00
697,25.00
698,25.00
699,25.00
700,25.00
701,25.00
702,25.00
703,25.00
704,25.00
705,26.00
706,27.00
707,27.00
708,27.00
709,27.00
710,27.00
711,27.00
712,27.00
713,27.00
714,27.00
715,27.00
716,31.00
717,31.00
718,31.00
719,31.00
720,31.00
721,31.00
722,31.00
723,31.00
724,31.00
725,34.00
726,34.00
727,35.00
728,36.00
729,36.00
730,36.00
731,36.00
732,36.00
733,36.00
734,36.00
735,36.00
736,36.00
737,35.00
738,36.00
739,36.00
740,37.00
741,39.00
742,38.00
743,39.00
744,39.00
745,40.00
746,40.00
747,40.00
748,40.00
749,37.00
750,37.00
751,37.00
752,37.00
753,39.00
754,39.00
755,39.00
756,39.00
757,37.00
758,38.00
759,38.00
760,38.00
761,38.00
762,38.00
763,38.00
764,38.00
765,37.00
766,37.00
767,37.00
768,37.00
769,37.00
770,38.00
771,38.00
772,38.00
773,38.00
774,38.00
775,38.00
776,38.00
777,39.00
778,39.00
779,39.00
780,40.00
781,40.00
782,40.00
783,39.00
784,40.00
785,40.00
786,41.00
787,41.00
788,41.00
789,41.00
790,41.00
791,41.00
792,42.00
793,42.00
794,42.00
795,41.00
796,41.00
797,41.00
798,40.00
799,40.00
800,40.00
801,40.00
802,40.00
803,40.00
804,41.00
805,41.00
806,40.00
807,40.00
808,40.00
809,43.00
810,42.00
811,41.00
812,41.00
813,40.00
814,40.00
815,40.00
816,40.00
817,42.00
818,42.00
819,42.00
820,42.00
821,43.00
822,43.00
823,43.00
824,43.00
825,42.00
826,43.00
827,44.00
828,44.00
829,44.00
830,44.00
831,45.00
832,44.00
833,49.00
834,51.00
835,51.00
836,55.00
837,55.00
838,55.00
839,55.00
840,54.00
841,54.00
842,54.00
843,54.00
844,54.00
845,52.00
846,52.00
847,52.00
848,53.00
849,53.00
850,53.00
851,53.00
852,53.00
853,52.00
854,53.00
855,53.00
856,54.00
857,54.00
858,54.00
859,54.00
860,54.00
861,51.00
862,51.00
863,51.00
864,50.00
865,50.00
866,50.00
867,50.00
868,50.00
869,49.00
870,52.00
871,52.00
872,52.00
873,49.00
874,48.00
875,47.00
876,47.00
877,47.00
878,48.00
879,48.00
880,49.00
881,49.00
882,50.00
883,50.00
884,49.00
885,50.00
886,50.00
887,50.00
888,48.00
889,48.00
890,49.00
891,49.00
892,49.00
893,49.00
894,50.00
895,51.00
896,50.00
897,50.00
898,50.00
899,51.00
900,50.00
901,50.00
902,50.00
903,50.00
904,50.00
905,50.00
906,50.00
907,50.00
908,50.00
909,50.00
910,50.00
911,50.00
912,50.00
913,49.00
914,49.00
915,49.00
916,49.00
917,48.00
918,48.00
919,48.00
920,48.00
921,48.00
922,48.00
923,48.00
924,48.00
925,47.00
926,48.00
927,47.00
928,46.00
929,47.00
930,47.00
931,48.00
932,48.00
933,47.00
934,47.00
935,47.00
936,47.00
937,47.00
938,48.00
939,47.00
940,47.00
941,47.00
942,47.00
943,48.00
944,48.00
945,48.00
946,50.00
947,50.00
948,50.00
949,50.00
950,51.00
951,51.00
952,50.00
953,49.00
954,49.00
955,49.00
956,49.00
957,45.00
958,45.00
959,45.00
960,47.00
961,47.00
962,47.00
963,48.00
964,46.00
965,45.00
966,47.00
967,47.00
968,47.00
969,43.00
970,43.00
971,45.00
972,47.00
973,49.00
974,48.00
975,45.00
976,47.00
977,49.00
978,49.00
979,49.00
980,48.00
981,46.00
982,44.00
983,43.00
984,41.00
985,41.00
986,41.00
987,41.00
988,41.00
989,41.00
990,41.00
991,41.00
992,39.00
993,40.00
994,40.00
995,40.00
996,39.00
997,39.00
998,39.00
999,39.00
1000,38.00
1001,38.00
1002,37.00
1003,37.00
1004,37.00
1005,37.00
1006,37.00
1007,36.00
1008,37.00
1009,37.00
1010,37.00
1011,37.00
1012,37.00
1013,37.00
1014,36.00
1015,36.00
1016,36.00
1017,36.00
1018,36.00
1019,34.00
1020,34.00
1021,35.00
1022,35.00
1023,35.00
1024,36.00
1025,36.00
1026,36.00
1027,38.00
1028,39.00
1029,40.00
1030,39.00
1031,39.00
1032,40.00
1033,40.00
1034,41.00
1035,40.00
1036,40.00
1037,40.00
1038,41.00
1039,41.00
1040,42.00
1041,43.00
1042,43.00
1043,43.00
1044,43.00
1045,43.00
1046,43.00
1047,43.00
1048,43.00
1049,43.00
1050,43.00
1051,43.00
1052,43.00
1053,43.00
1054,44.00
1055,44.00
1056,45.00
1057,45.00
1058,45.00
1059,45.00
1060,45.00
1061,45.00
1062,45.00
1063,45.00
1064,48.00
1065,48.00
1066,49.00
1067,50.00
1068,50.00
1069,51.00
1070,51.00
1071,51.00
1072,51.00
1073,49.00
1074,49.00
1075,49.00
1076,50.00
1077,50.00
1078,52.00
1079,51.00
1080,51.00
1081,50.00
1082,50.00
1083,51.00
1084,51.00
1085,53.00
1086,53.00
1087,53.00
1088,53.00
1089,51.00
1090,51.00
1091,51.00
1092,51.00
1093,53.00
1094,52.00
1095,53.00
1096,54.00
1097,53.00
1098,53.00
1099,53.00
1100,53.00
1101,53.00
1102,52.00
1103,52.00
1104,51.00
1105,52.00
1106,51.00
1107,50.00
1108,48.00
1109,47.00
1110,47.00
1111,47.00
1112,47.00
1113,46.00
1114,46.00
1115,45.00
1116,45.00
1117,45.00
1118,45.00
1119,45.00
1120,43.00
1121,40.00
1122,40.00
1123,38.00
1124,38.00
1125,38.00
1126,38.00
1127,38.00
1128,38.00
1129,38.00
1130,38.00
1131,40.00
1132,41.00
1133,41.00
