Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,2.00
8,3.00
9,3.00
10,5.00
11,5.00
12,5.00
13,5.00
14,5.00
15,5.00
16,6.00
17,7.00
18,7.00
19,7.00
20,8.00
21,8.00
22,9.00
23,11.00
24,14.00
25,14.00
26,14.00
27,14.00
28,15.00
29,15.00
30,15.00
31,17.00
32,17.00
33,17.00
34,17.00
35,17.00
36,17.00
37,18.00
38,18.00
39,19.00
40,19.00
41,20.00
42,20.00
43,20.00
44,20.00
45,20.00
46,21.00
47,21.00
48,22.00
49,22.00
50,24.00
51,24.00
52,24.00
53,24.00
54,24.00
55,24.00
56,24.00
57,24.00
58,25.00
59,29.00
60,29.00
61,29.00
62,31.00
63,31.00
64,31.00
65,31.00
66,31.00
67,33.00
68,33.00
69,36.00
70,36.00
71,36.00
72,38.00
73,38.00
74,38.00
75,38.00
76,38.00
77,39.00
78,39.00
79,40.00
80,40.00
81,40.00
82,41.00
83,41.00
84,41.00
85,42.00
86,42.00
87,44.00
88,46.00
89,47.00
90,48.00
91,49.00
92,49.00
93,51.00
94,56.00
95,57.00
96,59.00
97,60.00
98,64.00
99,72.00
100,72.00
101,88.00
102,91.00
103,94.00
104,96.00
105,98.00
106,100.00
107,101.00
108,102.00
109,104.00
110,104.00
111,104.00
112,104.00
113,105.00
114,107.00
115,107.00
116,113.00
117,115.00
118,116.00
119,117.00
120,117.00
121,118.00
122,123.00
123,128.00
124,137.00
125,137.00
126,139.00
127,140.00
128,143.00
129,145.00
130,145.00
131,147.00
132,147.00
133,147.00
134,148.00
135,149.00
136,151.00
137,151.00
138,152.00
139,152.00
140,153.00
141,153.00
142,152.00
143,152.00
144,153.00
145,153.00
146,156.00
147,157.00
148,164.00
149,164.00
150,165.00
151,164.00
152,165.00
153,166.00
154,168.00
155,171.00
156,173.00
157,172.00
158,177.00
159,178.00
160,179.00
161,180.00
162,187.00
163,189.00
164,188.00
165,188.00
166,190.00
167,190.00
168,192.00
169,190.00
170,191.00
171,187.00
172,187.00
173,187.00
174,186.00
175,187.00
176,187.00
177,188.00
178,187.00
179,188.00
180,190.00
181,190.00
182,190.00
183,190.00
184,192.00
185,194.00
186,201.00
187,205.00
188,207.00
189,208.00
190,209.00
191,208.00
192,207.00
193,208.00
194,210.00
195,210.00
196,213.00
197,218.00
198,220.00
199,221.00
200,225.00
201,225.00
202,226.00
203,226.00
204,228.00
205,221.00
206,220.00
207,221.00
208,223.00
209,224.00
210,226.00
211,227.00
212,227.00
213,227.00
214,228.00
215,226.00
216,223.00
217,223.00
218,223.00
219,222.00
220,222.00
221,222.00
222,223.00
223,223.00
224,224.00
225,227.00
226,226.00
227,227.00
228,228.00
229,230.00
230,231.00
231,231.00
232,230.00
233,230.00
234,248.00
235,248.00
236,244.00
237,241.00
238,237.00
239,237.00
240,237.00
241,236.00
242,235.00
243,219.00
244,219.00
245,223.00
246,221.00
247,221.00
248,208.00
249,209.00
250,196.00
251,195.00
252,194.00
253,193.00
254,192.00
255,192.00
256,191.00
257,190.00
258,191.00
259,189.00
260,189.00
261,189.00
262,191.00
263,194.00
264,193.00
265,187.00
266,186.00
267,185.00
268,186.00
269,186.00
270,182.00
271,174.00
272,175.00
273,175.00
274,174.00
275,175.00
276,177.00
277,177.00
278,175.00
279,176.00
280,176.00
281,178.00
282,178.00
283,180.00
284,181.00
285,178.00
286,182.00
287,183.00
288,183.00
289,190.00
290,191.00
291,193.00
292,192.00
293,191.00
294,191.00
295,187.00
296,189.00
297,189.00
298,184.00
299,183.00
300,183.00
301,188.00
302,187.00
303,189.00
304,190.00
305,186.00
306,187.00
307,189.00
308,192.00
309,190.00
310,186.00
311,180.00
312,181.00
313,185.00
314,186.00
315,190.00
316,187.00
317,187.00
318,187.00
319,188.00
320,188.00
321,187.00
322,186.00
323,186.00
324,183.00
325,194.00
326,195.00
327,195.00
328,195.00
329,192.00
330,193.00
331,196.00
332,191.00
333,190.00
334,180.00
335,180.00
336,179.00
337,179.00
338,186.00
339,185.00
340,179.00
341,177.00
342,175.00
343,177.00
344,179.00
345,180.00
346,182.00
347,180.00
348,180.00
349,180.00
350,180.00
351,179.00
352,180.00
353,181.00
354,179.00
355,178.00
356,178.00
357,177.00
358,177.00
359,177.00
360,177.00
361,177.00
362,182.00
363,182.00
364,184.00
365,183.00
366,187.00
367,186.00
368,186.00
369,186.00
370,186.00
371,193.00
372,193.00
373,197.00
374,196.00
375,197.00
376,195.00
377,197.00
378,197.00
379,203.00
380,201.00
381,188.00
382,191.00
383,191.00
384,192.00
385,191.00
386,191.00
387,191.00
388,190.00
389,191.00
390,192.00
391,185.00
392,185.00
393,185.00
394,185.00
395,185.00
396,185.00
397,185.00
398,186.00
399,185.00
400,185.00
401,189.00
402,189.00
403,192.00
404,193.00
405,194.00
406,197.00
407,199.00
408,198.00
409,200.00
410,195.00
411,195.00
412,195.00
413,196.00
414,196.00
415,192.00
416,190.00
417,192.00
418,192.00
419,191.00
420,191.00
421,194.00
422,195.00
423,197.00
424,197.00
425,196.00
426,192.00
427,193.00
428,192.00
429,190.00
430,189.00
431,193.00
432,192.00
433,188.00
434,188.00
435,188.00
436,192.00
437,192.00
438,194.00
439,194.00
440,190.00
441,199.00
442,197.00
443,196.00
444,194.00
445,191.00
446,194.00
447,194.00
448,191.00
449,191.00
450,187.00
451,191.00
452,191.00
453,190.00
454,188.00
455,185.00
456,183.00
457,185.00
458,187.00
459,191.00
460,182.00
461,182.00
462,184.00
463,184.00
464,187.00
465,187.00
466,188.00
467,189.00
468,193.00
469,193.00
470,194.00
471,195.00
472,186.00
473,185.00
474,186.00
475,187.00
476,196.00
477,196.00
478,194.00
479,191.00
480,190.00
481,195.00
482,198.00
483,200.00
484,202.00
485,196.00
486,195.00
487,196.00
488,197.00
489,198.00
490,198.00
491,196.00
492,195.00
493,196.00
494,197.00
495,197.00
496,198.00
497,199.00
498,198.00
499,198.00
500,205.00
501,205.00
502,205.00
503,208.00
504,207.00
505,208.00
506,208.00
507,209.00
508,210.00
509,203.00
510,202.00
511,205.00
512,205.00
513,203.00
514,200.00
515,199.00
516,199.00
517,202.00
518,197.00
519,195.00
520,189.00
521,188.00
522,188.00
523,188.00
524,188.00
525,181.00
526,178.00
527,178.00
528,178.00
529,177.00
530,176.00
531,176.00
532,177.00
533,177.00
534,177.00
535,177.00
536,177.00
537,178.00
538,179.00
539,179.00
540,180.00
541,180.00
542,179.00
543,178.00
544,176.00
545,175.00
546,175.00
547,176.00
548,176.00
549,177.00
550,175.00
551,174.00
552,175.00
553,173.00
554,172.00
555,172.00
556,168.00
557,168.00
558,167.00
559,167.00
560,166.00
561,164.00
562,163.00
563,162.00
564,160.00
565,160.00
566,160.00
567,160.00
568,154.00
569,150.00
570,150.00
571,150.00
572,150.00
573,150.00
574,150.00
575,151.00
576,148.00
577,147.00
578,143.00
579,143.00
580,143.00
581,141.00
582,141.00
583,136.00
584,136.00
585,132.00
586,131.00
587,126.00
588,126.00
589,130.00
590,130.00
591,129.00
592,128.00
593,120.00
594,120.00
595,121.00
596,122.00
597,122.00
598,119.00
599,118.00
600,117.00
601,116.00
602,116.00
603,116.00
604,112.00
605,111.00
606,108.00
607,109.00
608,112.00
609,110.00
610,108.00
611,106.00
612,107.00
613,106.00
614,105.00
615,98.00
616,103.00
617,102.00
618,102.00
619,101.00
620,103.00
621,104.00
622,100.00
623,95.00
624,95.00
625,98.00
626,96.00
627,97.00
628,88.00
629,90.00
630,88.00
631,87.00
632,86.00
633,86.00
634,84.00
635,85.00
636,83.00
637,85.00
638,85.00
639,81.00
640,80.00
641,77.00
642,77.00
643,74.00
644,73.00
645,73.00
646,73.00
647,73.00
648,73.00
649,73.00
650,68.00
651,66.00
652,68.00
653,66.00
654,66.00
655,66.00
656,64.00
657,64.00
658,63.00
659,63.00
660,64.00
661,61.00
662,62.00
663,61.00
664,61.00
665,61.00
666,61.00
667,61.00
668,60.00
669,62.00
670,62.00
671,62.00
672,62.00
673,64.00
674,65.00
675,65.00
676,69.00
677,70.00
678,70.00
679,74.00
680,75.00
681,79.00
682,81.00
683,82.00
684,82.00
685,80.00
686,81.00
687,88.00
688,91.00
689,93.00
690,94.00
691,96.00
692,96.00
693,95.00
694,97.00
695,97.00
696,98.00
697,96.00
698,95.00
699,101.00
700,100.00
701,100.00
702,100.00
703,100.00
704,101.00
705,105.00
706,109.00
707,112.00
708,114.00
709,116.00
710,118.00
711,118.00
712,119.00
713,120.00
714,119.00
715,119.00
716,120.00
717,124.00
718,125.00
719,125.00
720,125.00
721,130.00
722,131.00
723,131.00
724,131.00
725,131.00
726,131.00
727,131.00
728,133.00
729,134.00
730,133.00
731,149.00
732,149.00
733,149.00
734,151.00
735,151.00
736,157.00
737,157.00
738,157.00
739,158.00
740,156.00
741,157.00
742,158.00
743,158.00
744,158.00
745,158.00
746,158.00
747,160.00
748,159.00
749,159.00
750,159.00
751,159.00
752,161.00
753,162.00
754,164.00
755,168.00
756,168.00
757,169.00
758,171.00
759,168.00
760,168.00
761,168.00
762,168.00
763,170.00
764,172.00
765,173.00
766,174.00
767,171.00
768,177.00
769,177.00
770,183.00
771,183.00
772,181.00
773,184.00
774,186.00
775,188.00
776,190.00
777,186.00
778,186.00
779,185.00
780,184.00
781,186.00
782,185.00
783,185.00
784,185.00
785,189.00
786,189.00
787,189.00
788,189.00
789,190.00
790,194.00
791,195.00
792,195.00
793,196.00
794,197.00
795,197.00
796,198.00
797,198.00
798,199.00
799,196.00
800,194.00
801,198.00
802,198.00
803,200.00
804,200.00
805,200.00
806,203.00
807,205.00
808,205.00
809,205.00
810,205.00
811,205.00
812,207.00
813,206.00
814,206.00
815,204.00
816,203.00
817,206.00
818,206.00
819,207.00
820,208.00
821,208.00
822,208.00
823,208.00
824,215.00
825,216.00
826,221.00
827,219.00
828,219.00
829,218.00
830,220.00
831,220.00
832,219.00
833,217.00
834,216.00
835,216.00
836,219.00
837,219.00
838,227.00
839,228.00
840,225.00
841,223.00
842,226.00
843,230.00
844,230.00
845,229.00
846,232.00
847,227.00
848,239.00
849,241.00
850,238.00
851,250.00
852,252.00
853,255.00
854,255.00
855,256.00
856,257.00
857,256.00
858,258.00
859,258.00
860,252.00
861,252.00
862,251.00
863,251.00
864,249.00
865,250.00
866,251.00
867,253.00
868,253.00
869,255.00
870,253.00
871,255.00
872,254.00
873,254.00
874,256.00
875,257.00
876,244.00
877,241.00
878,241.00
879,239.00
880,240.00
881,239.00
882,239.00
883,237.00
884,236.00
885,243.00
886,242.00
887,241.00
888,240.00
889,235.00
890,235.00
891,236.00
892,244.00
893,243.00
894,239.00
895,236.00
896,238.00
897,239.00
898,239.00
899,238.00
900,236.00
901,232.00
902,233.00
903,231.00
904,229.00
905,231.00
906,230.00
907,230.00
908,233.00
909,232.00
910,232.00
911,232.00
912,232.00
913,231.00
914,231.00
915,223.00
916,223.00
917,216.00
918,216.00
919,216.00
920,217.00
921,218.00
922,218.00
923,217.00
924,217.00
925,217.00
926,219.00
927,220.00
928,219.00
929,220.00
930,223.00
931,224.00
932,222.00
933,221.00
934,222.00
935,220.00
936,220.00
937,215.00
938,217.00
939,218.00
940,218.00
941,217.00
942,216.00
943,216.00
944,216.00
945,221.00
946,221.00
947,216.00
948,216.00
949,217.00
950,216.00
951,217.00
952,216.00
953,216.00
954,213.00
955,213.00
956,212.00
957,211.00
958,213.00
959,213.00
960,213.00
961,213.00
962,213.00
963,213.00
964,217.00
965,217.00
966,214.00
967,212.00
968,210.00
969,213.00
970,213.00
971,203.00
972,209.00
973,200.00
974,204.00
975,204.00
976,202.00
977,202.00
978,203.00
979,204.00
980,206.00
981,211.00
982,210.00
983,201.00
984,202.00
985,195.00
986,203.00
987,211.00
988,207.00
989,203.00
990,198.00
991,200.00
992,202.00
993,203.00
994,200.00
995,184.00
996,182.00
997,185.00
998,176.00
999,177.00
1000,176.00
1001,178.00
1002,182.00
1003,185.00
1004,184.00
1005,185.00
1006,187.00
1007,188.00
1008,189.00
1009,189.00
1010,188.00
1011,191.00
1012,190.00
1013,191.00
1014,190.00
1015,189.00
1016,186.00
1017,184.00
1018,184.00
1019,184.00
1020,183.00
1021,185.00
1022,184.00
1023,188.00
1024,191.00
1025,191.00
1026,189.00
1027,189.00
1028,187.00
1029,187.00
1030,186.00
1031,186.00
1032,185.00
1033,188.00
1034,187.00
1035,186.00
1036,187.00
1037,197.00
1038,200.00
1039,200.00
1040,198.00
1041,202.00
1042,200.00
1043,213.00
1044,214.00
1045,219.00
1046,212.00
1047,212.00
1048,212.00
1049,213.00
1050,214.00
1051,214.00
1052,215.00
1053,215.00
1054,222.00
1055,222.00
1056,223.00
1057,222.00
1058,221.00
1059,223.00
1060,221.00
1061,221.00
1062,221.00
1063,222.00
1064,221.00
1065,222.00
1066,223.00
1067,223.00
1068,223.00
1069,223.00
1070,229.00
1071,226.00
1072,225.00
1073,223.00
1074,222.00
1075,223.00
1076,225.00
1077,225.00
1078,225.00
1079,221.00
1080,237.00
1081,236.00
1082,237.00
1083,237.00
1084,240.00
1085,238.00
1086,238.00
1087,239.00
1088,238.00
1089,232.00
1090,231.00
1091,229.00
1092,231.00
1093,231.00
1094,230.00
1095,235.00
1096,235.00
1097,235.00
1098,235.00
1099,240.00
1100,238.00
1101,252.00
1102,252.00
1103,252.00
1104,251.00
1105,250.00
1106,253.00
1107,252.00
1108,252.00
1109,255.00
1110,255.00
1111,255.00
1112,254.00
1113,248.00
1114,244.00
1115,243.00
1116,241.00
1117,239.00
1118,241.00
1119,242.00
1120,242.00
1121,246.00
1122,241.00
1123,238.00
1124,236.00
1125,232.00
1126,238.00
1127,235.00
1128,235.00
1129,232.00
1130,230.00
1131,225.00
1132,236.00
1133,243.00
