Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,2.00
11,2.00
12,2.00
13,2.00
14,2.00
15,2.00
16,2.00
17,2.00
18,2.00
19,2.00
20,2.00
21,2.00
22,2.00
23,2.00
24,2.00
25,2.00
26,2.00
27,2.00
28,2.00
29,2.00
30,5.00
31,5.00
32,7.00
33,8.00
34,8.00
35,9.00
36,9.00
37,11.00
38,11.00
39,13.00
40,14.00
41,14.00
42,14.00
43,14.00
44,14.00
45,15.00
46,15.00
47,16.00
48,16.00
49,16.00
50,16.00
51,16.00
52,19.00
53,19.00
54,20.00
55,20.00
56,20.00
57,20.00
58,20.00
59,20.00
60,20.00
61,20.00
62,21.00
63,21.00
64,21.00
65,21.00
66,21.00
67,22.00
68,23.00
69,23.00
70,23.00
71,23.00
72,24.00
73,25.00
74,25.00
75,25.00
76,25.00
77,25.00
78,28.00
79,28.00
80,28.00
81,29.00
82,35.00
83,35.00
84,37.00
85,37.00
86,38.00
87,47.00
88,48.00
89,49.00
90,49.00
91,58.00
92,60.00
93,62.00
94,78.00
95,78.00
96,79.00
97,85.00
98,91.00
99,93.00
100,96.00
101,97.00
102,98.00
103,98.00
104,99.00
105,99.00
106,100.00
107,100.00
108,101.00
109,102.00
110,102.00
111,103.00
112,103.00
113,103.00
114,105.00
115,107.00
116,110.00
117,112.00
118,112.00
119,113.00
120,114.00
121,114.00
122,114.00
123,114.00
124,114.00
125,115.00
126,115.00
127,117.00
128,117.00
129,117.00
130,117.00
131,117.00
132,117.00
133,120.00
134,123.00
135,123.00
136,122.00
137,123.00
138,123.00
139,129.00
140,132.00
141,142.00
142,142.00
143,145.00
144,149.00
145,149.00
146,150.00
147,155.00
148,158.00
149,158.00
150,161.00
151,166.00
152,168.00
153,172.00
154,172.00
155,178.00
156,177.00
157,180.00
158,181.00
159,183.00
160,182.00
161,184.00
162,183.00
163,184.00
164,187.00
165,187.00
166,188.00
167,189.00
168,191.00
169,195.00
170,195.00
171,195.00
172,195.00
173,196.00
174,195.00
175,194.00
176,192.00
177,191.00
178,192.00
179,194.00
180,196.00
181,193.00
182,193.00
183,196.00
184,196.00
185,195.00
186,200.00
187,200.00
188,201.00
189,202.00
190,207.00
191,206.00
192,207.00
193,207.00
194,209.00
195,209.00
196,210.00
197,211.00
198,211.00
199,212.00
200,214.00
201,219.00
202,221.00
203,224.00
204,224.00
205,224.00
206,224.00
207,224.00
208,227.00
209,228.00
210,228.00
211,230.00
212,230.00
213,230.00
214,230.00
215,230.00
216,230.00
217,230.00
218,231.00
219,229.00
220,232.00
221,233.00
222,236.00
223,237.00
224,236.00
225,233.00
226,234.00
227,255.00
228,254.00
229,251.00
230,245.00
231,239.00
232,242.00
233,240.00
234,241.00
235,240.00
236,221.00
237,223.00
238,225.00
239,224.00
240,224.00
241,216.00
242,216.00
243,206.00
244,207.00
245,206.00
246,201.00
247,200.00
248,199.00
249,199.00
250,199.00
251,201.00
252,201.00
253,200.00
254,200.00
255,201.00
256,206.00
257,205.00
258,201.00
259,201.00
260,200.00
261,201.00
262,201.00
263,200.00
264,198.00
265,199.00
266,201.00
267,201.00
268,201.00
269,204.00
270,204.00
271,204.00
272,202.00
273,202.00
274,201.00
275,200.00
276,201.00
277,203.00
278,202.00
279,213.00
280,213.00
281,211.00
282,215.00
283,220.00
284,220.00
285,220.00
286,217.00
287,220.00
288,213.00
289,212.00
290,212.00
291,202.00
292,197.00
293,193.00
294,194.00
295,195.00
296,190.00
297,189.00
298,186.00
299,185.00
300,188.00
301,185.00
302,187.00
303,183.00
304,181.00
305,183.00
306,187.00
307,188.00
308,185.00
309,185.00
310,185.00
311,185.00
312,185.00
313,185.00
314,186.00
315,186.00
316,188.00
317,186.00
318,188.00
319,188.00
320,189.00
321,187.00
322,184.00
323,185.00
324,188.00
325,185.00
326,185.00
327,171.00
328,170.00
329,169.00
330,169.00
331,181.00
332,182.00
333,179.00
334,179.00
335,177.00
336,179.00
337,179.00
338,183.00
339,184.00
340,181.00
341,182.00
342,182.00
343,182.00
344,180.00
345,181.00
346,182.00
347,180.00
348,176.00
349,178.00
350,178.00
351,178.00
352,180.00
353,179.00
354,179.00
355,180.00
356,181.00
357,183.00
358,185.00
359,185.00
360,187.00
361,188.00
362,186.00
363,185.00
364,193.00
365,193.00
366,195.00
367,194.00
368,192.00
369,191.00
370,190.00
371,192.00
372,197.00
373,190.00
374,183.00
375,183.00
376,183.00
377,187.00
378,185.00
379,185.00
380,185.00
381,184.00
382,185.00
383,185.00
384,180.00
385,180.00
386,180.00
387,180.00
388,183.00
389,183.00
390,184.00
391,185.00
392,185.00
393,184.00
394,186.00
395,186.00
396,187.00
397,187.00
398,186.00
399,188.00
400,192.00
401,191.00
402,195.00
403,189.00
404,192.00
405,193.00
406,194.00
407,196.00
408,195.00
409,194.00
410,198.00
411,199.00
412,199.00
413,197.00
414,201.00
415,202.00
416,205.00
417,203.00
418,203.00
419,202.00
420,201.00
421,200.00
422,197.00
423,197.00
424,201.00
425,200.00
426,193.00
427,193.00
428,192.00
429,194.00
430,194.00
431,195.00
432,196.00
433,196.00
434,206.00
435,206.00
436,208.00
437,207.00
438,207.00
439,207.00
440,209.00
441,208.00
442,208.00
443,199.00
444,203.00
445,204.00
446,203.00
447,203.00
448,198.00
449,198.00
450,199.00
451,198.00
452,199.00
453,197.00
454,195.00
455,195.00
456,196.00
457,199.00
458,201.00
459,201.00
460,202.00
461,202.00
462,202.00
463,200.00
464,199.00
465,203.00
466,205.00
467,208.00
468,208.00
469,224.00
470,225.00
471,224.00
472,224.00
473,217.00
474,220.00
475,222.00
476,230.00
477,228.00
478,217.00
479,217.00
480,216.00
481,218.00
482,217.00
483,218.00
484,213.00
485,202.00
486,203.00
487,203.00
488,203.00
489,203.00
490,203.00
491,201.00
492,199.00
493,202.00
494,202.00
495,202.00
496,200.00
497,201.00
498,199.00
499,200.00
500,199.00
501,199.00
502,196.00
503,195.00
504,199.00
505,195.00
506,195.00
507,193.00
508,189.00
509,189.00
510,190.00
511,185.00
512,184.00
513,180.00
514,181.00
515,181.00
516,181.00
517,181.00
518,174.00
519,170.00
520,168.00
521,168.00
522,168.00
523,165.00
524,164.00
525,163.00
526,161.00
527,161.00
528,161.00
529,161.00
530,161.00
531,160.00
532,160.00
533,159.00
534,159.00
535,158.00
536,158.00
537,151.00
538,151.00
539,151.00
540,149.00
541,147.00
542,147.00
543,144.00
544,143.00
545,143.00
546,142.00
547,141.00
548,141.00
549,133.00
550,133.00
551,131.00
552,132.00
553,133.00
554,130.00
555,130.00
556,129.00
557,124.00
558,123.00
559,123.00
560,123.00
561,120.00
562,113.00
563,114.00
564,113.00
565,112.00
566,112.00
567,112.00
568,112.00
569,111.00
570,110.00
571,107.00
572,106.00
573,104.00
574,103.00
575,102.00
576,100.00
577,100.00
578,93.00
579,93.00
580,88.00
581,88.00
582,88.00
583,86.00
584,85.00
585,85.00
586,81.00
587,80.00
588,80.00
589,80.00
590,78.00
591,70.00
592,70.00
593,68.00
594,68.00
595,68.00
596,68.00
597,66.00
598,66.00
599,62.00
600,62.00
601,62.00
602,61.00
603,59.00
604,57.00
605,56.00
606,56.00
607,56.00
608,41.00
609,40.00
610,40.00
611,40.00
612,39.00
613,39.00
614,39.00
615,39.00
616,31.00
617,29.00
618,30.00
619,29.00
620,29.00
621,26.00
622,25.00
623,20.00
624,20.00
625,20.00
626,20.00
627,17.00
628,17.00
629,17.00
630,17.00
631,17.00
632,16.00
633,16.00
634,16.00
635,17.00
636,16.00
637,15.00
638,15.00
639,15.00
640,15.00
641,15.00
642,15.00
643,15.00
644,15.00
645,15.00
646,14.00
647,14.00
648,14.00
649,14.00
650,14.00
651,14.00
652,14.00
653,14.00
654,14.00
655,15.00
656,15.00
657,15.00
658,15.00
659,15.00
660,15.00
661,15.00
662,14.00
663,16.00
664,16.00
665,17.00
666,17.00
667,15.00
668,15.00
669,16.00
670,18.00
671,18.00
672,19.00
673,19.00
674,20.00
675,20.00
676,25.00
677,25.00
678,27.00
679,27.00
680,29.00
681,29.00
682,30.00
683,31.00
684,31.00
685,33.00
686,33.00
687,34.00
688,40.00
689,43.00
690,43.00
691,43.00
692,43.00
693,45.00
694,48.00
695,48.00
696,51.00
697,52.00
698,52.00
699,54.00
700,53.00
701,53.00
702,55.00
703,54.00
704,54.00
705,54.00
706,57.00
707,57.00
708,57.00
709,57.00
710,62.00
711,63.00
712,63.00
713,63.00
714,64.00
715,64.00
716,64.00
717,66.00
718,66.00
719,66.00
720,81.00
721,81.00
722,81.00
723,81.00
724,81.00
725,89.00
726,89.00
727,91.00
728,91.00
729,93.00
730,93.00
731,94.00
732,96.00
733,97.00
734,97.00
735,97.00
736,98.00
737,99.00
738,100.00
739,100.00
740,100.00
741,102.00
742,101.00
743,103.00
744,104.00
745,106.00
746,108.00
747,109.00
748,110.00
749,110.00
750,111.00
751,111.00
752,115.00
753,117.00
754,117.00
755,115.00
756,115.00
757,129.00
758,129.00
759,130.00
760,131.00
761,130.00
762,135.00
763,135.00
764,135.00
765,142.00
766,138.00
767,138.00
768,137.00
769,137.00
770,138.00
771,138.00
772,138.00
773,139.00
774,140.00
775,140.00
776,141.00
777,141.00
778,141.00
779,144.00
780,144.00
781,144.00
782,144.00
783,144.00
784,148.00
785,148.00
786,148.00
787,148.00
788,146.00
789,146.00
790,147.00
791,147.00
792,147.00
793,149.00
794,149.00
795,151.00
796,152.00
797,152.00
798,151.00
799,151.00
800,151.00
801,153.00
802,149.00
803,153.00
804,156.00
805,156.00
806,158.00
807,159.00
808,160.00
809,160.00
810,157.00
811,157.00
812,158.00
813,166.00
814,165.00
815,166.00
816,166.00
817,165.00
818,166.00
819,164.00
820,163.00
821,165.00
822,156.00
823,156.00
824,156.00
825,154.00
826,156.00
827,158.00
828,159.00
829,160.00
830,159.00
831,157.00
832,173.00
833,174.00
834,173.00
835,170.00
836,170.00
837,166.00
838,175.00
839,176.00
840,176.00
841,189.00
842,190.00
843,194.00
844,196.00
845,199.00
846,201.00
847,203.00
848,204.00
849,204.00
850,193.00
851,193.00
852,192.00
853,193.00
854,193.00
855,196.00
856,196.00
857,196.00
858,193.00
859,196.00
860,196.00
861,196.00
862,196.00
863,197.00
864,197.00
865,199.00
866,193.00
867,189.00
868,190.00
869,191.00
870,194.00
871,194.00
872,194.00
873,190.00
874,190.00
875,193.00
876,194.00
877,194.00
878,192.00
879,193.00
880,200.00
881,198.00
882,205.00
883,205.00
884,200.00
885,200.00
886,204.00
887,211.00
888,211.00
889,208.00
890,209.00
891,209.00
892,210.00
893,208.00
894,208.00
895,211.00
896,210.00
897,210.00
898,217.00
899,218.00
900,218.00
901,214.00
902,216.00
903,218.00
904,217.00
905,213.00
906,212.00
907,211.00
908,211.00
909,210.00
910,208.00
911,209.00
912,210.00
913,208.00
914,208.00
915,208.00
916,208.00
917,208.00
918,208.00
919,208.00
920,211.00
921,210.00
922,212.00
923,212.00
924,211.00
925,213.00
926,213.00
927,213.00
928,213.00
929,214.00
930,217.00
931,221.00
932,220.00
933,221.00
934,221.00
935,223.00
936,225.00
937,225.00
938,225.00
939,228.00
940,229.00
941,231.00
942,230.00
943,229.00
944,229.00
945,225.00
946,226.00
947,226.00
948,226.00
949,225.00
950,224.00
951,224.00
952,223.00
953,222.00
954,221.00
955,224.00
956,224.00
957,223.00
958,216.00
959,215.00
960,215.00
961,215.00
962,210.00
963,211.00
964,205.00
965,214.00
966,213.00
967,212.00
968,210.00
969,209.00
970,211.00
971,212.00
972,208.00
973,208.00
974,204.00
975,207.00
976,202.00
977,212.00
978,214.00
979,214.00
980,195.00
981,196.00
982,200.00
983,206.00
984,203.00
985,203.00
986,188.00
987,186.00
988,186.00
989,183.00
990,182.00
991,183.00
992,184.00
993,183.00
994,182.00
995,183.00
996,181.00
997,181.00
998,182.00
999,182.00
1000,181.00
1001,181.00
1002,178.00
1003,175.00
1004,177.00
1005,177.00
1006,176.00
1007,176.00
1008,175.00
1009,174.00
1010,174.00
1011,174.00
1012,172.00
1013,171.00
1014,170.00
1015,169.00
1016,167.00
1017,164.00
1018,163.00
1019,161.00
1020,161.00
1021,159.00
1022,159.00
1023,159.00
1024,160.00
1025,159.00
1026,160.00
1027,169.00
1028,167.00
1029,165.00
1030,164.00
1031,164.00
1032,166.00
1033,173.00
1034,173.00
1035,174.00
1036,163.00
1037,162.00
1038,163.00
1039,163.00
1040,162.00
1041,160.00
1042,162.00
1043,162.00
1044,163.00
1045,163.00
1046,165.00
1047,163.00
1048,163.00
1049,165.00
1050,165.00
1051,165.00
1052,169.00
1053,170.00
1054,171.00
1055,171.00
1056,172.00
1057,172.00
1058,173.00
1059,173.00
1060,181.00
1061,176.00
1062,175.00
1063,175.00
1064,175.00
1065,176.00
1066,178.00
1067,180.00
1068,179.00
1069,173.00
1070,185.00
1071,185.00
1072,186.00
1073,185.00
1074,184.00
1075,183.00
1076,181.00
1077,183.00
1078,183.00
1079,178.00
1080,179.00
1081,178.00
1082,178.00
1083,178.00
1084,180.00
1085,181.00
1086,179.00
1087,177.00
1088,176.00
1089,179.00
1090,180.00
1091,193.00
1092,193.00
1093,190.00
1094,187.00
1095,187.00
1096,188.00
1097,189.00
1098,191.00
1099,192.00
1100,192.00
1101,189.00
1102,188.00
1103,187.00
1104,187.00
1105,187.00
1106,187.00
1107,186.00
1108,187.00
1109,188.00
1110,188.00
1111,189.00
1112,184.00
1113,177.00
1114,177.00
1115,173.00
1116,174.00
1117,173.00
1118,176.00
1119,176.00
1120,174.00
1121,169.00
1122,178.00
1123,181.00
1124,180.00
1125,181.00
1126,180.00
1127,181.00
1128,181.00
1129,186.00
1130,187.00
1131,180.00
1132,177.00
1133,175.00
