Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,6.00
6,6.00
7,6.00
8,6.00
9,6.00
10,6.00
11,7.00
12,7.00
13,7.00
14,7.00
15,7.00
16,7.00
17,8.00
18,8.00
19,9.00
20,9.00
21,9.00
22,9.00
23,9.00
24,9.00
25,9.00
26,10.00
27,10.00
28,10.00
29,10.00
30,10.00
31,10.00
32,11.00
33,11.00
34,14.00
35,15.00
36,16.00
37,16.00
38,16.00
39,18.00
40,19.00
41,20.00
42,20.00
43,20.00
44,21.00
45,22.00
46,22.00
47,22.00
48,22.00
49,22.00
50,22.00
51,22.00
52,22.00
53,22.00
54,23.00
55,23.00
56,24.00
57,24.00
58,25.00
59,25.00
60,26.00
61,26.00
62,27.00
63,27.00
64,27.00
65,27.00
66,29.00
67,29.00
68,29.00
69,29.00
70,30.00
71,31.00
72,31.00
73,31.00
74,32.00
75,32.00
76,32.00
77,33.00
78,33.00
79,33.00
80,35.00
81,35.00
82,36.00
83,38.00
84,39.00
85,39.00
86,39.00
87,40.00
88,41.00
89,47.00
90,49.00
91,53.00
92,54.00
93,58.00
94,63.00
95,66.00
96,91.00
97,91.00
98,92.00
99,99.00
100,99.00
101,101.00
102,102.00
103,103.00
104,106.00
105,107.00
106,108.00
107,108.00
108,109.00
109,110.00
110,110.00
111,118.00
112,119.00
113,120.00
114,121.00
115,122.00
116,122.00
117,127.00
118,129.00
119,132.00
120,133.00
121,136.00
122,137.00
123,137.00
124,137.00
125,137.00
126,138.00
127,140.00
128,140.00
129,141.00
130,141.00
131,145.00
132,145.00
133,147.00
134,147.00
135,148.00
136,152.00
137,152.00
138,152.00
139,154.00
140,154.00
141,158.00
142,160.00
143,170.00
144,170.00
145,173.00
146,172.00
147,174.00
148,175.00
149,175.00
150,175.00
151,175.00
152,173.00
153,178.00
154,182.00
155,184.00
156,185.00
157,193.00
158,197.00
159,199.00
160,199.00
161,200.00
162,200.00
163,201.00
164,200.00
165,202.00
166,202.00
167,202.00
168,204.00
169,205.00
170,205.00
171,206.00
172,207.00
173,207.00
174,206.00
175,205.00
176,204.00
177,204.00
178,204.00
179,203.00
180,202.00
181,206.00
182,210.00
183,214.00
184,214.00
185,213.00
186,213.00
187,213.00
188,215.00
189,217.00
190,217.00
191,225.00
192,232.00
193,232.00
194,239.00
195,243.00
196,249.00
197,249.00
198,249.00
199,252.00
200,246.00
201,246.00
202,248.00
203,250.00
204,251.00
205,250.00
206,251.00
207,252.00
208,254.00
209,255.00
210,255.00
211,256.00
212,256.00
213,255.00
214,254.00
215,255.00
216,252.00
217,253.00
218,253.00
219,254.00
220,256.00
221,256.00
222,258.00
223,263.00
224,267.00
225,266.00
226,266.00
227,264.00
228,265.00
229,285.00
230,286.00
231,282.00
232,281.00
233,276.00
234,277.00
235,277.00
236,274.00
237,274.00
238,244.00
239,245.00
240,246.00
241,245.00
242,246.00
243,239.00
244,241.00
245,230.00
246,230.00
247,230.00
248,223.00
249,224.00
250,225.00
251,226.00
252,226.00
253,227.00
254,226.00
255,230.00
256,229.00
257,235.00
258,243.00
259,243.00
260,239.00
261,238.00
262,236.00
263,234.00
264,236.00
265,234.00
266,231.00
267,235.00
268,234.00
269,234.00
270,234.00
271,237.00
272,237.00
273,235.00
274,234.00
275,234.00
276,231.00
277,231.00
278,236.00
279,238.00
280,236.00
281,246.00
282,247.00
283,246.00
284,249.00
285,252.00
286,254.00
287,253.00
288,249.00
289,251.00
290,238.00
291,239.00
292,240.00
293,235.00
294,234.00
295,234.00
296,234.00
297,233.00
298,236.00
299,237.00
300,227.00
301,226.00
302,230.00
303,232.00
304,230.00
305,228.00
306,225.00
307,231.00
308,233.00
309,233.00
310,229.00
311,226.00
312,227.00
313,226.00
314,226.00
315,228.00
316,228.00
317,228.00
318,230.00
319,227.00
320,234.00
321,234.00
322,237.00
323,237.00
324,239.00
325,239.00
326,245.00
327,242.00
328,244.00
329,229.00
330,227.00
331,226.00
332,226.00
333,245.00
334,244.00
335,241.00
336,244.00
337,237.00
338,238.00
339,237.00
340,241.00
341,250.00
342,244.00
343,244.00
344,245.00
345,245.00
346,243.00
347,245.00
348,247.00
349,245.00
350,239.00
351,240.00
352,239.00
353,237.00
354,237.00
355,234.00
356,234.00
357,240.00
358,242.00
359,242.00
360,245.00
361,246.00
362,247.00
363,248.00
364,247.00
365,247.00
366,255.00
367,253.00
368,254.00
369,254.00
370,250.00
371,252.00
372,252.00
373,252.00
374,257.00
375,253.00
376,244.00
377,248.00
378,248.00
379,249.00
380,247.00
381,245.00
382,245.00
383,244.00
384,247.00
385,247.00
386,242.00
387,242.00
388,242.00
389,241.00
390,246.00
391,246.00
392,249.00
393,249.00
394,251.00
395,251.00
396,259.00
397,258.00
398,260.00
399,258.00
400,258.00
401,264.00
402,267.00
403,265.00
404,269.00
405,257.00
406,258.00
407,256.00
408,257.00
409,257.00
410,256.00
411,253.00
412,258.00
413,258.00
414,260.00
415,261.00
416,268.00
417,270.00
418,275.00
419,276.00
420,275.00
421,270.00
422,271.00
423,270.00
424,269.00
425,261.00
426,263.00
427,261.00
428,259.00
429,259.00
430,260.00
431,268.00
432,266.00
433,267.00
434,267.00
435,267.00
436,282.00
437,283.00
438,283.00
439,282.00
440,275.00
441,279.00
442,277.00
443,278.00
444,278.00
445,272.00
446,282.00
447,282.00
448,284.00
449,282.00
450,277.00
451,273.00
452,272.00
453,274.00
454,277.00
455,280.00
456,272.00
457,273.00
458,274.00
459,274.00
460,276.00
461,277.00
462,277.00
463,274.00
464,278.00
465,278.00
466,278.00
467,280.00
468,279.00
469,275.00
470,275.00
471,276.00
472,289.00
473,290.00
474,284.00
475,283.00
476,280.00
477,287.00
478,288.00
479,294.00
480,294.00
481,273.00
482,272.00
483,271.00
484,270.00
485,271.00
486,274.00
487,261.00
488,259.00
489,264.00
490,264.00
491,263.00
492,262.00
493,263.00
494,261.00
495,256.00
496,261.00
497,261.00
498,262.00
499,268.00
500,269.00
501,270.00
502,269.00
503,268.00
504,268.00
505,264.00
506,263.00
507,267.00
508,259.00
509,258.00
510,256.00
511,255.00
512,254.00
513,256.00
514,247.00
515,246.00
516,239.00
517,238.00
518,238.00
519,237.00
520,237.00
521,231.00
522,226.00
523,226.00
524,226.00
525,225.00
526,223.00
527,223.00
528,223.00
529,222.00
530,222.00
531,223.00
532,223.00
533,227.00
534,227.00
535,225.00
536,223.00
537,224.00
538,221.00
539,221.00
540,213.00
541,212.00
542,213.00
543,214.00
544,213.00
545,213.00
546,208.00
547,208.00
548,208.00
549,207.00
550,208.00
551,209.00
552,198.00
553,199.00
554,193.00
555,196.00
556,197.00
557,196.00
558,195.00
559,195.00
560,190.00
561,189.00
562,189.00
563,191.00
564,181.00
565,171.00
566,171.00
567,171.00
568,171.00
569,171.00
570,171.00
571,171.00
572,172.00
573,170.00
574,166.00
575,166.00
576,164.00
577,164.00
578,162.00
579,162.00
580,162.00
581,156.00
582,155.00
583,146.00
584,146.00
585,148.00
586,148.00
587,148.00
588,148.00
589,143.00
590,142.00
591,142.00
592,142.00
593,141.00
594,133.00
595,132.00
596,125.00
597,124.00
598,126.00
599,126.00
600,123.00
601,119.00
602,111.00
603,111.00
604,111.00
605,111.00
606,111.00
607,111.00
608,110.00
609,110.00
610,109.00
611,96.00
612,94.00
613,90.00
614,89.00
615,89.00
616,89.00
617,89.00
618,87.00
619,80.00
620,81.00
621,77.00
622,76.00
623,77.00
624,75.00
625,75.00
626,74.00
627,73.00
628,74.00
629,74.00
630,74.00
631,74.00
632,72.00
633,76.00
634,76.00
635,73.00
636,72.00
637,63.00
638,63.00
639,63.00
640,63.00
641,63.00
642,60.00
643,59.00
644,61.00
645,61.00
646,61.00
647,61.00
648,62.00
649,63.00
650,63.00
651,62.00
652,62.00
653,60.00
654,60.00
655,60.00
656,60.00
657,60.00
658,58.00
659,60.00
660,60.00
661,61.00
662,61.00
663,61.00
664,61.00
665,61.00
666,62.00
667,63.00
668,64.00
669,65.00
670,68.00
671,73.00
672,73.00
673,74.00
674,78.00
675,82.00
676,82.00
677,80.00
678,80.00
679,82.00
680,83.00
681,86.00
682,88.00
683,90.00
684,93.00
685,96.00
686,97.00
687,96.00
688,94.00
689,95.00
690,94.00
691,96.00
692,96.00
693,97.00
694,96.00
695,97.00
696,97.00
697,102.00
698,109.00
699,112.00
700,113.00
701,117.00
702,120.00
703,120.00
704,121.00
705,122.00
706,121.00
707,122.00
708,122.00
709,125.00
710,126.00
711,127.00
712,127.00
713,135.00
714,136.00
715,137.00
716,137.00
717,137.00
718,138.00
719,138.00
720,139.00
721,139.00
722,137.00
723,156.00
724,156.00
725,156.00
726,157.00
727,157.00
728,164.00
729,164.00
730,165.00
731,165.00
732,164.00
733,164.00
734,165.00
735,165.00
736,165.00
737,165.00
738,165.00
739,166.00
740,166.00
741,166.00
742,167.00
743,168.00
744,170.00
745,172.00
746,176.00
747,178.00
748,181.00
749,186.00
750,190.00
751,189.00
752,189.00
753,189.00
754,188.00
755,188.00
756,189.00
757,189.00
758,189.00
759,187.00
760,205.00
761,205.00
762,207.00
763,207.00
764,205.00
765,207.00
766,207.00
767,209.00
768,217.00
769,213.00
770,211.00
771,209.00
772,207.00
773,208.00
774,205.00
775,205.00
776,206.00
777,208.00
778,209.00
779,211.00
780,210.00
781,211.00
782,216.00
783,216.00
784,216.00
785,216.00
786,218.00
787,220.00
788,220.00
789,221.00
790,222.00
791,220.00
792,220.00
793,222.00
794,222.00
795,224.00
796,225.00
797,224.00
798,225.00
799,233.00
800,232.00
801,234.00
802,235.00
803,235.00
804,237.00
805,237.00
806,238.00
807,237.00
808,239.00
809,240.00
810,240.00
811,244.00
812,250.00
813,250.00
814,251.00
815,251.00
816,262.00
817,260.00
818,258.00
819,256.00
820,256.00
821,255.00
822,255.00
823,255.00
824,254.00
825,237.00
826,237.00
827,240.00
828,242.00
829,239.00
830,247.00
831,247.00
832,246.00
833,247.00
834,245.00
835,252.00
836,254.00
837,255.00
838,256.00
839,247.00
840,252.00
841,251.00
842,251.00
843,277.00
844,273.00
845,276.00
846,276.00
847,281.00
848,282.00
849,275.00
850,276.00
851,276.00
852,262.00
853,261.00
854,259.00
855,259.00
856,259.00
857,259.00
858,261.00
859,262.00
860,263.00
861,261.00
862,260.00
863,261.00
864,261.00
865,264.00
866,270.00
867,273.00
868,264.00
869,264.00
870,264.00
871,264.00
872,265.00
873,267.00
874,267.00
875,263.00
876,264.00
877,279.00
878,279.00
879,278.00
880,275.00
881,278.00
882,281.00
883,284.00
884,290.00
885,294.00
886,289.00
887,289.00
888,294.00
889,297.00
890,299.00
891,293.00
892,291.00
893,285.00
894,285.00
895,284.00
896,283.00
897,289.00
898,289.00
899,291.00
900,294.00
901,292.00
902,291.00
903,287.00
904,288.00
905,286.00
906,290.00
907,286.00
908,286.00
909,280.00
910,281.00
911,286.00
912,285.00
913,286.00
914,281.00
915,279.00
916,279.00
917,279.00
918,281.00
919,281.00
920,281.00
921,279.00
922,279.00
923,276.00
924,275.00
925,274.00
926,277.00
927,278.00
928,278.00
929,275.00
930,279.00
931,284.00
932,290.00
933,281.00
934,279.00
935,280.00
936,282.00
937,291.00
938,290.00
939,286.00
940,284.00
941,283.00
942,284.00
943,282.00
944,281.00
945,281.00
946,267.00
947,268.00
948,267.00
949,264.00
950,267.00
951,268.00
952,268.00
953,267.00
954,263.00
955,261.00
956,266.00
957,266.00
958,265.00
959,259.00
960,260.00
961,258.00
962,257.00
963,250.00
964,255.00
965,242.00
966,247.00
967,248.00
968,248.00
969,246.00
970,247.00
971,249.00
972,254.00
973,250.00
974,250.00
975,244.00
976,244.00
977,240.00
978,247.00
979,251.00
980,250.00
981,244.00
982,242.00
983,248.00
984,252.00
985,252.00
986,247.00
987,234.00
988,232.00
989,231.00
990,228.00
991,227.00
992,226.00
993,228.00
994,230.00
995,233.00
996,233.00
997,232.00
998,233.00
999,238.00
1000,239.00
1001,239.00
1002,240.00
1003,239.00
1004,239.00
1005,243.00
1006,241.00
1007,234.00
1008,228.00
1009,229.00
1010,230.00
1011,231.00
1012,231.00
1013,230.00
1014,228.00
1015,228.00
1016,228.00
1017,227.00
1018,227.00
1019,225.00
1020,222.00
1021,223.00
1022,225.00
1023,224.00
1024,224.00
1025,213.00
1026,212.00
1027,231.00
1028,230.00
1029,232.00
1030,230.00
1031,230.00
1032,231.00
1033,239.00
1034,241.00
1035,253.00
1036,243.00
1037,242.00
1038,243.00
1039,243.00
1040,243.00
1041,243.00
1042,244.00
1043,243.00
1044,233.00
1045,233.00
1046,237.00
1047,237.00
1048,237.00
1049,239.00
1050,240.00
1051,240.00
1052,246.00
1053,247.00
1054,247.00
1055,245.00
1056,247.00
1057,248.00
1058,244.00
1059,244.00
1060,261.00
1061,254.00
1062,253.00
1063,253.00
1064,254.00
1065,256.00
1066,258.00
1067,260.00
1068,262.00
1069,257.00
1070,278.00
1071,278.00
1072,278.00
1073,278.00
1074,277.00
1075,274.00
1076,267.00
1077,271.00
1078,269.00
1079,257.00
1080,256.00
1081,256.00
1082,256.00
1083,257.00
1084,258.00
1085,257.00
1086,258.00
1087,255.00
1088,256.00
1089,262.00
1090,262.00
1091,277.00
1092,277.00
1093,273.00
1094,275.00
1095,276.00
1096,279.00
1097,278.00
1098,279.00
1099,284.00
1100,283.00
1101,284.00
1102,283.00
1103,280.00
1104,280.00
1105,282.00
1106,283.00
1107,283.00
1108,282.00
1109,282.00
1110,280.00
1111,282.00
1112,283.00
1113,278.00
1114,275.00
1115,269.00
1116,271.00
1117,277.00
1118,277.00
1119,277.00
1120,274.00
1121,269.00
1122,281.00
1123,287.00
1124,290.00
1125,289.00
1126,284.00
1127,282.00
1128,284.00
1129,288.00
1130,290.00
1131,275.00
1132,271.00
1133,264.00
