Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,3.00
7,6.00
8,6.00
9,7.00
10,7.00
11,7.00
12,8.00
13,9.00
14,9.00
15,9.00
16,14.00
17,14.00
18,14.00
19,14.00
20,16.00
21,17.00
22,19.00
23,19.00
24,19.00
25,20.00
26,20.00
27,20.00
28,24.00
29,24.00
30,26.00
31,27.00
32,27.00
33,28.00
34,30.00
35,30.00
36,30.00
37,36.00
38,37.00
39,37.00
40,37.00
41,38.00
42,38.00
43,41.00
44,41.00
45,48.00
46,50.00
47,53.00
48,55.00
49,55.00
50,57.00
51,57.00
52,58.00
53,60.00
54,60.00
55,62.00
56,62.00
57,62.00
58,63.00
59,63.00
60,63.00
61,64.00
62,64.00
63,66.00
64,68.00
65,71.00
66,71.00
67,73.00
68,76.00
69,77.00
70,78.00
71,78.00
72,78.00
73,82.00
74,82.00
75,86.00
76,86.00
77,86.00
78,87.00
79,88.00
80,89.00
81,90.00
82,90.00
83,90.00
84,90.00
85,90.00
86,90.00
87,91.00
88,92.00
89,93.00
90,94.00
91,95.00
92,95.00
93,100.00
94,103.00
95,107.00
96,108.00
97,110.00
98,112.00
99,113.00
100,124.00
101,126.00
102,134.00
103,134.00
104,143.00
105,153.00
106,159.00
107,184.00
108,184.00
109,186.00
110,189.00
111,191.00
112,196.00
113,199.00
114,201.00
115,206.00
116,210.00
117,211.00
118,211.00
119,212.00
120,214.00
121,216.00
122,224.00
123,225.00
124,225.00
125,225.00
126,226.00
127,227.00
128,232.00
129,243.00
130,245.00
131,245.00
132,249.00
133,249.00
134,249.00
135,254.00
136,255.00
137,255.00
138,255.00
139,255.00
140,258.00
141,258.00
142,259.00
143,260.00
144,260.00
145,261.00
146,262.00
147,267.00
148,266.00
149,264.00
150,266.00
151,267.00
152,271.00
153,270.00
154,282.00
155,282.00
156,283.00
157,284.00
158,288.00
159,288.00
160,289.00
161,293.00
162,295.00
163,294.00
164,300.00
165,303.00
166,308.00
167,308.00
168,309.00
169,310.00
170,312.00
171,312.00
172,311.00
173,311.00
174,314.00
175,314.00
176,316.00
177,315.00
178,316.00
179,317.00
180,316.00
181,316.00
182,316.00
183,316.00
184,315.00
185,314.00
186,318.00
187,318.00
188,317.00
189,316.00
190,315.00
191,316.00
192,314.00
193,313.00
194,315.00
195,313.00
196,314.00
197,313.00
198,313.00
199,316.00
200,319.00
201,318.00
202,322.00
203,330.00
204,330.00
205,337.00
206,347.00
207,347.00
208,347.00
209,345.00
210,348.00
211,341.00
212,340.00
213,343.00
214,343.00
215,343.00
216,344.00
217,344.00
218,343.00
219,343.00
220,343.00
221,344.00
222,342.00
223,342.00
224,343.00
225,342.00
226,341.00
227,340.00
228,340.00
229,340.00
230,341.00
231,347.00
232,346.00
233,346.00
234,346.00
235,349.00
236,348.00
237,346.00
238,346.00
239,344.00
240,368.00
241,364.00
242,357.00
243,351.00
244,352.00
245,356.00
246,355.00
247,356.00
248,355.00
249,314.00
250,311.00
251,313.00
252,312.00
253,313.00
254,303.00
255,302.00
256,291.00
257,289.00
258,289.00
259,288.00
260,287.00
261,286.00
262,285.00
263,289.00
264,288.00
265,285.00
266,286.00
267,286.00
268,287.00
269,290.00
270,290.00
271,286.00
272,285.00
273,285.00
274,288.00
275,295.00
276,288.00
277,284.00
278,286.00
279,287.00
280,288.00
281,289.00
282,290.00
283,290.00
284,287.00
285,291.00
286,291.00
287,291.00
288,290.00
289,292.00
290,294.00
291,293.00
292,304.00
293,305.00
294,302.00
295,309.00
296,310.00
297,317.00
298,317.00
299,316.00
300,318.00
301,310.00
302,313.00
303,317.00
304,311.00
305,306.00
306,303.00
307,303.00
308,302.00
309,300.00
310,299.00
311,292.00
312,291.00
313,293.00
314,284.00
315,286.00
316,288.00
317,286.00
318,288.00
319,290.00
320,292.00
321,297.00
322,297.00
323,297.00
324,298.00
325,298.00
326,300.00
327,302.00
328,302.00
329,302.00
330,300.00
331,312.00
332,309.00
333,309.00
334,310.00
335,309.00
336,308.00
337,307.00
338,302.00
339,304.00
340,290.00
341,290.00
342,290.00
343,288.00
344,301.00
345,299.00
346,291.00
347,290.00
348,287.00
349,290.00
350,289.00
351,302.00
352,308.00
353,297.00
354,297.00
355,297.00
356,299.00
357,301.00
358,301.00
359,298.00
360,295.00
361,291.00
362,292.00
363,292.00
364,293.00
365,294.00
366,295.00
367,296.00
368,301.00
369,301.00
370,302.00
371,302.00
372,302.00
373,307.00
374,307.00
375,309.00
376,307.00
377,311.00
378,310.00
379,317.00
380,318.00
381,318.00
382,319.00
383,316.00
384,316.00
385,320.00
386,312.00
387,301.00
388,301.00
389,302.00
390,305.00
391,302.00
392,300.00
393,300.00
394,295.00
395,295.00
396,296.00
397,292.00
398,292.00
399,292.00
400,293.00
401,293.00
402,294.00
403,301.00
404,299.00
405,299.00
406,298.00
407,303.00
408,302.00
409,301.00
410,297.00
411,297.00
412,301.00
413,310.00
414,310.00
415,311.00
416,303.00
417,312.00
418,312.00
419,313.00
420,314.00
421,311.00
422,303.00
423,307.00
424,308.00
425,311.00
426,310.00
427,314.00
428,318.00
429,322.00
430,321.00
431,321.00
432,318.00
433,321.00
434,320.00
435,319.00
436,314.00
437,314.00
438,312.00
439,302.00
440,302.00
441,301.00
442,308.00
443,304.00
444,305.00
445,305.00
446,303.00
447,310.00
448,308.00
449,306.00
450,305.00
451,295.00
452,298.00
453,300.00
454,301.00
455,299.00
456,291.00
457,301.00
458,304.00
459,303.00
460,302.00
461,296.00
462,289.00
463,289.00
464,291.00
465,295.00
466,295.00
467,286.00
468,287.00
469,286.00
470,286.00
471,289.00
472,289.00
473,292.00
474,293.00
475,298.00
476,299.00
477,298.00
478,300.00
479,297.00
480,298.00
481,300.00
482,297.00
483,308.00
484,310.00
485,308.00
486,306.00
487,307.00
488,313.00
489,316.00
490,325.00
491,324.00
492,312.00
493,312.00
494,311.00
495,311.00
496,315.00
497,320.00
498,305.00
499,296.00
500,297.00
501,299.00
502,300.00
503,301.00
504,302.00
505,302.00
506,302.00
507,309.00
508,311.00
509,311.00
510,315.00
511,314.00
512,314.00
513,316.00
514,315.00
515,315.00
516,310.00
517,310.00
518,311.00
519,309.00
520,309.00
521,305.00
522,305.00
523,305.00
524,305.00
525,292.00
526,288.00
527,279.00
528,281.00
529,281.00
530,280.00
531,280.00
532,274.00
533,271.00
534,271.00
535,271.00
536,271.00
537,270.00
538,269.00
539,269.00
540,268.00
541,267.00
542,269.00
543,269.00
544,270.00
545,270.00
546,271.00
547,271.00
548,270.00
549,270.00
550,267.00
551,260.00
552,261.00
553,261.00
554,262.00
555,262.00
556,264.00
557,260.00
558,259.00
559,258.00
560,256.00
561,249.00
562,249.00
563,245.00
564,245.00
565,232.00
566,234.00
567,234.00
568,230.00
569,228.00
570,226.00
571,224.00
572,223.00
573,219.00
574,219.00
575,211.00
576,206.00
577,206.00
578,206.00
579,206.00
580,206.00
581,205.00
582,204.00
583,203.00
584,203.00
585,202.00
586,202.00
587,201.00
588,200.00
589,199.00
590,193.00
591,194.00
592,191.00
593,191.00
594,185.00
595,183.00
596,185.00
597,184.00
598,186.00
599,183.00
600,176.00
601,175.00
602,177.00
603,177.00
604,169.00
605,165.00
606,165.00
607,160.00
608,160.00
609,160.00
610,160.00
611,157.00
612,156.00
613,153.00
614,153.00
615,153.00
616,152.00
617,152.00
618,149.00
619,150.00
620,149.00
621,145.00
622,136.00
623,138.00
624,139.00
625,137.00
626,133.00
627,133.00
628,135.00
629,130.00
630,125.00
631,125.00
632,128.00
633,127.00
634,127.00
635,122.00
636,120.00
637,113.00
638,113.00
639,112.00
640,113.00
641,109.00
642,109.00
643,105.00
644,109.00
645,110.00
646,109.00
647,111.00
648,107.00
649,107.00
650,106.00
651,104.00
652,106.00
653,100.00
654,100.00
655,99.00
656,98.00
657,97.00
658,97.00
659,98.00
660,98.00
661,98.00
662,98.00
663,99.00
664,97.00
665,97.00
666,97.00
667,97.00
668,96.00
669,96.00
670,95.00
671,95.00
672,97.00
673,95.00
674,94.00
675,96.00
676,95.00
677,97.00
678,98.00
679,99.00
680,99.00
681,99.00
682,102.00
683,100.00
684,106.00
685,110.00
686,112.00
687,113.00
688,115.00
689,116.00
690,123.00
691,124.00
692,125.00
693,129.00
694,131.00
695,131.00
696,132.00
697,132.00
698,134.00
699,136.00
700,133.00
701,132.00
702,133.00
703,133.00
704,134.00
705,133.00
706,134.00
707,134.00
708,140.00
709,140.00
710,145.00
711,146.00
712,147.00
713,150.00
714,151.00
715,154.00
716,161.00
717,162.00
718,163.00
719,163.00
720,164.00
721,165.00
722,165.00
723,166.00
724,170.00
725,170.00
726,171.00
727,173.00
728,174.00
729,174.00
730,174.00
731,175.00
732,175.00
733,174.00
734,185.00
735,185.00
736,185.00
737,185.00
738,187.00
739,192.00
740,193.00
741,192.00
742,194.00
743,193.00
744,194.00
745,195.00
746,195.00
747,195.00
748,195.00
749,195.00
750,195.00
751,195.00
752,195.00
753,195.00
754,196.00
755,196.00
756,196.00
757,197.00
758,196.00
759,199.00
760,204.00
761,205.00
762,206.00
763,206.00
764,211.00
765,211.00
766,211.00
767,211.00
768,209.00
769,210.00
770,214.00
771,216.00
772,216.00
773,216.00
774,231.00
775,230.00
776,236.00
777,237.00
778,235.00
779,237.00
780,237.00
781,240.00
782,249.00
783,248.00
784,248.00
785,248.00
786,247.00
787,248.00
788,245.00
789,246.00
790,244.00
791,245.00
792,245.00
793,246.00
794,245.00
795,245.00
796,254.00
797,254.00
798,254.00
799,252.00
800,252.00
801,254.00
802,255.00
803,254.00
804,255.00
805,251.00
806,250.00
807,250.00
808,250.00
809,250.00
810,249.00
811,248.00
812,248.00
813,257.00
814,256.00
815,258.00
816,258.00
817,260.00
818,262.00
819,259.00
820,261.00
821,260.00
822,260.00
823,265.00
824,263.00
825,263.00
826,264.00
827,262.00
828,262.00
829,259.00
830,266.00
831,266.00
832,267.00
833,267.00
834,267.00
835,266.00
836,270.00
837,266.00
838,266.00
839,249.00
840,247.00
841,250.00
842,251.00
843,250.00
844,263.00
845,263.00
846,263.00
847,263.00
848,263.00
849,261.00
850,271.00
851,273.00
852,273.00
853,273.00
854,270.00
855,274.00
856,273.00
857,269.00
858,294.00
859,297.00
860,298.00
861,298.00
862,296.00
863,298.00
864,295.00
865,296.00
866,296.00
867,285.00
868,285.00
869,283.00
870,283.00
871,282.00
872,283.00
873,286.00
874,286.00
875,285.00
876,292.00
877,291.00
878,293.00
879,292.00
880,294.00
881,298.00
882,298.00
883,291.00
884,288.00
885,288.00
886,286.00
887,289.00
888,291.00
889,291.00
890,287.00
891,287.00
892,295.00
893,293.00
894,294.00
895,292.00
896,292.00
897,297.00
898,297.00
899,304.00
900,307.00
901,302.00
902,299.00
903,308.00
904,314.00
905,314.00
906,311.00
907,311.00
908,302.00
909,302.00
910,303.00
911,304.00
912,311.00
913,309.00
914,311.00
915,314.00
916,311.00
917,311.00
918,309.00
919,309.00
920,309.00
921,309.00
922,299.00
923,300.00
924,290.00
925,288.00
926,288.00
927,287.00
928,287.00
929,279.00
930,276.00
931,277.00
932,277.00
933,277.00
934,276.00
935,275.00
936,275.00
937,277.00
938,277.00
939,276.00
940,276.00
941,277.00
942,276.00
943,278.00
944,269.00
945,269.00
946,274.00
947,274.00
948,280.00
949,281.00
950,281.00
951,281.00
952,282.00
953,284.00
954,292.00
955,295.00
956,293.00
957,293.00
958,293.00
959,293.00
960,295.00
961,294.00
962,294.00
963,287.00
964,288.00
965,286.00
966,286.00
967,286.00
968,286.00
969,286.00
970,287.00
971,289.00
972,289.00
973,289.00
974,289.00
975,289.00
976,287.00
977,290.00
978,289.00
979,289.00
980,279.00
981,284.00
982,269.00
983,273.00
984,274.00
985,274.00
986,273.00
987,277.00
988,276.00
989,281.00
990,277.00
991,277.00
992,271.00
993,270.00
994,259.00
995,269.00
996,273.00
997,271.00
998,265.00
999,267.00
1000,274.00
1001,280.00
1002,276.00
1003,274.00
1004,264.00
1005,264.00
1006,266.00
1007,254.00
1008,255.00
1009,255.00
1010,257.00
1011,257.00
1012,257.00
1013,257.00
1014,254.00
1015,257.00
1016,257.00
1017,259.00
1018,258.00
1019,255.00
1020,253.00
1021,253.00
1022,258.00
1023,256.00
1024,250.00
1025,244.00
1026,240.00
1027,242.00
1028,242.00
1029,242.00
1030,241.00
1031,240.00
1032,241.00
1033,238.00
1034,239.00
1035,239.00
1036,242.00
1037,237.00
1038,234.00
1039,234.00
1040,234.00
1041,235.00
1042,236.00
1043,233.00
1044,234.00
1045,251.00
1046,251.00
1047,250.00
1048,249.00
1049,250.00
1050,250.00
1051,264.00
1052,264.00
1053,271.00
1054,256.00
1055,256.00
1056,259.00
1057,259.00
1058,259.00
1059,257.00
1060,259.00
1061,260.00
1062,259.00
1063,260.00
1064,262.00
1065,263.00
1066,263.00
1067,262.00
1068,262.00
1069,262.00
1070,269.00
1071,270.00
1072,269.00
1073,267.00
1074,268.00
1075,270.00
1076,270.00
1077,271.00
1078,279.00
1079,274.00
1080,273.00
1081,274.00
1082,274.00
1083,276.00
1084,279.00
1085,278.00
1086,279.00
1087,266.00
1088,275.00
1089,273.00
1090,274.00
1091,274.00
1092,272.00
1093,272.00
1094,270.00
1095,271.00
1096,270.00
1097,257.00
1098,255.00
1099,250.00
1100,251.00
1101,251.00
1102,252.00
1103,252.00
1104,250.00
1105,250.00
1106,251.00
1107,255.00
1108,258.00
1109,267.00
1110,267.00
1111,266.00
1112,264.00
1113,265.00
1114,265.00
1115,265.00
1116,266.00
1117,269.00
1118,267.00
1119,266.00
1120,265.00
1121,262.00
1122,261.00
1123,261.00
1124,262.00
1125,262.00
1126,262.00
1127,265.00
1128,265.00
1129,265.00
1130,262.00
1131,260.00
1132,259.00
1133,256.00
