Position,Coverage
1,1.00
2,1.00
3,1.00
4,3.00
5,3.00
6,3.00
7,4.00
8,4.00
9,5.00
10,5.00
11,5.00
12,5.00
13,6.00
14,8.00
15,8.00
16,8.00
17,8.00
18,8.00
19,8.00
20,8.00
21,9.00
22,9.00
23,9.00
24,9.00
25,10.00
26,10.00
27,10.00
28,10.00
29,10.00
30,10.00
31,11.00
32,11.00
33,13.00
34,13.00
35,13.00
36,13.00
37,13.00
38,13.00
39,14.00
40,15.00
41,16.00
42,16.00
43,17.00
44,18.00
45,18.00
46,19.00
47,19.00
48,19.00
49,19.00
50,19.00
51,21.00
52,23.00
53,26.00
54,26.00
55,27.00
56,29.00
57,29.00
58,29.00
59,29.00
60,29.00
61,31.00
62,32.00
63,33.00
64,33.00
65,33.00
66,33.00
67,34.00
68,34.00
69,34.00
70,35.00
71,35.00
72,35.00
73,37.00
74,38.00
75,38.00
76,38.00
77,38.00
78,39.00
79,40.00
80,41.00
81,44.00
82,45.00
83,47.00
84,49.00
85,51.00
86,51.00
87,53.00
88,58.00
89,58.00
90,64.00
91,64.00
92,74.00
93,80.00
94,82.00
95,103.00
96,104.00
97,106.00
98,109.00
99,111.00
100,112.00
101,112.00
102,112.00
103,113.00
104,114.00
105,116.00
106,117.00
107,117.00
108,118.00
109,118.00
110,125.00
111,126.00
112,127.00
113,127.00
114,127.00
115,128.00
116,136.00
117,138.00
118,139.00
119,139.00
120,142.00
121,142.00
122,142.00
123,143.00
124,144.00
125,145.00
126,146.00
127,146.00
128,146.00
129,146.00
130,149.00
131,149.00
132,149.00
133,149.00
134,149.00
135,150.00
136,150.00
137,150.00
138,155.00
139,154.00
140,161.00
141,161.00
142,175.00
143,175.00
144,178.00
145,180.00
146,183.00
147,183.00
148,183.00
149,184.00
150,184.00
151,187.00
152,189.00
153,194.00
154,197.00
155,202.00
156,208.00
157,211.00
158,214.00
159,217.00
160,216.00
161,214.00
162,213.00
163,214.00
164,214.00
165,215.00
166,218.00
167,219.00
168,218.00
169,220.00
170,220.00
171,220.00
172,221.00
173,221.00
174,223.00
175,222.00
176,221.00
177,220.00
178,219.00
179,218.00
180,220.00
181,221.00
182,225.00
183,224.00
184,223.00
185,225.00
186,225.00
187,225.00
188,225.00
189,224.00
190,229.00
191,236.00
192,234.00
193,240.00
194,243.00
195,243.00
196,243.00
197,242.00
198,242.00
199,237.00
200,235.00
201,237.00
202,238.00
203,238.00
204,247.00
205,246.00
206,249.00
207,249.00
208,249.00
209,248.00
210,247.00
211,247.00
212,247.00
213,247.00
214,246.00
215,245.00
216,245.00
217,245.00
218,245.00
219,247.00
220,246.00
221,253.00
222,257.00
223,260.00
224,257.00
225,257.00
226,257.00
227,257.00
228,295.00
229,295.00
230,289.00
231,285.00
232,282.00
233,290.00
234,290.00
235,287.00
236,285.00
237,249.00
238,253.00
239,258.00
240,256.00
241,256.00
242,245.00
243,246.00
244,238.00
245,238.00
246,237.00
247,232.00
248,232.00
249,234.00
250,233.00
251,234.00
252,234.00
253,233.00
254,233.00
255,233.00
256,241.00
257,248.00
258,247.00
259,245.00
260,244.00
261,245.00
262,242.00
263,245.00
264,240.00
265,239.00
266,240.00
267,242.00
268,241.00
269,241.00
270,239.00
271,241.00
272,240.00
273,244.00
274,244.00
275,243.00
276,243.00
277,243.00
278,247.00
279,249.00
280,260.00
281,263.00
282,263.00
283,268.00
284,271.00
285,271.00
286,270.00
287,265.00
288,268.00
289,241.00
290,245.00
291,246.00
292,244.00
293,245.00
294,240.00
295,244.00
296,247.00
297,250.00
298,249.00
299,243.00
300,245.00
301,254.00
302,255.00
303,256.00
304,253.00
305,253.00
306,255.00
307,255.00
308,255.00
309,251.00
310,250.00
311,253.00
312,253.00
313,253.00
314,254.00
315,254.00
316,253.00
317,255.00
318,257.00
319,269.00
320,269.00
321,269.00
322,268.00
323,270.00
324,268.00
325,270.00
326,270.00
327,268.00
328,254.00
329,254.00
330,253.00
331,253.00
332,278.00
333,278.00
334,275.00
335,275.00
336,276.00
337,277.00
338,277.00
339,280.00
340,296.00
341,286.00
342,286.00
343,286.00
344,285.00
345,287.00
346,287.00
347,290.00
348,288.00
349,285.00
350,287.00
351,289.00
352,289.00
353,288.00
354,288.00
355,289.00
356,290.00
357,292.00
358,294.00
359,297.00
360,296.00
361,294.00
362,292.00
363,294.00
364,293.00
365,296.00
366,294.00
367,299.00
368,297.00
369,296.00
370,298.00
371,299.00
372,299.00
373,302.00
374,289.00
375,271.00
376,286.00
377,287.00
378,288.00
379,286.00
380,284.00
381,284.00
382,285.00
383,287.00
384,287.00
385,275.00
386,275.00
387,275.00
388,275.00
389,278.00
390,280.00
391,280.00
392,280.00
393,280.00
394,279.00
395,291.00
396,290.00
397,289.00
398,287.00
399,288.00
400,291.00
401,299.00
402,298.00
403,300.00
404,286.00
405,289.00
406,289.00
407,292.00
408,293.00
409,291.00
410,288.00
411,293.00
412,293.00
413,294.00
414,292.00
415,298.00
416,300.00
417,302.00
418,298.00
419,298.00
420,290.00
421,290.00
422,289.00
423,287.00
424,282.00
425,281.00
426,279.00
427,276.00
428,275.00
429,275.00
430,285.00
431,282.00
432,285.00
433,285.00
434,285.00
435,300.00
436,298.00
437,297.00
438,297.00
439,284.00
440,290.00
441,289.00
442,289.00
443,287.00
444,274.00
445,280.00
446,281.00
447,281.00
448,277.00
449,271.00
450,270.00
451,271.00
452,274.00
453,274.00
454,266.00
455,264.00
456,264.00
457,265.00
458,265.00
459,264.00
460,263.00
461,260.00
462,260.00
463,260.00
464,257.00
465,259.00
466,258.00
467,257.00
468,257.00
469,259.00
470,268.00
471,268.00
472,268.00
473,267.00
474,264.00
475,268.00
476,274.00
477,283.00
478,284.00
479,262.00
480,261.00
481,261.00
482,261.00
483,265.00
484,269.00
485,262.00
486,260.00
487,260.00
488,260.00
489,259.00
490,260.00
491,259.00
492,258.00
493,257.00
494,265.00
495,264.00
496,265.00
497,267.00
498,264.00
499,267.00
500,267.00
501,265.00
502,264.00
503,261.00
504,258.00
505,264.00
506,252.00
507,250.00
508,245.00
509,242.00
510,244.00
511,244.00
512,241.00
513,238.00
514,227.00
515,225.00
516,225.00
517,222.00
518,222.00
519,215.00
520,208.00
521,208.00
522,209.00
523,206.00
524,203.00
525,203.00
526,204.00
527,203.00
528,203.00
529,207.00
530,207.00
531,207.00
532,209.00
533,209.00
534,209.00
535,212.00
536,210.00
537,208.00
538,206.00
539,205.00
540,204.00
541,200.00
542,201.00
543,203.00
544,196.00
545,196.00
546,197.00
547,194.00
548,192.00
549,191.00
550,179.00
551,179.00
552,173.00
553,174.00
554,173.00
555,170.00
556,170.00
557,167.00
558,162.00
559,162.00
560,163.00
561,163.00
562,153.00
563,148.00
564,148.00
565,148.00
566,148.00
567,147.00
568,146.00
569,146.00
570,149.00
571,148.00
572,148.00
573,146.00
574,146.00
575,147.00
576,147.00
577,144.00
578,144.00
579,138.00
580,136.00
581,129.00
582,129.00
583,131.00
584,130.00
585,129.00
586,129.00
587,123.00
588,121.00
589,121.00
590,121.00
591,117.00
592,115.00
593,115.00
594,109.00
595,108.00
596,108.00
597,108.00
598,106.00
599,105.00
600,102.00
601,102.00
602,105.00
603,103.00
604,101.00
605,102.00
606,102.00
607,102.00
608,101.00
609,87.00
610,86.00
611,87.00
612,85.00
613,84.00
614,86.00
615,87.00
616,87.00
617,85.00
618,85.00
619,83.00
620,85.00
621,84.00
622,78.00
623,77.00
624,74.00
625,73.00
626,76.00
627,77.00
628,75.00
629,71.00
630,70.00
631,74.00
632,74.00
633,72.00
634,70.00
635,70.00
636,72.00
637,72.00
638,70.00
639,70.00
640,68.00
641,64.00
642,66.00
643,64.00
644,62.00
645,62.00
646,62.00
647,62.00
648,61.00
649,60.00
650,61.00
651,61.00
652,61.00
653,61.00
654,63.00
655,63.00
656,62.00
657,64.00
658,64.00
659,65.00
660,65.00
661,65.00
662,66.00
663,66.00
664,70.00
665,70.00
666,75.00
667,76.00
668,80.00
669,80.00
670,82.00
671,80.00
672,83.00
673,87.00
674,90.00
675,86.00
676,86.00
677,87.00
678,87.00
679,88.00
680,90.00
681,92.00
682,91.00
683,91.00
684,91.00
685,91.00
686,93.00
687,90.00
688,90.00
689,92.00
690,97.00
691,98.00
692,96.00
693,96.00
694,95.00
695,98.00
696,99.00
697,104.00
698,105.00
699,105.00
700,104.00
701,105.00
702,109.00
703,111.00
704,111.00
705,111.00
706,111.00
707,116.00
708,116.00
709,116.00
710,116.00
711,119.00
712,119.00
713,120.00
714,120.00
715,121.00
716,122.00
717,122.00
718,122.00
719,122.00
720,122.00
721,134.00
722,133.00
723,132.00
724,132.00
725,133.00
726,137.00
727,137.00
728,140.00
729,142.00
730,145.00
731,146.00
732,148.00
733,149.00
734,150.00
735,150.00
736,151.00
737,153.00
738,154.00
739,155.00
740,156.00
741,157.00
742,158.00
743,159.00
744,167.00
745,168.00
746,168.00
747,170.00
748,172.00
749,169.00
750,169.00
751,170.00
752,167.00
753,168.00
754,168.00
755,169.00
756,171.00
757,171.00
758,190.00
759,190.00
760,193.00
761,194.00
762,192.00
763,197.00
764,197.00
765,197.00
766,204.00
767,198.00
768,198.00
769,198.00
770,198.00
771,201.00
772,200.00
773,200.00
774,201.00
775,201.00
776,201.00
777,199.00
778,197.00
779,197.00
780,203.00
781,204.00
782,204.00
783,204.00
784,205.00
785,214.00
786,214.00
787,213.00
788,213.00
789,208.00
790,206.00
791,209.00
792,209.00
793,209.00
794,213.00
795,213.00
796,215.00
797,221.00
798,220.00
799,220.00
800,220.00
801,221.00
802,218.00
803,218.00
804,217.00
805,217.00
806,217.00
807,219.00
808,219.00
809,220.00
810,221.00
811,221.00
812,223.00
813,219.00
814,238.00
815,237.00
816,233.00
817,232.00
818,234.00
819,233.00
820,232.00
821,229.00
822,231.00
823,229.00
824,229.00
825,230.00
826,233.00
827,236.00
828,246.00
829,246.00
830,245.00
831,244.00
832,241.00
833,248.00
834,252.00
835,251.00
836,252.00
837,237.00
838,247.00
839,247.00
840,248.00
841,275.00
842,283.00
843,288.00
844,288.00
845,287.00
846,287.00
847,283.00
848,286.00
849,286.00
850,275.00
851,274.00
852,273.00
853,273.00
854,274.00
855,276.00
856,281.00
857,285.00
858,286.00
859,289.00
860,289.00
861,290.00
862,290.00
863,292.00
864,296.00
865,296.00
866,292.00
867,288.00
868,288.00
869,289.00
870,291.00
871,292.00
872,289.00
873,284.00
874,286.00
875,293.00
876,292.00
877,290.00
878,288.00
879,288.00
880,292.00
881,293.00
882,301.00
883,301.00
884,289.00
885,290.00
886,293.00
887,296.00
888,296.00
889,292.00
890,294.00
891,287.00
892,288.00
893,286.00
894,284.00
895,289.00
896,288.00
897,289.00
898,294.00
899,295.00
900,295.00
901,295.00
902,294.00
903,292.00
904,295.00
905,287.00
906,288.00
907,280.00
908,279.00
909,281.00
910,281.00
911,283.00
912,282.00
913,281.00
914,278.00
915,277.00
916,277.00
917,277.00
918,276.00
919,277.00
920,279.00
921,277.00
922,279.00
923,277.00
924,277.00
925,278.00
926,280.00
927,275.00
928,281.00
929,284.00
930,287.00
931,282.00
932,282.00
933,285.00
934,286.00
935,289.00
936,289.00
937,282.00
938,281.00
939,281.00
940,280.00
941,280.00
942,280.00
943,285.00
944,273.00
945,273.00
946,273.00
947,273.00
948,274.00
949,275.00
950,276.00
951,276.00
952,273.00
953,273.00
954,280.00
955,277.00
956,275.00
957,267.00
958,269.00
959,269.00
960,268.00
961,254.00
962,259.00
963,252.00
964,260.00
965,263.00
966,259.00
967,259.00
968,259.00
969,260.00
970,272.00
971,262.00
972,260.00
973,253.00
974,254.00
975,250.00
976,256.00
977,261.00
978,259.00
979,253.00
980,249.00
981,252.00
982,258.00
983,257.00
984,257.00
985,244.00
986,238.00
987,241.00
988,230.00
989,228.00
990,226.00
991,228.00
992,231.00
993,231.00
994,231.00
995,229.00
996,229.00
997,230.00
998,231.00
999,230.00
1000,228.00
1001,225.00
1002,223.00
1003,225.00
1004,224.00
1005,223.00
1006,222.00
1007,221.00
1008,225.00
1009,226.00
1010,224.00
1011,227.00
1012,223.00
1013,224.00
1014,223.00
1015,224.00
1016,225.00
1017,225.00
1018,224.00
1019,224.00
1020,226.00
1021,226.00
1022,223.00
1023,218.00
1024,217.00
1025,241.00
1026,241.00
1027,241.00
1028,241.00
1029,240.00
1030,238.00
1031,247.00
1032,248.00
1033,255.00
1034,247.00
1035,249.00
1036,249.00
1037,249.00
1038,248.00
1039,248.00
1040,249.00
1041,249.00
1042,249.00
1043,249.00
1044,250.00
1045,249.00
1046,245.00
1047,246.00
1048,246.00
1049,246.00
1050,256.00
1051,255.00
1052,255.00
1053,253.00
1054,253.00
1055,253.00
1056,253.00
1057,256.00
1058,265.00
1059,259.00
1060,260.00
1061,261.00
1062,263.00
1063,265.00
1064,266.00
1065,272.00
1066,271.00
1067,259.00
1068,275.00
1069,274.00
1070,276.00
1071,275.00
1072,274.00
1073,272.00
1074,266.00
1075,268.00
1076,265.00
1077,254.00
1078,254.00
1079,249.00
1080,248.00
1081,248.00
1082,255.00
1083,260.00
1084,263.00
1085,261.00
1086,264.00
1087,267.00
1088,268.00
1089,277.00
1090,273.00
1091,267.00
1092,264.00
1093,264.00
1094,265.00
1095,265.00
1096,266.00
1097,267.00
1098,265.00
1099,265.00
1100,263.00
1101,260.00
1102,264.00
1103,264.00
1104,264.00
1105,263.00
1106,271.00
1107,271.00
1108,271.00
1109,274.00
1110,272.00
1111,271.00
1112,267.00
1113,258.00
1114,267.00
1115,269.00
1116,269.00
1117,269.00
1118,267.00
1119,263.00
1120,274.00
1121,280.00
1122,278.00
1123,278.00
1124,269.00
1125,267.00
1126,268.00
1127,272.00
1128,272.00
1129,257.00
1130,250.00
1131,247.00
1132,247.00
1133,246.00
