Position,Coverage
1,2.00
2,2.00
3,2.00
4,2.00
5,2.00
6,2.00
7,2.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,3.00
14,3.00
15,3.00
16,4.00
17,4.00
18,4.00
19,4.00
20,5.00
21,5.00
22,5.00
23,5.00
24,5.00
25,5.00
26,5.00
27,5.00
28,6.00
29,7.00
30,7.00
31,7.00
32,7.00
33,7.00
34,7.00
35,7.00
36,7.00
37,9.00
38,9.00
39,9.00
40,9.00
41,9.00
42,9.00
43,11.00
44,11.00
45,13.00
46,13.00
47,14.00
48,14.00
49,14.00
50,16.00
51,16.00
52,17.00
53,17.00
54,17.00
55,18.00
56,18.00
57,18.00
58,18.00
59,18.00
60,18.00
61,18.00
62,18.00
63,19.00
64,21.00
65,22.00
66,22.00
67,22.00
68,22.00
69,23.00
70,23.00
71,23.00
72,23.00
73,24.00
74,24.00
75,25.00
76,25.00
77,25.00
78,26.00
79,26.00
80,27.00
81,27.00
82,27.00
83,28.00
84,28.00
85,30.00
86,30.00
87,30.00
88,30.00
89,31.00
90,32.00
91,35.00
92,35.00
93,36.00
94,37.00
95,38.00
96,38.00
97,38.00
98,38.00
99,38.00
100,39.00
101,39.00
102,43.00
103,43.00
104,44.00
105,47.00
106,48.00
107,64.00
108,64.00
109,64.00
110,68.00
111,68.00
112,69.00
113,69.00
114,70.00
115,70.00
116,71.00
117,71.00
118,72.00
119,73.00
120,73.00
121,74.00
122,78.00
123,78.00
124,78.00
125,78.00
126,78.00
127,79.00
128,80.00
129,81.00
130,81.00
131,81.00
132,86.00
133,86.00
134,86.00
135,88.00
136,89.00
137,89.00
138,90.00
139,90.00
140,90.00
141,90.00
142,91.00
143,92.00
144,92.00
145,92.00
146,92.00
147,95.00
148,93.00
149,93.00
150,92.00
151,92.00
152,94.00
153,94.00
154,101.00
155,100.00
156,101.00
157,102.00
158,102.00
159,102.00
160,104.00
161,105.00
162,105.00
163,108.00
164,109.00
165,112.00
166,113.00
167,112.00
168,116.00
169,118.00
170,121.00
171,121.00
172,125.00
173,124.00
174,123.00
175,124.00
176,124.00
177,124.00
178,124.00
179,127.00
180,127.00
181,128.00
182,128.00
183,129.00
184,129.00
185,130.00
186,130.00
187,129.00
188,129.00
189,129.00
190,128.00
191,129.00
192,129.00
193,130.00
194,131.00
195,131.00
196,131.00
197,130.00
198,130.00
199,131.00
200,131.00
201,130.00
202,134.00
203,138.00
204,140.00
205,143.00
206,147.00
207,148.00
208,148.00
209,144.00
210,147.00
211,141.00
212,140.00
213,140.00
214,142.00
215,142.00
216,143.00
217,143.00
218,142.00
219,142.00
220,142.00
221,142.00
222,142.00
223,142.00
224,145.00
225,144.00
226,144.00
227,145.00
228,145.00
229,145.00
230,145.00
231,147.00
232,147.00
233,149.00
234,151.00
235,151.00
236,148.00
237,148.00
238,147.00
239,147.00
240,167.00
241,168.00
242,166.00
243,166.00
244,166.00
245,168.00
246,169.00
247,171.00
248,170.00
249,152.00
250,153.00
251,153.00
252,154.00
253,154.00
254,153.00
255,152.00
256,146.00
257,145.00
258,146.00
259,143.00
260,144.00
261,143.00
262,143.00
263,143.00
264,143.00
265,142.00
266,142.00
267,141.00
268,142.00
269,144.00
270,143.00
271,140.00
272,140.00
273,140.00
274,140.00
275,145.00
276,144.00
277,142.00
278,143.00
279,143.00
280,142.00
281,142.00
282,142.00
283,141.00
284,138.00
285,139.00
286,139.00
287,135.00
288,135.00
289,136.00
290,136.00
291,133.00
292,144.00
293,145.00
294,144.00
295,147.00
296,149.00
297,150.00
298,149.00
299,148.00
300,150.00
301,141.00
302,148.00
303,150.00
304,142.00
305,144.00
306,147.00
307,149.00
308,151.00
309,154.00
310,154.00
311,151.00
312,150.00
313,150.00
314,149.00
315,150.00
316,151.00
317,147.00
318,148.00
319,150.00
320,150.00
321,145.00
322,144.00
323,147.00
324,146.00
325,146.00
326,148.00
327,149.00
328,149.00
329,151.00
330,150.00
331,159.00
332,160.00
333,161.00
334,161.00
335,159.00
336,159.00
337,161.00
338,159.00
339,159.00
340,155.00
341,155.00
342,154.00
343,154.00
344,162.00
345,165.00
346,161.00
347,162.00
348,156.00
349,158.00
350,160.00
351,162.00
352,165.00
353,159.00
354,158.00
355,158.00
356,157.00
357,156.00
358,158.00
359,159.00
360,159.00
361,156.00
362,157.00
363,158.00
364,158.00
365,158.00
366,158.00
367,158.00
368,160.00
369,161.00
370,161.00
371,163.00
372,164.00
373,168.00
374,168.00
375,166.00
376,167.00
377,171.00
378,172.00
379,175.00
380,175.00
381,176.00
382,176.00
383,177.00
384,177.00
385,179.00
386,176.00
387,167.00
388,170.00
389,170.00
390,170.00
391,168.00
392,168.00
393,167.00
394,164.00
395,165.00
396,165.00
397,163.00
398,163.00
399,163.00
400,163.00
401,164.00
402,165.00
403,166.00
404,166.00
405,166.00
406,166.00
407,171.00
408,170.00
409,169.00
410,167.00
411,167.00
412,167.00
413,172.00
414,172.00
415,174.00
416,165.00
417,168.00
418,172.00
