Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,2.00
12,2.00
13,2.00
14,2.00
15,2.00
16,2.00
17,3.00
18,3.00
19,3.00
20,3.00
21,3.00
22,3.00
23,3.00
24,3.00
25,3.00
26,4.00
27,4.00
28,4.00
29,4.00
30,4.00
31,4.00
32,5.00
33,5.00
34,5.00
35,5.00
36,5.00
37,5.00
38,5.00
39,5.00
40,5.00
41,5.00
42,5.00
43,5.00
44,5.00
45,5.00
46,5.00
47,5.00
48,5.00
49,5.00
50,5.00
51,5.00
52,5.00
53,5.00
54,5.00
55,5.00
56,5.00
57,5.00
58,5.00
59,5.00
60,5.00
61,5.00
62,5.00
63,6.00
64,6.00
65,6.00
66,6.00
67,6.00
68,6.00
69,6.00
70,6.00
71,6.00
72,6.00
73,6.00
74,6.00
75,6.00
76,6.00
77,6.00
78,6.00
79,6.00
80,6.00
81,6.00
82,6.00
83,6.00
84,6.00
85,6.00
86,6.00
87,7.00
88,7.00
89,8.00
90,9.00
91,9.00
92,10.00
93,10.00
94,13.00
95,13.00
96,14.00
97,16.00
98,16.00
99,24.00
100,25.00
101,25.00
102,26.00
103,26.00
104,26.00
105,27.00
106,27.00
107,27.00
108,27.00
109,27.00
110,27.00
111,27.00
112,27.00
113,28.00
114,31.00
115,31.00
116,31.00
117,31.00
118,31.00
119,32.00
120,33.00
121,34.00
122,34.00
123,34.00
124,34.00
125,34.00
126,35.00
127,35.00
128,35.00
129,35.00
130,35.00
131,35.00
132,35.00
133,35.00
134,35.00
135,35.00
136,35.00
137,36.00
138,36.00
139,36.00
140,36.00
141,36.00
142,36.00
143,36.00
144,36.00
145,37.00
146,37.00
147,37.00
148,36.00
149,37.00
150,37.00
151,37.00
152,37.00
153,39.00
154,40.00
155,41.00
156,42.00
157,42.00
158,42.00
159,42.00
160,44.00
161,45.00
162,45.00
163,46.00
164,45.00
165,45.00
166,45.00
167,45.00
168,45.00
169,45.00
170,45.00
171,45.00
172,45.00
173,46.00
174,47.00
175,48.00
176,48.00
177,48.00
178,48.00
179,48.00
180,48.00
181,48.00
182,48.00
183,48.00
184,50.00
185,52.00
186,52.00
187,52.00
188,52.00
189,52.00
190,52.00
191,52.00
192,52.00
193,52.00
194,53.00
195,53.00
196,53.00
197,54.00
198,57.00
199,57.00
200,57.00
201,57.00
202,58.00
203,57.00
204,57.00
205,59.00
206,60.00
207,60.00
208,61.00
209,61.00
210,62.00
211,62.00
212,62.00
213,62.00
214,62.00
215,62.00
216,62.00
217,62.00
218,62.00
219,62.00
220,62.00
221,62.00
222,62.00
223,62.00
224,62.00
225,62.00
226,63.00
227,65.00
228,65.00
229,65.00
230,64.00
231,64.00
232,67.00
233,67.00
234,67.00
235,66.00
236,65.00
237,65.00
238,65.00
239,64.00
240,65.00
241,63.00
242,57.00
243,55.00
244,55.00
245,55.00
246,55.00
247,53.00
248,54.00
249,50.00
250,50.00
251,50.00
252,50.00
253,50.00
254,51.00
255,51.00
256,51.00
257,50.00
258,50.00
259,50.00
260,49.00
261,49.00
262,49.00
263,48.00
264,45.00
265,45.00
266,45.00
267,46.00
268,46.00
269,46.00
270,46.00
271,46.00
272,48.00
273,49.00
274,49.00
275,49.00
276,49.00
277,49.00
278,49.00
279,49.00
280,49.00
281,49.00
282,49.00
283,50.00
284,51.00
285,52.00
286,52.00
287,51.00
288,53.00
289,53.00
290,53.00
291,53.00
292,53.00
293,54.00
294,54.00
295,53.00
296,51.00
297,49.00
298,48.00
299,46.00
300,46.00
301,46.00
302,45.00
303,44.00
304,44.00
305,43.00
306,44.00
307,47.00
308,46.00
309,46.00
310,45.00
311,47.00
312,47.00
313,47.00
314,47.00
315,47.00
316,48.00
317,48.00
318,48.00
319,48.00
320,48.00
321,48.00
322,48.00
323,46.00
324,45.00
325,45.00
326,45.00
327,45.00
328,45.00
329,44.00
330,43.00
331,43.00
332,43.00
333,39.00
334,38.00
335,39.00
336,39.00
337,42.00
338,42.00
339,41.00
340,41.00
341,41.00
342,41.00
343,41.00
344,42.00
345,41.00
346,39.00
347,39.00
348,40.00
349,40.00
350,40.00
351,40.00
352,40.00
353,40.00
354,41.00
355,41.00
356,41.00
357,40.00
358,40.00
359,40.00
360,40.00
361,40.00
362,40.00
363,40.00
364,42.00
365,41.00
366,41.00
367,42.00
368,42.00
369,42.00
370,44.00
371,46.00
372,47.00
373,48.00
374,47.00
375,48.00
376,48.00
377,48.00
378,50.00
379,50.00
380,46.00
381,48.00
382,48.00
383,48.00
384,49.00
385,51.00
386,51.00
387,51.00
388,51.00
389,51.00
390,49.00
391,49.00
392,49.00
393,49.00
394,50.00
395,52.00
396,52.00
397,53.00
398,53.00
399,53.00
400,54.00
401,53.00
402,55.00
403,55.00
404,55.00
405,56.00
406,57.00
407,57.00
408,60.00
409,60.00
410,61.00
411,62.00
412,63.00
413,63.00
414,62.00
415,63.00
416,63.00
417,63.00
418,63.00
419,62.00
420,62.00
421,63.00
422,63.00
423,62.00
424,63.00
425,63.00
426,63.00
427,63.00
428,64.00
429,65.00
430,65.00
431,64.00
432,64.00
433,64.00
434,64.00
435,62.00
436,62.00
437,64.00
438,64.00
439,64.00
440,65.00
441,65.00
442,65.00
443,64.00
444,63.00
445,63.00
446,64.00
447,64.00
448,64.00
449,61.00
450,62.00
451,63.00
452,63.00
453,63.00
454,59.00
455,59.00
456,59.00
457,60.00
458,63.00
459,63.00
460,63.00
461,63.00
462,63.00
463,64.00
464,64.00
465,64.00
466,65.00
467,65.00
468,65.00
469,65.00
470,65.00
471,65.00
472,65.00
473,65.00
474,65.00
475,65.00
476,67.00
477,67.00
478,68.00
479,68.00
480,68.00
481,69.00
482,70.00
483,70.00
484,71.00
485,70.00
486,70.00
487,70.00
488,70.00
489,71.00
490,70.00
491,70.00
492,65.00
493,66.00
494,66.00
495,66.00
496,66.00
497,65.00
498,65.00
499,65.00
500,66.00
501,66.00
502,66.00
503,67.00
504,67.00
505,67.00
506,67.00
507,67.00
508,67.00
509,67.00
510,68.00
511,69.00
512,66.00
513,66.00
514,66.00
515,64.00
516,64.00
517,64.00
518,62.00
519,61.00
520,60.00
521,60.00
522,60.00
523,59.00
524,59.00
525,55.00
526,54.00
527,53.00
528,54.00
529,53.00
530,53.00
531,53.00
532,51.00
533,50.00
534,50.00
535,49.00
536,49.00
537,49.00
538,49.00
539,49.00
540,49.00
541,48.00
542,47.00
543,45.00
544,44.00
545,44.00
546,44.00
547,44.00
548,44.00
549,43.00
550,41.00
551,41.00
552,42.00
553,41.00
554,41.00
555,41.00
556,35.00
557,35.00
558,34.00
559,32.00
560,33.00
561,33.00
562,33.00
563,33.00
564,33.00
565,33.00
566,33.00
567,33.00
568,32.00
569,30.00
570,30.00
571,30.00
572,30.00
573,30.00
574,30.00
575,30.00
576,29.00
577,29.00
578,28.00
579,28.00
580,27.00
581,27.00
582,27.00
583,26.00
584,25.00
585,24.00
586,24.00
587,23.00
588,23.00
589,24.00
590,24.00
591,25.00
592,25.00
593,25.00
594,24.00
595,24.00
596,24.00
597,24.00
598,24.00
599,22.00
600,22.00
601,22.00
602,22.00
603,21.00
604,18.00
605,18.00
606,18.00
607,18.00
608,18.00
609,18.00
610,18.00
611,18.00
612,18.00
613,18.00
614,18.00
615,17.00
616,16.00
617,16.00
618,16.00
619,16.00
620,16.00
621,17.00
622,17.00
623,17.00
624,16.00
625,16.00
626,16.00
627,15.00
628,15.00
629,14.00
630,14.00
631,14.00
632,13.00
633,12.00
634,12.00
635,12.00
636,12.00
637,11.00
638,12.00
639,11.00
640,11.00
641,11.00
642,10.00
643,10.00
644,10.00
645,9.00
646,9.00
647,8.00
648,9.00
649,10.00
650,9.00
651,9.00
652,9.00
653,9.00
654,9.00
655,9.00
656,9.00
657,9.00
658,9.00
659,9.00
660,9.00
661,9.00
662,9.00
663,9.00
664,9.00
665,9.00
666,9.00
667,9.00
668,11.00
669,11.00
670,11.00
671,11.00
672,11.00
673,11.00
674,11.00
675,11.00
676,11.00
677,12.00
678,13.00
679,15.00
680,17.00
681,18.00
682,18.00
683,18.00
684,18.00
685,18.00
686,18.00
687,20.00
688,20.00
689,21.00
690,21.00
691,21.00
692,21.00
693,21.00
694,21.00
695,22.00
696,22.00
697,22.00
698,22.00
699,21.00
700,22.00
701,22.00
702,23.00
703,23.00
704,24.00
705,24.00
706,25.00
707,24.00
708,23.00
709,23.00
710,24.00
711,24.00
712,24.00
713,24.00
714,24.00
715,24.00
716,25.00
717,25.00
718,25.00
719,25.00
720,25.00
721,25.00
722,25.00
723,25.00
724,25.00
725,25.00
726,25.00
727,25.00
728,27.00
729,27.00
730,27.00
731,27.00
732,27.00
733,28.00
734,28.00
735,28.00
736,28.00
737,28.00
738,28.00
739,29.00
740,30.00
741,30.00
742,30.00
743,30.00
744,32.00
745,32.00
746,32.00
747,32.00
748,32.00
749,32.00
750,32.00
751,33.00
752,33.00
753,35.00
754,35.00
755,35.00
756,35.00
757,35.00
758,35.00
759,35.00
760,35.00
761,35.00
762,35.00
763,34.00
764,34.00
765,34.00
766,34.00
767,34.00
768,34.00
769,33.00
770,34.00
771,34.00
772,34.00
773,34.00
774,35.00
775,35.00
776,35.00
777,37.00
778,37.00
779,37.00
780,37.00
781,37.00
782,37.00
783,37.00
784,37.00
785,36.00
786,36.00
787,37.00
788,37.00
789,37.00
790,37.00
791,38.00
792,38.00
793,38.00
794,38.00
795,38.00
796,37.00
797,36.00
798,36.00
799,36.00
800,36.00
801,37.00
802,38.00
803,38.00
804,38.00
805,38.00
806,38.00
807,38.00
808,39.00
809,39.00
810,39.00
811,39.00
812,39.00
813,39.00
814,40.00
815,38.00
816,37.00
817,37.00
818,36.00
819,36.00
820,35.00
821,36.00
822,36.00
823,37.00
824,36.00
825,36.00
826,35.00
827,36.00
828,34.00
829,34.00
830,33.00
831,33.00
832,34.00
833,35.00
834,35.00
835,35.00
836,34.00
837,34.00
838,34.00
839,34.00
840,34.00
841,34.00
842,34.00
843,34.00
844,34.00
845,37.00
846,37.00
847,37.00
848,41.00
849,42.00
850,42.00
851,42.00
852,42.00
853,42.00
854,42.00
855,42.00
856,42.00
857,41.00
858,41.00
859,40.00
860,40.00
861,40.00
862,40.00
863,41.00
864,41.00
865,42.00
866,46.00
867,46.00
868,46.00
869,46.00
870,47.00
871,48.00
872,49.00
873,46.00
874,46.00
875,46.00
876,46.00
877,47.00
878,47.00
879,47.00
880,46.00
881,46.00
882,46.00
883,46.00
884,47.00
885,47.00
886,47.00
887,47.00
888,47.00
889,49.00
890,49.00
891,47.00
892,46.00
893,46.00
894,47.00
895,47.00
896,47.00
897,48.00
898,46.00
899,49.00
900,49.00
901,49.00
902,51.00
903,51.00
904,51.00
905,52.00
906,52.00
907,52.00
908,52.00
909,52.00
910,51.00
911,51.00
912,51.00
913,51.00
914,51.00
915,51.00
916,52.00
917,52.00
918,53.00
919,52.00
920,51.00
921,50.00
922,51.00
923,51.00
924,51.00
925,51.00
926,51.00
927,52.00
928,50.00
929,50.00
930,50.00
931,50.00
932,50.00
933,50.00
934,50.00
935,50.00
936,50.00
937,50.00
938,52.00
939,51.00
940,51.00
941,51.00
942,51.00
943,52.00
944,54.00
945,54.00
946,54.00
947,54.00
948,54.00
949,54.00
950,54.00
951,55.00
952,55.00
953,54.00
954,54.00
955,54.00
956,55.00
957,55.00
958,55.00
959,55.00
960,56.00
961,56.00
962,56.00
963,57.00
964,57.00
965,57.00
966,57.00
967,58.00
968,58.00
969,57.00
970,58.00
971,56.00
972,58.00
973,58.00
974,58.00
975,58.00
976,58.00
977,59.00
978,59.00
979,58.00
980,56.00
981,55.00
982,55.00
983,54.00
984,55.00
985,56.00
986,56.00
987,55.00
988,56.00
989,59.00
990,60.00
991,61.00
992,61.00
993,55.00
994,55.00
995,55.00
996,51.00
997,51.00
998,51.00
999,52.00
1000,52.00
1001,52.00
1002,52.00
1003,52.00
1004,51.00
1005,52.00
1006,52.00
1007,51.00
1008,50.00
1009,49.00
1010,47.00
1011,47.00
1012,46.00
1013,45.00
1014,45.00
1015,46.00
1016,47.00
1017,48.00
1018,48.00
1019,48.00
1020,47.00
1021,47.00
1022,48.00
1023,48.00
1024,47.00
1025,47.00
1026,46.00
1027,46.00
1028,46.00
1029,47.00
1030,48.00
1031,47.00
1032,48.00
1033,48.00
1034,52.00
1035,51.00
1036,51.00
1037,51.00
1038,51.00
1039,50.00
1040,51.00
1041,51.00
1042,53.00
1043,52.00
1044,53.00
1045,52.00
1046,52.00
1047,50.00
1048,50.00
1049,51.00
1050,51.00
1051,52.00
1052,52.00
1053,52.00
1054,52.00
1055,52.00
1056,52.00
1057,52.00
1058,54.00
1059,55.00
1060,55.00
1061,54.00
1062,54.00
1063,54.00
1064,55.00
1065,55.00
1066,55.00
1067,57.00
1068,56.00
1069,57.00
1070,59.00
1071,60.00
1072,60.00
1073,60.00
1074,59.00
1075,59.00
1076,59.00
1077,60.00
1078,59.00
1079,60.00
1080,61.00
1081,61.00
1082,62.00
1083,62.00
1084,63.00
1085,64.00
1086,61.00
1087,61.00
1088,61.00
1089,61.00
1090,61.00
1091,62.00
1092,61.00
1093,61.00
1094,61.00
1095,63.00
1096,63.00
1097,63.00
1098,64.00
1099,63.00
1100,63.00
1101,63.00
1102,63.00
1103,63.00
1104,62.00
1105,62.00
1106,61.00
1107,61.00
1108,62.00
1109,62.00
1110,62.00
1111,61.00
1112,60.00
1113,61.00
1114,61.00
1115,61.00
1116,61.00
1117,60.00
1118,59.00
1119,58.00
1120,58.00
1121,57.00
1122,57.00
1123,59.00
1124,60.00
1125,62.00
1126,62.00
1127,60.00
1128,60.00
1129,63.00
1130,63.00
1131,64.00
1132,63.00
1133,62.00
