Position,Coverage
1,3.00
2,3.00
3,4.00
4,4.00
5,4.00
6,5.00
7,5.00
8,5.00
9,5.00
10,7.00
11,7.00
12,7.00
13,8.00
14,8.00
15,9.00
16,9.00
17,11.00
18,11.00
19,12.00
20,13.00
21,13.00
22,15.00
23,20.00
24,20.00
25,20.00
26,20.00
27,20.00
28,21.00
29,21.00
30,21.00
31,23.00
32,23.00
33,23.00
34,23.00
35,23.00
36,23.00
37,27.00
38,27.00
39,33.00
40,34.00
41,37.00
42,38.00
43,39.00
44,41.00
45,41.00
46,42.00
47,42.00
48,42.00
49,42.00
50,49.00
51,49.00
52,49.00
53,49.00
54,49.00
55,49.00
56,49.00
57,51.00
58,54.00
59,56.00
60,56.00
61,57.00
62,59.00
63,62.00
64,64.00
65,65.00
66,65.00
67,69.00
68,69.00
69,72.00
70,72.00
71,72.00
72,73.00
73,73.00
74,73.00
75,74.00
76,74.00
77,74.00
78,74.00
79,74.00
80,74.00
81,74.00
82,75.00
83,75.00
84,77.00
85,82.00
86,83.00
87,91.00
88,93.00
89,101.00
90,103.00
91,106.00
92,108.00
93,111.00
94,120.00
95,121.00
96,132.00
97,133.00
98,136.00
99,144.00
100,146.00
101,194.00
102,198.00
103,199.00
104,204.00
105,208.00
106,210.00
107,213.00
108,216.00
109,217.00
110,218.00
111,218.00
112,220.00
113,221.00
114,223.00
115,224.00
116,233.00
117,233.00
118,234.00
119,235.00
120,235.00
121,235.00
122,238.00
123,241.00
124,242.00
125,242.00
126,250.00
127,253.00
128,253.00
129,254.00
130,254.00
131,255.00
132,256.00
133,258.00
134,263.00
135,263.00
136,265.00
137,265.00
138,266.00
139,268.00
140,271.00
141,274.00
142,272.00
143,273.00
144,272.00
145,272.00
146,278.00
147,280.00
148,297.00
149,297.00
150,300.00
151,301.00
152,302.00
153,303.00
154,311.00
155,313.00
156,313.00
157,319.00
158,326.00
159,330.00
160,334.00
161,337.00
162,353.00
163,354.00
164,355.00
165,355.00
166,353.00
167,355.00
168,352.00
169,353.00
170,354.00
171,354.00
172,355.00
173,360.00
174,361.00
175,363.00
176,364.00
177,363.00
178,362.00
179,363.00
180,366.00
181,365.00
182,365.00
183,364.00
184,361.00
185,361.00
186,368.00
187,368.00
188,372.00
189,370.00
190,368.00
191,368.00
192,368.00
193,374.00
194,381.00
195,380.00
196,384.00
197,389.00
198,389.00
199,395.00
200,406.00
201,408.00
202,408.00
203,406.00
204,410.00
205,399.00
206,397.00
207,401.00
208,407.00
209,407.00
210,409.00
211,409.00
212,413.00
213,412.00
214,412.00
215,413.00
216,411.00
217,412.00
218,415.00
219,413.00
220,413.00
221,414.00
222,414.00
223,414.00
224,414.00
225,418.00
226,418.00
227,422.00
228,425.00
229,431.00
230,428.00
231,426.00
232,427.00
233,427.00
234,465.00
235,465.00
236,458.00
237,452.00
238,441.00
239,447.00
240,447.00
241,446.00
242,442.00
243,390.00
244,392.00
245,395.00
246,392.00
247,393.00
248,385.00
249,387.00
250,376.00
251,375.00
252,375.00
253,372.00
254,373.00
255,373.00
256,372.00
257,373.00
258,373.00
259,372.00
260,373.00
261,373.00
262,380.00
263,383.00
264,381.00
265,377.00
266,376.00
267,378.00
268,378.00
269,384.00
270,384.00
271,380.00
272,385.00
273,384.00
274,381.00
275,380.00
276,382.00
277,387.00
278,386.00
279,387.00
280,386.00
281,381.00
282,381.00
283,383.00
284,388.00
285,385.00
286,399.00
287,400.00
288,400.00
289,421.00
290,423.00
291,426.00
292,426.00
293,420.00
294,428.00
295,413.00
296,423.00
297,425.00
298,409.00
299,409.00
300,404.00
301,407.00
302,409.00
303,409.00
304,408.00
305,400.00
306,398.00
307,405.00
308,404.00
309,405.00
310,401.00
311,392.00
312,393.00
313,395.00
314,396.00
315,398.00
316,399.00
317,397.00
318,397.00
319,397.00
320,397.00
321,399.00
322,399.00
323,401.00
324,394.00
325,415.00
326,415.00
327,415.00
328,415.00
329,417.00
330,416.00
331,425.00
332,418.00
333,419.00
334,381.00
335,379.00
336,377.00
337,376.00
338,401.00
339,403.00
340,402.00
341,403.00
342,398.00
343,401.00
344,401.00
345,404.00
346,410.00
347,400.00
348,401.00
349,402.00
350,404.00
351,402.00
352,402.00
353,405.00
354,405.00
355,396.00
356,400.00
357,401.00
358,403.00
359,401.00
360,403.00
361,404.00
362,417.00
363,420.00
364,420.00
365,417.00
366,416.00
367,420.00
368,419.00
369,416.00
370,416.00
371,436.00
372,432.00
373,433.00
374,430.00
375,429.00
376,423.00
377,422.00
378,421.00
379,428.00
380,418.00
381,406.00
382,412.00
383,412.00
384,410.00
385,408.00
386,407.00
387,406.00
388,400.00
389,402.00
390,403.00
391,383.00
392,383.00
393,383.00
394,383.00
395,387.00
396,389.00
397,392.00
398,392.00
399,393.00
400,392.00
401,403.00
402,404.00
403,405.00
404,402.00
405,399.00
406,413.00
407,418.00
408,417.00
409,418.00
410,408.00
411,412.00
412,415.00
413,415.00
414,417.00
415,409.00
416,404.00
417,411.00
418,412.00
419,416.00
420,414.00
421,425.00
422,428.00
423,429.00
424,424.00
425,426.00
426,412.00
427,412.00
428,411.00
429,410.00
430,401.00
431,399.00
432,400.00
433,392.00
434,392.00
435,393.00
436,393.00
437,388.00
438,392.00
439,391.00
440,385.00
441,407.00
