Position,Coverage
1,1.00
2,1.00
3,2.00
4,2.00
5,3.00
6,4.00
7,4.00
8,4.00
9,4.00
10,5.00
11,5.00
12,6.00
13,6.00
14,6.00
15,13.00
16,13.00
17,14.00
18,14.00
19,14.00
20,15.00
21,17.00
22,17.00
23,18.00
24,20.00
25,20.00
26,20.00
27,24.00
28,26.00
29,31.00
30,31.00
31,32.00
32,32.00
33,32.00
34,32.00
35,32.00
36,35.00
37,35.00
38,36.00
39,37.00
40,38.00
41,38.00
42,40.00
43,40.00
44,45.00
45,45.00
46,45.00
47,46.00
48,46.00
49,46.00
50,47.00
51,48.00
52,48.00
53,49.00
54,49.00
55,51.00
56,51.00
57,52.00
58,52.00
59,53.00
60,53.00
61,53.00
62,54.00
63,58.00
64,61.00
65,61.00
66,61.00
67,63.00
68,65.00
69,65.00
70,65.00
71,65.00
72,66.00
73,66.00
74,70.00
75,70.00
76,70.00
77,70.00
78,73.00
79,74.00
80,75.00
81,77.00
82,78.00
83,79.00
84,82.00
85,82.00
86,83.00
87,83.00
88,84.00
89,86.00
90,87.00
91,87.00
92,90.00
93,91.00
94,94.00
95,95.00
96,98.00
97,100.00
98,103.00
99,112.00
100,112.00
101,115.00
102,117.00
103,123.00
104,136.00
105,139.00
106,166.00
107,167.00
108,168.00
109,177.00
110,179.00
111,181.00
112,183.00
113,184.00
114,186.00
115,187.00
116,188.00
117,188.00
118,188.00
119,189.00
120,192.00
121,202.00
122,204.00
123,204.00
124,205.00
125,205.00
126,208.00
127,215.00
128,220.00
129,223.00
130,223.00
131,230.00
132,232.00
133,234.00
134,234.00
135,235.00
136,235.00
137,235.00
138,237.00
139,238.00
140,239.00
141,239.00
142,239.00
143,239.00
144,240.00
145,243.00
146,245.00
147,247.00
148,246.00
149,245.00
150,241.00
151,248.00
152,252.00
153,262.00
154,262.00
155,263.00
156,269.00
157,273.00
158,275.00
159,284.00
160,289.00
161,290.00
162,291.00
163,302.00
164,310.00
165,310.00
166,314.00
167,323.00
168,328.00
169,330.00
170,329.00
171,324.00
172,324.00
173,327.00
174,326.00
175,326.00
176,317.00
177,319.00
178,321.00
179,321.00
180,322.00
181,322.00
182,325.00
183,324.00
184,324.00
185,324.00
186,324.00
187,323.00
188,323.00
189,329.00
190,330.00
191,330.00
192,331.00
193,339.00
194,337.00
195,337.00
196,335.00
197,334.00
198,337.00
199,338.00
200,338.00
201,340.00
202,343.00
203,343.00
204,343.00
205,343.00
206,343.00
207,350.00
208,353.00
209,356.00
210,357.00
211,357.00
212,361.00
213,357.00
214,356.00
215,356.00
216,361.00
217,360.00
218,367.00
219,368.00
220,369.00
221,369.00
222,367.00
223,367.00
224,366.00
225,367.00
226,368.00
227,365.00
228,365.00
229,364.00
230,365.00
231,366.00
232,366.00
233,372.00
234,369.00
235,373.00
236,374.00
237,378.00
238,375.00
239,376.00
240,374.00
241,376.00
242,410.00
243,409.00
244,404.00
245,398.00
246,393.00
247,388.00
248,396.00
249,396.00
250,396.00
251,388.00
252,348.00
253,349.00
254,358.00
255,357.00
256,357.00
257,350.00
258,347.00
259,333.00
260,335.00
261,335.00
262,333.00
263,334.00
264,335.00
265,334.00
266,334.00
267,333.00
268,333.00
269,332.00
270,331.00
271,336.00
272,340.00
273,340.00
274,333.00
275,332.00
276,334.00
277,335.00
278,336.00
279,330.00
280,325.00
281,327.00
282,326.00
283,325.00
284,325.00
285,326.00
286,327.00
287,326.00
288,331.00
289,332.00
290,333.00
291,333.00
292,333.00
293,336.00
294,338.00
295,345.00
296,346.00
297,344.00
298,350.00
299,356.00
300,357.00
301,357.00
302,351.00
303,356.00
304,340.00
305,344.00
306,344.00
307,330.00
308,326.00
309,323.00
310,327.00
311,328.00
312,328.00
313,330.00
314,316.00
315,315.00
316,316.00
317,312.00
318,311.00
319,304.00
320,296.00
321,299.00
322,298.00
323,298.00
324,299.00
325,298.00
326,298.00
327,300.00
328,302.00
329,303.00
330,303.00
331,304.00
332,313.00
333,304.00
334,316.00
335,315.00
336,315.00
337,315.00
338,316.00
339,317.00
340,318.00
341,313.00
342,315.00
343,304.00
344,304.00
345,303.00
346,303.00
347,319.00
348,318.00
349,312.00
350,313.00
351,311.00
352,314.00
353,314.00
354,319.00
355,324.00
356,317.00
357,316.00
358,315.00
359,312.00
360,309.00
361,310.00
362,317.00
363,313.00
364,310.00
365,314.00
366,314.00
367,314.00
368,313.00
369,311.00
370,309.00
371,318.00
372,320.00
373,320.00
374,321.00
375,322.00
376,325.00
377,326.00
378,326.00
379,325.00
380,333.00
381,331.00
382,336.00
383,336.00
384,337.00
385,336.00
386,333.00
387,332.00
388,337.00
389,324.00
390,309.00
391,316.00
392,315.00
393,318.00
394,319.00
395,319.00
396,320.00
397,316.00
398,317.00
399,317.00
400,303.00
401,303.00
402,300.00
403,300.00
404,300.00
405,300.00
406,304.00
407,304.00
408,305.00
409,306.00
410,312.00
411,312.00
412,315.00
413,309.00
414,308.00
415,311.00
416,320.00
417,319.00
418,322.00
419,312.00
420,315.00
421,318.00
422,320.00
423,321.00
424,325.00
425,326.00
426,335.00
427,335.00
428,335.00
429,335.00
430,339.00
431,343.00
432,344.00
433,343.00
434,342.00
435,330.00
436,330.00
437,328.00
438,332.00
439,328.00
440,334.00
441,334.00
442,329.00
443,327.00
444,329.00
445,330.00
446,326.00
447,326.00
448,325.00
449,323.00
450,331.00
451,328.00
452,325.00
453,327.00
454,316.00
455,316.00
456,311.00
457,311.00
458,310.00
459,301.00
460,312.00
461,314.00
462,311.00
463,311.00
464,305.00
465,301.00
466,302.00
467,305.00
468,305.00
469,300.00
470,298.00
471,297.00
472,297.00
473,298.00
474,297.00
475,293.00
476,292.00
477,295.00
478,297.00
479,298.00
480,300.00
481,302.00
482,303.00
483,305.00
484,302.00
485,318.00
486,319.00
487,318.00
488,317.00
489,313.00
490,320.00
491,322.00
492,330.00
493,329.00
494,318.00
495,316.00
496,316.00
497,315.00
498,319.00
499,323.00
500,308.00
501,301.00
502,301.00
503,302.00
504,305.00
505,306.00
506,305.00
507,300.00
508,296.00
509,302.00
510,304.00
511,301.00
512,307.00
513,308.00
514,308.00
515,308.00
516,307.00
517,308.00
518,303.00
519,303.00
520,307.00
521,296.00
522,295.00
523,293.00
524,290.00
525,293.00
526,298.00
527,289.00
528,286.00
529,278.00
530,279.00
531,280.00
532,281.00
533,278.00
534,269.00
535,267.00
536,266.00
537,266.00
538,264.00
539,262.00
540,262.00
541,262.00
542,260.00
543,260.00
544,264.00
545,264.00
546,265.00
547,266.00
548,268.00
549,269.00
550,271.00
551,272.00
552,270.00
553,266.00
554,265.00
555,265.00
556,266.00
557,264.00
558,265.00
559,258.00
560,258.00
561,257.00
562,253.00
563,249.00
564,249.00
565,239.00
566,241.00
567,236.00
568,239.00
569,237.00
570,238.00
571,235.00
572,232.00
573,226.00
574,227.00
575,222.00
576,222.00
577,213.00
578,206.00
579,206.00
580,204.00
581,204.00
582,203.00
583,203.00
584,203.00
585,204.00
586,202.00
587,198.00
588,196.00
589,196.00
590,196.00
591,194.00
592,191.00
593,192.00
594,184.00
595,184.00
596,178.00
597,177.00
598,177.00
599,176.00
600,175.00
601,176.00
602,170.00
603,169.00
604,171.00
605,171.00
606,168.00
607,161.00
608,161.00
609,159.00
610,157.00
611,158.00
612,157.00
613,155.00
614,154.00
615,148.00
616,147.00
617,149.00
618,149.00
619,147.00
620,145.00
621,145.00
622,144.00
623,143.00
624,133.00
625,130.00
626,130.00
627,130.00
628,127.00
629,128.00
630,128.00
631,126.00
632,121.00
633,120.00
634,121.00
635,120.00
636,119.00
637,115.00
638,114.00
639,111.00
640,110.00
641,109.00
642,112.00
643,110.00
644,106.00
645,102.00
646,105.00
647,105.00
648,102.00
649,101.00
650,101.00
651,100.00
652,98.00
653,96.00
654,96.00
655,93.00
656,91.00
657,91.00
658,90.00
659,87.00
660,87.00
661,87.00
662,88.00
663,88.00
664,87.00
665,85.00
666,83.00
667,83.00
668,83.00
669,83.00
670,83.00
671,81.00
672,82.00
673,80.00
674,81.00
675,81.00
676,82.00
677,82.00
678,82.00
679,84.00
680,83.00
681,88.00
682,89.00
683,89.00
684,95.00
685,95.00
686,97.00
687,100.00
688,100.00
689,100.00
690,96.00
691,98.00
692,105.00
693,106.00
694,104.00
695,109.00
696,111.00
697,112.00
698,111.00
699,111.00
700,114.00
701,115.00
702,115.00
703,114.00
704,118.00
705,122.00
706,122.00
707,121.00
708,120.00
709,120.00
710,128.00
711,130.00
712,130.00
713,131.00
714,133.00
715,132.00
716,135.00
717,137.00
718,141.00
719,141.00
720,143.00
721,143.00
722,147.00
723,150.00
724,153.00
725,153.00
726,160.00
727,161.00
728,163.00
729,163.00
730,165.00
731,167.00
732,166.00
733,167.00
734,168.00
735,171.00
736,183.00
737,183.00
738,182.00
739,183.00
740,182.00
741,185.00
742,186.00
743,191.00
744,194.00
745,199.00
746,200.00
747,203.00
748,204.00
749,205.00
750,204.00
751,205.00
752,207.00
753,207.00
754,207.00
755,207.00
756,208.00
757,211.00
758,213.00
759,219.00
760,221.00
761,224.00
762,225.00
763,230.00
764,230.00
765,230.00
766,233.00
767,235.00
768,236.00
769,236.00
770,234.00
771,235.00
772,233.00
773,249.00
774,251.00
775,254.00
776,258.00
777,254.00
778,257.00
779,259.00
780,260.00
781,271.00
782,264.00
783,264.00
784,264.00
785,263.00
786,263.00
787,261.00
788,262.00
789,262.00
790,260.00
791,260.00
792,260.00
793,258.00
794,257.00
795,263.00
796,262.00
797,261.00
798,261.00
799,264.00
800,267.00
801,269.00
802,267.00
803,268.00
804,264.00
805,264.00
806,266.00
807,266.00
808,266.00
809,267.00
810,266.00
811,269.00
812,272.00
813,271.00
814,272.00
815,272.00
816,273.00
817,273.00
818,273.00
819,275.00
820,271.00
821,271.00
822,272.00
823,272.00
824,272.00
825,271.00
826,272.00
827,272.00
828,266.00
829,281.00
830,281.00
831,280.00
832,276.00
833,276.00
834,275.00
835,275.00
836,276.00
837,275.00
838,265.00
839,264.00
840,266.00
841,265.00
842,264.00
843,269.00
844,268.00
845,269.00
846,267.00
847,269.00
848,275.00
849,277.00
850,278.00
851,279.00
852,268.00
853,289.00
854,291.00
855,291.00
856,313.00
857,310.00
858,316.00
859,316.00
860,316.00
861,315.00
862,310.00
863,311.00
864,313.00
865,297.00
866,295.00
867,293.00
868,294.00
869,295.00
870,297.00
871,295.00
872,295.00
873,296.00
874,291.00
875,292.00
876,295.00
877,296.00
878,299.00
879,299.00
880,300.00
881,292.00
882,288.00
883,289.00
884,284.00
885,282.00
886,283.00
887,283.00
888,280.00
889,280.00
890,288.00
891,285.00
892,284.00
893,282.00
894,283.00
895,287.00
896,287.00
897,293.00
898,293.00
899,284.00
900,283.00
901,289.00
902,294.00
903,294.00
904,289.00
905,290.00
906,286.00
907,287.00
908,289.00
909,290.00
910,290.00
911,289.00
912,289.00
913,296.00
914,297.00
915,296.00
916,298.00
917,299.00
918,299.00
919,299.00
920,290.00
921,289.00
922,282.00
923,280.00
924,280.00
925,279.00
926,281.00
927,283.00
928,281.00
929,280.00
930,281.00
931,282.00
932,283.00
933,283.00
934,283.00
935,282.00
936,281.00
937,285.00
938,284.00
939,285.00
940,285.00
941,286.00
942,284.00
943,285.00
944,288.00
945,291.00
946,287.00
947,285.00
948,284.00
949,284.00
950,293.00
951,295.00
952,291.00
953,291.00
954,289.00
955,289.00
956,290.00
957,288.00
958,288.00
959,277.00
960,276.00
961,275.00
962,275.00
963,276.00
964,276.00
965,275.00
966,275.00
967,278.00
968,279.00
969,284.00
970,286.00
971,282.00
972,279.00
973,279.00
974,280.00
975,280.00
976,270.00
977,272.00
978,270.00
979,274.00
980,277.00
981,277.00
982,277.00
983,277.00
984,279.00
985,288.00
986,280.00
987,284.00
988,273.00
989,273.00
990,262.00
991,267.00
992,274.00
993,265.00
994,260.00
995,257.00
996,268.00
997,272.00
998,271.00
999,266.00
1000,249.00
1001,247.00
1002,249.00
1003,241.00
1004,239.00
1005,238.00
1006,239.00
1007,239.00
1008,240.00
1009,239.00
1010,238.00
1011,239.00
1012,242.00
1013,243.00
1014,241.00
1015,239.00
1016,237.00
1017,237.00
1018,245.00
1019,243.00
1020,239.00
1021,233.00
1022,231.00
1023,232.00
1024,232.00
1025,232.00
1026,234.00
1027,234.00
1028,232.00
1029,234.00
1030,233.00
1031,229.00
1032,228.00
1033,225.00
1034,224.00
1035,225.00
1036,225.00
1037,227.00
1038,228.00
1039,229.00
1040,227.00
1041,226.00
1042,246.00
1043,244.00
1044,243.00
1045,243.00
1046,242.00
1047,241.00
1048,252.00
1049,254.00
1050,258.00
1051,242.00
1052,241.00
1053,243.00
1054,244.00
1055,244.00
1056,242.00
1057,243.00
1058,244.00
1059,242.00
1060,242.00
1061,245.00
1062,246.00
1063,242.00
1064,241.00
1065,241.00
1066,241.00
1067,247.00
1068,248.00
1069,249.00
1070,248.00
1071,248.00
1072,248.00
1073,246.00
1074,247.00
1075,252.00
1076,246.00
1077,245.00
1078,245.00
1079,245.00
1080,245.00
1081,247.00
1082,248.00
1083,249.00
1084,241.00
1085,256.00
1086,253.00
1087,256.00
1088,255.00
1089,254.00
1090,251.00
1091,251.00
1092,250.00
1093,249.00
1094,235.00
1095,235.00
1096,233.00
1097,234.00
1098,234.00
1099,239.00
1100,239.00
1101,241.00
1102,240.00
1103,243.00
1104,247.00
1105,247.00
1106,261.00
1107,261.00
1108,256.00
1109,255.00
1110,257.00
1111,257.00
1112,258.00
1113,257.00
1114,257.00
1115,256.00
1116,254.00
1117,254.00
1118,254.00
1119,252.00
1120,252.00
1121,253.00
1122,251.00
1123,253.00
1124,254.00
1125,254.00
1126,256.00
1127,255.00
1128,254.00
1129,251.00
1130,248.00
1131,249.00
1132,257.00
1133,256.00
