Position,Coverage
1,2.00
2,2.00
3,3.00
4,3.00
5,3.00
6,3.00
7,4.00
8,4.00
9,4.00
10,4.00
11,4.00
12,4.00
13,4.00
14,4.00
15,5.00
16,5.00
17,5.00
18,5.00
19,8.00
20,9.00
21,9.00
22,12.00
23,12.00
24,15.00
25,15.00
26,15.00
27,15.00
28,15.00
29,16.00
30,17.00
31,18.00
32,18.00
33,18.00
34,18.00
35,18.00
36,18.00
37,18.00
38,18.00
39,22.00
40,22.00
41,22.00
42,22.00
43,23.00
44,23.00
45,23.00
46,23.00
47,25.00
48,25.00
49,25.00
50,25.00
51,25.00
52,25.00
53,25.00
54,25.00
55,25.00
56,25.00
57,25.00
58,25.00
59,25.00
60,25.00
61,26.00
62,28.00
63,30.00
64,30.00
65,30.00
66,31.00
67,33.00
68,33.00
69,35.00
70,35.00
71,35.00
72,36.00
73,37.00
74,37.00
75,37.00
76,37.00
77,37.00
78,37.00
79,37.00
80,37.00
81,37.00
82,37.00
83,37.00
84,37.00
85,37.00
86,37.00
87,39.00
88,39.00
89,39.00
90,39.00
91,39.00
92,39.00
93,39.00
94,39.00
95,39.00
96,42.00
97,42.00
98,42.00
99,44.00
100,45.00
101,47.00
102,47.00
103,47.00
104,48.00
105,48.00
106,49.00
107,49.00
108,49.00
109,49.00
110,49.00
111,49.00
112,49.00
113,51.00
114,51.00
115,51.00
116,52.00
117,52.00
118,52.00
119,52.00
120,52.00
121,52.00
122,52.00
123,52.00
124,55.00
125,55.00
126,56.00
127,56.00
128,57.00
129,57.00
130,58.00
131,59.00
132,59.00
133,59.00
134,59.00
135,59.00
136,61.00
137,61.00
138,61.00
139,61.00
140,61.00
141,62.00
142,62.00
143,61.00
144,60.00
145,60.00
146,60.00
147,60.00
148,62.00
149,62.00
150,61.00
151,59.00
152,61.00
153,61.00
154,61.00
155,63.00
156,64.00
157,65.00
158,66.00
159,66.00
160,66.00
161,67.00
162,67.00
163,70.00
164,71.00
165,71.00
166,71.00
167,73.00
168,74.00
169,73.00
170,74.00
171,70.00
172,70.00
173,70.00
174,70.00
175,70.00
176,69.00
177,69.00
178,68.00
179,67.00
180,66.00
181,66.00
182,66.00
183,66.00
184,66.00
185,66.00
186,64.00
187,64.00
188,67.00
189,66.00
190,65.00
191,65.00
192,65.00
193,65.00
194,66.00
195,66.00
196,70.00
197,70.00
198,70.00
199,72.00
200,72.00
201,73.00
202,73.00
203,73.00
204,73.00
205,70.00
206,71.00
207,71.00
208,73.00
209,74.00
210,76.00
211,77.00
212,77.00
213,76.00
214,75.00
215,75.00
216,73.00
217,73.00
218,74.00
219,74.00
220,73.00
221,73.00
222,73.00
223,73.00
224,73.00
225,74.00
226,73.00
227,73.00
228,73.00
229,73.00
230,74.00
231,74.00
232,74.00
233,74.00
234,83.00
235,84.00
236,84.00
237,84.00
238,84.00
239,86.00
240,86.00
241,85.00
242,85.00
243,80.00
244,81.00
245,81.00
246,81.00
247,80.00
248,78.00
249,79.00
250,79.00
251,79.00
252,79.00
253,79.00
254,81.00
255,80.00
256,81.00
257,82.00
258,82.00
259,80.00
260,80.00
261,80.00
262,83.00
263,87.00
264,85.00
265,84.00
266,85.00
267,86.00
268,87.00
269,87.00
270,87.00
271,85.00
272,85.00
273,84.00
274,84.00
275,86.00
276,86.00
277,85.00
278,85.00
279,89.00
280,89.00
281,90.00
282,90.00
283,89.00
284,89.00
285,89.00
286,92.00
287,92.00
288,91.00
289,92.00
290,95.00
291,95.00
292,95.00
293,92.00
294,92.00
295,90.00
296,92.00
297,93.00
298,90.00
299,88.00
300,88.00
301,88.00
302,89.00
303,88.00
304,88.00
305,86.00
306,88.00
307,88.00
308,88.00
309,87.00
310,85.00
311,84.00
312,85.00
313,86.00
314,86.00
315,85.00
316,85.00
317,85.00
318,85.00
319,85.00
320,86.00
321,86.00
322,87.00
323,87.00
324,87.00
325,88.00
326,89.00
327,89.00
328,89.00
329,89.00
330,88.00
331,89.00
332,89.00
333,89.00
334,85.00
335,85.00
336,85.00
337,85.00
338,86.00
339,86.00
340,84.00
341,83.00
342,79.00
343,81.00
344,83.00
345,84.00
346,84.00
347,82.00
348,82.00
349,82.00
350,81.00
351,82.00
352,82.00
353,83.00
354,79.00
355,77.00
356,78.00
357,78.00
358,78.00
359,78.00
360,79.00
361,78.00
362,79.00
363,80.00
364,80.00
365,82.00
366,83.00
367,84.00
368,84.00
369,84.00
370,84.00
371,86.00
372,85.00
373,86.00
374,87.00
375,87.00
376,86.00
377,85.00
378,85.00
379,86.00
380,84.00
381,77.00
382,78.00
383,79.00
384,79.00
385,79.00
386,79.00
387,79.00
388,78.00
389,78.00
390,78.00
391,74.00
392,74.00
393,73.00
394,73.00
395,73.00
396,73.00
397,73.00
398,73.00
399,73.00
400,73.00
401,78.00
402,78.00
403,78.00
404,77.00
405,79.00
406,78.00
407,78.00
408,76.00
409,76.00
410,72.00
411,72.00
412,72.00
413,72.00
414,72.00
415,70.00
416,70.00
417,71.00
418,71.00
