Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,1.00
17,1.00
18,1.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,1.00
28,2.00
29,2.00
30,2.00
31,2.00
32,2.00
33,2.00
34,2.00
35,2.00
36,2.00
37,2.00
38,2.00
39,2.00
40,2.00
41,2.00
42,2.00
43,2.00
44,2.00
45,2.00
46,2.00
47,3.00
48,4.00
49,4.00
50,4.00
51,4.00
52,4.00
53,4.00
54,4.00
55,4.00
56,4.00
57,4.00
58,4.00
59,4.00
60,4.00
61,4.00
62,4.00
63,4.00
64,4.00
65,6.00
66,6.00
67,6.00
68,6.00
69,6.00
70,6.00
71,6.00
72,6.00
73,6.00
74,6.00
75,6.00
76,6.00
77,7.00
78,7.00
79,7.00
80,7.00
81,7.00
82,7.00
83,7.00
84,7.00
85,7.00
86,7.00
87,7.00
88,7.00
89,8.00
90,9.00
91,9.00
92,9.00
93,11.00
94,11.00
95,13.00
96,13.00
97,13.00
98,13.00
99,13.00
100,15.00
101,15.00
102,16.00
103,16.00
104,16.00
105,18.00
106,18.00
107,20.00
108,20.00
109,20.00
110,20.00
111,21.00
112,21.00
113,22.00
114,22.00
115,22.00
116,22.00
117,22.00
118,22.00
119,23.00
120,23.00
121,23.00
122,24.00
123,24.00
124,24.00
125,24.00
126,26.00
127,26.00
128,27.00
129,30.00
130,30.00
131,30.00
132,30.00
133,30.00
134,32.00
135,32.00
136,32.00
137,32.00
138,32.00
139,32.00
140,32.00
141,32.00
142,32.00
143,32.00
144,32.00
145,33.00
146,33.00
147,33.00
148,32.00
149,32.00
150,32.00
151,32.00
152,32.00
153,32.00
154,33.00
155,33.00
156,34.00
157,35.00
158,35.00
159,35.00
160,35.00
161,36.00
162,36.00
163,35.00
164,35.00
165,35.00
166,36.00
167,36.00
168,38.00
169,38.00
170,39.00
171,39.00
172,39.00
173,39.00
174,39.00
175,39.00
176,39.00
177,39.00
178,39.00
179,39.00
180,39.00
181,39.00
182,39.00
183,39.00
184,39.00
185,39.00
186,40.00
187,40.00
188,40.00
189,40.00
190,40.00
191,40.00
192,41.00
193,41.00
194,41.00
195,40.00
196,41.00
197,42.00
198,42.00
199,42.00
200,42.00
201,42.00
202,43.00
203,45.00
204,45.00
205,45.00
206,45.00
207,45.00
208,45.00
209,44.00
210,44.00
211,44.00
212,44.00
213,44.00
214,45.00
215,45.00
216,45.00
217,45.00
218,45.00
219,45.00
220,45.00
221,45.00
222,45.00
223,45.00
224,44.00
225,45.00
226,45.00
227,45.00
228,45.00
229,45.00
230,45.00
231,46.00
232,46.00
233,48.00
234,49.00
235,48.00
236,48.00
237,48.00
238,48.00
239,48.00
240,52.00
241,51.00
242,49.00
243,49.00
244,49.00
245,50.00
246,50.00
247,49.00
248,48.00
249,44.00
250,45.00
251,45.00
252,45.00
253,45.00
254,44.00
255,44.00
256,42.00
257,42.00
258,42.00
259,43.00
260,41.00
261,41.00
262,41.00
263,42.00
264,42.00
265,41.00
266,41.00
267,41.00
268,43.00
269,44.00
270,44.00
271,41.00
272,40.00
273,42.00
274,43.00
275,43.00
276,42.00
277,41.00
278,41.00
279,41.00
280,41.00
281,42.00
282,42.00
283,42.00
284,42.00
285,44.00
286,44.00
287,44.00
288,44.00
289,44.00
290,45.00
291,45.00
292,46.00
293,46.00
294,46.00
295,48.00
296,48.00
297,48.00
298,48.00
299,48.00
300,48.00
301,48.00
302,49.00
303,49.00
304,46.00
305,45.00
306,46.00
307,46.00
308,46.00
309,46.00
310,46.00
311,46.00
312,47.00
313,47.00
314,47.00
315,49.00
316,48.00
317,46.00
318,46.00
319,48.00
320,48.00
321,48.00
322,49.00
323,49.00
324,50.00
325,50.00
326,50.00
327,50.00
328,50.00
329,51.00
330,51.00
331,52.00
332,52.00
333,52.00
334,52.00
335,50.00
336,50.00
337,52.00
338,52.00
339,51.00
340,48.00
341,48.00
342,49.00
343,49.00
344,50.00
345,50.00
346,50.00
347,50.00
348,49.00
349,49.00
350,49.00
351,51.00
352,54.00
353,54.00
354,54.00
355,54.00
356,54.00
357,53.00
358,54.00
359,55.00
360,55.00
361,54.00
362,54.00
363,54.00
364,54.00
365,54.00
366,55.00
367,55.00
368,55.00
369,55.00
370,56.00
371,56.00
372,54.00
373,54.00
374,53.00
375,52.00
376,51.00
377,52.00
378,51.00
379,54.00
380,54.00
381,54.00
382,54.00
383,55.00
384,56.00
385,58.00
386,55.00
387,54.00
388,55.00
389,55.00
390,55.00
391,55.00
392,55.00
393,55.00
394,55.00
395,55.00
396,55.00
397,53.00
398,53.00
399,53.00
400,53.00
401,53.00
402,53.00
403,53.00
404,53.00
405,53.00
406,53.00
407,53.00
408,54.00
409,54.00
410,52.00
411,53.00
412,53.00
413,54.00
414,54.00
415,55.00
416,54.00
417,54.00
418,54.00
419,54.00
420,53.00
421,52.00
422,51.00
423,54.00
424,54.00
425,54.00
426,54.00
427,55.00
428,55.00
429,56.00
430,58.00
431,58.00
432,56.00
433,56.00
434,56.00
435,56.00
436,57.00
437,58.00
438,57.00
439,58.00
440,58.00
441,58.00
442,60.00
443,60.00
444,60.00
445,59.00
446,59.00
447,60.00
448,60.00
449,60.00
450,60.00
451,60.00
452,61.00
453,60.00
454,60.00
455,60.00
456,59.00
457,63.00
458,63.00
459,63.00
460,62.00
461,62.00
462,59.00
463,59.00
464,59.00
465,61.00
466,61.00
467,59.00
468,59.00
469,59.00
470,60.00
471,60.00
472,60.00
473,60.00
474,60.00
475,60.00
476,61.00
477,61.00
478,60.00
479,60.00
480,60.00
481,60.00
482,60.00
483,60.00
484,60.00
485,60.00
486,60.00
487,62.00
488,63.00
489,64.00
490,64.00
491,62.00
492,62.00
493,62.00
494,62.00
495,62.00
496,62.00
497,58.00
498,59.00
499,59.00
500,59.00
501,59.00
502,60.00
503,60.00
504,58.00
505,57.00
506,59.00
507,60.00
508,59.00
509,62.00
510,62.00
511,62.00
512,62.00
513,62.00
514,62.00
515,62.00
516,61.00
517,61.00
518,59.00
519,59.00
520,58.00
521,57.00
522,56.00
523,56.00
524,56.00
525,56.00
526,53.00
527,53.00
528,53.00
529,53.00
530,53.00
531,51.00
532,50.00
533,51.00
534,51.00
535,50.00
536,50.00
537,50.00
538,49.00
539,49.00
540,50.00
541,53.00
542,53.00
543,53.00
544,54.00
545,55.00
546,55.00
547,57.00
548,57.00
549,57.00
550,57.00
551,55.00
552,55.00
553,59.00
554,59.00
555,59.00
556,59.00
557,59.00
558,60.00
559,60.00
560,59.00
561,59.00
562,57.00
563,57.00
564,56.00
565,56.00
566,56.00
567,56.00
568,56.00
569,56.00
570,52.00
571,52.00
572,52.00
573,51.00
574,49.00
575,48.00
576,48.00
577,48.00
578,48.00
579,48.00
580,48.00
581,48.00
582,49.00
583,48.00
584,48.00
585,48.00
586,47.00
587,47.00
588,47.00
589,44.00
590,44.00
591,44.00
592,44.00
593,43.00
594,43.00
595,44.00
596,44.00
597,44.00
598,44.00
599,42.00
600,42.00
601,42.00
602,42.00
603,40.00
604,39.00
605,39.00
606,38.00
607,38.00
608,40.00
609,40.00
610,40.00
611,39.00
612,38.00
613,38.00
614,39.00
615,38.00
616,38.00
617,37.00
618,37.00
619,37.00
620,37.00
621,37.00
622,36.00
623,36.00
624,36.00
625,36.00
626,37.00
627,37.00
628,37.00
629,36.00
630,35.00
631,34.00
632,34.00
633,34.00
634,33.00
635,34.00
636,33.00
637,33.00
638,34.00
639,35.00
640,35.00
641,35.00
642,35.00
643,35.00
644,35.00
645,33.00
646,33.00
647,35.00
648,35.00
649,36.00
650,36.00
651,35.00
652,33.00
653,31.00
654,31.00
655,30.00
656,30.00
657,30.00
658,30.00
659,30.00
660,30.00
661,30.00
662,30.00
663,30.00
664,30.00
665,30.00
666,30.00
667,30.00
668,30.00
669,30.00
670,29.00
671,30.00
672,30.00
673,30.00
674,30.00
675,31.00
676,32.00
677,32.00
678,33.00
679,33.00
680,35.00
681,35.00
682,33.00
683,34.00
684,34.00
685,34.00
686,33.00
687,33.00
688,33.00
689,34.00
690,35.00
691,35.00
692,34.00
693,34.00
694,33.00
695,33.00
696,33.00
697,33.00
698,33.00
699,32.00
700,32.00
701,32.00
702,32.00
703,32.00
704,32.00
705,32.00
706,32.00
707,34.00
708,35.00
709,35.00
710,35.00
711,35.00
712,35.00
713,35.00
714,36.00
715,37.00
716,37.00
717,38.00
718,38.00
719,38.00
720,38.00
721,38.00
722,38.00
723,39.00
724,39.00
725,39.00
726,39.00
727,39.00
728,39.00
729,38.00
730,39.00
731,40.00
732,41.00
733,43.00
734,43.00
735,43.00
736,44.00
737,44.00
738,45.00
739,45.00
740,45.00
741,45.00
742,46.00
743,46.00
744,46.00
745,46.00
746,46.00
747,46.00
748,46.00
749,46.00
750,45.00
751,46.00
752,46.00
753,47.00
754,47.00
755,47.00
756,50.00
757,50.00
758,50.00
759,50.00
760,52.00
761,51.00
762,51.00
763,51.00
764,52.00
765,53.00
766,53.00
767,53.00
768,53.00
769,53.00
770,54.00
771,54.00
772,55.00
773,55.00
774,55.00
775,55.00
776,56.00
777,57.00
778,59.00
779,57.00
780,57.00
781,57.00
782,55.00
783,54.00
784,51.00
785,51.00
786,51.00
787,50.00
788,50.00
789,51.00
790,51.00
791,51.00
792,53.00
793,53.00
794,53.00
795,52.00
796,51.00
797,51.00
798,51.00
799,51.00
800,52.00
801,52.00
802,52.00
803,53.00
804,53.00
805,53.00
806,54.00
807,54.00
808,54.00
809,54.00
810,54.00
811,54.00
812,54.00
813,54.00
814,54.00
815,54.00
816,54.00
817,53.00
818,53.00
819,52.00
820,52.00
821,52.00
822,52.00
823,52.00
824,52.00
825,52.00
826,52.00
827,53.00
828,52.00
829,52.00
830,52.00
831,51.00
832,52.00
833,50.00
834,50.00
835,49.00
836,49.00
837,49.00
838,48.00
839,48.00
840,48.00
841,48.00
842,48.00
843,48.00
844,48.00
845,49.00
846,50.00
847,50.00
848,50.00
849,49.00
850,52.00
851,53.00
852,53.00
853,56.00
854,58.00
855,56.00
856,57.00
857,57.00
858,57.00
859,57.00
860,57.00
861,57.00
862,55.00
863,56.00
864,54.00
865,53.00
866,53.00
867,53.00
868,54.00
869,53.00
870,53.00
871,53.00
872,53.00
873,53.00
874,53.00
875,53.00
876,53.00
877,53.00
878,51.00
879,50.00
880,49.00
881,49.00
882,49.00
883,49.00
884,50.00
885,50.00
886,49.00
887,50.00
888,51.00
889,50.00
890,49.00
891,49.00
892,50.00
893,51.00
894,53.00
895,53.00
896,52.00
897,52.00
898,54.00
899,53.00
900,53.00
901,52.00
902,51.00
903,48.00
904,48.00
905,48.00
906,48.00
907,48.00
908,48.00
909,48.00
910,48.00
911,46.00
912,46.00
913,46.00
914,45.00
915,44.00
916,44.00
917,43.00
918,44.00
919,42.00
920,42.00
921,42.00
922,42.00
923,42.00
924,42.00
925,42.00
926,41.00
927,41.00
928,42.00
929,42.00
930,42.00
931,42.00
932,43.00
933,44.00
934,46.00
935,46.00
936,47.00
937,47.00
938,48.00
939,46.00
940,48.00
941,49.00
942,50.00
943,48.00
944,48.00
945,50.00
946,50.00
947,54.00
948,55.00
949,54.00
950,54.00
951,54.00
952,54.00
953,53.00
954,53.00
955,53.00
956,52.00
957,52.00
958,52.00
959,53.00
960,53.00
961,53.00
962,54.00
963,54.00
964,54.00
965,53.00
966,53.00
967,53.00
968,53.00
969,53.00
970,53.00
971,53.00
972,53.00
973,51.00
974,51.00
975,49.00
976,49.00
977,50.00
978,51.00
979,51.00
980,50.00
981,52.00
982,52.00
983,53.00
984,53.00
985,53.00
986,53.00
987,52.00
988,55.00
989,59.00
990,58.00
991,58.00
992,59.00
993,62.00
994,63.00
995,64.00
996,63.00
997,62.00
998,60.00
999,59.00
1000,57.00
1001,56.00
1002,56.00
1003,58.00
1004,59.00
1005,61.00
1006,62.00
1007,62.00
1008,62.00
1009,62.00
1010,62.00
1011,62.00
1012,62.00
1013,61.00
1014,61.00
1015,63.00
1016,63.00
1017,63.00
1018,63.00
1019,63.00
1020,63.00
1021,63.00
1022,63.00
1023,63.00
1024,63.00
1025,65.00
1026,66.00
1027,66.00
1028,65.00
1029,65.00
1030,64.00
1031,64.00
1032,62.00
1033,62.00
1034,62.00
1035,61.00
1036,61.00
1037,60.00
1038,62.00
1039,62.00
1040,62.00
1041,62.00
1042,61.00
1043,60.00
1044,64.00
1045,64.00
1046,67.00
1047,65.00
1048,65.00
1049,65.00
1050,65.00
1051,65.00
1052,66.00
1053,66.00
1054,66.00
1055,70.00
1056,71.00
1057,71.00
1058,72.00
1059,71.00
1060,71.00
1061,70.00
1062,70.00
1063,70.00
1064,70.00
1065,70.00
1066,69.00
1067,69.00
1068,69.00
1069,69.00
1070,70.00
1071,70.00
1072,69.00
1073,68.00
1074,68.00
1075,68.00
1076,68.00
1077,68.00
1078,67.00
1079,67.00
1080,66.00
1081,69.00
1082,68.00
1083,68.00
1084,68.00
1085,67.00
1086,67.00
1087,66.00
1088,65.00
1089,63.00
1090,61.00
1091,61.00
1092,59.00
1093,59.00
1094,59.00
1095,59.00
1096,56.00
1097,59.00
1098,59.00
1099,59.00
1100,59.00
1101,59.00
1102,60.00
1103,62.00
1104,61.00
1105,61.00
1106,61.00
1107,61.00
1108,61.00
1109,61.00
1110,64.00
1111,63.00
1112,63.00
1113,64.00
1114,64.00
1115,64.00
1116,64.00
1117,66.00
1118,66.00
1119,65.00
1120,66.00
1121,66.00
1122,66.00
1123,66.00
1124,67.00
1125,67.00
1126,64.00
1127,64.00
1128,64.00
1129,65.00
1130,65.00
1131,63.00
1132,63.00
1133,69.00
