Position,Coverage
1,1.00
2,1.00
3,1.00
4,3.00
5,3.00
6,3.00
7,3.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,6.00
14,6.00
15,6.00
16,6.00
17,6.00
18,6.00
19,8.00
20,8.00
21,8.00
22,9.00
23,9.00
24,9.00
25,12.00
26,14.00
27,15.00
28,15.00
29,15.00
30,15.00
31,15.00
32,15.00
33,15.00
34,15.00
35,15.00
36,15.00
37,15.00
38,15.00
39,15.00
40,16.00
41,16.00
42,20.00
43,20.00
44,20.00
45,21.00
46,22.00
47,23.00
48,24.00
49,24.00
50,26.00
51,26.00
52,26.00
53,26.00
54,26.00
55,27.00
56,27.00
57,27.00
58,28.00
59,28.00
60,28.00
61,30.00
62,33.00
63,33.00
64,33.00
65,33.00
66,35.00
67,35.00
68,35.00
69,35.00
70,35.00
71,35.00
72,36.00
73,37.00
74,37.00
75,38.00
76,38.00
77,38.00
78,38.00
79,38.00
80,38.00
81,38.00
82,38.00
83,38.00
84,38.00
85,38.00
86,38.00
87,38.00
88,39.00
89,39.00
90,43.00
91,44.00
92,51.00
93,51.00
94,52.00
95,52.00
96,53.00
97,55.00
98,56.00
99,61.00
100,61.00
101,67.00
102,78.00
103,79.00
104,94.00
105,97.00
106,99.00
107,102.00
108,103.00
109,103.00
110,104.00
111,104.00
112,105.00
113,105.00
114,105.00
115,106.00
116,106.00
117,106.00
118,106.00
119,111.00
120,111.00
121,111.00
122,111.00
123,112.00
124,113.00
125,116.00
126,118.00
127,119.00
128,119.00
129,121.00
130,121.00
131,122.00
132,122.00
133,122.00
134,122.00
135,123.00
136,124.00
137,127.00
138,127.00
139,128.00
140,128.00
141,128.00
142,128.00
143,128.00
144,129.00
145,128.00
146,127.00
147,129.00
148,128.00
149,132.00
150,134.00
151,145.00
152,145.00
153,146.00
154,147.00
155,151.00
156,153.00
157,157.00
158,164.00
159,164.00
160,169.00
161,177.00
162,183.00
163,187.00
164,187.00
165,197.00
166,199.00
167,203.00
168,208.00
169,210.00
170,213.00
171,213.00
172,211.00
173,211.00
174,210.00
175,210.00
176,211.00
177,212.00
178,214.00
179,215.00
180,217.00
181,217.00
182,217.00
183,216.00
184,216.00
185,215.00
186,215.00
187,216.00
188,216.00
189,217.00
190,218.00
191,224.00
192,225.00
193,223.00
194,222.00
195,222.00
196,224.00
197,225.00
198,225.00
199,230.00
200,233.00
201,233.00
202,239.00
203,243.00
204,247.00
205,248.00
206,249.00
207,251.00
208,251.00
209,249.00
210,249.00
211,249.00
212,249.00
213,252.00
214,253.00
215,254.00
216,255.00
217,255.00
218,254.00
219,254.00
220,254.00
221,255.00
222,254.00
223,254.00
224,254.00
225,255.00
226,255.00
227,255.00
228,259.00
229,259.00
230,260.00
231,261.00
232,264.00
233,268.00
234,267.00
235,267.00
236,268.00
237,293.00
238,296.00
239,291.00
240,289.00
241,287.00
242,289.00
243,289.00
244,291.00
245,291.00
246,267.00
247,265.00
248,269.00
249,271.00
250,272.00
251,261.00
252,263.00
253,254.00
254,255.00
255,256.00
256,253.00
257,254.00
258,254.00
259,254.00
260,256.00
261,256.00
262,256.00
263,256.00
264,256.00
265,262.00
266,268.00
267,268.00
268,266.00
269,265.00
270,267.00
271,269.00
272,274.00
273,271.00
274,270.00
275,271.00
276,271.00
277,271.00
278,271.00
279,276.00
280,276.00
281,276.00
282,279.00
283,280.00
284,277.00
285,277.00
286,278.00
287,283.00
288,282.00
289,287.00
290,287.00
291,285.00
292,294.00
293,294.00
294,300.00
295,299.00
296,296.00
297,300.00
298,292.00
299,294.00
300,292.00
301,281.00
302,279.00
303,277.00
304,280.00
305,281.00
306,279.00
307,277.00
308,269.00
309,260.00
310,262.00
311,264.00
312,264.00
313,262.00
314,255.00
315,259.00
316,264.00
317,265.00
318,263.00
319,262.00
320,262.00
321,262.00
322,261.00
323,262.00
324,262.00
325,264.00
326,265.00
327,262.00
328,272.00
329,272.00
330,271.00
331,272.00
332,272.00
333,272.00
334,271.00
335,269.00
336,269.00
337,262.00
338,261.00
339,263.00
340,263.00
341,278.00
342,278.00
343,273.00
344,274.00
345,271.00
346,272.00
347,272.00
348,280.00
349,286.00
350,284.00
351,284.00
352,286.00
353,286.00
354,291.00
355,292.00
356,295.00
357,294.00
358,295.00
359,298.00
360,297.00
361,298.00
362,298.00
363,297.00
364,296.00
365,300.00
366,304.00
367,304.00
368,304.00
369,302.00
370,303.00
371,303.00
372,304.00
373,302.00
374,308.00
375,307.00
376,312.00
377,312.00
378,308.00
379,306.00
380,304.00
381,304.00
382,306.00
383,295.00
384,278.00
385,282.00
386,281.00
387,286.00
388,285.00
389,285.00
390,284.00
391,282.00
392,282.00
393,283.00
394,274.00
395,274.00
396,273.00
397,273.00
398,275.00
399,275.00
400,275.00
401,274.00
402,274.00
403,272.00
404,277.00
405,277.00
406,278.00
407,275.00
408,275.00
409,274.00
410,279.00
411,275.00
412,279.00
413,269.00
414,271.00
415,271.00
416,271.00
417,271.00
418,273.00
419,267.00
420,271.00
421,273.00
422,273.00
423,274.00
424,278.00
425,283.00
426,286.00
427,282.00
428,282.00
429,275.00
430,275.00
431,273.00
432,273.00
433,268.00
434,267.00
435,267.00
436,262.00
437,261.00
438,261.00
439,259.00
440,258.00
441,260.00
442,258.00
443,255.00
444,263.00
445,262.00
446,260.00
447,259.00
448,251.00
449,254.00
450,260.00
451,259.00
452,259.00
453,251.00
454,255.00
455,255.00
456,258.00
457,257.00
458,255.00
459,251.00
460,250.00
461,251.00
462,251.00
463,253.00
464,247.00
465,246.00
466,246.00
467,248.00
468,251.00
469,251.00
470,249.00
471,249.00
472,254.00
473,256.00
474,256.00
475,258.00
476,250.00
477,251.00
478,253.00
479,253.00
480,264.00
481,265.00
482,264.00
483,262.00
484,259.00
485,265.00
486,266.00
487,267.00
488,264.00
489,247.00
490,247.00
491,247.00
492,247.00
493,247.00
494,248.00
495,237.00
496,233.00
497,233.00
498,235.00
499,236.00
500,237.00
501,241.00
502,239.00
503,237.00
504,238.00
505,240.00
506,241.00
507,238.00
508,235.00
509,238.00
510,237.00
511,236.00
512,236.00
513,236.00
514,233.00
515,234.00
516,228.00
517,227.00
518,223.00
519,222.00
520,223.00
521,223.00
522,220.00
523,217.00
524,210.00
525,211.00
526,211.00
527,211.00
528,211.00
529,207.00
530,205.00
531,205.00
532,205.00
533,202.00
534,199.00
535,199.00
536,199.00
537,200.00
538,201.00
539,202.00
540,202.00
541,203.00
542,204.00
543,205.00
544,205.00
545,206.00
546,205.00
547,204.00
548,202.00
549,201.00
550,201.00
551,200.00
552,202.00
553,202.00
554,199.00
555,199.00
556,199.00
557,196.00
558,191.00
559,191.00
560,183.00
561,183.00
562,174.00
563,173.00
564,172.00
565,172.00
566,172.00
567,170.00
568,167.00
569,168.00
570,167.00
571,167.00
572,159.00
573,155.00
574,155.00
575,155.00
576,155.00
577,155.00
578,156.00
579,156.00
580,156.00
581,156.00
582,154.00
583,152.00
584,152.00
585,152.00
586,151.00
587,149.00
588,151.00
589,146.00
590,145.00
591,139.00
592,139.00
593,140.00
594,139.00
595,139.00
596,139.00
597,129.00
598,127.00
599,127.00
600,127.00
601,123.00
602,119.00
603,119.00
604,115.00
605,114.00
606,114.00
607,113.00
608,111.00
609,111.00
610,108.00
611,107.00
612,109.00
613,108.00
614,107.00
615,104.00
616,104.00
617,104.00
618,105.00
619,98.00
620,99.00
621,97.00
622,96.00
623,94.00
624,101.00
625,101.00
626,98.00
627,92.00
628,89.00
629,89.00
630,88.00
631,88.00
632,83.00
633,81.00
634,78.00
635,78.00
636,80.00
637,83.00
638,79.00
639,79.00
640,79.00
641,79.00
642,78.00
643,76.00
644,75.00
645,70.00
646,70.00
647,67.00
648,65.00
649,65.00
650,64.00
651,62.00
652,61.00
653,59.00
654,59.00
655,60.00
656,60.00
657,60.00
658,60.00
659,60.00
660,60.00
661,60.00
662,60.00
663,60.00
664,59.00
665,61.00
666,61.00
667,61.00
668,61.00
669,61.00
670,60.00
671,59.00
672,59.00
673,62.00
674,63.00
675,65.00
676,66.00
677,67.00
678,70.00
679,73.00
680,75.00
681,77.00
682,80.00
683,83.00
684,83.00
685,84.00
686,84.00
687,89.00
688,92.00
689,94.00
690,96.00
691,98.00
692,101.00
693,101.00
694,102.00
695,101.00
696,101.00
697,101.00
698,101.00
699,100.00
700,105.00
701,105.00
702,105.00
703,105.00
704,107.00
705,112.00
706,115.00
707,118.00
708,119.00
709,120.00
710,120.00
711,118.00
712,120.00
713,128.00
714,128.00
715,128.00
716,129.00
717,133.00
718,133.00
719,134.00
720,135.00
721,137.00
722,139.00
723,138.00
724,138.00
725,136.00
726,136.00
727,136.00
728,138.00
729,138.00
730,142.00
731,156.00
732,156.00
733,156.00
734,156.00
735,157.00
736,165.00
737,165.00
738,167.00
739,166.00
740,164.00
741,165.00
742,167.00
743,167.00
744,167.00
745,167.00
746,168.00
747,169.00
748,167.00
749,167.00
750,171.00
751,172.00
752,172.00
753,175.00
754,183.00
755,183.00
756,185.00
757,187.00
758,193.00
759,192.00
760,192.00
761,192.00
762,192.00
763,192.00
764,192.00
765,191.00
766,191.00
767,191.00
768,205.00
769,205.00
770,207.00
771,210.00
772,206.00
773,207.00
774,207.00
775,208.00
776,211.00
777,209.00
778,209.00
779,209.00
780,210.00
781,211.00
782,211.00
783,212.00
784,212.00
785,211.00
786,211.00
787,211.00
788,212.00
789,212.00
790,218.00
791,219.00
792,219.00
793,220.00
794,220.00
795,223.00
796,223.00
797,222.00
798,223.00
799,220.00
800,220.00
801,221.00
802,221.00
803,220.00
804,221.00
805,222.00
806,226.00
807,230.00
808,230.00
809,232.00
810,230.00
811,231.00
812,231.00
813,231.00
814,230.00
815,230.00
816,231.00
817,232.00
818,231.00
819,232.00
820,230.00
821,226.00
822,226.00
823,227.00
824,234.00
825,233.00
826,235.00
827,230.00
828,232.00
829,229.00
830,230.00
831,227.00
832,227.00
833,216.00
834,216.00
835,216.00
836,218.00
837,217.00
838,224.00
839,224.00
840,225.00
841,225.00
842,225.00
843,235.00
844,238.00
845,237.00
846,245.00
847,235.00
848,245.00
849,247.00
850,248.00
851,259.00
852,255.00
853,260.00
854,259.00
855,263.00
856,263.00
857,262.00
858,264.00
859,265.00
860,256.00
861,258.00
862,257.00
863,257.00
864,256.00
865,255.00
866,257.00
867,259.00
868,260.00
869,257.00
870,258.00
871,256.00
872,254.00
873,251.00
874,255.00
875,256.00
876,247.00
877,241.00
878,241.00
879,236.00
880,238.00
881,239.00
882,238.00
883,233.00
884,233.00
885,240.00
886,240.00
887,240.00
888,237.00
889,234.00
890,239.00
891,240.00
892,248.00
893,247.00
894,245.00
895,247.00
896,249.00
897,252.00
898,254.00
899,253.00
900,253.00
901,246.00
902,247.00
903,247.00
904,248.00
905,253.00
906,252.00
907,253.00
908,257.00
909,254.00
910,256.00
911,251.00
912,250.00
913,251.00
914,250.00
915,244.00
916,244.00
917,242.00
918,241.00
919,243.00
920,243.00
921,245.00
922,246.00
923,244.00
924,241.00
925,243.00
926,243.00
927,243.00
928,245.00
929,245.00
930,246.00
931,245.00
932,244.00
933,244.00
934,249.00
935,248.00
936,249.00
937,245.00
938,247.00
939,248.00
940,252.00
941,249.00
942,249.00
943,251.00
944,251.00
945,254.00
946,253.00
947,249.00
948,249.00
949,250.00
950,249.00
951,246.00
952,244.00
953,243.00
954,238.00
955,238.00
956,236.00
957,236.00
958,238.00
959,238.00
960,239.00
961,240.00
962,239.00
963,239.00
964,243.00
965,241.00
966,241.00
967,240.00
968,240.00
969,242.00
970,241.00
971,231.00
972,235.00
973,231.00
974,239.00
975,238.00
976,237.00
977,236.00
978,239.00
979,240.00
980,248.00
981,247.00
982,247.00
983,236.00
984,234.00
985,228.00
986,231.00
987,233.00
988,229.00
989,219.00
990,220.00
991,222.00
992,228.00
993,225.00
994,228.00
995,220.00
996,221.00
997,223.00
998,217.00
999,217.00
1000,216.00
1001,217.00
1002,217.00
1003,218.00
1004,218.00
1005,216.00
1006,218.00
1007,220.00
1008,219.00
1009,218.00
1010,216.00
1011,216.00
1012,216.00
1013,217.00
1014,214.00
1015,213.00
1016,211.00
1017,210.00
1018,212.00
1019,212.00
1020,213.00
1021,212.00
1022,212.00
1023,211.00
1024,211.00
1025,210.00
1026,210.00
1027,210.00
1028,208.00
1029,209.00
1030,205.00
1031,205.00
1032,203.00
1033,202.00
1034,201.00
1035,200.00
1036,199.00
1037,210.00
1038,208.00
1039,208.00
1040,207.00
1041,208.00
1042,207.00
1043,214.00
1044,213.00
1045,226.00
1046,216.00
1047,215.00
1048,216.00
1049,216.00
1050,215.00
1051,215.00
1052,216.00
1053,216.00
1054,216.00
1055,216.00
1056,219.00
1057,219.00
1058,218.00
1059,221.00
1060,222.00
1061,222.00
1062,227.00
1063,227.00
1064,226.00
1065,225.00
1066,224.00
1067,222.00
1068,221.00
1069,220.00
1070,225.00
1071,222.00
1072,222.00
1073,222.00
1074,222.00
1075,224.00
1076,224.00
1077,224.00
1078,225.00
1079,213.00
1080,217.00
1081,218.00
1082,220.00
1083,221.00
1084,221.00
1085,219.00
1086,217.00
1087,219.00
1088,219.00
1089,216.00
1090,216.00
1091,214.00
1092,214.00
1093,213.00
1094,215.00
1095,213.00
1096,213.00
1097,211.00
1098,211.00
1099,211.00
1100,213.00
1101,227.00
1102,225.00
1103,224.00
1104,225.00
1105,227.00
1106,227.00
1107,227.00
1108,227.00
1109,229.00
1110,228.00
1111,229.00
1112,229.00
1113,225.00
1114,226.00
1115,226.00
1116,226.00
1117,225.00
1118,228.00
1119,227.00
1120,224.00
1121,225.00
1122,227.00
1123,226.00
1124,227.00
1125,220.00
1126,222.00
1127,221.00
1128,223.00
1129,221.00
1130,219.00
1131,215.00
1132,222.00
1133,226.00
