Position,Coverage
1,1.00
2,2.00
3,3.00
4,4.00
5,4.00
6,5.00
7,5.00
8,6.00
9,6.00
10,6.00
11,7.00
12,7.00
13,7.00
14,7.00
15,7.00
16,7.00
17,7.00
18,7.00
19,7.00
20,9.00
21,10.00
22,10.00
23,10.00
24,12.00
25,13.00
26,13.00
27,13.00
28,13.00
29,13.00
30,15.00
31,15.00
32,17.00
33,17.00
34,17.00
35,17.00
36,17.00
37,18.00
38,19.00
39,19.00
40,26.00
41,27.00
42,27.00
43,28.00
44,28.00
45,30.00
46,31.00
47,31.00
48,32.00
49,33.00
50,35.00
51,35.00
52,35.00
53,35.00
54,35.00
55,35.00
56,35.00
57,35.00
58,36.00
59,37.00
60,40.00
61,40.00
62,40.00
63,40.00
64,40.00
65,40.00
66,40.00
67,40.00
68,42.00
69,43.00
70,44.00
71,44.00
72,44.00
73,44.00
74,45.00
75,45.00
76,46.00
77,46.00
78,46.00
79,46.00
80,47.00
81,48.00
82,48.00
83,48.00
84,48.00
85,48.00
86,54.00
87,55.00
88,56.00
89,56.00
90,60.00
91,61.00
92,64.00
93,64.00
94,66.00
95,81.00
96,82.00
97,87.00
98,87.00
99,97.00
100,108.00
101,110.00
102,156.00
103,156.00
104,160.00
105,164.00
106,169.00
107,172.00
108,174.00
109,176.00
110,179.00
111,180.00
112,180.00
113,180.00
114,182.00
115,185.00
116,187.00
117,203.00
118,203.00
119,203.00
120,204.00
121,206.00
122,207.00
123,213.00
124,221.00
125,224.00
126,224.00
127,228.00
128,231.00
129,232.00
130,236.00
131,236.00
132,237.00
133,239.00
134,241.00
135,242.00
136,242.00
137,245.00
138,246.00
139,246.00
140,247.00
141,252.00
142,253.00
143,253.00
144,253.00
145,256.00
146,254.00
147,268.00
148,270.00
149,292.00
150,291.00
151,295.00
152,297.00
153,298.00
154,302.00
155,309.00
156,314.00
157,315.00
158,328.00
159,332.00
160,334.00
161,338.00
162,342.00
163,354.00
164,355.00
165,360.00
166,361.00
167,359.00
168,358.00
169,357.00
170,357.00
171,359.00
172,358.00
173,360.00
174,361.00
175,360.00
176,363.00
177,363.00
178,363.00
179,364.00
180,364.00
181,366.00
182,364.00
183,362.00
184,362.00
185,362.00
186,362.00
187,370.00
188,373.00
189,377.00
190,375.00
191,375.00
192,372.00
193,373.00
194,376.00
195,381.00
196,380.00
197,380.00
198,394.00
199,394.00
200,403.00
201,408.00
202,410.00
203,410.00
204,410.00
205,414.00
206,413.00
207,411.00
208,412.00
209,420.00
210,420.00
211,426.00
212,426.00
213,427.00
214,427.00
215,428.00
216,428.00
217,429.00
218,430.00
219,432.00
220,432.00
221,432.00
222,432.00
223,435.00
224,436.00
225,436.00
226,439.00
227,438.00
228,440.00
229,441.00
230,445.00
231,444.00
232,445.00
233,445.00
234,445.00
235,497.00
236,495.00
237,490.00
238,482.00
239,475.00
240,477.00
241,475.00
242,473.00
243,469.00
244,409.00
245,414.00
246,421.00
247,420.00
248,421.00
249,406.00
250,407.00
251,388.00
252,389.00
253,387.00
254,380.00
255,378.00
256,379.00
257,378.00
258,376.00
259,377.00
260,373.00
261,373.00
262,371.00
263,378.00
264,380.00
265,381.00
266,375.00
267,376.00
268,376.00
269,378.00
270,381.00
271,371.00
272,362.00
273,366.00
274,369.00
275,365.00
276,366.00
277,367.00
278,368.00
279,363.00
280,364.00
281,364.00
282,360.00
283,360.00
284,361.00
285,363.00
286,360.00
287,378.00
288,379.00
289,378.00
290,393.00
291,393.00
292,400.00
293,399.00
294,394.00
295,397.00
296,376.00
297,380.00
298,384.00
299,371.00
300,371.00
301,368.00
302,380.00
303,380.00
304,380.00
305,382.00
306,375.00
307,376.00
308,378.00
309,375.00
310,377.00
311,375.00
312,375.00
313,377.00
314,377.00
315,377.00
316,373.00
317,375.00
318,376.00
319,375.00
320,377.00
321,377.00
322,376.00
323,375.00
324,379.00
325,375.00
326,397.00
327,400.00
328,398.00
329,399.00
330,396.00
331,393.00
332,396.00
333,392.00
334,393.00
335,370.00
336,368.00
337,365.00
338,365.00
339,393.00
340,394.00
341,387.00
342,385.00
343,390.00
344,389.00
345,391.00
346,400.00
347,410.00
348,400.00
349,402.00
350,402.00
351,402.00
352,404.00
353,405.00
354,409.00
355,407.00
356,394.00
357,400.00
358,400.00
359,401.00
360,400.00
361,397.00
362,393.00
363,399.00
364,401.00
365,402.00
366,405.00
367,405.00
368,412.00
369,412.00
370,411.00
371,409.00
372,420.00
373,420.00
374,428.00
375,429.00
376,426.00
377,425.00
378,426.00
379,427.00
380,429.00
381,418.00
382,412.00
383,420.00
384,420.00
385,423.00
386,421.00
387,422.00
388,424.00
389,421.00
390,421.00
391,422.00
392,403.00
393,403.00
394,402.00
395,402.00
396,403.00
397,403.00
398,404.00
399,404.00
400,404.00
401,403.00
402,415.00
403,414.00
404,415.00
405,413.00
406,413.00
407,420.00
408,433.00
409,434.00
410,442.00
411,432.00
412,439.00
413,439.00
414,440.00
415,438.00
416,435.00
417,417.00
418,421.00
419,421.00
420,420.00
421,413.00
422,423.00
423,427.00
424,432.00
425,430.00
426,430.00
427,422.00
428,422.00
429,422.00
430,420.00
431,413.00
432,415.00
433,411.00
434,404.00
435,404.00
436,405.00
437,400.00
438,395.00
439,396.00
440,395.00
441,393.00
442,420.00
443,420.00
444,419.00
445,419.00
446,409.00
447,413.00
448,409.00
449,406.00
450,402.00
451,381.00
452,397.00
453,400.00
454,400.00
455,400.00
456,397.00
457,394.00
458,397.00
459,399.00
460,401.00
461,394.00
462,389.00
463,389.00
464,391.00
465,394.00
466,395.00
467,389.00
468,390.00
469,398.00
470,398.00
471,400.00
472,403.00
473,398.00
474,396.00
475,401.00
476,399.00
477,425.00
478,425.00
479,424.00
480,420.00
481,412.00
482,421.00
483,424.00
484,439.00
485,438.00
486,403.00
487,401.00
488,401.00
489,401.00
490,402.00
491,409.00
492,389.00
493,379.00
494,379.00
495,380.00
496,381.00
497,382.00
498,384.00
499,384.00
500,381.00
501,389.00
502,389.00
503,390.00
504,394.00
505,392.00
506,393.00
507,394.00
508,395.00
509,392.00
510,385.00
511,383.00
512,389.00
513,377.00
514,377.00
515,372.00
516,370.00
517,373.00
518,377.00
519,372.00
520,371.00
521,355.00
522,353.00
523,353.00
524,352.00
525,352.00
526,346.00
527,337.00
528,337.00
529,336.00
530,335.00
531,335.00
532,335.00
533,335.00
534,334.00
535,334.00
536,337.00
537,340.00
538,340.00
539,340.00
540,339.00
541,338.00
542,342.00
543,341.00
544,341.00
545,332.00
546,330.00
547,331.00
548,328.00
549,326.00
550,328.00
551,319.00
552,318.00
553,319.00
554,315.00
555,312.00
556,312.00
557,297.00
558,297.00
559,290.00
560,291.00
561,288.00
562,288.00
563,287.00
564,284.00
565,275.00
566,275.00
567,272.00
568,272.00
569,259.00
570,247.00
571,246.00
572,245.00
573,246.00
574,246.00
575,244.00
576,244.00
577,244.00
578,242.00
579,241.00
580,241.00
581,241.00
582,240.00
583,240.00
584,238.00
585,238.00
586,224.00
587,223.00
588,208.00
589,208.00
590,208.00
591,207.00
592,207.00
593,204.00
