Position,Coverage
1,4.00
2,4.00
3,4.00
4,4.00
5,4.00
6,4.00
7,4.00
8,4.00
9,4.00
10,7.00
11,7.00
12,7.00
13,7.00
14,7.00
15,7.00
16,8.00
17,8.00
18,8.00
19,8.00
20,8.00
21,8.00
22,8.00
23,9.00
24,10.00
25,10.00
26,10.00
27,10.00
28,10.00
29,10.00
30,10.00
31,11.00
32,11.00
33,11.00
34,11.00
35,11.00
36,11.00
37,11.00
38,11.00
39,12.00
40,13.00
41,13.00
42,13.00
43,13.00
44,13.00
45,13.00
46,13.00
47,13.00
48,13.00
49,13.00
50,13.00
51,13.00
52,13.00
53,13.00
54,13.00
55,13.00
56,13.00
57,13.00
58,13.00
59,14.00
60,14.00
61,14.00
62,14.00
63,14.00
64,14.00
65,14.00
66,14.00
67,14.00
68,14.00
69,15.00
70,15.00
71,15.00
72,15.00
73,15.00
74,15.00
75,15.00
76,15.00
77,15.00
78,15.00
79,15.00
80,15.00
81,15.00
82,15.00
83,15.00
84,15.00
85,15.00
86,15.00
87,16.00
88,16.00
89,16.00
90,16.00
91,16.00
92,16.00
93,16.00
94,16.00
95,16.00
96,17.00
97,21.00
98,23.00
99,25.00
100,25.00
101,30.00
102,30.00
103,30.00
104,31.00
105,31.00
106,32.00
107,32.00
108,32.00
109,32.00
110,32.00
111,32.00
112,32.00
113,32.00
114,34.00
115,34.00
116,35.00
117,35.00
118,35.00
119,35.00
120,35.00
121,35.00
122,35.00
123,36.00
124,38.00
125,38.00
126,38.00
127,38.00
128,38.00
129,38.00
130,38.00
131,38.00
132,38.00
133,39.00
134,39.00
135,39.00
136,39.00
137,39.00
138,40.00
139,42.00
140,42.00
141,42.00
142,41.00
143,40.00
144,39.00
145,39.00
146,39.00
147,39.00
148,41.00
149,41.00
150,42.00
151,42.00
152,42.00
153,42.00
154,42.00
155,42.00
156,42.00
157,39.00
158,39.00
159,39.00
160,38.00
161,39.00
162,42.00
163,42.00
164,42.00
165,42.00
166,41.00
167,41.00
168,41.00
169,41.00
170,41.00
171,40.00
172,40.00
173,40.00
174,39.00
175,40.00
176,40.00
177,40.00
178,40.00
179,40.00
180,40.00
181,40.00
182,40.00
183,39.00
184,39.00
185,39.00
186,39.00
187,40.00
188,41.00
189,41.00
190,42.00
191,42.00
192,42.00
193,43.00
194,43.00
195,43.00
196,47.00
197,47.00
198,47.00
199,49.00
200,49.00
201,49.00
202,49.00
203,49.00
204,49.00
205,49.00
206,48.00
207,48.00
208,48.00
209,48.00
210,48.00
211,48.00
212,48.00
213,48.00
214,48.00
215,48.00
216,47.00
217,47.00
218,47.00
219,47.00
220,47.00
221,47.00
222,47.00
223,47.00
224,47.00
225,47.00
226,47.00
227,47.00
228,47.00
229,47.00
230,47.00
231,47.00
232,47.00
233,48.00
234,50.00
235,50.00
236,49.00
237,49.00
238,48.00
239,48.00
240,48.00
241,48.00
242,48.00
243,44.00
244,43.00
245,43.00
246,43.00
247,43.00
248,42.00
249,42.00
250,38.00
251,37.00
252,37.00
253,38.00
254,38.00
255,38.00
256,36.00
257,36.00
258,36.00
259,33.00
260,33.00
261,33.00
262,33.00
263,33.00
264,33.00
265,33.00
266,33.00
267,33.00
268,35.00
269,34.00
270,34.00
271,32.00
272,32.00
273,32.00
274,32.00
275,32.00
276,32.00
277,33.00
278,33.00
279,33.00
280,32.00
281,33.00
282,33.00
283,33.00
284,33.00
285,33.00
286,34.00
287,33.00
288,32.00
289,34.00
290,36.00
291,36.00
292,36.00
293,35.00
294,35.00
295,33.00
296,33.00
297,33.00
298,33.00
299,32.00
300,32.00
301,32.00
302,33.00
303,32.00
304,32.00
305,31.00
306,31.00
307,32.00
308,34.00
309,35.00
310,35.00
311,33.00
312,33.00
313,34.00
314,34.00
315,36.00
316,37.00
317,37.00
318,37.00
319,37.00
320,38.00
321,38.00
322,38.00
323,38.00
324,37.00
325,40.00
326,40.00
327,40.00
328,40.00
329,40.00
330,40.00
331,41.00
332,41.00
333,42.00
334,39.00
335,39.00
