Position,Coverage
1,1.00
2,1.00
3,1.00
4,2.00
5,2.00
6,2.00
7,2.00
8,2.00
9,3.00
10,3.00
11,3.00
12,3.00
13,3.00
14,3.00
15,3.00
16,4.00
17,4.00
18,4.00
19,4.00
20,4.00
21,5.00
22,5.00
23,5.00
24,5.00
25,5.00
26,7.00
27,7.00
28,9.00
29,9.00
30,10.00
31,11.00
32,11.00
33,11.00
34,11.00
35,11.00
36,12.00
37,12.00
38,12.00
39,12.00
40,12.00
41,12.00
42,12.00
43,12.00
44,12.00
45,12.00
46,12.00
47,12.00
48,12.00
49,12.00
50,12.00
51,12.00
52,12.00
53,12.00
54,12.00
55,12.00
56,13.00
57,13.00
58,13.00
59,13.00
60,13.00
61,13.00
62,13.00
63,13.00
64,14.00
65,14.00
66,14.00
67,14.00
68,14.00
69,14.00
70,14.00
71,14.00
72,15.00
73,15.00
74,15.00
75,15.00
76,16.00
77,16.00
78,16.00
79,16.00
80,16.00
81,19.00
82,19.00
83,19.00
84,19.00
85,19.00
86,22.00
87,22.00
88,31.00
89,32.00
90,32.00
91,33.00
92,33.00
93,33.00
94,33.00
95,33.00
96,33.00
97,33.00
98,33.00
99,33.00
100,33.00
101,33.00
102,34.00
103,38.00
104,38.00
105,38.00
106,38.00
107,38.00
108,38.00
109,40.00
110,41.00
111,42.00
112,42.00
113,42.00
114,42.00
115,43.00
116,44.00
117,44.00
118,46.00
119,46.00
120,46.00
121,47.00
122,47.00
123,47.00
124,47.00
125,47.00
126,49.00
127,49.00
128,50.00
129,50.00
130,50.00
131,50.00
132,50.00
133,52.00
134,52.00
135,54.00
136,54.00
137,57.00
138,58.00
139,58.00
140,58.00
141,58.00
142,58.00
143,58.00
144,58.00
145,60.00
146,62.00
147,62.00
148,62.00
149,64.00
150,65.00
151,65.00
152,65.00
153,65.00
154,67.00
155,66.00
156,65.00
157,66.00
158,67.00
159,68.00
160,69.00
161,69.00
162,69.00
163,68.00
164,68.00
165,68.00
166,69.00
167,69.00
168,68.00
169,68.00
170,68.00
171,68.00
172,68.00
173,67.00
174,69.00
175,67.00
176,68.00
177,68.00
178,67.00
179,67.00
180,67.00
181,68.00
182,67.00
183,69.00
184,71.00
185,71.00
186,71.00
187,72.00
188,72.00
189,72.00
190,72.00
191,72.00
192,72.00
193,72.00
194,72.00
195,73.00
196,73.00
197,74.00
198,74.00
199,74.00
200,74.00
201,74.00
202,74.00
203,73.00
204,73.00
205,73.00
206,73.00
207,73.00
208,73.00
209,73.00
210,73.00
211,72.00
212,72.00
213,72.00
214,73.00
215,74.00
216,74.00
217,74.00
218,74.00
219,74.00
220,74.00
221,80.00
222,80.00
223,79.00
224,79.00
225,81.00
226,83.00
227,83.00
228,82.00
229,81.00
230,76.00
231,76.00
232,77.00
233,77.00
234,77.00
235,74.00
236,73.00
237,67.00
238,68.00
239,68.00
240,67.00
241,67.00
242,68.00
243,68.00
244,68.00
245,68.00
246,68.00
247,68.00
248,68.00
249,69.00
250,70.00
251,70.00
252,66.00
253,65.00
254,65.00
255,64.00
256,64.00
257,64.00
258,63.00
259,63.00
260,64.00
261,64.00
262,64.00
263,64.00
264,63.00
265,62.00
266,62.00
267,62.00
268,60.00
269,60.00
270,60.00
271,61.00
272,61.00
273,64.00
274,64.00
275,64.00
276,65.00
277,64.00
278,66.00
279,66.00
280,66.00
281,66.00
282,63.00
283,66.00
284,66.00
285,64.00
286,63.00
287,62.00
288,62.00
289,63.00
290,65.00
291,64.00
292,62.00
293,61.00
294,62.00
295,61.00
296,63.00
297,61.00
298,58.00
299,58.00
300,58.00
301,58.00
302,58.00
303,56.00
304,56.00
305,56.00
306,56.00
307,55.00
308,54.00
309,54.00
310,54.00
311,54.00
312,57.00
313,58.00
314,59.00
315,59.00
316,59.00
317,58.00
318,58.00
319,58.00
320,58.00
321,56.00
322,55.00
323,55.00
324,54.00
325,58.00
326,58.00
327,57.00
328,56.00
329,57.00
330,58.00
331,62.00
332,62.00
333,62.00
334,61.00
335,61.00
336,61.00
337,61.00
338,61.00
339,61.00
340,62.00
341,61.00
342,62.00
343,63.00
344,63.00
345,63.00
346,63.00
347,63.00
348,63.00
349,65.00
350,66.00
351,66.00
352,67.00
353,67.00
354,67.00
355,67.00
356,67.00
357,67.00
358,68.00
359,68.00
360,70.00
361,68.00
362,70.00
363,71.00
364,71.00
365,71.00
366,73.00
367,71.00
368,65.00
369,66.00
370,67.00
371,67.00
372,65.00
373,64.00
374,64.00
375,64.00
376,64.00
377,64.00
378,62.00
379,62.00
380,62.00
381,62.00
382,63.00
383,63.00
384,63.00
385,63.00
386,63.00
387,63.00
388,65.00
389,65.00
390,65.00
391,65.00
392,67.00
393,67.00
394,67.00
395,65.00
396,68.00
397,67.00
398,67.00
399,67.00
400,67.00
401,66.00
402,65.00
403,65.00
404,65.00
405,65.00
406,65.00
407,64.00
408,64.00
409,66.00
410,67.00
411,67.00
412,67.00
413,67.00
414,67.00
415,68.00
416,67.00
417,67.00
418,66.00
419,66.00
420,64.00
421,64.00
422,64.00
423,63.00
424,63.00
425,63.00
426,63.00
427,64.00
428,68.00
429,68.00
430,67.00
431,67.00
432,66.00
433,65.00
434,65.00
435,64.00
436,63.00
437,61.00
438,61.00
439,62.00
440,62.00
441,61.00
442,60.00
443,59.00
444,59.00
445,59.00
446,59.00
447,59.00
448,60.00
449,60.00
450,60.00
451,60.00
452,60.00
453,60.00
454,60.00
455,60.00
456,60.00
457,60.00
458,60.00
459,63.00
460,61.00
461,60.00
462,59.00
463,59.00
464,63.00
465,63.00
466,63.00
467,63.00
468,65.00
469,65.00
470,65.00
471,65.00
472,65.00
473,60.00
474,60.00
475,60.00
476,60.00
477,60.00
478,54.00
479,54.00
480,54.00
481,56.00
482,57.00
483,57.00
484,56.00
485,57.00
486,58.00
487,58.00
488,60.00
489,60.00
490,58.00
491,57.00
492,57.00
493,57.00
494,57.00
495,57.00
496,57.00
497,56.00
498,55.00
499,56.00
500,57.00
501,57.00
502,57.00
503,57.00
504,56.00
505,55.00
506,55.00
507,53.00
508,52.00
509,52.00
510,54.00
511,53.00
512,52.00
513,50.00
514,50.00
515,50.00
516,49.00
517,47.00
518,47.00
519,47.00
520,47.00
521,47.00
522,47.00
523,49.00
524,49.00
525,49.00
526,51.00
527,51.00
528,51.00
529,50.00
530,50.00
531,50.00
532,50.00
533,50.00
534,50.00
535,48.00
536,48.00
537,47.00
538,46.00
539,46.00
540,46.00
541,47.00
542,47.00
543,47.00
544,43.00
545,43.00
546,42.00
547,42.00
548,42.00
549,41.00
550,41.00
551,40.00
552,40.00
553,40.00
554,40.00
555,40.00
556,38.00
557,37.00
558,37.00
559,37.00
560,37.00
561,37.00
562,37.00
563,37.00
564,37.00
565,37.00
566,37.00
567,38.00
568,38.00
569,38.00
570,38.00
571,37.00
572,38.00
573,36.00
574,36.00
575,34.00
576,34.00
577,36.00
578,36.00
579,36.00
580,37.00
581,37.00
582,37.00
583,37.00
584,37.00
585,36.00
586,35.00
587,35.00
588,35.00
589,35.00
590,34.00
591,34.00
592,34.00
593,34.00
594,34.00
595,34.00
596,34.00
597,34.00
598,34.00
599,34.00
600,34.00
601,35.00
602,33.00
603,32.00
604,32.00
605,31.00
606,31.00
607,31.00
608,31.00
609,31.00
610,30.00
611,26.00
612,26.00
613,28.00
614,28.00
615,27.00
616,27.00
617,27.00
618,27.00
619,29.00
620,29.00
621,29.00
622,29.00
623,29.00
624,29.00
625,29.00
626,28.00
627,28.00
628,28.00
629,24.00
630,24.00
631,23.00
632,23.00
633,23.00
634,21.00
635,20.00
636,20.00
637,20.00
638,20.00
639,20.00
640,20.00
641,20.00
642,20.00
643,20.00
644,20.00
645,18.00
646,18.00
647,18.00
648,18.00
649,18.00
650,17.00
651,17.00
652,17.00
653,17.00
654,17.00
655,17.00
656,17.00
657,17.00
658,17.00
659,17.00
660,24.00
661,24.00
662,25.00
663,25.00
664,25.00
665,24.00
666,26.00
667,26.00
668,25.00
669,25.00
670,26.00
671,29.00
672,29.00
673,28.00
674,31.00
675,33.00
676,33.00
677,33.00
678,33.00
679,33.00
680,33.00
681,33.00
682,32.00
683,35.00
684,35.00
685,35.00
686,35.00
687,34.00
688,34.00
689,34.00
690,35.00
691,35.00
692,35.00
693,35.00
694,36.00
695,37.00
696,37.00
697,38.00
698,38.00
699,38.00
700,38.00
701,38.00
702,38.00
703,38.00
704,38.00
705,39.00
706,40.00
707,40.00
708,40.00
709,41.00
710,41.00
711,41.00
712,41.00
713,41.00
714,40.00
715,43.00
716,43.00
717,43.00
718,42.00
719,42.00
720,42.00
721,42.00
722,42.00
723,42.00
724,41.00
725,41.00
726,42.00
727,41.00
728,41.00
729,41.00
730,41.00
731,44.00
732,44.00
733,45.00
734,46.00
735,46.00
736,46.00
737,46.00
738,48.00
739,48.00
740,48.00
741,49.00
742,49.00
743,49.00
744,50.00
745,50.00
746,51.00
747,52.00
748,51.00
749,51.00
750,51.00
751,51.00
752,52.00
753,52.00
754,52.00
755,52.00
756,52.00
757,52.00
758,52.00
759,52.00
760,53.00
761,53.00
762,53.00
763,54.00
764,54.00
765,54.00
766,52.00
767,51.00
768,52.00
769,52.00
770,52.00
771,52.00
772,52.00
773,52.00
774,52.00
775,52.00
776,52.00
777,52.00
778,52.00
779,52.00
780,52.00
781,52.00
782,52.00
783,52.00
784,52.00
785,52.00
786,52.00
787,52.00
788,53.00
789,55.00
790,55.00
791,57.00
792,60.00
793,60.00
794,59.00
795,59.00
796,59.00
797,59.00
798,59.00
799,59.00
800,60.00
801,60.00
802,60.00
803,60.00
804,60.00
805,60.00
806,60.00
807,61.00
808,57.00
809,59.00
810,59.00
811,58.00
812,58.00
813,58.00
814,56.00
815,56.00
816,56.00
817,55.00
818,50.00
819,50.00
820,51.00
821,49.00
822,51.00
823,51.00
824,51.00
825,51.00
826,51.00
827,51.00
828,54.00
829,54.00
830,54.00
831,54.00
832,51.00
833,55.00
834,55.00
835,55.00
836,58.00
837,59.00
838,59.00
839,59.00
840,61.00
841,62.00
842,61.00
843,62.00
844,62.00
845,61.00
846,62.00
847,61.00
848,61.00
849,61.00
850,61.00
851,61.00
852,62.00
853,61.00
854,60.00
855,60.00
856,61.00
857,61.00
858,62.00
859,62.00
860,63.00
861,62.00
862,62.00
863,62.00
864,61.00
865,61.00
866,61.00
867,62.00
868,63.00
869,63.00
870,63.00
871,63.00
872,63.00
873,62.00
874,61.00
875,62.00
876,63.00
877,63.00
878,66.00
879,63.00
880,63.00
881,62.00
882,64.00
883,64.00
884,64.00
885,63.00
886,62.00
887,62.00
888,62.00
889,62.00
890,66.00
891,66.00
892,67.00
893,68.00
894,66.00
895,66.00
896,66.00
897,66.00
898,66.00
899,65.00
900,64.00
901,64.00
902,64.00
903,64.00
904,65.00
905,65.00
906,65.00
907,63.00
908,61.00
909,60.00
910,60.00
911,60.00
912,60.00
913,60.00
914,60.00
915,61.00
916,60.00
917,60.00
918,60.00
919,60.00
920,61.00
921,62.00
922,62.00
923,62.00
924,63.00
925,66.00
926,66.00
927,66.00
928,66.00
929,66.00
930,68.00
931,68.00
932,68.00
933,68.00
934,68.00
935,67.00
936,65.00
937,65.00
938,63.00
939,61.00
940,61.00
941,61.00
942,60.00
943,59.00
944,59.00
945,59.00
946,59.00
947,60.00
948,60.00
949,60.00
950,60.00
951,60.00
952,60.00
953,60.00
954,60.00
955,60.00
956,57.00
957,59.00
958,58.00
959,59.00
960,59.00
961,59.00
962,60.00
963,60.00
964,60.00
965,63.00
966,62.00
967,60.00
968,58.00
969,58.00
970,58.00
971,61.00
972,64.00
973,63.00
974,61.00
975,61.00
976,61.00
977,61.00
978,61.00
979,62.00
980,59.00
981,56.00
982,56.00
983,55.00
984,55.00
985,55.00
986,57.00
987,57.00
988,57.00
989,57.00
990,58.00
991,58.00
992,59.00
993,59.00
994,59.00
995,59.00
996,60.00
997,61.00
998,61.00
999,59.00
1000,59.00
1001,59.00
1002,59.00
1003,59.00
1004,59.00
1005,58.00
1006,60.00
1007,59.00
1008,61.00
1009,63.00
1010,63.00
1011,63.00
1012,63.00
1013,63.00
1014,63.00
1015,62.00
1016,60.00
1017,59.00
1018,59.00
1019,60.00
1020,60.00
1021,60.00
1022,60.00
1023,60.00
1024,62.00
1025,60.00
1026,65.00
1027,65.00
1028,69.00
1029,65.00
1030,65.00
1031,65.00
1032,65.00
1033,65.00
1034,65.00
1035,65.00
1036,65.00
1037,62.00
1038,62.00
1039,62.00
1040,62.00
1041,62.00
1042,62.00
1043,62.00
1044,62.00
1045,62.00
1046,62.00
1047,62.00
1048,62.00
1049,62.00
1050,62.00
1051,61.00
1052,61.00
1053,61.00
1054,61.00
1055,61.00
1056,61.00
1057,62.00
1058,62.00
1059,62.00
1060,64.00
1061,64.00
1062,64.00
1063,68.00
1064,68.00
1065,69.00
1066,69.00
1067,68.00
1068,66.00
1069,66.00
1070,66.00
1071,66.00
1072,62.00
1073,62.00
1074,62.00
1075,62.00
1076,62.00
1077,65.00
1078,64.00
1079,64.00
1080,64.00
1081,64.00
1082,66.00
1083,66.00
1084,71.00
1085,71.00
1086,70.00
1087,68.00
1088,68.00
1089,68.00
1090,68.00
1091,68.00
1092,68.00
1093,69.00
1094,70.00
1095,70.00
1096,70.00
1097,70.00
1098,70.00
1099,70.00
1100,70.00
1101,68.00
1102,67.00
1103,65.00
1104,64.00
1105,64.00
1106,64.00
1107,64.00
1108,63.00
1109,63.00
1110,62.00
1111,62.00
1112,61.00
1113,61.00
1114,60.00
1115,63.00
1116,63.00
1117,63.00
1118,62.00
1119,61.00
1120,60.00
1121,60.00
1122,61.00
1123,61.00
1124,58.00
1125,58.00
1126,58.00
1127,58.00
1128,58.00
1129,58.00
1130,60.00
1131,59.00
1132,59.00
1133,60.00
