Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,2.00
11,2.00
12,2.00
13,2.00
14,2.00
15,2.00
16,2.00
17,2.00
18,2.00
19,3.00
20,3.00
21,3.00
22,3.00
23,3.00
24,3.00
25,7.00
26,7.00
27,7.00
28,7.00
29,7.00
30,7.00
31,7.00
32,7.00
33,7.00
34,8.00
35,8.00
36,8.00
37,9.00
38,9.00
39,9.00
40,14.00
41,14.00
42,22.00
43,23.00
44,23.00
45,25.00
46,25.00
47,25.00
48,26.00
49,26.00
50,27.00
51,27.00
52,29.00
53,29.00
54,29.00
55,29.00
56,29.00
57,29.00
58,29.00
59,30.00
60,30.00
61,31.00
62,31.00
63,31.00
64,31.00
65,31.00
66,32.00
67,32.00
68,32.00
69,32.00
70,32.00
71,33.00
72,33.00
73,33.00
74,33.00
75,33.00
76,33.00
77,33.00
78,35.00
79,35.00
80,35.00
81,35.00
82,35.00
83,35.00
84,35.00
85,35.00
86,35.00
87,35.00
88,38.00
89,38.00
90,39.00
91,40.00
92,46.00
93,46.00
94,49.00
95,49.00
96,52.00
97,66.00
98,66.00
99,75.00
100,75.00
101,88.00
102,98.00
103,98.00
104,134.00
105,134.00
106,134.00
107,143.00
108,144.00
109,145.00
110,146.00
111,148.00
112,148.00
113,148.00
114,149.00
115,149.00
116,149.00
117,150.00
118,150.00
119,159.00
120,159.00
121,159.00
122,160.00
123,160.00
124,162.00
125,170.00
126,172.00
127,174.00
128,174.00
129,176.00
130,176.00
131,176.00
132,177.00
133,178.00
134,180.00
135,181.00
136,181.00
137,182.00
138,182.00
139,185.00
140,185.00
141,185.00
142,186.00
143,187.00
144,191.00
145,191.00
146,191.00
147,194.00
148,193.00
149,206.00
150,208.00
151,224.00
152,224.00
153,229.00
154,229.00
155,229.00
156,232.00
157,234.00
158,235.00
159,236.00
160,243.00
161,249.00
162,251.00
163,254.00
164,258.00
165,264.00
166,264.00
167,267.00
168,269.00
169,272.00
170,274.00
171,277.00
172,277.00
173,277.00
174,278.00
175,280.00
176,280.00
177,280.00
178,285.00
179,286.00
180,286.00
181,286.00
182,284.00
183,283.00
184,282.00
185,283.00
186,282.00
187,280.00
188,279.00
189,279.00
190,281.00
191,282.00
192,285.00
193,286.00
194,285.00
195,285.00
196,286.00
197,289.00
198,288.00
199,291.00
200,293.00
201,294.00
202,299.00
203,305.00
204,306.00
205,306.00
206,306.00
207,310.00
208,309.00
209,308.00
210,316.00
211,320.00
212,320.00
213,321.00
214,323.00
215,325.00
216,325.00
217,326.00
218,328.00
219,328.00
220,329.00
221,329.00
222,329.00
223,330.00
224,328.00
225,328.00
226,328.00
227,328.00
228,331.00
229,331.00
230,334.00
231,334.00
232,335.00
233,334.00
234,335.00
235,335.00
236,336.00
237,355.00
238,353.00
239,346.00
240,339.00
241,330.00
242,333.00
243,332.00
244,332.00
245,328.00
246,301.00
247,291.00
248,299.00
249,298.00
250,298.00
251,287.00
252,287.00
253,270.00
254,271.00
255,273.00
256,265.00
257,266.00
258,267.00
259,267.00
260,269.00
261,269.00
262,268.00
263,269.00
264,269.00
265,275.00
266,281.00
267,282.00
268,276.00
269,274.00
270,273.00
271,276.00
272,283.00
273,278.00
274,276.00
275,276.00
276,278.00
277,276.00
278,276.00
279,278.00
280,278.00
281,276.00
282,281.00
283,282.00
284,280.00
285,280.00
286,282.00
287,282.00
288,279.00
289,284.00
290,283.00
291,281.00
292,284.00
293,284.00
294,286.00
295,283.00
296,280.00
297,280.00
298,260.00
299,262.00
300,263.00
301,247.00
302,246.00
303,244.00
304,249.00
305,247.00
306,249.00
307,250.00
308,243.00
309,236.00
310,236.00
311,236.00
312,239.00
313,236.00
314,226.00
315,226.00
316,223.00
317,224.00
318,226.00
319,227.00
320,231.00
321,229.00
322,230.00
323,232.00
324,231.00
325,232.00
326,233.00
327,230.00
328,234.00
329,235.00
330,235.00
331,236.00
332,236.00
333,235.00
334,236.00
335,235.00
336,236.00
337,224.00
338,223.00
339,220.00
340,220.00
341,231.00
342,232.00
343,226.00
344,224.00
345,221.00
346,222.00
347,223.00
348,227.00
349,230.00
350,228.00
351,225.00
352,225.00
353,223.00
354,225.00
355,227.00
356,225.00
357,224.00
358,220.00
359,222.00
360,221.00
361,220.00
362,218.00
363,219.00
364,219.00
365,223.00
366,222.00
367,223.00
368,225.00
369,225.00
370,226.00
371,229.00
372,229.00
373,228.00
374,238.00
375,239.00
376,243.00
377,243.00
378,243.00
379,245.00
380,246.00
381,247.00
382,249.00
383,245.00
384,233.00
385,234.00
386,233.00
387,234.00
388,232.00
389,229.00
390,229.00
391,227.00
392,227.00
393,227.00
394,214.00
395,214.00
396,214.00
397,214.00
398,215.00
399,215.00
400,220.00
401,221.00
402,221.00
403,218.00
404,226.00
405,226.00
406,228.00
407,225.00
408,226.00
409,231.00
410,234.00
411,230.00
412,233.00
413,226.00
414,226.00
415,229.00
416,232.00
417,232.00
418,229.00
419,222.00
420,222.00
421,222.00
422,222.00
423,222.00
424,227.00
425,229.00
426,230.00
427,230.00
428,228.00
429,224.00
430,224.00
431,224.00
432,223.00
433,219.00
434,218.00
435,219.00
436,216.00
437,216.00
438,216.00
439,220.00
440,217.00
441,221.00
442,220.00
443,219.00
444,227.00
445,227.00
446,226.00
447,226.00
448,225.00
449,231.00
450,233.00
451,230.00
452,230.00
453,219.00
454,226.00
455,228.00
456,229.00
457,229.00
458,227.00
459,223.00
460,223.00
461,225.00
462,224.00
463,223.00
464,221.00
465,220.00
466,220.00
467,221.00
468,222.00
469,223.00
470,222.00
471,227.00
472,227.00
473,228.00
474,228.00
475,225.00
476,224.00
477,229.00
478,227.00
479,239.00
480,239.00
481,235.00
482,234.00
483,232.00
484,240.00
485,243.00
486,248.00
487,247.00
488,239.00
489,239.00
490,239.00
491,238.00
492,238.00
493,241.00
494,228.00
495,225.00
496,226.00
497,228.00
498,227.00
499,229.00
500,230.00
501,229.00
502,230.00
503,233.00
504,235.00
505,235.00
506,237.00
507,235.00
508,236.00
509,236.00
510,234.00
511,234.00
512,232.00
513,230.00
514,231.00
515,228.00
516,227.00
517,219.00
518,218.00
519,218.00
520,217.00
521,210.00
522,208.00
523,201.00
524,203.00
525,203.00
526,199.00
527,199.00
528,197.00
529,195.00
530,195.00
531,195.00
532,197.00
533,195.00
534,195.00
535,195.00
536,194.00
537,194.00
538,195.00
539,195.00
540,195.00
541,194.00
542,194.00
543,192.00
544,193.00
545,191.00
546,189.00
547,186.00
548,185.00
549,185.00
550,183.00
551,183.00
552,182.00
553,176.00
554,174.00
555,173.00
556,170.00
557,169.00
558,169.00
559,163.00
560,163.00
561,160.00
562,159.00
563,159.00
564,159.00
565,159.00
566,159.00
567,157.00
568,157.00
569,157.00
570,157.00
571,148.00
572,143.00
573,142.00
574,142.00
575,142.00
576,142.00
577,142.00
578,142.00
579,141.00
580,141.00
581,140.00
582,139.00
583,138.00
584,138.00
585,138.00
586,135.00
587,134.00
588,124.00
589,123.00
590,117.00
591,117.00
592,117.00
593,117.00
594,117.00
595,114.00
596,108.00
597,106.00
598,107.00
599,107.00
600,105.00
601,98.00
602,98.00
603,97.00
604,97.00
605,97.00
606,97.00
607,96.00
608,96.00
609,91.00
610,91.00
611,90.00
612,88.00
613,86.00
614,85.00
615,85.00
616,83.00
617,83.00
618,72.00
619,74.00
620,73.00
621,71.00
622,70.00
623,71.00
624,70.00
625,68.00
626,60.00
627,60.00
628,60.00
629,60.00
630,60.00
631,52.00
632,50.00
633,43.00
634,43.00
635,43.00
636,43.00
637,37.00
638,38.00
639,38.00
640,39.00
641,39.00
642,37.00
643,37.00
644,32.00
645,32.00
646,31.00
647,30.00
648,30.00
649,27.00
650,24.00
651,22.00
652,22.00
653,22.00
654,22.00
655,22.00
656,23.00
657,23.00
658,23.00
659,23.00
660,23.00
661,23.00
662,23.00
663,23.00
664,23.00
665,23.00
666,23.00
667,24.00
668,24.00
669,24.00
670,24.00
671,24.00
672,25.00
673,29.00
674,29.00
675,31.00
676,31.00
677,31.00
678,31.00
679,33.00
680,34.00
681,38.00
682,38.00
683,41.00
684,39.00
685,40.00
686,45.00
687,46.00
688,48.00
689,51.00
690,51.00
691,51.00
692,51.00
693,53.00
694,54.00
695,55.00
696,54.00
697,53.00
698,57.00
699,61.00
700,60.00
701,60.00
702,60.00
703,63.00
704,64.00
705,66.00
706,71.00
707,74.00
708,74.00
709,74.00
710,76.00
711,76.00
712,82.00
713,81.00
714,84.00
715,84.00
716,90.00
717,92.00
718,93.00
719,93.00
720,95.00
721,95.00
722,95.00
723,95.00
724,95.00
725,97.00
726,97.00
727,98.00
728,99.00
729,100.00
730,116.00
731,116.00
732,116.00
733,116.00
734,116.00
735,120.00
736,121.00
737,121.00
738,123.00
739,127.00
740,127.00
741,128.00
742,131.00
743,131.00
744,131.00
745,133.00
746,136.00
747,136.00
748,136.00
749,140.00
750,140.00
751,143.00
752,147.00
753,150.00
754,152.00
755,152.00
756,153.00
757,156.00
758,158.00
759,158.00
760,158.00
761,158.00
762,162.00
763,164.00
764,164.00
765,164.00
766,164.00
767,181.00
768,181.00
769,185.00
770,187.00
771,187.00
772,192.00
773,192.00
774,195.00
775,199.00
776,198.00
777,198.00
778,198.00
779,197.00
780,198.00
781,198.00
782,199.00
783,200.00
784,203.00
785,203.00
786,203.00
787,202.00
788,201.00
789,206.00
790,207.00
791,207.00
792,209.00
793,209.00
794,212.00
795,212.00
796,212.00
797,212.00
798,212.00
799,212.00
800,215.00
801,215.00
802,215.00
803,217.00
804,218.00
805,219.00
806,224.00
807,224.00
808,224.00
809,224.00
810,224.00
811,223.00
812,223.00
813,223.00
814,221.00
815,220.00
816,225.00
817,227.00
818,228.00
819,229.00
820,228.00
821,226.00
822,224.00
823,234.00
824,232.00
825,233.00
826,233.00
827,233.00
828,232.00
829,233.00
830,234.00
831,233.00
832,231.00
833,231.00
834,234.00
835,235.00
836,232.00
837,241.00
838,242.00
839,244.00
840,245.00
841,245.00
842,256.00
843,257.00
844,256.00
845,259.00
846,251.00
847,260.00
848,259.00
849,260.00
850,284.00
851,284.00
852,290.00
853,289.00
854,283.00
855,282.00
856,282.00
857,282.00
858,281.00
859,270.00
860,270.00
861,266.00
862,264.00
863,263.00
864,267.00
865,269.00
866,271.00
867,269.00
868,270.00
869,270.00
870,270.00
871,269.00
872,270.00
873,274.00
874,274.00
875,262.00
876,259.00
877,259.00
878,258.00
879,262.00
880,262.00
881,262.00
882,260.00
883,260.00
884,268.00
885,268.00
886,268.00
887,263.00
888,262.00
889,261.00
890,258.00
891,263.00
892,264.00
893,259.00
894,258.00
895,260.00
896,266.00
897,268.00
898,264.00
899,263.00
900,258.00
901,257.00
902,257.00
903,256.00
904,262.00
905,260.00
906,261.00
907,263.00
908,262.00
909,260.00
910,258.00
911,258.00
912,258.00
913,261.00
914,251.00
915,252.00
916,248.00
917,246.00
918,249.00
919,250.00
920,251.00
921,253.00
922,252.00
923,252.00
924,252.00
925,252.00
926,253.00
927,253.00
928,252.00
929,252.00
930,250.00
931,248.00
932,251.00
933,251.00
934,252.00
935,251.00
936,247.00
937,247.00
938,249.00
939,252.00
940,257.00
941,255.00
942,256.00
943,258.00
944,259.00
945,261.00
946,261.00
947,253.00
948,253.00
949,252.00
950,252.00
951,249.00
952,249.00
953,251.00
954,248.00
955,247.00
956,247.00
957,246.00
958,249.00
959,250.00
960,251.00
961,254.00
962,254.00
963,255.00
964,263.00
965,265.00
966,265.00
967,261.00
968,262.00
969,263.00
970,264.00
971,255.00
972,259.00
973,249.00
974,251.00
975,250.00
976,249.00
977,248.00
978,246.00
979,246.00
980,251.00
981,249.00
982,250.00
983,238.00
984,236.00
985,230.00
986,239.00
987,245.00
988,244.00
989,235.00
990,234.00
991,240.00
992,242.00
993,243.00
994,241.00
995,233.00
996,233.00
997,232.00
998,225.00
999,222.00
1000,222.00
1001,221.00
1002,221.00
1003,221.00
1004,220.00
1005,220.00
1006,221.00
1007,223.00
1008,225.00
1009,225.00
1010,224.00
1011,218.00
1012,218.00
1013,218.00
1014,217.00
1015,217.00
1016,214.00
1017,215.00
1018,215.00
1019,215.00
1020,215.00
1021,215.00
1022,216.00
1023,215.00
1024,214.00
1025,215.00
1026,215.00
1027,211.00
1028,210.00
1029,210.00
1030,210.00
1031,212.00
1032,213.00
1033,212.00
1034,210.00
1035,208.00
1036,224.00
1037,225.00
1038,225.00
1039,225.00
1040,227.00
1041,225.00
1042,231.00
1043,232.00
1044,238.00
1045,229.00
1046,227.00
1047,228.00
1048,226.00
1049,225.00
1050,222.00
1051,222.00
1052,222.00
1053,218.00
1054,218.00
1055,221.00
1056,224.00
1057,224.00
1058,223.00
1059,223.00
1060,224.00
1061,228.00
1062,229.00
1063,229.00
1064,225.00
1065,225.00
1066,227.00
1067,228.00
1068,228.00
1069,237.00
1070,232.00
1071,232.00
1072,231.00
1073,231.00
1074,232.00
1075,234.00
1076,236.00
1077,238.00
1078,235.00
1079,243.00
1080,242.00
1081,243.00
1082,241.00
1083,239.00
1084,238.00
1085,235.00
1086,236.00
1087,236.00
1088,229.00
1089,229.00
1090,230.00
1091,233.00
1092,234.00
1093,237.00
1094,239.00
1095,239.00
1096,238.00
1097,239.00
1098,243.00
1099,243.00
1100,261.00
1101,258.00
1102,254.00
1103,254.00
1104,251.00
1105,252.00
1106,251.00
1107,253.00
1108,252.00
1109,244.00
1110,243.00
1111,241.00
1112,236.00
1113,237.00
1114,236.00
1115,235.00
1116,235.00
1117,236.00
1118,235.00
1119,234.00
1120,234.00
1121,228.00
1122,228.00
1123,227.00
1124,222.00
1125,224.00
1126,225.00
1127,221.00
1128,222.00
1129,219.00
1130,217.00
1131,221.00
1132,220.00
1133,219.00
