Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,3.00
17,4.00
18,4.00
19,5.00
20,5.00
21,5.00
22,5.00
23,5.00
24,5.00
25,8.00
26,8.00
27,10.00
28,10.00
29,10.00
30,10.00
31,10.00
32,10.00
33,10.00
34,12.00
35,12.00
36,13.00
37,13.00
38,13.00
39,13.00
40,13.00
41,13.00
42,13.00
43,13.00
44,13.00
45,13.00
46,13.00
47,13.00
48,13.00
49,13.00
50,13.00
51,13.00
52,13.00
53,13.00
54,13.00
55,13.00
56,13.00
57,13.00
58,13.00
59,13.00
60,13.00
61,13.00
62,13.00
63,13.00
64,13.00
65,14.00
66,14.00
67,14.00
68,14.00
69,14.00
70,14.00
71,14.00
72,15.00
73,15.00
74,15.00
75,15.00
76,16.00
77,16.00
78,16.00
79,16.00
80,16.00
81,16.00
82,16.00
83,16.00
84,16.00
85,16.00
86,16.00
87,16.00
88,16.00
89,16.00
90,17.00
91,17.00
92,18.00
93,18.00
94,18.00
95,19.00
96,19.00
97,19.00
98,20.00
99,23.00
100,23.00
101,23.00
102,25.00
103,25.00
104,27.00
105,28.00
106,28.00
107,30.00
108,31.00
109,31.00
110,32.00
111,33.00
112,33.00
113,33.00
114,33.00
115,33.00
116,34.00
117,34.00
118,35.00
119,39.00
120,39.00
121,39.00
122,39.00
123,39.00
124,39.00
125,41.00
126,42.00
127,42.00
128,42.00
129,43.00
130,43.00
131,43.00
132,43.00
133,43.00
134,43.00
135,43.00
136,43.00
137,43.00
138,43.00
139,44.00
140,45.00
141,46.00
142,46.00
143,46.00
144,46.00
145,46.00
146,46.00
147,46.00
148,45.00
149,46.00
150,46.00
151,46.00
152,46.00
153,46.00
154,46.00
155,46.00
156,46.00
157,46.00
158,48.00
159,48.00
160,48.00
161,49.00
162,47.00
163,47.00
164,47.00
165,48.00
166,49.00
167,50.00
168,49.00
169,49.00
170,48.00
171,49.00
172,47.00
173,47.00
174,45.00
175,45.00
176,46.00
177,45.00
178,45.00
179,46.00
180,46.00
181,45.00
182,45.00
183,44.00
184,44.00
185,44.00
186,45.00
187,45.00
188,45.00
189,46.00
190,47.00
191,49.00
192,49.00
193,49.00
194,49.00
195,49.00
196,50.00
197,50.00
198,50.00
199,51.00
200,53.00
201,53.00
202,54.00
203,56.00
204,55.00
205,56.00
206,56.00
207,59.00
208,59.00
209,60.00
210,61.00
211,61.00
212,61.00
213,63.00
214,64.00
215,64.00
216,64.00
217,64.00
218,64.00
219,64.00
220,64.00
221,64.00
222,64.00
223,65.00
224,65.00
225,65.00
226,66.00
227,66.00
228,66.00
229,67.00
230,69.00
231,69.00
232,69.00
233,69.00
234,69.00
235,68.00
236,68.00
237,68.00
238,67.00
239,65.00
240,65.00
241,65.00
242,69.00
243,70.00
244,70.00
245,69.00
246,64.00
247,62.00
248,64.00
249,63.00
250,63.00
251,63.00
252,63.00
253,64.00
254,64.00
255,64.00
256,63.00
257,63.00
258,63.00
259,63.00
260,63.00
261,63.00
262,61.00
263,61.00
264,61.00
265,61.00
266,58.00
267,56.00
268,56.00
269,56.00
270,56.00
271,53.00
272,54.00
273,54.00
274,54.00
275,55.00
276,55.00
277,55.00
278,55.00
279,55.00
280,55.00
281,55.00
282,55.00
283,55.00
284,54.00
285,54.00
286,56.00
287,57.00
288,55.00
289,60.00
290,60.00
291,60.00
292,60.00
293,61.00
294,62.00
295,62.00
296,62.00
297,63.00
298,61.00
299,62.00
300,62.00
301,62.00
302,65.00
303,64.00
304,65.00
305,66.00
306,65.00
307,65.00
308,63.00
309,63.00
310,63.00
311,63.00
312,63.00
313,63.00
314,63.00
315,63.00
316,65.00
317,64.00
318,63.00
319,63.00
320,63.00
321,63.00
322,63.00
323,63.00
324,63.00
325,63.00
326,64.00
327,64.00
328,67.00
329,67.00
330,67.00
331,67.00
332,67.00
333,68.00
334,68.00
335,68.00
336,67.00
337,64.00
338,63.00
339,63.00
340,63.00
341,69.00
342,68.00
343,67.00
344,67.00
345,65.00
346,65.00
347,64.00
348,66.00
349,66.00
350,64.00
351,64.00
352,64.00
353,64.00
354,61.00
355,61.00
356,62.00
357,60.00
358,60.00
359,61.00
360,62.00
361,62.00
362,62.00
363,62.00
364,62.00
365,62.00
366,64.00
367,64.00
368,63.00
369,64.00
370,65.00
371,65.00
372,65.00
373,64.00
374,64.00
375,64.00
376,65.00
377,64.00
378,62.00
379,61.00
380,61.00
381,61.00
382,61.00
383,61.00
384,60.00
385,62.00
386,62.00
387,63.00
388,62.00
389,62.00
390,62.00
391,62.00
392,62.00
393,62.00
394,59.00
395,59.00
396,60.00
397,60.00
398,60.00
399,60.00
400,61.00
401,61.00
402,61.00
403,61.00
404,62.00
405,62.00
406,62.00
407,62.00
408,62.00
409,62.00
410,63.00
411,63.00
412,64.00
413,64.00
414,65.00
415,65.00
416,66.00
417,67.00
418,67.00
419,65.00
420,65.00
421,65.00
422,64.00
423,64.00
424,65.00
425,67.00
426,70.00
427,70.00
428,70.00
429,68.00
430,68.00
431,67.00
432,65.00
433,64.00
434,65.00
435,65.00
436,62.00
437,62.00
438,62.00
439,67.00
440,65.00
441,65.00
442,66.00
443,66.00
444,68.00
445,67.00
446,66.00
447,66.00
448,64.00
449,64.00
450,63.00
451,63.00
452,62.00
453,59.00
454,63.00
455,63.00
456,63.00
457,63.00
458,64.00
459,64.00
460,64.00
461,65.00
462,65.00
463,63.00
464,63.00
465,63.00
466,64.00
467,65.00
468,65.00
469,65.00
470,65.00
471,65.00
472,65.00
473,64.00
474,65.00
475,61.00
476,60.00
477,60.00
478,59.00
479,62.00
480,62.00
481,64.00
482,64.00
483,63.00
484,64.00
485,65.00
486,66.00
487,66.00
488,61.00
489,61.00
490,61.00
491,60.00
492,63.00
493,64.00
494,63.00
495,63.00
496,63.00
497,65.00
498,67.00
499,67.00
500,67.00
501,68.00
502,66.00
503,66.00
504,66.00
505,66.00
506,68.00
507,68.00
508,69.00
509,69.00
510,69.00
511,69.00
512,67.00
513,65.00
514,65.00
515,66.00
516,67.00
517,66.00
518,66.00
519,66.00
520,67.00
521,67.00
522,67.00
523,66.00
524,65.00
525,64.00
526,63.00
527,63.00
528,62.00
529,62.00
530,62.00
531,62.00
532,62.00
533,61.00
534,61.00
535,62.00
536,61.00
537,61.00
538,63.00
539,63.00
540,63.00
541,65.00
542,65.00
543,65.00
544,66.00
545,66.00
546,65.00
547,65.00
548,65.00
549,65.00
550,66.00
551,66.00
552,66.00
553,66.00
554,68.00
555,68.00
556,68.00
557,66.00
558,67.00
559,66.00
560,66.00
561,65.00
562,64.00
563,64.00
564,64.00
565,64.00
566,64.00
567,64.00
568,63.00
569,63.00
570,63.00
571,60.00
572,57.00
573,57.00
574,57.00
575,57.00
576,57.00
577,57.00
578,56.00
579,56.00
580,56.00
581,56.00
582,56.00
583,56.00
584,57.00
585,57.00
586,54.00
587,54.00
588,53.00
589,53.00
590,51.00
591,51.00
592,54.00
593,54.00
594,54.00
595,54.00
596,53.00
597,53.00
598,53.00
599,54.00
600,52.00
601,52.00
602,52.00
603,51.00
604,51.00
605,51.00
606,51.00
607,49.00
608,49.00
609,47.00
610,48.00
611,49.00
612,49.00
613,49.00
614,49.00
615,49.00
616,49.00
617,49.00
618,46.00
619,47.00
620,46.00
621,46.00
622,46.00
623,46.00
624,45.00
625,46.00
626,45.00
627,45.00
628,47.00
629,47.00
630,47.00
631,46.00
632,45.00
633,45.00
634,45.00
635,46.00
636,46.00
637,47.00
638,48.00
639,46.00
640,48.00
641,47.00
642,47.00
643,47.00
644,45.00
645,46.00
646,43.00
647,43.00
648,43.00
649,43.00
650,43.00
651,43.00
652,41.00
653,40.00
654,39.00
655,39.00
656,39.00
657,39.00
658,39.00
659,39.00
660,38.00
661,38.00
662,38.00
663,38.00
664,38.00
665,38.00
666,39.00
667,39.00
668,43.00
669,43.00
670,43.00
671,43.00
672,44.00
673,45.00
674,46.00
675,47.00
676,47.00
677,47.00
678,50.00
679,49.00
680,49.00
681,49.00
682,49.00
683,50.00
684,49.00
685,50.00
686,51.00
687,51.00
688,51.00
689,53.00
690,55.00
691,54.00
692,54.00
693,54.00
694,54.00
695,52.00
696,52.00
697,50.00
698,53.00
699,53.00
700,54.00
701,54.00
702,54.00
703,54.00
704,55.00
705,56.00
706,56.00
707,56.00
708,57.00
709,57.00
710,57.00
711,58.00
712,59.00
713,59.00
714,59.00
715,59.00
716,60.00
717,60.00
718,60.00
719,60.00
720,63.00
721,64.00
722,65.00
723,65.00
724,65.00
725,65.00
726,65.00
727,66.00
728,66.00
729,66.00
730,69.00
731,69.00
732,69.00
733,69.00
734,69.00
735,72.00
736,73.00
737,73.00
738,73.00
739,66.00
740,66.00
741,67.00
742,67.00
743,67.00
744,67.00
745,67.00
746,68.00
747,67.00
748,68.00
749,67.00
750,67.00
751,67.00
752,69.00
753,71.00
754,72.00
755,73.00
756,73.00
757,76.00
758,74.00
759,75.00
760,75.00
761,75.00
762,75.00
763,76.00
764,76.00
765,76.00
766,76.00
767,79.00
768,79.00
769,80.00
770,80.00
771,80.00
772,81.00
773,80.00
774,80.00
775,79.00
776,77.00
777,78.00
778,76.00
779,76.00
780,77.00
781,76.00
782,76.00
783,76.00
784,76.00
785,76.00
786,76.00
787,75.00
788,75.00
789,77.00
790,77.00
791,77.00
792,77.00
793,77.00
794,78.00
795,78.00
796,78.00
797,78.00
798,79.00
799,79.00
800,81.00
801,81.00
802,81.00
803,81.00
804,82.00
805,82.00
806,88.00
807,88.00
808,87.00
809,87.00
810,87.00
811,87.00
812,85.00
813,86.00
814,84.00
815,83.00
816,81.00
817,81.00
818,81.00
819,81.00
820,81.00
821,81.00
822,81.00
823,82.00
824,82.00
825,82.00
826,81.00
827,81.00
828,81.00
829,82.00
830,81.00
831,80.00
832,76.00
833,76.00
834,76.00
835,77.00
836,77.00
837,79.00
838,80.00
839,80.00
840,80.00
841,79.00
842,79.00
843,79.00
844,80.00
845,82.00
846,79.00
847,81.00
848,81.00
849,82.00
850,83.00
851,81.00
852,80.00
853,81.00
854,82.00
855,83.00
856,84.00
857,84.00
858,82.00
859,80.00
860,79.00
861,79.00
862,79.00
863,79.00
864,78.00
865,79.00
866,80.00
867,80.00
868,81.00
869,81.00
870,81.00
871,81.00
872,81.00
873,81.00
874,82.00
875,79.00
876,79.00
877,79.00
878,76.00
879,76.00
880,78.00
881,78.00
882,77.00
883,76.00
884,77.00
885,77.00
886,77.00
887,78.00
888,77.00
889,77.00
890,77.00
891,79.00
892,79.00
893,77.00
894,77.00
895,78.00
896,79.00
897,79.00
898,78.00
899,75.00
900,74.00
901,74.00
902,73.00
903,73.00
904,71.00
905,71.00
906,71.00
907,73.00
908,72.00
909,72.00
910,72.00
911,72.00
912,74.00
913,74.00
914,72.00
915,71.00
916,67.00
917,67.00
918,67.00
919,67.00
920,67.00
921,66.00
922,65.00
923,64.00
924,65.00
925,65.00
926,66.00
927,66.00
928,66.00
929,66.00
930,67.00
931,68.00
932,67.00
933,67.00
934,67.00
935,67.00
936,66.00
937,67.00
938,67.00
939,67.00
940,65.00
941,64.00
942,64.00
943,64.00
944,65.00
945,65.00
946,63.00
947,64.00
948,64.00
949,64.00
950,64.00
951,63.00
952,63.00
953,61.00
954,61.00
955,61.00
956,61.00
957,63.00
958,63.00
959,63.00
960,63.00
961,63.00
962,63.00
963,64.00
964,64.00
965,64.00
966,65.00
967,66.00
968,67.00
969,67.00
970,62.00
971,64.00
972,59.00
973,61.00
974,61.00
975,61.00
976,60.00
977,61.00
978,63.00
979,64.00
980,62.00
981,61.00
982,58.00
983,59.00
984,61.00
985,63.00
986,65.00
987,64.00
988,63.00
989,62.00
990,68.00
991,69.00
992,68.00
993,68.00
994,67.00
995,68.00
996,67.00
997,68.00
998,68.00
999,68.00
1000,69.00
1001,70.00
1002,70.00
1003,71.00
1004,71.00
1005,71.00
1006,72.00
1007,72.00
1008,71.00
1009,71.00
1010,70.00
1011,69.00
1012,71.00
1013,71.00
1014,70.00
1015,70.00
1016,72.00
1017,72.00
1018,72.00
1019,73.00
1020,73.00
1021,71.00
1022,72.00
1023,72.00
1024,72.00
1025,72.00
1026,69.00
1027,69.00
1028,69.00
1029,69.00
1030,70.00
1031,70.00
1032,70.00
1033,70.00
1034,78.00
1035,78.00
1036,78.00
1037,78.00
1038,78.00
1039,77.00
1040,83.00
1041,83.00
1042,85.00
1043,80.00
1044,81.00
1045,81.00
1046,81.00
1047,80.00
1048,80.00
1049,81.00
1050,81.00
1051,83.00
1052,83.00
1053,83.00
1054,83.00
1055,82.00
1056,84.00
1057,84.00
1058,84.00
1059,85.00
1060,84.00
1061,83.00
1062,82.00
1063,82.00
1064,82.00
1065,82.00
1066,83.00
1067,84.00
1068,86.00
1069,86.00
1070,86.00
1071,87.00
1072,87.00
1073,87.00
1074,87.00
1075,89.00
1076,89.00
1077,89.00
1078,94.00
1079,93.00
1080,92.00
1081,92.00
1082,93.00
1083,93.00
1084,93.00
1085,94.00
1086,95.00
1087,92.00
1088,92.00
1089,92.00
1090,92.00
1091,92.00
1092,92.00
1093,92.00
1094,92.00
1095,91.00
1096,92.00
1097,93.00
1098,94.00
1099,99.00
1100,99.00
1101,96.00
1102,96.00
1103,96.00
1104,96.00
1105,96.00
1106,96.00
1107,96.00
1108,94.00
1109,94.00
1110,94.00
1111,94.00
1112,94.00
1113,93.00
1114,92.00
1115,92.00
1116,93.00
1117,91.00
1118,91.00
1119,90.00
1120,89.00
1121,88.00
1122,86.00
1123,86.00
1124,86.00
1125,85.00
1126,86.00
1127,85.00
1128,84.00
1129,83.00
1130,85.00
1131,84.00
1132,84.00
1133,80.00
