Position,Coverage
1,1.00
2,2.00
3,2.00
4,2.00
5,2.00
6,2.00
7,3.00
8,4.00
9,4.00
10,4.00
11,5.00
12,5.00
13,5.00
14,6.00
15,6.00
16,6.00
17,6.00
18,6.00
19,6.00
20,6.00
21,6.00
22,6.00
23,9.00
24,10.00
25,10.00
26,10.00
27,10.00
28,10.00
29,10.00
30,10.00
31,10.00
32,12.00
33,12.00
34,12.00
35,12.00
36,12.00
37,12.00
38,12.00
39,12.00
40,14.00
41,14.00
42,17.00
43,18.00
44,18.00
45,19.00
46,19.00
47,19.00
48,19.00
49,19.00
50,19.00
51,22.00
52,23.00
53,23.00
54,23.00
55,23.00
56,23.00
57,23.00
58,23.00
59,28.00
60,29.00
61,29.00
62,31.00
63,33.00
64,34.00
65,34.00
66,34.00
67,34.00
68,34.00
69,34.00
70,35.00
71,35.00
72,35.00
73,36.00
74,37.00
75,37.00
76,38.00
77,39.00
78,39.00
79,39.00
80,42.00
81,42.00
82,42.00
83,42.00
84,42.00
85,43.00
86,43.00
87,43.00
88,46.00
89,47.00
90,48.00
91,50.00
92,50.00
93,50.00
94,50.00
95,51.00
96,51.00
97,56.00
98,56.00
99,56.00
100,58.00
101,61.00
102,65.00
103,65.00
104,65.00
105,66.00
106,67.00
107,69.00
108,69.00
109,69.00
110,69.00
111,69.00
112,69.00
113,69.00
114,69.00
115,69.00
116,72.00
117,73.00
118,74.00
119,74.00
120,74.00
121,74.00
122,74.00
123,78.00
124,78.00
125,80.00
126,80.00
127,84.00
128,84.00
129,84.00
130,84.00
131,84.00
132,84.00
133,84.00
134,84.00
135,84.00
136,84.00
137,85.00
138,85.00
139,85.00
140,85.00
141,85.00
142,86.00
143,85.00
144,85.00
145,84.00
146,84.00
147,84.00
148,85.00
149,95.00
150,95.00
151,95.00
152,94.00
153,95.00
154,95.00
155,96.00
156,98.00
157,98.00
158,97.00
159,97.00
160,100.00
161,100.00
162,100.00
163,100.00
164,100.00
165,101.00
166,100.00
167,99.00
168,99.00
169,99.00
170,98.00
171,98.00
172,98.00
173,98.00
174,98.00
175,98.00
176,99.00
177,99.00
178,101.00
179,100.00
180,99.00
181,100.00
182,101.00
183,101.00
184,101.00
185,103.00
186,104.00
187,105.00
188,105.00
189,106.00
190,105.00
191,104.00
192,103.00
193,103.00
194,103.00
195,103.00
196,103.00
197,106.00
198,106.00
199,106.00
200,109.00
201,112.00
202,112.00
203,112.00
204,111.00
205,112.00
206,104.00
207,103.00
208,103.00
209,102.00
210,103.00
211,105.00
212,105.00
213,105.00
214,105.00
215,104.00
216,104.00
217,103.00
218,103.00
219,103.00
220,103.00
221,102.00
222,99.00
223,99.00
224,99.00
225,99.00
226,99.00
227,96.00
228,98.00
229,100.00
230,100.00
231,99.00
232,99.00
233,99.00
234,99.00
235,100.00
236,100.00
237,99.00
238,98.00
239,98.00
240,98.00
241,99.00
242,99.00
243,98.00
244,90.00
245,89.00
246,90.00
247,89.00
248,89.00
249,87.00
250,87.00
251,83.00
252,83.00
253,83.00
254,81.00
255,81.00
256,81.00
257,81.00
258,83.00
259,83.00
260,83.00
261,83.00
262,83.00
263,84.00
264,85.00
265,84.00
266,84.00
267,83.00
268,84.00
269,83.00
270,83.00
271,82.00
272,80.00
273,80.00
274,80.00
275,80.00
276,79.00
277,81.00
278,81.00
279,81.00
280,82.00
281,82.00
282,83.00
283,83.00
284,83.00
285,86.00
286,87.00
287,92.00
288,92.00
289,92.00
290,96.00
291,96.00
292,96.00
293,96.00
294,96.00
295,94.00
296,87.00
297,91.00
298,91.00
299,87.00
300,88.00
301,89.00
302,90.00
303,89.00
304,91.00
305,91.00
306,90.00
307,88.00
308,89.00
309,88.00
310,88.00
311,88.00
312,87.00
313,88.00
314,91.00
315,91.00
316,90.00
317,90.00
318,90.00
319,91.00
320,91.00
321,91.00
322,90.00
323,90.00
324,91.00
325,87.00
326,88.00
327,89.00
328,89.00
329,89.00
330,89.00
331,89.00
332,89.00
333,86.00
334,86.00
335,84.00
336,83.00
337,83.00
338,83.00
339,85.00
340,85.00
341,85.00
342,84.00
343,80.00
344,80.00
345,83.00
346,83.00
347,82.00
348,80.00
349,81.00
350,81.00
351,81.00
352,81.00
353,83.00
354,83.00
355,81.00
356,80.00
357,81.00
358,82.00
359,82.00
360,83.00
361,83.00
362,83.00
363,85.00
364,86.00
365,86.00
366,86.00
367,86.00
368,88.00
369,88.00
370,89.00
371,88.00
372,87.00
373,87.00
374,89.00
375,87.00
376,88.00
377,88.00
378,88.00
379,88.00
380,89.00
381,88.00
382,87.00
383,87.00
384,87.00
385,87.00
386,86.00
387,86.00
388,86.00
389,86.00
390,86.00
391,86.00
392,85.00
393,85.00
394,84.00
395,84.00
396,84.00
397,84.00
398,86.00
399,86.00
400,87.00
401,87.00
402,88.00
403,89.00
404,90.00
405,88.00
406,86.00
407,88.00
408,89.00
409,85.00
410,86.00
411,85.00
412,85.00
413,88.00
414,88.00
415,88.00
416,88.00
417,86.00
418,90.00
419,90.00
420,90.00
421,89.00
422,90.00
423,92.00
424,90.00
425,90.00
426,90.00
427,89.00
428,90.00
429,89.00
430,89.00
431,88.00
432,86.00
433,84.00
434,79.00
435,79.00
436,79.00
437,83.00
438,82.00
439,81.00
440,80.00
441,81.00
442,84.00
443,84.00
444,81.00
445,81.00
446,80.00
447,81.00
448,81.00
449,81.00
450,81.00
451,79.00
452,82.00
453,83.00
454,83.00
455,82.00
456,80.00
457,80.00
458,81.00
459,81.00
460,81.00
461,78.00
462,78.00
463,78.00
464,77.00
465,79.00
466,79.00
467,79.00
468,79.00
469,79.00
470,80.00
471,81.00
472,81.00
473,79.00
474,78.00
475,79.00
476,79.00
477,84.00
478,84.00
479,85.00
480,85.00
481,84.00
482,86.00
483,87.00
484,90.00
485,90.00
486,88.00
487,87.00
488,88.00
489,90.00
490,91.00
491,90.00
492,92.00
493,96.00
494,96.00
495,96.00
496,95.00
497,94.00
498,94.00
499,95.00
500,95.00
501,99.00
502,99.00
503,99.00
504,101.00
505,101.00
506,102.00
507,101.00
508,101.00
509,101.00
510,100.00
511,98.00
512,98.00
513,100.00
514,100.00
515,98.00
516,98.00
517,98.00
518,98.00
519,97.00
520,96.00
521,95.00
522,95.00
523,97.00
524,97.00
525,98.00
526,97.00
527,96.00
528,96.00
529,96.00
530,97.00
531,96.00
532,96.00
533,96.00
534,96.00
535,96.00
536,97.00
537,97.00
538,97.00
539,96.00
540,96.00
541,96.00
542,97.00
543,97.00
544,97.00
545,97.00
546,97.00
547,96.00
548,98.00
549,99.00
550,101.00
551,100.00
552,100.00
553,101.00
554,99.00
555,98.00
556,98.00
557,96.00
558,96.00
559,94.00
560,96.00
561,97.00
562,97.00
563,96.00
564,95.00
565,91.00
566,91.00
567,91.00
568,91.00
569,89.00
570,88.00
571,88.00
572,88.00
573,88.00
574,88.00
575,88.00
576,88.00
577,89.00
578,90.00
579,89.00
580,89.00
581,87.00
582,87.00
583,86.00
584,79.00
585,80.00
586,79.00
587,78.00
588,75.00
589,75.00
590,75.00
591,75.00
592,75.00
593,75.00
