Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,2.00
10,2.00
11,2.00
12,2.00
13,2.00
14,2.00
15,2.00
16,2.00
17,2.00
18,2.00
19,2.00
20,2.00
21,2.00
22,2.00
23,2.00
24,2.00
25,2.00
26,2.00
27,2.00
28,3.00
29,3.00
30,4.00
31,4.00
32,4.00
33,4.00
34,4.00
35,4.00
36,4.00
37,4.00
38,4.00
39,4.00
40,4.00
41,4.00
42,4.00
43,6.00
44,6.00
45,7.00
46,7.00
47,7.00
48,8.00
49,8.00
50,8.00
51,8.00
52,8.00
53,8.00
54,8.00
55,8.00
56,8.00
57,8.00
58,8.00
59,8.00
60,8.00
61,9.00
62,9.00
63,9.00
64,9.00
65,9.00
66,9.00
67,9.00
68,9.00
69,10.00
70,10.00
71,10.00
72,10.00
73,10.00
74,10.00
75,11.00
76,11.00
77,11.00
78,11.00
79,11.00
80,11.00
81,11.00
82,11.00
83,11.00
84,11.00
85,11.00
86,11.00
87,11.00
88,11.00
89,11.00
90,12.00
91,12.00
92,12.00
93,12.00
94,13.00
95,13.00
96,13.00
97,14.00
98,14.00
99,15.00
100,17.00
101,18.00
102,19.00
103,19.00
104,21.00
105,23.00
106,23.00
107,31.00
108,32.00
109,32.00
110,34.00
111,35.00
112,35.00
113,38.00
114,38.00
115,38.00
116,39.00
117,39.00
118,39.00
119,39.00
120,39.00
121,39.00
122,43.00
123,43.00
124,43.00
125,43.00
126,43.00
127,43.00
128,45.00
129,46.00
130,47.00
131,47.00
132,48.00
133,48.00
134,48.00
135,48.00
136,48.00
137,48.00
138,48.00
139,48.00
140,48.00
141,48.00
142,48.00
143,49.00
144,49.00
145,49.00
146,49.00
147,49.00
148,48.00
149,48.00
150,48.00
151,48.00
152,48.00
153,48.00
154,49.00
155,49.00
156,48.00
157,49.00
158,49.00
159,50.00
160,51.00
161,52.00
162,52.00
163,53.00
164,54.00
165,54.00
166,54.00
167,54.00
168,56.00
169,57.00
170,57.00
171,57.00
172,57.00
173,57.00
174,57.00
175,56.00
176,56.00
177,55.00
178,55.00
179,55.00
180,55.00
181,56.00
182,56.00
183,56.00
184,57.00
185,57.00
186,56.00
187,56.00
188,56.00
189,56.00
190,55.00
191,55.00
192,60.00
193,61.00
194,64.00
195,64.00
196,64.00
197,64.00
198,64.00
199,66.00
200,66.00
201,66.00
202,66.00
203,66.00
204,66.00
205,69.00
206,70.00
207,70.00
208,70.00
209,71.00
210,71.00
211,71.00
212,71.00
213,71.00
214,71.00
215,71.00
216,70.00
217,71.00
218,71.00
219,72.00
220,72.00
221,72.00
222,71.00
223,71.00
224,73.00
225,73.00
226,73.00
227,73.00
228,73.00
229,73.00
230,73.00
231,75.00
232,75.00
233,76.00
234,76.00
235,76.00
236,76.00
237,76.00
238,76.00
239,76.00
240,85.00
241,85.00
242,85.00
243,84.00
244,85.00
245,87.00
246,85.00
247,85.00
248,83.00
249,80.00
250,81.00
251,81.00
252,81.00
253,81.00
254,79.00
255,79.00
256,72.00
257,73.00
258,73.00
259,71.00
260,70.00
261,70.00
262,68.00
263,68.00
264,69.00
265,68.00
266,68.00
267,67.00
268,68.00
269,67.00
270,67.00
271,65.00
272,65.00
273,66.00
274,65.00
275,65.00
276,65.00
277,64.00
278,64.00
279,64.00
280,64.00
281,64.00
282,64.00
283,64.00
284,64.00
285,64.00
286,64.00
287,64.00
288,64.00
289,66.00
290,67.00
291,67.00
292,68.00
293,69.00
294,69.00
295,70.00
296,70.00
297,71.00
298,72.00
299,72.00
300,72.00
301,72.00
302,74.00
303,74.00
304,75.00
305,76.00
306,76.00
307,78.00
308,78.00
309,77.00
310,78.00
311,78.00
312,78.00
313,78.00
314,79.00
315,82.00
316,82.00
317,80.00
318,80.00
319,81.00
320,81.00
321,80.00
322,80.00
323,80.00
324,82.00
325,82.00
326,82.00
327,82.00
328,82.00
329,83.00
330,82.00
331,86.00
332,86.00
333,85.00
334,87.00
335,87.00
336,87.00
337,87.00
338,87.00
339,87.00
340,77.00
341,77.00
342,76.00
343,76.00
344,78.00
345,79.00
346,77.00
347,77.00
348,75.00
349,75.00
350,76.00
351,76.00
352,75.00
353,76.00
354,76.00
355,76.00
356,75.00
357,75.00
358,75.00
359,75.00
360,75.00
361,75.00
362,75.00
363,75.00
364,75.00
365,74.00
366,73.00
367,73.00
368,73.00
369,74.00
370,74.00
371,72.00
372,72.00
373,74.00
374,74.00
375,74.00
376,74.00
377,75.00
378,74.00
379,75.00
380,74.00
381,73.00
382,73.00
383,74.00
384,74.00
385,74.00
386,72.00
387,66.00
388,67.00
389,67.00
390,66.00
391,66.00
392,64.00
393,64.00
394,64.00
395,64.00
396,64.00
397,63.00
398,63.00
399,63.00
400,63.00
401,63.00
402,64.00
403,65.00
404,65.00
405,65.00
406,65.00
407,66.00
408,68.00
409,68.00
410,68.00
411,67.00
412,68.00
413,69.00
414,66.00
415,67.00
416,66.00
417,66.00
418,67.00
419,67.00
420,68.00
421,68.00
422,67.00
423,67.00
424,67.00
425,68.00
426,68.00
427,72.00
428,74.00
429,74.00
430,74.00
431,74.00
432,74.00
433,74.00
434,73.00
435,73.00
436,69.00
437,68.00
438,68.00
439,67.00
440,67.00
441,66.00
442,68.00
443,68.00
444,67.00
445,66.00
446,67.00
447,73.00
448,73.00
449,72.00
450,71.00
451,66.00
452,66.00
453,65.00
454,64.00
455,64.00
456,63.00
457,67.00
458,67.00
459,69.00
460,69.00
461,68.00
462,66.00
463,66.00
464,66.00
465,67.00
466,66.00
467,64.00
468,64.00
469,64.00
470,64.00
471,64.00
472,64.00
473,64.00
474,63.00
475,65.00
476,65.00
477,64.00
478,65.00
479,62.00
480,64.00
481,65.00
482,64.00
483,65.00
484,64.00
485,63.00
486,63.00
487,61.00
488,62.00
489,63.00
490,64.00
491,64.00
492,65.00
493,65.00
494,65.00
495,65.00
496,66.00
497,65.00
498,65.00
499,63.00
500,63.00
501,63.00
502,63.00
503,63.00
504,63.00
505,62.00
506,62.00
507,63.00
508,63.00
509,63.00
510,63.00
511,62.00
512,61.00
513,61.00
514,61.00
515,61.00
516,61.00
517,59.00
518,59.00
519,59.00
520,59.00
521,57.00
522,57.00
523,57.00
524,59.00
525,58.00
526,58.00
527,55.00
528,55.00
529,55.00
530,54.00
531,54.00
532,54.00
533,53.00
534,53.00
535,53.00
536,54.00
537,53.00
538,53.00
539,53.00
540,53.00
541,53.00
542,54.00
543,54.00
544,55.00
545,56.00
546,56.00
547,56.00
548,56.00
549,56.00
550,55.00
551,54.00
552,53.00
553,52.00
554,51.00
555,51.00
556,52.00
557,52.00
558,52.00
559,52.00
560,52.00
561,51.00
562,53.00
563,51.00
564,51.00
565,50.00
566,50.00
567,50.00
568,49.00
569,48.00
570,48.00
571,47.00
572,47.00
573,46.00
574,46.00
575,43.00
576,43.00
577,43.00
578,43.00
579,43.00
580,43.00
581,43.00
582,43.00
583,42.00
584,42.00
585,42.00
586,41.00
587,41.00
588,40.00
589,39.00
590,38.00
591,38.00
592,38.00
593,38.00
594,33.00
595,33.00
596,33.00
597,33.00
598,33.00
599,33.00
600,32.00
601,32.00
602,32.00
603,32.00
604,28.00
605,27.00
606,27.00
607,24.00
608,24.00
609,24.00
610,24.00
611,22.00
612,22.00
613,22.00
614,22.00
615,22.00
616,22.00
617,21.00
618,20.00
619,20.00
620,20.00
621,20.00
622,18.00
623,18.00
624,17.00
625,18.00
626,17.00
627,17.00
628,17.00
629,17.00
630,16.00
631,16.00
632,16.00
633,16.00
634,16.00
635,15.00
636,16.00
637,16.00
638,16.00
639,16.00
640,16.00
641,16.00
642,16.00
643,15.00
644,15.00
645,15.00
646,15.00
647,15.00
648,15.00
649,15.00
650,15.00
651,15.00
652,15.00
653,15.00
654,14.00
655,15.00
656,15.00
657,16.00
658,15.00
659,15.00
660,15.00
661,15.00
662,15.00
663,15.00
664,15.00
665,15.00
666,16.00
667,16.00
668,16.00
669,16.00
670,16.00
671,15.00
672,16.00
673,16.00
674,16.00
675,16.00
676,16.00
677,16.00
678,16.00
679,18.00
680,18.00
681,16.00
682,16.00
683,17.00
684,16.00
685,16.00
686,16.00
687,15.00
688,15.00
689,15.00
690,15.00
691,15.00
692,14.00
693,15.00
694,16.00
695,16.00
696,16.00
697,15.00
698,16.00
699,15.00
700,15.00
701,15.00
702,15.00
703,15.00
704,15.00
705,15.00
706,15.00
707,15.00
708,16.00
709,15.00
710,15.00
711,16.00
712,17.00
713,18.00
714,18.00
715,18.00
716,19.00
717,19.00
718,19.00
719,19.00
720,19.00
721,19.00
722,19.00
723,19.00
724,20.00
725,20.00
726,20.00
727,20.00
728,20.00
729,20.00
730,20.00
731,20.00
732,20.00
733,20.00
734,23.00
735,23.00
736,23.00
737,23.00
738,23.00
739,23.00
740,23.00
741,24.00
742,24.00
743,24.00
744,24.00
745,25.00
746,25.00
747,25.00
748,25.00
749,26.00
750,26.00
751,26.00
752,26.00
753,29.00
754,29.00
755,29.00
756,31.00
757,32.00
758,32.00
759,33.00
760,34.00
761,34.00
762,33.00
763,33.00
764,33.00
765,33.00
766,34.00
767,35.00
768,35.00
769,35.00
770,35.00
771,43.00
772,43.00
773,44.00
774,46.00
775,46.00
776,46.00
777,46.00
778,46.00
779,47.00
780,47.00
781,47.00
782,47.00
783,47.00
784,47.00
785,47.00
786,48.00
787,48.00
788,48.00
789,48.00
790,48.00
791,48.00
792,46.00
793,46.00
794,46.00
795,46.00
796,46.00
797,46.00
798,46.00
799,46.00
800,46.00
801,46.00
802,46.00
803,45.00
804,48.00
805,48.00
806,48.00
807,50.00
808,50.00
809,51.00
810,54.00
811,54.00
812,54.00
813,54.00
814,54.00
815,54.00
816,54.00
817,54.00
818,55.00
819,55.00
820,56.00
821,56.00
822,56.00
823,56.00
824,57.00
825,57.00
826,57.00
827,59.00
828,58.00
829,59.00
830,59.00
831,59.00
832,60.00
833,60.00
834,61.00
835,61.00
836,60.00
837,60.00
838,60.00
839,59.00
840,59.00
841,63.00
842,63.00
843,62.00
844,63.00
845,63.00
846,65.00
847,67.00
848,67.00
849,67.00
850,69.00
851,72.00
852,75.00
853,75.00
854,76.00
855,76.00
856,78.00
857,78.00
858,80.00
859,80.00
860,79.00
861,79.00
862,79.00
863,78.00
864,78.00
865,78.00
866,80.00
867,80.00
868,81.00
869,81.00
870,82.00
871,82.00
872,81.00
873,81.00
874,81.00
875,81.00
876,83.00
877,83.00
878,83.00
879,81.00
880,81.00
881,81.00
882,80.00
883,80.00
884,80.00
885,80.00
886,80.00
887,79.00
888,79.00
889,79.00
890,79.00
891,79.00
892,77.00
893,78.00
894,79.00
895,83.00
896,84.00
897,84.00
898,84.00
899,84.00
900,82.00
901,82.00
902,80.00
903,79.00
904,80.00
905,80.00
906,80.00
907,80.00
908,80.00
909,80.00
910,80.00
911,81.00
912,80.00
913,80.00
914,80.00
915,80.00
916,80.00
917,82.00
918,75.00
919,76.00
920,75.00
921,73.00
922,72.00
923,72.00
924,72.00
925,73.00
926,73.00
927,72.00
928,73.00
929,73.00
930,73.00
931,73.00
932,75.00
933,75.00
934,75.00
935,76.00
936,76.00
937,76.00
938,76.00
939,77.00
940,77.00
941,78.00
942,80.00
943,81.00
944,81.00
945,81.00
946,80.00
947,80.00
948,83.00
949,82.00
950,80.00
951,80.00
952,80.00
953,80.00
954,78.00
955,78.00
956,77.00
957,74.00
958,74.00
959,74.00
960,74.00
961,76.00
962,76.00
963,77.00
964,78.00
965,76.00
966,75.00
967,73.00
968,73.00
969,73.00
970,73.00
971,73.00
972,73.00
973,73.00
974,69.00
975,68.00
976,67.00
977,70.00
978,71.00
979,71.00
980,71.00
981,70.00
982,72.00
983,74.00
984,74.00
985,74.00
986,71.00
987,69.00
988,66.00
989,69.00
990,74.00
991,73.00
992,73.00
993,72.00
994,73.00
995,76.00
996,76.00
997,76.00
998,72.00
999,71.00
1000,70.00
1001,69.00
1002,69.00
1003,68.00
1004,69.00
1005,69.00
1006,69.00
1007,69.00
1008,69.00
1009,70.00
1010,70.00
1011,70.00
1012,70.00
1013,70.00
1014,72.00
1015,73.00
1016,73.00
1017,72.00
1018,72.00
1019,70.00
1020,70.00
1021,71.00
1022,72.00
1023,73.00
1024,75.00
1025,75.00
1026,75.00
1027,76.00
1028,77.00
1029,77.00
1030,76.00
1031,75.00
1032,75.00
1033,74.00
1034,73.00
1035,72.00
1036,72.00
1037,72.00
1038,77.00
1039,77.00
1040,77.00
1041,77.00
1042,77.00
1043,76.00
1044,79.00
1045,80.00
1046,80.00
1047,80.00
1048,80.00
1049,80.00
1050,79.00
1051,79.00
1052,77.00
1053,77.00
1054,77.00
1055,79.00
1056,79.00
1057,79.00
1058,79.00
1059,80.00
1060,82.00
1061,82.00
1062,82.00
1063,85.00
1064,85.00
1065,83.00
1066,82.00
1067,82.00
1068,82.00
1069,82.00
1070,82.00
1071,87.00
1072,82.00
1073,82.00
1074,82.00
1075,82.00
1076,82.00
1077,82.00
1078,82.00
1079,82.00
1080,78.00
1081,82.00
1082,82.00
1083,83.00
1084,83.00
1085,84.00
1086,83.00
1087,82.00
1088,82.00
1089,82.00
1090,79.00
1091,79.00
1092,78.00
1093,78.00
1094,78.00
1095,77.00
1096,78.00
1097,78.00
1098,78.00
1099,78.00
1100,79.00
1101,78.00
1102,81.00
1103,81.00
1104,82.00
1105,82.00
1106,81.00
1107,80.00
1108,79.00
1109,80.00
1110,80.00
1111,79.00
1112,79.00
1113,79.00
1114,79.00
1115,80.00
1116,81.00
1117,81.00
1118,81.00
1119,81.00
1120,80.00
1121,79.00
1122,81.00
1123,81.00
1124,80.00
1125,80.00
1126,79.00
1127,80.00
1128,82.00
1129,82.00
1130,80.00
1131,77.00
1132,75.00
1133,77.00
