Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,2.00
15,2.00
16,2.00
17,3.00
18,3.00
19,3.00
20,3.00
21,3.00
22,4.00
23,5.00
24,6.00
25,6.00
26,6.00
27,6.00
28,6.00
29,6.00
30,6.00
31,8.00
32,8.00
33,8.00
34,8.00
35,10.00
36,10.00
37,13.00
38,13.00
39,16.00
40,16.00
41,17.00
42,17.00
43,17.00
44,17.00
45,17.00
46,17.00
47,17.00
48,17.00
49,17.00
50,17.00
51,17.00
52,18.00
53,18.00
54,18.00
55,18.00
56,19.00
57,19.00
58,22.00
59,23.00
60,23.00
61,24.00
62,24.00
63,24.00
64,24.00
65,24.00
66,24.00
67,26.00
68,26.00
69,26.00
70,26.00
71,26.00
72,26.00
73,26.00
74,26.00
75,26.00
76,27.00
77,27.00
78,27.00
79,27.00
80,27.00
81,27.00
82,27.00
83,28.00
84,28.00
85,36.00
86,36.00
87,43.00
88,45.00
89,47.00
90,48.00
91,53.00
92,53.00
93,54.00
94,70.00
95,70.00
96,77.00
97,77.00
98,83.00
99,87.00
100,87.00
101,115.00
102,117.00
103,120.00
104,125.00
105,127.00
106,129.00
107,131.00
108,132.00
109,134.00
110,134.00
111,135.00
112,136.00
113,136.00
114,136.00
115,138.00
116,144.00
117,144.00
118,144.00
119,144.00
120,144.00
121,144.00
122,149.00
123,155.00
124,156.00
125,156.00
126,158.00
127,160.00
128,160.00
129,161.00
130,161.00
131,162.00
132,163.00
133,164.00
134,165.00
135,165.00
136,166.00
137,166.00
138,166.00
139,168.00
140,171.00
141,172.00
142,171.00
143,171.00
144,172.00
145,172.00
146,181.00
147,183.00
148,197.00
149,198.00
150,200.00
151,205.00
152,206.00
153,207.00
154,208.00
155,211.00
156,214.00
157,220.00
158,227.00
159,232.00
160,234.00
161,236.00
162,240.00
163,242.00
164,241.00
165,241.00
166,245.00
167,249.00
168,250.00
169,248.00
170,248.00
171,248.00
172,249.00
173,251.00
174,251.00
175,254.00
176,255.00
177,255.00
178,255.00
179,256.00
180,257.00
181,257.00
182,256.00
183,256.00
184,256.00
185,258.00
186,258.00
187,259.00
188,260.00
189,262.00
190,262.00
191,261.00
192,261.00
193,261.00
194,261.00
195,262.00
196,266.00
197,266.00
198,267.00
199,270.00
200,270.00
201,275.00
202,281.00
203,282.00
204,282.00
205,282.00
206,288.00
207,284.00
208,283.00
209,283.00
210,286.00
211,286.00
212,288.00
213,288.00
214,290.00
215,290.00
216,292.00
217,292.00
218,292.00
219,292.00
220,293.00
221,293.00
222,294.00
223,294.00
224,294.00
225,294.00
226,294.00
227,301.00
228,300.00
229,302.00
230,303.00
231,303.00
232,305.00
233,305.00
234,304.00
235,306.00
236,312.00
237,313.00
238,301.00
239,298.00
240,295.00
241,292.00
242,296.00
243,295.00
244,297.00
245,292.00
246,267.00
247,270.00
248,271.00
249,271.00
250,270.00
251,262.00
252,262.00
253,242.00
254,242.00
255,243.00
256,242.00
257,244.00
258,244.00
259,242.00
260,243.00
261,242.00
262,241.00
263,240.00
264,240.00
265,239.00
266,241.00
267,240.00
268,240.00
269,240.00
270,241.00
271,240.00
272,239.00
273,235.00
274,234.00
275,236.00
276,236.00
277,236.00
278,235.00
279,237.00
280,239.00
281,237.00
282,237.00
283,237.00
284,235.00
285,234.00
286,239.00
287,240.00
288,237.00
289,244.00
290,243.00
291,242.00
292,248.00
293,249.00
294,251.00
295,252.00
296,248.00
297,248.00
298,233.00
299,237.00
300,240.00
301,227.00
302,229.00
303,224.00
304,226.00
305,225.00
306,224.00
307,225.00
308,217.00
309,216.00
310,215.00
311,214.00
312,218.00
313,215.00
314,209.00
315,211.00
316,212.00
317,212.00
318,214.00
319,210.00
320,210.00
321,210.00
322,213.00
323,213.00
324,211.00
325,211.00
326,215.00
327,210.00
328,216.00
329,219.00
330,218.00
331,216.00
332,217.00
333,216.00
334,216.00
335,212.00
336,211.00
337,203.00
338,203.00
339,201.00
340,201.00
341,211.00
342,211.00
343,208.00
344,208.00
345,204.00
346,205.00
347,206.00
348,212.00
349,220.00
350,221.00
351,220.00
352,221.00
353,220.00
354,220.00
355,221.00
356,223.00
357,223.00
358,219.00
359,219.00
360,221.00
361,222.00
362,221.00
363,221.00
364,221.00
365,227.00
366,228.00
367,228.00
368,230.00
369,229.00
370,230.00
371,228.00
372,228.00
373,226.00
374,230.00
375,226.00
376,230.00
377,230.00
378,229.00
379,228.00
380,229.00
381,230.00
382,234.00
383,225.00
384,220.00
385,224.00
386,224.00
387,223.00
388,222.00
389,223.00
390,226.00
391,224.00
392,226.00
393,227.00
394,220.00
395,221.00
396,220.00
397,220.00
398,221.00
399,222.00
400,224.00
401,224.00
402,227.00
403,226.00
404,229.00
405,230.00
406,229.00
407,226.00
408,228.00
409,233.00
410,236.00
411,236.00
412,238.00
413,236.00
414,235.00
415,236.00
416,237.00
417,236.00
418,235.00
419,231.00
420,232.00
421,232.00
422,234.00
423,233.00
424,242.00
425,246.00
426,248.00
427,246.00
428,244.00
429,241.00
430,242.00
431,241.00
432,239.00
433,234.00
434,232.00
435,231.00
436,228.00
437,227.00
438,227.00
439,224.00
440,223.00
441,224.00
442,224.00
443,227.00
444,237.00
445,237.00
446,235.00
447,232.00
448,232.00
449,236.00
450,240.00
451,238.00
452,239.00
453,233.00
454,237.00
455,239.00
456,242.00
457,241.00
458,241.00
459,238.00
460,238.00
461,238.00
462,239.00
463,240.00
464,238.00
465,238.00
466,239.00
467,241.00
468,246.00
469,246.00
470,244.00
471,243.00
472,248.00
473,248.00
474,246.00
475,246.00
476,243.00
477,240.00
478,240.00
479,241.00
480,251.00
481,251.00
482,250.00
483,249.00
484,245.00
485,257.00
486,257.00
487,263.00
488,264.00
489,254.00
490,254.00
491,250.00
492,252.00
493,252.00
494,246.00
495,237.00
496,229.00
497,230.00
498,231.00
499,230.00
500,230.00
501,233.00
502,233.00
503,233.00
504,235.00
505,235.00
506,236.00
507,237.00
508,237.00
509,236.00
510,233.00
511,232.00
512,232.00
513,226.00
514,226.00
515,228.00
516,225.00
517,225.00
518,218.00
519,211.00
520,211.00
521,212.00
522,206.00
523,203.00
524,195.00
525,195.00
526,195.00
527,194.00
528,194.00
529,188.00
530,185.00
531,184.00
532,183.00
533,179.00
534,178.00
535,177.00
536,177.00
537,175.00
538,175.00
539,176.00
540,176.00
541,176.00
542,176.00
543,176.00
544,176.00
545,175.00
546,173.00
547,173.00
548,170.00
549,171.00
550,170.00
551,168.00
552,168.00
553,166.00
554,165.00
555,165.00
556,165.00
557,163.00
558,161.00
559,162.00
560,156.00
561,156.00
562,156.00
563,156.00
564,154.00
565,153.00
566,152.00
567,150.00
568,145.00
569,145.00
570,143.00
571,143.00
572,138.00
573,133.00
574,133.00
575,132.00
576,132.00
577,132.00
578,132.00
579,132.00
580,133.00
581,133.00
582,132.00
583,131.00
584,130.00
585,129.00
586,126.00
587,122.00
588,122.00
589,120.00
590,120.00
591,111.00
592,111.00
593,110.00
594,110.00
595,109.00
596,106.00
597,98.00
598,96.00
599,94.00
600,93.00
601,91.00
602,84.00
603,84.00
604,78.00
605,78.00
606,78.00
607,78.00
608,78.00
609,77.00
610,72.00
611,72.00
612,71.00
613,70.00
614,68.00
615,67.00
616,66.00
617,65.00
618,64.00
619,58.00
620,58.00
621,54.00
622,53.00
623,53.00
624,53.00
625,53.00
626,51.00
627,44.00
628,43.00
629,42.00
630,42.00
631,41.00
632,31.00
633,31.00
634,23.00
635,22.00
636,22.00
637,23.00
638,22.00
639,22.00
640,22.00
641,21.00
642,21.00
643,18.00
644,17.00
645,16.00
646,16.00
647,14.00
648,14.00
649,13.00
650,13.00
651,13.00
652,13.00
653,13.00
654,13.00
655,11.00
656,10.00
657,10.00
658,10.00
659,10.00
660,9.00
661,9.00
662,9.00
663,9.00
664,9.00
665,8.00
666,8.00
667,8.00
668,8.00
669,8.00
670,8.00
671,8.00
672,8.00
673,8.00
674,8.00
675,8.00
676,8.00
677,8.00
678,10.00
679,10.00
680,11.00
681,11.00
682,11.00
683,12.00
684,13.00
685,15.00
686,18.00
687,18.00
688,20.00
689,20.00
690,20.00
691,23.00
692,23.00
693,27.00
694,28.00
695,27.00
696,28.00
697,28.00
698,29.00
699,29.00
700,31.00
701,32.00
702,31.00
703,34.00
704,38.00
705,39.00
706,39.00
707,38.00
708,38.00
709,38.00
710,41.00
711,43.00
712,43.00
713,43.00
714,46.00
715,46.00
716,48.00
717,53.00
718,54.00
719,54.00
720,54.00
721,57.00
722,57.00
723,58.00
724,58.00
725,61.00
726,64.00
727,64.00
728,64.00
729,64.00
730,67.00
731,66.00
732,66.00
733,66.00
734,67.00
735,75.00
736,75.00
737,75.00
738,76.00
739,76.00
740,80.00
741,81.00
742,82.00
743,82.00
744,87.00
745,88.00
746,88.00
747,89.00
748,89.00
749,89.00
750,89.00
751,89.00
752,89.00
753,90.00
754,90.00
755,90.00
756,92.00
757,94.00
758,98.00
759,100.00
760,101.00
761,103.00
762,105.00
763,107.00
764,107.00
765,107.00
766,107.00
767,108.00
768,109.00
769,109.00
770,109.00
771,109.00
772,109.00
773,121.00
774,121.00
775,124.00
776,126.00
777,127.00
778,128.00
779,128.00
780,129.00
781,135.00
782,137.00
783,137.00
784,137.00
785,138.00
786,139.00
787,140.00
788,140.00
789,140.00
790,142.00
791,143.00
792,143.00
793,143.00
794,143.00
795,145.00
796,145.00
797,145.00
798,145.00
799,145.00
800,145.00
801,145.00
802,145.00
803,145.00
804,145.00
805,145.00
806,145.00
807,145.00
808,146.00
809,147.00
810,147.00
811,148.00
812,150.00
813,150.00
814,150.00
815,151.00
816,152.00
817,149.00
818,149.00
819,151.00
820,152.00
821,154.00
822,156.00
823,157.00
824,158.00
825,158.00
826,158.00
827,159.00
828,158.00
829,172.00
830,170.00
831,169.00
832,169.00
833,168.00
834,168.00
835,168.00
836,169.00
837,169.00
838,158.00
839,156.00
840,157.00
841,154.00
842,155.00
843,158.00
844,158.00
845,158.00
846,158.00
847,158.00
848,162.00
849,163.00
850,164.00
851,166.00
852,162.00
853,170.00
854,173.00
855,172.00
856,188.00
857,184.00
858,191.00
859,192.00
860,192.00
861,195.00
862,190.00
863,192.00
864,193.00
865,182.00
866,182.00
867,182.00
868,183.00
869,182.00
870,184.00
871,186.00
872,186.00
873,186.00
874,183.00
875,180.00
876,181.00
877,181.00
878,183.00
879,184.00
880,183.00
881,178.00
882,176.00
883,176.00
884,176.00
885,177.00
886,177.00
887,177.00
888,176.00
889,177.00
890,182.00
891,182.00
892,181.00
893,178.00
894,176.00
895,177.00
896,178.00
897,182.00
898,182.00
899,180.00
900,181.00
901,185.00
902,196.00
903,197.00
904,194.00
905,192.00
906,192.00
907,197.00
908,196.00
909,197.00
910,199.00
911,199.00
912,199.00
913,202.00
914,200.00
915,199.00
916,197.00
917,195.00
918,196.00
919,195.00
920,189.00
921,192.00
922,189.00
923,186.00
924,186.00
925,186.00
926,187.00
927,187.00
928,187.00
929,185.00
930,185.00
931,187.00
932,186.00
933,184.00
934,185.00
935,186.00
936,185.00
937,183.00
938,183.00
939,187.00
940,189.00
941,189.00
942,188.00
943,191.00
944,192.00
945,192.00
946,192.00
947,192.00
948,192.00
949,192.00
950,196.00
951,195.00
952,195.00
953,198.00
954,198.00
955,198.00
956,197.00
957,196.00
958,196.00
959,193.00
960,194.00
961,192.00
962,191.00
963,192.00
964,192.00
965,191.00
966,189.00
967,187.00
968,187.00
969,187.00
970,187.00
971,187.00
972,184.00
973,184.00
974,186.00
975,186.00
976,178.00
977,180.00
978,178.00
979,182.00
980,181.00
981,181.00
982,180.00
983,180.00
984,182.00
985,185.00
986,184.00
987,184.00
988,182.00
989,182.00
990,178.00
991,182.00
992,182.00
993,181.00
994,174.00
995,176.00
996,183.00
997,190.00
998,192.00
999,189.00
1000,180.00
1001,184.00
1002,183.00
1003,173.00
1004,169.00
1005,166.00
1006,167.00
1007,169.00
1008,170.00
1009,171.00
1010,170.00
1011,171.00
1012,172.00
1013,170.00
1014,170.00
1015,170.00
1016,168.00
1017,169.00
1018,168.00
1019,168.00
1020,167.00
1021,166.00
1022,167.00
1023,166.00
1024,167.00
1025,167.00
1026,169.00
1027,170.00
1028,170.00
1029,173.00
1030,170.00
1031,173.00
1032,170.00
1033,170.00
1034,169.00
1035,169.00
1036,168.00
1037,169.00
1038,167.00
1039,168.00
1040,163.00
1041,164.00
1042,175.00
1043,176.00
1044,176.00
1045,176.00
1046,175.00
1047,175.00
1048,181.00
1049,178.00
1050,186.00
1051,170.00
1052,170.00
1053,171.00
1054,174.00
1055,171.00
1056,170.00
1057,172.00
1058,172.00
1059,174.00
1060,175.00
1061,177.00
1062,177.00
1063,177.00
1064,177.00
1065,176.00
1066,176.00
1067,179.00
1068,179.00
1069,179.00
1070,176.00
1071,175.00
1072,175.00
1073,175.00
1074,175.00
1075,178.00
1076,172.00
1077,172.00
1078,173.00
1079,174.00
1080,175.00
1081,175.00
1082,177.00
1083,177.00
1084,170.00
1085,181.00
1086,182.00
1087,183.00
1088,183.00
1089,183.00
1090,183.00
1091,183.00
1092,183.00
1093,184.00
1094,180.00
1095,181.00
1096,180.00
1097,180.00
1098,179.00
1099,179.00
1100,182.00
1101,183.00
1102,181.00
1103,182.00
1104,186.00
1105,186.00
1106,197.00
1107,197.00
1108,194.00
1109,195.00
1110,195.00
1111,195.00
1112,194.00
1113,196.00
1114,196.00
1115,194.00
1116,193.00
1117,192.00
1118,189.00
1119,188.00
1120,190.00
1121,189.00
1122,189.00
1123,190.00
1124,191.00
1125,191.00
1126,192.00
1127,189.00
1128,191.00
1129,190.00
1130,188.00
1131,188.00
1132,190.00
1133,190.00
