Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,2.00
14,3.00
15,3.00
16,3.00
17,3.00
18,3.00
19,3.00
20,3.00
21,3.00
22,3.00
23,3.00
24,3.00
25,3.00
26,3.00
27,3.00
28,3.00
29,3.00
30,7.00
31,7.00
32,7.00
33,7.00
34,7.00
35,7.00
36,7.00
37,7.00
38,7.00
39,7.00
40,7.00
41,7.00
42,7.00
43,7.00
44,7.00
45,7.00
46,7.00
47,7.00
48,7.00
49,7.00
50,7.00
51,7.00
52,7.00
53,8.00
54,9.00
55,9.00
56,9.00
57,9.00
58,9.00
59,9.00
60,9.00
61,9.00
62,10.00
63,10.00
64,10.00
65,10.00
66,10.00
67,10.00
68,10.00
69,10.00
70,11.00
71,11.00
72,11.00
73,11.00
74,11.00
75,11.00
76,11.00
77,11.00
78,12.00
79,13.00
80,14.00
81,14.00
82,15.00
83,15.00
84,16.00
85,17.00
86,17.00
87,17.00
88,18.00
89,19.00
90,25.00
91,27.00
92,35.00
93,35.00
94,35.00
95,36.00
96,36.00
97,38.00
98,39.00
99,39.00
100,40.00
101,40.00
102,41.00
103,41.00
104,42.00
105,42.00
106,43.00
107,44.00
108,44.00
109,44.00
110,44.00
111,44.00
112,44.00
113,45.00
114,45.00
115,45.00
116,45.00
117,46.00
118,46.00
119,46.00
120,46.00
121,46.00
122,46.00
123,46.00
124,46.00
125,47.00
126,47.00
127,47.00
128,47.00
129,47.00
130,47.00
131,47.00
132,47.00
133,47.00
134,47.00
135,48.00
136,48.00
137,48.00
138,51.00
139,51.00
140,51.00
141,53.00
142,55.00
143,55.00
144,55.00
145,55.00
146,56.00
147,56.00
148,56.00
149,57.00
150,58.00
151,59.00
152,58.00
153,61.00
154,63.00
155,64.00
156,65.00
157,64.00
158,65.00
159,66.00
160,67.00
161,67.00
162,67.00
163,67.00
164,70.00
165,70.00
166,70.00
167,71.00
168,72.00
169,72.00
170,72.00
171,72.00
172,72.00
173,71.00
174,71.00
175,72.00
176,72.00
177,74.00
178,72.00
179,72.00
180,72.00
181,72.00
182,72.00
183,72.00
184,72.00
185,72.00
186,72.00
187,74.00
188,78.00
189,79.00
190,79.00
191,80.00
192,80.00
193,80.00
194,81.00
195,81.00
196,79.00
197,79.00
198,78.00
199,80.00
200,80.00
201,79.00
202,80.00
203,81.00
204,81.00
205,82.00
206,82.00
207,82.00
208,82.00
209,82.00
210,82.00
211,82.00
212,82.00
213,82.00
214,82.00
215,82.00
216,82.00
217,82.00
218,83.00
219,83.00
220,83.00
221,83.00
222,83.00
223,83.00
224,83.00
225,88.00
226,88.00
227,88.00
228,87.00
229,85.00
230,86.00
231,86.00
232,85.00
233,83.00
234,79.00
235,79.00
236,80.00
237,80.00
238,80.00
239,77.00
240,78.00
241,70.00
242,71.00
243,71.00
244,70.00
245,70.00
246,70.00
247,69.00
248,69.00
249,69.00
250,67.00
251,66.00
252,66.00
253,66.00
254,66.00
255,66.00
256,65.00
257,65.00
258,65.00
259,65.00
260,65.00
261,64.00
262,64.00
263,65.00
264,64.00
265,64.00
266,64.00
267,65.00
268,66.00
269,66.00
270,66.00
271,66.00
272,67.00
273,67.00
274,67.00
275,67.00
276,67.00
277,71.00
278,73.00
279,73.00
280,74.00
281,74.00
282,76.00
283,76.00
284,72.00
285,72.00
286,70.00
287,70.00
288,71.00
289,69.00
290,68.00
291,65.00
292,68.00
293,69.00
294,69.00
295,69.00
296,67.00
297,68.00
298,68.00
299,68.00
300,68.00
301,68.00
302,66.00
303,66.00
304,67.00
305,68.00
306,69.00
307,67.00
308,67.00
309,67.00
310,68.00
311,69.00
312,69.00
313,69.00
314,71.00
315,69.00
316,70.00
317,69.00
318,69.00
319,69.00
320,69.00
321,69.00
322,70.00
323,69.00
324,69.00
325,63.00
326,63.00
327,63.00
328,63.00
329,67.00
330,67.00
331,64.00
332,64.00
333,63.00
334,63.00
335,63.00
336,64.00
337,67.00
338,67.00
339,67.00
340,67.00
341,67.00
342,67.00
343,67.00
344,67.00
345,67.00
346,65.00
347,65.00
348,65.00
349,64.00
350,63.00
351,62.00
352,61.00
353,61.00
354,62.00
355,62.00
356,62.00
357,64.00
358,64.00
359,64.00
360,64.00
361,63.00
362,67.00
363,67.00
364,69.00
365,68.00
366,68.00
367,67.00
368,68.00
369,69.00
370,69.00
371,68.00
372,65.00
373,64.00
374,65.00
375,65.00
376,64.00
377,64.00
378,64.00
379,64.00
380,65.00
381,65.00
382,63.00
383,63.00
384,63.00
385,63.00
386,63.00
387,63.00
388,64.00
389,64.00
390,64.00
391,64.00
392,68.00
393,68.00
394,68.00
395,68.00
396,67.00
397,70.00
398,70.00
399,69.00
400,70.00
401,70.00
402,71.00
403,71.00
404,71.00
405,71.00
406,70.00
407,70.00
408,70.00
409,70.00
410,69.00
411,69.00
412,68.00
413,70.00
414,71.00
415,69.00
416,68.00
417,68.00
418,68.00
419,68.00
420,68.00
421,66.00
422,67.00
423,68.00
424,65.00
425,65.00
426,65.00
427,64.00
428,63.00
429,62.00
430,62.00
431,62.00
432,64.00
433,63.00
434,63.00
435,61.00
436,60.00
437,60.00
438,62.00
439,62.00
440,61.00
441,61.00
442,63.00
443,64.00
444,64.00
445,64.00
446,62.00
447,62.00
448,62.00
449,62.00
450,62.00
451,59.00
452,59.00
453,59.00
454,58.00
455,58.00
456,58.00
457,58.00
458,55.00
459,55.00
460,55.00
461,55.00
462,57.00
463,57.00
464,57.00
465,58.00
466,58.00
467,62.00
468,62.00
469,61.00
470,61.00
471,62.00
472,61.00
473,63.00
474,63.00
475,63.00
476,58.00
477,58.00
478,58.00
479,58.00
480,58.00
481,59.00
482,57.00
483,57.00
484,57.00
485,57.00
486,57.00
487,57.00
488,57.00
489,56.00
490,56.00
491,57.00
492,57.00
493,57.00
494,59.00
495,59.00
496,59.00
497,59.00
498,59.00
499,59.00
500,59.00
501,57.00
502,57.00
503,54.00
504,53.00
505,52.00
506,52.00
507,52.00
508,52.00
509,48.00
510,48.00
511,45.00
512,46.00
513,46.00
514,46.00
515,45.00
516,43.00
517,42.00
518,42.00
519,42.00
520,42.00
521,43.00
522,43.00
523,43.00
524,43.00
525,43.00
526,45.00
527,45.00
528,45.00
529,45.00
530,45.00
531,45.00
532,45.00
533,45.00
534,44.00
535,41.00
536,41.00
537,41.00
538,43.00
539,42.00
540,42.00
541,42.00
542,42.00
543,42.00
544,40.00
545,40.00
546,40.00
547,40.00
548,40.00
549,40.00
550,40.00
551,40.00
552,40.00
553,40.00
554,40.00
555,39.00
556,39.00
557,39.00
558,39.00
559,37.00
560,36.00
561,36.00
562,36.00
563,36.00
564,36.00
565,36.00
566,35.00
567,35.00
568,35.00
569,34.00
570,34.00
571,34.00
572,34.00
573,34.00
574,34.00
575,34.00
576,33.00
577,33.00
578,32.00
579,32.00
580,32.00
581,32.00
582,32.00
583,32.00
584,31.00
585,30.00
586,30.00
587,30.00
588,27.00
589,25.00
590,25.00
591,24.00
592,24.00
593,24.00
594,24.00
595,24.00
596,24.00
597,24.00
598,24.00
599,24.00
600,24.00
601,24.00
602,24.00
603,24.00
604,22.00
605,22.00
606,21.00
607,21.00
608,21.00
609,20.00
610,20.00
611,20.00
612,19.00
613,19.00
614,16.00
615,16.00
616,15.00
617,15.00
618,14.00
619,14.00
620,13.00
621,14.00
622,14.00
623,14.00
624,14.00
625,14.00
626,14.00
627,14.00
628,18.00
629,18.00
630,18.00
631,18.00
632,18.00
633,19.00
634,20.00
635,20.00
636,20.00
637,20.00
638,20.00
639,19.00
640,19.00
641,18.00
642,18.00
643,18.00
644,18.00
645,18.00
646,18.00
647,18.00
648,18.00
649,18.00
650,18.00
651,18.00
652,18.00
653,18.00
654,18.00
655,19.00
656,19.00
657,19.00
658,18.00
659,18.00
660,18.00
661,19.00
662,19.00
663,19.00
664,19.00
665,19.00
666,19.00
667,19.00
668,19.00
669,19.00
670,19.00
671,19.00
672,18.00
673,18.00
674,18.00
675,18.00
676,18.00
677,19.00
678,20.00
679,21.00
680,20.00
681,20.00
682,20.00
683,20.00
684,22.00
685,22.00
686,20.00
687,21.00
688,21.00
689,21.00
690,21.00
691,21.00
692,22.00
693,22.00
694,23.00
695,23.00
696,23.00
697,25.00
698,25.00
699,25.00
700,25.00
701,25.00
702,25.00
703,25.00
704,25.00
705,26.00
706,26.00
707,27.00
708,27.00
709,28.00
710,28.00
711,28.00
712,28.00
713,28.00
714,28.00
715,28.00
716,28.00
717,28.00
718,28.00
719,32.00
720,32.00
721,32.00
722,32.00
723,32.00
724,32.00
725,32.00
726,32.00
727,32.00
728,31.00
729,31.00
730,31.00
731,31.00
732,31.00
733,31.00
734,31.00
735,31.00
736,31.00
737,32.00
738,32.00
739,32.00
740,32.00
741,32.00
742,33.00
743,34.00
744,35.00
745,38.00
746,38.00
747,38.00
748,38.00
749,38.00
750,38.00
751,38.00
752,38.00
753,38.00
754,38.00
755,38.00
756,42.00
757,42.00
758,42.00
759,44.00
760,42.00
761,44.00
762,44.00
763,45.00
764,46.00
765,46.00
766,46.00
767,46.00
768,46.00
769,46.00
770,46.00
771,47.00
772,47.00
773,47.00
774,46.00
775,46.00
776,43.00
777,43.00
778,44.00
779,44.00
780,44.00
781,44.00
782,44.00
783,45.00
784,45.00
785,44.00
786,45.00
787,45.00
788,46.00
789,48.00
790,48.00
791,48.00
792,49.00
793,49.00
794,50.00
795,53.00
796,53.00
797,54.00
798,54.00
799,54.00
800,54.00
801,54.00
802,52.00
803,53.00
804,54.00
805,54.00
806,54.00
807,54.00
808,55.00
809,55.00
810,54.00
811,53.00
812,53.00
813,52.00
814,52.00
815,52.00
816,53.00
817,53.00
818,53.00
819,52.00
820,52.00
821,52.00
822,52.00
823,52.00
824,52.00
825,51.00
826,51.00
827,51.00
828,51.00
829,51.00
830,50.00
831,50.00
832,51.00
833,51.00
834,51.00
835,49.00
836,49.00
837,50.00
838,51.00
839,53.00
840,53.00
841,56.00
842,57.00
843,58.00
844,58.00
845,57.00
846,58.00
847,58.00
848,59.00
849,61.00
850,61.00
851,61.00
852,61.00
853,61.00
854,61.00
855,62.00
856,61.00
857,61.00
858,61.00
859,60.00
860,60.00
861,60.00
862,63.00
863,63.00
864,61.00
865,61.00
866,61.00
867,60.00
868,62.00
869,63.00
870,63.00
871,63.00
872,63.00
873,63.00
874,63.00
875,63.00
876,63.00
877,64.00
878,64.00
879,64.00
880,67.00
881,68.00
882,69.00
883,69.00
884,70.00
885,72.00
886,72.00
887,71.00
888,70.00
889,69.00
890,69.00
891,66.00
892,66.00
893,66.00
894,65.00
895,64.00
896,64.00
897,65.00
898,65.00
899,65.00
900,65.00
901,66.00
902,66.00
903,63.00
904,64.00
905,63.00
906,61.00
907,61.00
908,60.00
909,60.00
910,61.00
911,61.00
912,61.00
913,61.00
914,61.00
915,60.00
916,60.00
917,60.00
918,61.00
919,60.00
920,61.00
921,62.00
922,62.00
923,62.00
924,62.00
925,62.00
926,63.00
927,64.00
928,66.00
929,66.00
930,67.00
931,67.00
932,66.00
933,64.00
934,64.00
935,62.00
936,62.00
937,62.00
938,63.00
939,63.00
940,64.00
941,67.00
942,63.00
943,63.00
944,64.00
945,64.00
946,64.00
947,64.00
948,64.00
949,65.00
950,65.00
951,65.00
952,66.00
953,65.00
954,65.00
955,64.00
956,65.00
957,65.00
958,65.00
959,64.00
960,64.00
961,64.00
962,64.00
963,63.00
964,63.00
965,63.00
966,64.00
967,64.00
968,64.00
969,64.00
970,64.00
971,62.00
972,62.00
973,62.00
974,64.00
975,66.00
976,66.00
977,65.00
978,68.00
979,70.00
980,70.00
981,70.00
982,71.00
983,70.00
984,70.00
985,70.00
986,66.00
987,65.00
988,63.00
989,64.00
990,64.00
991,64.00
992,64.00
993,65.00
994,65.00
995,62.00
996,61.00
997,61.00
998,62.00
999,62.00
1000,62.00
1001,62.00
1002,61.00
1003,61.00
1004,61.00
1005,61.00
1006,61.00
1007,61.00
1008,61.00
1009,59.00
1010,59.00
1011,59.00
1012,59.00
1013,59.00
1014,58.00
1015,57.00
1016,57.00
1017,57.00
1018,57.00
1019,57.00
1020,57.00
1021,56.00
1022,57.00
1023,59.00
1024,59.00
1025,59.00
1026,58.00
1027,58.00
1028,58.00
1029,61.00
1030,61.00
1031,61.00
1032,58.00
1033,57.00
1034,57.00
1035,58.00
1036,58.00
1037,58.00
1038,58.00
1039,58.00
1040,60.00
1041,60.00
1042,60.00
1043,60.00
1044,60.00
1045,59.00
1046,58.00
1047,57.00
1048,59.00
1049,59.00
1050,59.00
1051,59.00
1052,59.00
1053,59.00
1054,60.00
1055,60.00
1056,62.00
1057,60.00
1058,60.00
1059,60.00
1060,60.00
1061,60.00
1062,60.00
1063,60.00
1064,60.00
1065,59.00
1066,62.00
1067,60.00
1068,61.00
1069,61.00
1070,61.00
1071,60.00
1072,59.00
1073,60.00
1074,60.00
1075,57.00
1076,57.00
1077,57.00
1078,58.00
1079,58.00
1080,58.00
1081,59.00
1082,60.00
1083,60.00
1084,60.00
1085,60.00
1086,60.00
1087,60.00
1088,58.00
1089,58.00
1090,58.00
1091,57.00
1092,57.00
1093,57.00
1094,57.00
1095,58.00
1096,57.00
1097,57.00
1098,55.00
1099,54.00
1100,54.00
1101,54.00
1102,54.00
1103,54.00
1104,54.00
1105,54.00
1106,54.00
1107,54.00
1108,54.00
1109,54.00
1110,53.00
1111,53.00
1112,52.00
1113,54.00
1114,55.00
1115,55.00
1116,54.00
1117,53.00
1118,54.00
1119,56.00
1120,56.00
1121,56.00
1122,53.00
1123,51.00
1124,51.00
1125,50.00
1126,49.00
1127,47.00
1128,47.00
1129,45.00
1130,45.00
1131,45.00
1132,45.00
1133,47.00
