Position,Coverage
1,2.00
2,2.00
3,4.00
4,4.00
5,5.00
6,6.00
7,7.00
8,7.00
9,7.00
10,8.00
11,8.00
12,8.00
13,8.00
14,8.00
15,10.00
16,10.00
17,11.00
18,11.00
19,11.00
20,12.00
21,12.00
22,20.00
23,22.00
24,23.00
25,23.00
26,24.00
27,25.00
28,25.00
29,26.00
30,26.00
31,27.00
32,27.00
33,28.00
34,28.00
35,29.00
36,29.00
37,30.00
38,30.00
39,36.00
40,38.00
41,40.00
42,42.00
43,42.00
44,44.00
45,44.00
46,46.00
47,46.00
48,46.00
49,46.00
50,48.00
51,48.00
52,48.00
53,48.00
54,48.00
55,48.00
56,48.00
57,49.00
58,53.00
59,53.00
60,53.00
61,53.00
62,54.00
63,55.00
64,55.00
65,55.00
66,55.00
67,58.00
68,58.00
69,60.00
70,61.00
71,61.00
72,61.00
73,61.00
74,61.00
75,63.00
76,64.00
77,64.00
78,66.00
79,67.00
80,67.00
81,68.00
82,69.00
83,69.00
84,70.00
85,74.00
86,74.00
87,79.00
88,82.00
89,84.00
90,85.00
91,85.00
92,85.00
93,86.00
94,92.00
95,95.00
96,97.00
97,98.00
98,102.00
99,110.00
100,113.00
101,148.00
102,149.00
103,150.00
104,152.00
105,159.00
106,162.00
107,165.00
108,165.00
109,166.00
110,167.00
111,167.00
112,167.00
113,169.00
114,172.00
115,174.00
116,189.00
117,189.00
118,189.00
119,189.00
120,189.00
121,192.00
122,199.00
123,206.00
124,214.00
125,215.00
126,221.00
127,223.00
128,225.00
129,225.00
130,226.00
131,226.00
132,226.00
133,227.00
134,228.00
135,228.00
136,232.00
137,232.00
138,232.00
139,233.00
140,236.00
141,239.00
142,240.00
143,241.00
144,242.00
145,240.00
146,246.00
147,246.00
148,267.00
149,267.00
150,265.00
151,267.00
152,269.00
153,271.00
154,276.00
155,284.00
156,284.00
157,287.00
158,292.00
159,299.00
160,302.00
161,304.00
162,310.00
163,311.00
164,313.00
165,311.00
166,313.00
167,311.00
168,313.00
169,308.00
170,309.00
171,307.00
172,307.00
173,307.00
174,307.00
175,308.00
176,308.00
177,311.00
178,311.00
179,312.00
180,313.00
181,313.00
182,312.00
183,312.00
184,313.00
185,314.00
186,309.00
187,310.00
188,313.00
189,309.00
190,310.00
191,311.00
192,311.00
193,314.00
194,317.00
195,318.00
196,323.00
197,326.00
198,326.00
199,330.00
200,338.00
201,342.00
202,343.00
203,343.00
204,345.00
205,337.00
206,338.00
207,339.00
208,341.00
209,342.00
210,350.00
211,350.00
212,353.00
213,352.00
214,348.00
215,349.00
216,347.00
217,347.00
218,348.00
219,346.00
220,346.00
221,344.00
222,344.00
223,343.00
224,341.00
225,342.00
226,342.00
227,349.00
228,352.00
229,355.00
230,356.00
231,355.00
232,355.00
233,353.00
234,397.00
235,401.00
236,394.00
237,389.00
238,384.00
239,391.00
240,391.00
241,391.00
242,390.00
243,344.00
244,350.00
245,355.00
246,354.00
247,354.00
248,344.00
249,345.00
250,333.00
251,334.00
252,335.00
253,329.00
254,330.00
255,332.00
256,334.00
257,334.00
258,334.00
259,329.00
260,330.00
261,330.00
262,340.00
263,343.00
264,340.00
265,334.00
266,333.00
267,333.00
268,334.00
269,342.00
270,337.00
271,328.00
272,332.00
273,331.00
274,332.00
275,333.00
276,333.00
277,334.00
278,333.00
279,336.00
280,336.00
281,336.00
282,337.00
283,335.00
284,337.00
285,333.00
286,349.00
287,348.00
288,346.00
289,360.00
290,369.00
291,375.00
292,373.00
293,368.00
294,374.00
295,357.00
296,364.00
297,365.00
298,342.00
299,346.00
300,341.00
301,348.00
302,354.00
303,352.00
304,353.00
305,338.00
306,338.00
307,339.00
308,338.00
309,340.00
310,338.00
311,335.00
312,336.00
313,336.00
314,335.00
315,333.00
316,333.00
317,334.00
318,335.00
319,336.00
320,338.00
321,340.00
322,339.00
323,345.00
324,341.00
325,362.00
326,364.00
327,364.00
328,366.00
329,362.00
330,362.00
331,367.00
332,362.00
333,365.00
334,353.00
335,351.00
336,351.00
337,352.00
338,372.00
339,372.00
340,367.00
341,369.00
342,367.00
343,372.00
344,374.00
345,378.00
346,389.00
347,378.00
348,378.00
349,379.00
350,382.00
351,377.00
352,382.00
353,383.00
354,383.00
355,374.00
356,380.00
357,379.00
358,381.00
359,378.00
360,378.00
361,378.00
362,385.00
363,391.00
364,393.00
365,394.00
366,393.00
367,397.00
368,397.00
369,394.00
370,393.00
371,401.00
372,397.00
373,403.00
374,403.00
375,401.00
376,399.00
377,398.00
378,398.00
379,403.00
380,395.00
381,377.00
382,380.00
383,379.00
384,380.00
385,376.00
386,377.00
387,377.00
388,372.00
389,372.00
390,372.00
391,355.00
392,356.00
393,353.00
394,352.00
395,356.00
396,356.00
397,357.00
398,357.00
399,357.00
400,357.00
401,357.00
402,370.00
403,370.00
404,370.00
405,368.00
406,364.00
407,379.00
408,391.00
409,385.00
410,391.00
411,372.00
412,375.00
413,374.00
414,376.00
415,377.00
416,373.00
417,362.00
418,373.00
